/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,418.00,421.00,411.00,412.75,555500,412.50
2012-07-20,418.00,421.70,408.25,412.50,555500,412.50
2012-07-19,418.25,422.65,414.25,414.90,591600,414.90
2012-07-18,413.90,418.90,402.30,415.00,1088700,415.00
2012-07-17,422.00,428.00,412.95,414.00,890900,414.00
2012-07-16,426.00,432.75,416.40,417.85,1191800,417.85
2012-07-13,420.00,432.00,418.50,426.00,1227000,426.00
2012-07-12,405.15,423.40,405.15,415.20,660700,415.20
2012-07-11,419.00,430.40,416.85,420.50,1034700,420.50
2012-07-10,408.00,423.90,406.95,419.20,1066800,419.20
2012-07-09,411.95,413.80,403.50,406.30,646500,406.30
2012-07-06,422.80,425.75,412.05,413.70,811200,413.70
2012-07-05,405.70,424.80,402.50,422.00,1507600,422.00
2012-07-04,398.00,411.95,398.00,405.50,1210600,405.50
2012-07-03,395.80,401.95,392.10,395.00,570900,395.00
2012-07-02,391.00,401.70,386.05,393.00,901200,393.00
2012-06-29,385.05,395.30,382.90,388.00,1171600,388.00
2012-06-28,350.00,389.75,347.70,387.00,2695700,387.00
2012-06-27,351.10,357.45,346.40,355.00,714600,355.00
2012-06-26,350.00,352.00,346.00,350.50,406600,350.50
2012-06-25,350.00,357.00,346.80,352.90,422900,352.90
2012-06-22,350.05,357.50,347.05,352.40,521300,352.40
2012-06-21,350.00,354.95,346.40,353.50,498200,353.50
2012-06-20,353.00,359.85,351.15,353.00,450800,353.00
2012-06-19,354.30,355.75,347.25,353.00,380400,353.00
2012-06-18,350.00,365.00,348.00,354.90,769600,354.90
2012-06-15,347.25,352.00,345.05,346.00,316700,346.00
2012-06-14,350.00,352.95,341.05,351.25,551000,351.25
2012-06-13,352.35,356.50,342.75,350.00,613800,350.00
2012-06-12,342.00,354.90,337.00,351.45,934100,351.45
2012-06-11,350.00,357.40,342.00,342.00,678800,342.00
2012-06-08,340.50,350.90,333.35,348.00,906300,348.00
2012-06-07,339.80,344.20,336.10,340.30,609800,340.30
2012-06-06,331.95,339.70,328.45,335.15,677100,335.15
2012-06-05,338.30,340.00,326.10,326.35,703800,326.35
2012-06-01,356.55,361.95,347.60,352.90,637500,352.90
2012-05-31,362.00,363.05,351.20,359.00,840700,359.00
2012-05-30,376.00,377.90,363.00,363.50,501100,363.50
2012-05-29,375.15,385.95,371.70,378.25,992600,378.25
2012-05-28,373.95,376.00,362.45,375.80,548400,375.80
2012-05-25,369.05,375.00,367.15,371.50,412100,371.50
2012-05-24,359.00,370.50,354.35,370.00,698900,370.00
2012-05-23,370.00,370.90,355.00,355.10,485500,355.10
2012-05-22,380.00,382.90,363.85,368.10,677500,368.10
2012-05-21,370.90,379.95,354.00,375.00,641600,375.00
2012-05-18,355.00,369.00,350.00,368.10,748400,368.10
2012-05-17,354.00,362.00,350.00,359.50,581900,359.50
2012-05-16,356.00,356.00,345.20,351.00,606100,351.00
2012-05-14,357.70,360.85,344.40,349.10,455900,349.10
2012-05-11,360.35,363.70,349.00,353.00,554900,353.00
2012-05-10,368.00,374.80,359.15,361.00,595400,361.00
2012-05-09,370.00,377.80,363.00,365.10,678000,365.10
2012-05-08,394.85,396.70,372.15,373.50,961600,373.50
2012-05-07,372.60,396.50,360.15,392.00,716500,392.00
2012-05-04,403.00,403.00,383.95,387.10,526900,387.10
2012-05-03,406.00,410.95,402.25,403.55,418300,403.55
2012-05-02,415.00,419.50,407.00,408.00,479700,408.00
2012-04-30,410.35,419.40,406.85,414.30,418500,414.30
2012-04-27,413.75,419.80,401.00,406.00,680500,406.00
2012-04-26,410.00,416.90,406.10,413.00,709200,413.00
2012-04-25,420.00,424.00,405.30,411.30,779400,411.30
2012-04-24,421.25,424.10,414.30,420.05,557400,420.05
2012-04-23,425.00,430.30,418.00,419.20,763400,419.20
2012-04-20,435.00,436.55,418.80,420.05,755800,420.05
2012-04-19,437.90,440.00,431.05,436.55,478700,436.55
2012-04-18,437.00,446.95,429.00,433.55,829300,433.55
2012-04-17,427.00,439.05,424.10,438.00,769100,438.00
2012-04-16,393.25,429.90,393.25,428.45,414900,428.45
2012-04-13,428.95,442.65,422.55,423.00,977200,423.00
2012-04-12,428.85,439.00,425.25,428.00,585600,428.00
2012-04-11,428.05,433.90,424.05,427.20,677800,427.20
2012-04-10,430.00,438.80,421.20,434.25,769800,434.25
2012-04-09,412.65,445.10,412.65,427.00,683200,427.00
2012-04-04,453.50,458.80,442.30,448.00,1060800,448.00
2012-04-03,443.00,455.90,439.30,452.65,1257300,452.65
2012-04-02,432.00,444.40,432.00,436.05,791200,436.05
2012-03-30,421.00,436.45,418.40,432.50,867800,432.50
2012-03-29,415.25,424.70,405.55,421.70,1192100,421.70
2012-03-28,429.90,429.90,416.30,417.35,508000,417.35
2012-03-27,430.40,437.50,427.00,428.00,608600,428.00
2012-03-26,435.95,437.95,424.00,427.15,692200,427.15
2012-03-23,435.00,444.80,430.05,437.00,1023300,437.00
2012-03-21,456.40,472.35,452.05,471.05,1035500,471.05
2012-03-20,446.60,458.90,441.10,454.50,940500,454.50
2012-03-19,460.00,467.00,446.45,452.00,915600,452.00
2012-03-16,474.40,488.00,451.65,454.60,1474700,454.60
2012-03-15,500.00,511.90,471.20,472.00,2675100,472.00
2012-03-14,525.55,527.00,497.30,499.50,1147900,499.50
2012-03-13,459.75,523.00,459.75,518.95,1965600,518.95
2012-03-12,490.05,492.40,477.00,484.05,661300,484.05
2012-03-09,460.35,485.50,459.00,485.00,858600,485.00
2012-03-07,462.10,463.80,445.10,451.30,805600,451.30
2012-03-06,465.05,489.45,455.00,458.00,967200,458.00
2012-03-05,474.95,479.00,465.00,465.55,423200,465.55
2012-03-02,486.45,495.40,477.50,479.00,781900,479.00
2012-03-01,498.70,498.70,475.20,484.00,742800,484.00
2012-02-29,485.55,505.90,484.00,497.00,1011000,497.00
2012-02-28,466.00,486.10,460.00,485.95,913100,485.95
2012-02-27,495.60,500.95,452.05,453.60,839900,453.60
2012-02-24,499.75,509.00,492.35,503.00,1173400,503.00
2012-02-23,516.35,518.90,487.20,499.00,1670600,499.00
2012-02-22,558.00,561.00,510.05,517.00,923800,517.00
2012-02-21,549.90,559.60,548.00,555.25,890800,555.25
2012-02-17,546.30,571.90,540.00,548.00,2150400,548.00
2012-02-16,537.00,545.90,531.50,536.50,755800,536.50
2012-02-15,537.00,548.40,537.00,538.05,1301600,538.05
2012-02-14,520.00,542.50,518.90,533.00,1415100,533.00
2012-02-13,520.00,524.85,504.50,520.50,1276800,520.50
2012-02-10,524.00,534.00,513.15,518.00,1054900,518.00
2012-02-09,527.00,536.30,520.90,522.80,1098700,522.80
2012-02-08,527.65,541.40,516.45,525.90,2006200,525.90
2012-02-07,547.70,552.40,520.00,522.00,1202400,522.00
2012-02-06,551.00,562.40,541.20,543.50,1688100,543.50
2012-02-03,548.80,565.60,540.10,545.80,3129000,545.80
2012-02-02,479.95,551.40,479.00,550.00,5097600,550.00
2012-02-01,446.10,480.00,444.70,479.30,2375700,479.30
2012-01-31,443.00,451.45,428.00,445.50,1344900,445.50
2012-01-30,443.00,456.50,438.25,439.00,965300,439.00
2012-01-27,443.95,451.00,436.10,445.80,839800,445.80
2012-01-25,450.40,452.70,437.10,438.10,868800,438.10
2012-01-24,448.50,457.80,444.35,446.00,960400,446.00
2012-01-23,440.00,454.00,430.05,448.00,1352000,448.00
2012-01-20,442.00,454.90,435.00,440.30,1435100,440.30
2012-01-19,422.15,446.40,410.10,442.00,2084100,442.00
2012-01-18,422.00,434.15,416.00,417.10,881200,417.10
2012-01-17,410.00,427.90,410.00,421.25,1234400,421.25
2012-01-16,371.85,412.00,361.00,411.00,2273400,411.00
2012-01-13,371.95,377.90,369.10,371.20,377200,371.20
2012-01-12,378.25,382.10,369.00,371.00,402400,371.00
2012-01-11,376.00,383.30,374.10,377.00,519700,377.00
2012-01-10,362.60,378.40,362.00,376.10,775000,376.10
2012-01-06,350.00,358.80,341.40,354.20,650600,354.20
2012-01-05,345.00,357.60,344.00,350.00,707200,350.00
2012-01-04,349.45,352.30,340.05,345.10,698600,345.10
2012-01-03,336.00,348.00,336.00,345.25,581100,345.25
