Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,774.00,774.00,756.00,761.45,14000,759.65
2012-07-20,769.95,774.00,755.30,759.65,14000,759.65
2012-07-19,764.50,785.10,764.50,768.00,16200,768.00
2012-07-18,765.00,767.00,749.95,765.40,26100,765.40
2012-07-17,781.00,783.00,753.00,755.05,24300,755.05
2012-07-16,785.80,787.70,774.00,779.40,12000,779.40
2012-07-13,790.00,793.00,781.20,782.00,15500,782.00
2012-07-12,783.05,798.80,780.75,782.00,19400,782.00
2012-07-11,804.10,805.00,786.10,790.00,29400,790.00
2012-07-10,782.60,809.70,776.00,804.00,75000,804.00
2012-07-09,793.60,793.60,777.00,778.00,30400,778.00
2012-07-06,807.00,811.00,791.20,793.50,20900,793.50
2012-07-05,800.15,811.10,799.80,800.00,45000,800.00
2012-07-04,802.40,807.50,793.15,799.00,19800,799.00
2012-07-03,806.05,812.00,800.00,800.00,24500,800.00
2012-07-02,801.00,809.65,791.25,806.95,61800,806.95
2012-06-29,792.85,821.00,792.50,800.90,81200,800.90
2012-06-28,786.00,797.75,780.40,794.00,22700,794.00
2012-06-27,786.00,793.75,780.00,785.60,16300,785.60
2012-06-26,783.00,793.85,776.25,778.05,12900,778.05
2012-06-25,798.85,807.90,786.00,787.00,19200,787.00
2012-06-22,798.90,808.00,781.05,794.30,50400,794.30
2012-06-21,775.05,807.95,775.05,795.80,73500,795.80
2012-06-20,786.00,786.00,759.00,780.00,30500,780.00
2012-06-19,755.00,770.00,745.55,769.50,27800,769.50
2012-06-18,781.40,782.50,745.00,752.05,28900,752.05
2012-06-15,793.75,793.75,764.75,772.00,21100,772.00
2012-06-14,766.85,779.60,762.50,774.80,51000,774.80
2012-06-13,779.80,783.80,762.60,775.10,43200,775.10
2012-06-12,755.05,779.30,743.00,767.00,35800,767.00
2012-06-11,760.00,781.05,746.10,747.50,35000,747.50
2012-06-08,746.95,769.90,733.25,767.50,34300,767.50
2012-06-07,755.50,759.95,737.10,750.45,22500,750.45
2012-06-06,720.10,748.00,720.10,747.95,29000,747.95
2012-06-05,723.10,731.00,709.90,720.45,22400,720.45
2012-06-01,738.00,743.80,705.00,705.95,31300,705.95
2012-05-31,736.90,739.00,723.00,735.00,46800,735.00
2012-05-30,750.00,752.90,731.05,736.00,13400,736.00
2012-05-29,758.35,764.95,747.00,750.00,26900,750.00
2012-05-28,746.35,756.35,720.00,756.35,30200,756.35
2012-05-25,720.05,730.00,715.10,721.10,16500,721.10
2012-05-24,717.00,724.85,708.00,718.55,18800,718.55
2012-05-23,722.00,739.65,705.00,725.00,35800,725.00
2012-05-22,713.05,730.00,713.05,727.60,32700,727.60
2012-05-21,705.00,719.95,705.00,708.00,22000,708.00
2012-05-18,702.00,717.00,700.00,716.70,42500,716.70
2012-05-17,733.35,761.00,702.00,716.00,36000,716.00
2012-05-16,701.45,705.00,690.40,702.40,86600,702.40
