Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,366.15,372.45,365.10,369.50,102000,367.00
2012-07-20,366.15,372.45,365.10,367.00,102000,367.00
2012-07-19,366.70,368.00,363.50,364.15,59900,364.15
2012-07-18,365.10,367.80,361.95,362.05,142700,362.05
2012-07-17,367.65,369.25,361.00,366.00,65800,366.00
2012-07-16,365.00,372.45,358.00,367.95,115700,367.95
2012-07-13,368.90,368.90,365.00,365.20,115500,365.20
2012-07-12,369.70,369.70,365.00,367.55,47100,367.55
2012-07-11,370.00,371.50,364.60,368.00,100600,368.00
2012-07-10,369.55,374.50,368.50,369.00,86300,369.00
2012-07-09,373.00,375.00,366.90,368.00,70000,368.00
2012-07-06,373.20,375.90,369.10,370.40,409300,370.40
2012-07-05,372.50,378.00,372.00,372.15,130200,372.15
2012-07-04,379.15,379.85,373.00,373.00,164900,373.00
2012-07-03,383.80,383.80,374.00,376.20,28100,376.20
2012-07-02,374.80,381.50,372.05,380.00,81700,380.00
2012-06-29,379.70,381.30,368.70,372.50,232100,372.50
2012-06-28,363.00,391.00,352.00,369.50,1507400,369.50
2012-06-27,374.85,374.85,361.00,364.50,317300,364.50
2012-06-26,376.70,377.50,371.00,371.60,190200,371.60
2012-06-25,380.00,380.00,373.35,373.55,119400,373.55
2012-06-22,378.90,380.05,375.20,377.00,62200,377.00
2012-06-21,378.30,382.10,374.55,379.40,90200,379.40
2012-06-20,383.00,384.00,375.10,379.00,225500,379.00
2012-06-19,368.00,382.50,368.00,379.10,118700,379.10
2012-06-18,376.05,378.00,368.00,368.00,136300,368.00
2012-06-15,374.30,376.40,372.75,375.00,8500,375.00
2012-06-14,374.00,378.00,373.00,373.00,12200,373.00
2012-06-13,377.05,379.70,376.25,376.35,11900,376.35
2012-06-12,377.50,380.00,375.10,378.75,14800,378.75
2012-06-11,378.95,382.00,375.05,376.25,16500,376.25
2012-06-08,378.85,385.10,375.50,376.60,57500,376.60
2012-06-07,378.00,380.70,374.00,377.05,38500,377.05
2012-06-06,376.00,384.00,375.15,377.50,75100,377.50
2012-06-05,379.00,380.00,376.00,377.85,9100,377.85
2012-06-01,377.00,384.00,375.00,378.00,30800,378.00
2012-05-31,380.55,387.90,374.05,378.00,166500,378.00
2012-05-30,388.00,393.95,380.45,385.35,147600,385.35
