Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1260.00,1268.30,1253.05,1259.50,12100,1258.70
2012-07-20,1254.00,1268.55,1253.10,1258.70,156600,1258.70
2012-07-19,1275.00,1277.80,1256.10,1261.80,336100,1261.80
2012-07-18,1258.00,1281.40,1242.45,1274.00,265300,1274.00
2012-07-17,1262.00,1271.10,1249.60,1252.35,219200,1252.35
2012-07-16,1266.00,1272.00,1255.00,1257.95,126300,1257.95
2012-07-13,1269.70,1273.30,1260.00,1264.75,108300,1264.75
2012-07-12,1260.95,1272.85,1255.15,1265.85,234700,1265.85
2012-07-11,1270.40,1286.75,1260.50,1262.20,374700,1262.20
2012-07-10,1284.00,1287.55,1260.10,1269.00,440300,1269.00
2012-07-09,1284.30,1292.15,1264.05,1285.00,237200,1285.00
2012-07-06,1295.00,1309.50,1287.00,1298.80,205600,1298.80
2012-07-05,1294.90,1305.00,1287.70,1297.00,222300,1297.00
2012-07-04,1298.00,1305.40,1282.00,1292.00,311500,1292.00
2012-07-03,1316.20,1321.00,1285.55,1297.00,376600,1297.00
2012-07-02,1265.25,1320.00,1253.50,1318.50,652700,1318.50
2012-06-29,1229.80,1273.80,1228.25,1269.40,440500,1269.40
2012-06-28,1208.10,1228.00,1203.85,1222.30,388200,1222.30
2012-06-27,1228.05,1230.00,1203.85,1204.05,378900,1204.05
2012-06-26,1214.95,1228.00,1209.00,1224.70,250300,1224.70
2012-06-25,1213.00,1232.85,1204.00,1214.00,376200,1214.00
2012-06-22,1193.00,1241.70,1190.10,1212.50,1188100,1212.50
2012-06-21,1246.00,1264.95,1227.35,1256.20,861600,1256.20
2012-06-20,1186.00,1282.70,1180.10,1281.25,2090500,1281.25
2012-06-19,1215.00,1237.50,1201.45,1227.75,333300,1227.75
2012-06-18,1230.00,1248.90,1218.00,1228.10,443400,1228.10
2012-06-15,1202.40,1231.60,1195.10,1230.05,486500,1230.05
2012-06-14,1174.00,1208.00,1171.30,1189.90,579800,1189.90
2012-06-13,1195.80,1195.80,1173.50,1180.00,320300,1180.00
2012-06-12,1147.50,1194.50,1136.50,1186.00,447900,1186.00
2012-06-11,1151.05,1169.00,1142.10,1142.10,252800,1142.10
2012-06-08,1141.05,1153.25,1131.60,1151.50,277100,1151.50
2012-06-07,1169.00,1171.60,1142.55,1152.40,293000,1152.40
2012-06-06,1131.90,1165.95,1131.90,1154.00,498700,1154.00
2012-06-05,1113.10,1143.00,1112.00,1125.00,306500,1125.00
2012-06-01,1151.90,1151.90,1120.05,1126.00,327100,1126.00
2012-05-31,1153.00,1168.60,1135.15,1144.00,907200,1144.00
2012-05-30,1138.00,1169.00,1130.00,1167.25,350200,1167.25
2012-05-29,1174.50,1174.50,1133.15,1135.55,313500,1135.55
2012-05-28,1145.00,1174.35,1133.20,1170.15,336500,1170.15
2012-05-25,1145.10,1156.80,1138.00,1144.00,168700,1144.00
2012-05-24,1132.10,1162.30,1116.20,1157.50,369300,1157.50
