/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,45.55,46.15,45.30,45.45,1818300,45.60
2012-07-20,45.55,46.20,45.25,45.60,1818300,45.60
2012-07-19,46.35,46.85,45.55,45.65,2216800,45.65
2012-07-18,46.95,46.95,45.10,45.95,5258300,45.95
2012-07-17,48.50,49.35,45.80,46.00,2633600,46.00
2012-07-16,50.30,51.20,48.50,48.60,1862100,48.60
2012-07-13,51.30,51.80,49.90,50.20,1731300,50.20
2012-07-12,51.00,51.65,49.95,51.10,2939800,51.10
2012-07-11,50.30,51.90,49.90,51.30,2570400,51.30
2012-07-10,49.25,50.50,49.20,50.40,1776500,50.40
2012-07-09,51.40,51.50,48.80,49.00,2943300,49.00
2012-07-06,52.55,53.10,51.30,51.55,2367200,51.55
2012-07-05,52.50,53.35,52.05,52.85,3617400,52.85
2012-07-04,52.20,52.85,51.40,52.40,2438400,52.40
2012-07-03,51.60,52.65,51.50,52.00,2483600,52.00
2012-07-02,50.30,51.95,49.10,51.15,4029800,51.15
2012-06-29,47.95,50.70,47.95,49.90,4521600,49.90
2012-06-28,47.30,48.80,47.15,47.30,3939800,47.30
2012-06-27,47.00,48.10,46.60,47.80,1632500,47.80
2012-06-26,46.90,47.10,46.30,46.45,871200,46.45
2012-06-25,52.00,52.00,46.50,46.70,1215700,46.70
2012-06-22,46.00,48.20,45.80,47.30,2316300,47.30
2012-06-21,46.25,46.55,45.80,46.55,980600,46.55
2012-06-20,46.00,46.65,45.65,46.30,839300,46.30
2012-06-19,46.10,46.50,45.20,46.00,1025600,46.00
2012-06-18,48.00,48.95,45.70,46.00,1709400,46.00
2012-06-15,47.15,48.45,47.10,48.15,1361400,48.15
2012-06-14,47.65,48.40,46.85,47.05,1183000,47.05
2012-06-13,48.15,48.90,47.30,47.45,1672000,47.45
2012-06-12,47.85,48.60,47.45,48.00,1848000,48.00
2012-06-11,47.10,49.60,47.05,48.10,3887900,48.10
2012-06-08,47.80,47.80,46.25,46.90,1624600,46.90
2012-06-07,48.10,48.45,47.25,47.85,1354200,47.85
2012-06-06,46.35,48.10,46.00,47.30,1746300,47.30
2012-06-05,50.00,50.00,45.40,45.60,1038200,45.60
2012-06-01,46.90,46.95,45.30,45.50,2493700,45.50
2012-05-31,49.45,49.45,47.00,47.65,5437400,47.65
2012-05-30,50.95,50.95,49.00,49.30,1560700,49.30
2012-05-29,52.00,52.00,50.50,50.55,1345700,50.55
2012-05-28,51.00,51.50,50.30,51.10,1178200,51.10
2012-05-25,50.50,51.65,50.20,50.65,2103800,50.65
2012-05-24,49.90,50.70,49.50,50.55,1120400,50.55
2012-05-23,50.00,50.75,49.40,49.80,1088500,49.80
2012-05-22,52.05,52.55,50.10,50.30,1361500,50.30
2012-05-21,51.25,52.45,50.60,51.60,864500,51.60
2012-05-18,48.55,51.45,48.55,51.15,1388500,51.15
2012-05-17,52.80,53.70,50.20,50.50,2454400,50.50
2012-05-16,51.20,52.65,49.65,51.60,2575200,51.60
2012-05-14,52.50,52.80,48.80,50.25,4279100,50.25
2012-05-11,53.75,54.00,51.65,51.65,2353400,51.65
2012-05-10,54.00,55.85,53.60,54.00,1627800,54.00
2012-05-09,56.00,56.25,54.25,54.70,2080000,54.70
2012-05-08,59.65,59.85,55.55,55.95,3082600,55.95
2012-05-07,59.10,59.60,57.30,59.00,4588400,59.00
2012-05-04,61.35,62.25,59.60,60.35,2048300,60.35
2012-05-03,63.55,63.80,62.00,62.45,1477500,62.45
2012-05-02,64.35,65.30,63.00,63.40,3194100,63.40
2012-04-30,63.75,65.00,63.50,64.30,7708600,64.30
2012-04-27,64.70,64.70,62.20,62.75,2461400,62.75
2012-04-26,62.35,66.10,62.35,63.60,7232400,63.60
2012-04-25,66.70,67.20,64.60,65.40,2621700,65.40
2012-04-24,65.55,67.90,65.50,66.55,3090700,66.55
2012-04-23,68.80,70.20,67.05,67.35,3511500,67.35
2012-04-20,71.85,72.10,68.60,69.20,2786500,69.20
2012-04-19,72.25,72.45,70.50,70.90,2029900,70.90
2012-04-18,72.10,73.90,71.15,71.65,5737900,71.65
2012-04-17,71.00,72.50,69.70,71.75,1628200,71.75
2012-04-16,69.75,70.65,69.55,70.30,1070200,70.30
2012-04-13,72.00,72.70,69.15,69.80,3076700,69.80
2012-04-12,71.20,72.90,70.80,71.20,1273600,71.20
2012-04-11,72.00,73.00,69.80,71.15,2373900,71.15
2012-04-10,72.00,73.00,70.00,72.85,2690000,72.85
2012-04-09,72.50,72.50,70.70,71.55,2993700,71.55
2012-04-04,70.90,73.55,70.90,72.75,6799500,72.75
2012-04-03,69.60,70.80,69.00,70.65,4638400,70.65
2012-04-02,68.75,70.25,68.35,68.60,4966700,68.60
2012-03-30,69.00,69.20,67.30,68.25,3984100,68.25
2012-03-29,68.00,68.00,66.55,67.70,6738700,67.70
2012-03-28,67.75,69.30,67.25,67.60,4634800,67.60
2012-03-27,67.30,69.35,67.20,68.50,6820400,68.50
2012-03-26,68.20,68.60,65.85,66.90,4985200,66.90
2012-03-23,65.05,68.85,64.45,68.35,10689400,68.35
2012-03-21,68.00,68.60,65.30,67.75,12994300,67.75
2012-03-20,69.70,70.35,65.80,66.50,11320500,66.50
2012-03-19,72.90,73.95,68.65,68.90,9894400,68.90
2012-03-16,76.65,78.85,72.25,72.95,18586000,72.95
2012-03-15,75.60,76.90,73.10,76.40,6983300,76.40
2012-03-14,75.95,78.00,74.80,74.90,4893600,74.90
2012-03-13,76.50,77.25,74.50,74.90,5907800,74.90
2012-03-12,76.95,77.90,74.80,75.30,4115100,75.30
2012-03-09,75.95,76.80,72.90,75.70,5183800,75.70
2012-03-07,72.85,74.80,71.15,74.50,4188100,74.50
2012-03-06,76.05,77.30,72.20,72.40,3346500,72.40
2012-03-05,78.10,78.75,75.10,75.85,3849600,75.85
2012-03-02,79.00,79.30,75.50,76.30,5404700,76.30
2012-03-01,76.40,78.90,73.60,78.05,8652700,78.05
2012-02-29,78.50,79.75,74.65,76.00,8263300,76.00
2012-02-28,73.80,78.20,73.55,77.45,8892900,77.45
2012-02-27,82.00,82.00,72.10,72.50,10541500,72.50
2012-02-24,85.00,86.20,80.30,81.40,9419500,81.40
2012-02-23,83.00,86.90,80.10,84.20,19007800,84.20
2012-02-22,92.90,96.75,82.10,83.30,15599000,83.30
