Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,81.00,82.15,77.90,78.25,386800,78.25
2014-01-28,79.90,82.50,78.55,80.20,765800,80.20
2014-01-27,85.20,85.35,79.00,79.50,825900,79.50
2014-01-24,89.55,89.80,86.55,86.90,407400,86.90
2014-01-23,90.50,91.00,89.55,90.35,207300,90.35
2014-01-22,90.75,91.20,90.10,90.50,269400,90.50
2014-01-21,92.40,93.10,90.70,90.95,351800,90.95
2014-01-20,93.00,94.15,92.20,93.45,215100,90.95
2014-01-17,94.60,95.60,92.80,93.05,276900,90.56
2014-01-16,97.50,97.80,94.65,95.00,251400,92.46
2014-01-15,95.35,97.50,95.00,97.25,225700,94.65
2014-01-14,94.70,96.50,94.30,95.05,199000,92.51
2014-01-13,95.65,97.25,93.25,94.90,353800,92.36
2014-01-10,95.50,97.85,94.00,95.10,467900,92.56
2014-01-09,99.60,101.35,95.15,95.80,492000,93.24
2014-01-08,93.10,100.55,92.65,99.20,902300,96.55
2014-01-07,94.50,95.25,91.60,92.70,332100,90.22
2014-01-06,96.25,96.25,93.15,93.85,305000,91.34
2014-01-03,94.00,96.50,93.00,96.15,452900,93.58
2014-01-02,97.00,102.65,94.50,95.00,1293300,92.46
2014-01-01,94.50,97.30,94.50,96.45,143500,93.87
2013-12-31,94.00,95.40,92.50,95.10,197600,92.56
2013-12-30,95.10,95.50,93.10,93.45,115700,90.95
2013-12-27,95.20,97.50,94.35,94.75,213100,92.22
2013-12-26,94.00,96.00,94.00,95.15,299300,92.60
2013-12-25,93.20,93.20,93.20,93.20,000,90.71
2013-12-24,93.40,93.65,91.75,93.20,180400,90.71
2013-12-23,90.90,93.90,90.75,92.70,247200,90.22
2013-12-20,87.95,91.35,87.35,90.45,290500,88.03
2013-12-19,90.55,91.10,86.50,87.75,287600,85.40
2013-12-18,84.65,90.25,84.20,89.65,532200,87.25
2013-12-17,88.20,89.00,84.70,84.90,306100,82.63
2013-12-16,89.55,261.70,86.80,87.35,222500,85.01
2013-12-13,91.20,91.20,88.75,89.00,244200,86.62
2013-12-12,95.00,95.25,91.70,92.35,249300,89.88
2013-12-11,95.35,97.30,94.30,95.35,354200,92.80
2013-12-10,95.55,96.30,92.55,95.35,285500,92.80
2013-12-09,96.00,97.00,94.30,96.20,444000,93.63
2013-12-06,92.55,93.75,91.10,93.55,277400,91.05
2013-12-05,91.20,93.00,91.20,92.55,196700,90.07
2013-12-04,91.00,91.10,89.10,89.60,198800,87.20
2013-12-03,92.30,92.85,91.10,91.60,126900,89.15
