/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,57.30,57.30,55.25,55.60,928700,55.60
2014-01-28,56.55,57.70,55.30,56.30,1870300,56.30
2014-01-27,58.90,61.00,55.95,56.40,1509600,56.40
2014-01-24,61.20,61.35,59.45,59.70,1611500,59.70
2014-01-23,61.10,62.00,61.10,61.45,782000,61.45
2014-01-22,61.20,62.10,60.70,61.75,1181200,61.75
2014-01-21,62.55,62.95,62.05,62.20,679300,61.10
2014-01-20,60.45,62.40,60.45,62.20,694900,61.10
2014-01-17,62.00,62.50,60.65,60.85,895400,59.77
2014-01-16,62.65,63.50,61.95,62.15,2230300,61.05
2014-01-15,62.65,63.55,62.60,63.10,977700,61.98
2014-01-14,62.00,63.30,61.90,62.50,1228900,61.39
2014-01-13,61.50,62.85,61.30,62.20,1758000,61.10
2014-01-10,62.80,63.90,61.35,61.65,1323400,60.56
2014-01-09,64.45,65.00,62.50,62.80,3254100,61.69
2014-01-08,62.30,64.50,62.00,63.95,2592400,62.82
2014-01-07,62.65,63.20,61.35,62.10,1213600,61.00
2014-01-06,63.00,63.60,62.45,62.75,913800,61.64
2014-01-03,62.80,63.85,62.25,63.65,1658600,62.52
2014-01-02,64.25,67.25,62.75,63.15,5685800,62.03
2014-01-01,62.70,64.45,62.70,64.00,1413200,62.87
2013-12-31,62.50,63.05,62.05,62.70,682900,61.59
2013-12-30,63.15,63.90,62.30,62.50,779800,61.39
2013-12-27,62.80,64.30,62.80,63.25,1165000,62.13
2013-12-26,62.80,63.70,62.55,62.90,1863900,61.79
2013-12-25,62.55,62.55,62.55,62.55,000,61.44
2013-12-24,62.70,63.35,62.05,62.55,1408400,61.44
2013-12-23,61.15,62.75,61.05,62.10,1755900,61.00
2013-12-20,58.95,61.40,58.85,60.85,1377700,59.77
2013-12-19,60.95,61.00,58.25,58.85,1649900,57.81
2013-12-18,58.00,61.10,58.00,60.30,2118400,59.23
2013-12-17,60.20,60.35,58.30,58.60,1026800,57.56
2013-12-16,59.00,60.55,58.95,59.55,1014600,58.50
2013-12-13,60.50,60.80,59.65,59.85,1316000,58.79
2013-12-12,61.50,61.90,60.75,60.95,1074500,59.87
2013-12-11,61.45,62.10,60.70,61.65,1296700,60.56
2013-12-10,63.50,63.50,61.00,61.55,1397600,60.46
2013-12-09,64.10,64.90,63.00,63.30,2072900,62.18
2013-12-06,62.00,62.65,61.40,62.40,1384300,61.30
2013-12-05,62.00,62.70,61.30,62.05,1541300,60.95
2013-12-04,60.50,61.80,60.15,60.55,1203700,59.48
2013-12-03,61.05,61.70,60.60,60.85,1137400,59.77
2013-12-02,62.50,62.90,61.40,61.70,1112700,60.61
2013-11-29,60.50,62.25,60.50,62.05,2030300,60.95
