/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-10,409.50,421.95,408.80,413.05,257900,413.85
2012-07-20,396.50,399.25,386.30,387.15,61300,413.85
2012-07-19,389.80,396.95,389.80,394.70,67400,413.85
2012-07-18,385.00,391.00,378.00,389.95,82400,413.85
2012-07-17,403.00,403.00,383.00,383.70,97400,413.85
2012-07-16,402.95,409.65,401.45,404.50,92100,413.85
2012-07-13,405.70,408.50,401.15,402.50,34900,413.85
2012-07-12,409.35,412.00,399.00,405.00,63600,413.85
2012-07-11,414.65,417.00,409.00,409.00,55600,413.85
2012-07-10,409.50,422.00,408.80,413.85,257900,413.85
2012-07-09,392.10,411.70,372.95,406.70,132300,406.70
2012-07-06,420.00,422.20,407.20,410.00,217000,410.00
2012-07-05,399.70,419.80,398.55,419.20,644700,419.20
2012-07-04,390.90,400.80,388.00,400.00,212400,400.00
2012-07-03,387.40,391.35,386.20,388.30,120700,388.30
2012-07-02,387.90,395.80,385.20,386.00,151100,386.00
2012-06-29,384.00,394.00,382.05,391.50,117000,391.50
2012-06-28,389.80,392.25,376.00,381.95,141400,381.95
2012-06-27,373.40,387.35,371.15,384.85,211500,384.85
2012-06-26,365.05,373.45,365.00,370.50,40000,370.50
2012-06-25,374.85,379.95,369.35,370.40,76300,370.40
2012-06-22,366.25,374.50,363.00,371.40,64600,371.40
2012-06-21,373.05,378.50,372.10,373.15,116000,373.15
2012-06-20,369.00,376.90,366.40,372.60,226300,372.60
2012-06-19,352.10,369.00,348.00,366.70,178400,366.70
2012-06-18,360.00,362.50,351.00,355.00,156500,355.00
2012-06-15,346.40,358.40,346.10,357.00,106800,357.00
2012-06-14,356.05,358.60,343.00,345.00,74200,345.00
2012-06-13,349.90,361.90,349.90,355.90,174000,355.90
2012-06-12,343.30,350.95,338.45,350.50,483900,350.50
2012-06-11,356.70,359.45,341.10,345.00,140900,345.00
2012-06-08,347.95,354.95,344.10,350.55,201800,350.55
2012-06-07,353.75,354.00,346.50,350.00,133300,350.00
