Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,82.50,83.75,82.25,83.05,773000,83.20
2012-07-20,82.50,83.75,82.25,83.20,773000,83.20
2012-07-19,83.90,85.20,82.60,83.00,2397800,83.00
2012-07-18,80.60,83.60,80.60,83.55,1640400,83.55
2012-07-17,82.95,83.60,80.90,81.00,1294100,81.00
2012-07-16,82.70,83.70,81.50,82.60,1331300,82.60
2012-07-13,84.00,84.25,82.35,82.80,1908800,82.80
2012-07-12,81.05,83.85,80.05,83.60,3810100,83.60
2012-07-11,83.00,84.40,81.35,82.00,1944800,82.00
2012-07-10,81.90,83.90,81.75,83.25,3039300,83.25
2012-07-09,81.60,82.30,79.90,80.75,2176000,80.75
2012-07-06,79.50,82.50,78.60,81.90,3417200,81.90
2012-07-05,77.20,81.00,76.85,80.20,3989700,80.20
2012-07-04,78.00,78.40,76.25,76.90,3332000,76.90
2012-07-03,79.95,80.00,77.50,77.60,2716600,77.60
2012-07-02,79.15,80.65,78.00,79.00,2606500,79.00
2012-06-29,78.25,79.85,78.05,79.15,2360700,79.15
2012-06-28,79.65,79.85,77.50,77.60,1818600,77.60
2012-06-27,78.35,79.75,78.25,79.55,1607900,79.55
2012-06-26,78.00,79.30,77.60,78.20,1096200,78.20
2012-06-25,79.20,80.80,78.10,78.10,2309500,78.10
2012-06-22,76.05,79.60,76.05,79.00,2377700,79.00
2012-06-21,77.10,79.60,76.00,79.00,2074300,79.00
2012-06-20,75.50,77.95,73.75,77.55,6378900,77.55
2012-06-19,77.80,79.10,75.30,75.60,2965800,75.60
2012-06-18,80.90,82.00,76.90,78.40,2391300,78.40
2012-06-15,79.50,81.80,79.15,80.80,2917600,80.80
2012-06-14,80.50,82.35,79.00,79.05,3284200,79.05
2012-06-13,82.50,82.95,80.10,81.05,2203300,81.05
2012-06-12,81.65,83.10,80.40,82.90,3813200,82.90
2012-06-11,83.00,85.10,81.50,81.60,2703200,81.60
2012-06-08,83.05,83.35,81.40,82.45,2519100,82.45
2012-06-07,84.50,85.30,82.10,83.80,2172800,83.80
2012-06-06,79.00,84.90,76.50,84.40,4666300,84.40
2012-06-05,81.75,83.20,77.65,78.15,3007700,78.15
2012-06-01,85.35,86.60,79.35,81.10,3363500,81.10
2012-05-31,85.40,87.35,85.05,86.75,1491400,86.75
2012-05-30,88.65,88.65,85.80,86.10,732000,86.10
2012-05-29,89.00,91.20,88.10,88.60,2254600,88.60
2012-05-28,87.00,89.30,86.90,88.85,1521600,88.85
2012-05-25,88.00,89.00,86.80,87.65,2428100,87.65
2012-05-24,83.25,88.10,82.85,87.95,2134100,87.95
2012-05-23,82.20,83.75,81.75,83.15,1292400,83.15
2012-05-22,85.00,86.55,81.75,83.00,3022600,83.00
2012-05-21,84.65,86.45,84.30,85.40,1268500,85.40
2012-05-18,83.05,85.25,81.50,84.45,1452400,84.45
2012-05-17,83.85,84.40,82.05,83.70,1756900,83.70
2012-05-16,83.95,84.55,81.80,82.90,1817300,82.90
2012-05-14,83.00,83.50,79.75,83.00,1769700,83.00
2012-05-11,80.85,83.50,80.40,83.15,2754800,83.15
2012-05-10,85.00,86.85,79.65,82.10,11347700,82.10
2012-05-09,81.25,85.10,81.10,84.60,3842400,84.60
2012-05-08,84.20,84.85,81.15,81.80,4311200,81.80
2012-05-07,79.15,84.10,76.70,83.85,3850400,83.85
2012-05-04,84.00,84.70,80.00,80.10,3632200,80.10
2012-05-03,87.50,87.95,84.30,84.80,2731400,84.80
2012-05-02,90.50,91.70,87.35,87.65,2837500,87.65
2012-04-30,92.75,93.40,89.40,90.10,4525200,90.10
2012-04-27,92.80,94.50,91.50,93.70,4869700,93.70
2012-04-26,92.85,92.85,90.10,91.70,1878900,91.70
2012-04-25,91.50,92.25,88.50,91.00,2475600,91.00
2012-04-24,89.30,91.90,87.60,91.15,3104100,91.15
2012-04-23,91.75,92.85,88.10,88.35,2424600,88.35
2012-04-20,90.55,92.85,89.55,91.80,3997200,91.80
