/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,24.50,24.60,23.95,24.05,666300,24.15
2012-07-20,24.85,24.85,23.95,24.15,6153900,24.15
2012-07-19,24.10,24.60,24.10,24.50,4830900,24.50
2012-07-18,24.20,24.40,23.65,24.15,5802600,24.15
2012-07-17,24.50,24.50,23.90,24.05,4888800,24.05
2012-07-16,24.45,24.60,23.95,24.10,3930400,24.10
2012-07-13,24.95,25.00,24.35,24.45,5104800,24.45
2012-07-12,25.25,25.25,24.60,24.70,6475700,24.70
2012-07-11,26.00,26.15,25.70,25.95,4487200,25.95
2012-07-10,25.80,26.10,25.55,25.95,6392200,25.95
2012-07-09,25.10,25.85,25.10,25.50,5544400,25.50
2012-07-06,26.00,26.15,25.25,25.60,8748200,25.60
2012-07-05,25.40,26.15,25.05,25.75,21587500,25.75
2012-07-04,24.75,25.50,24.75,25.25,19226000,25.25
2012-07-03,24.65,24.75,24.30,24.45,6885000,24.45
2012-07-02,25.15,25.15,24.05,24.50,13513600,24.50
2012-06-29,24.90,25.10,24.80,25.00,9121700,25.00
2012-06-28,24.90,25.15,24.60,24.70,6505700,24.70
2012-06-27,24.95,25.20,24.85,24.90,4828600,24.90
2012-06-26,25.15,25.15,24.80,24.95,2845200,24.95
2012-06-25,24.90,25.35,24.80,24.95,3973200,24.95
2012-06-22,25.20,25.40,24.80,24.90,5186900,24.90
2012-06-21,25.05,25.45,24.90,25.25,4911500,25.25
2012-06-20,25.00,25.50,24.90,25.05,6182300,25.05
2012-06-19,25.05,25.60,24.80,25.00,8613100,25.00
2012-06-18,26.00,26.35,24.90,25.00,8729300,25.00
2012-06-15,27.00,27.00,25.65,25.75,7430800,25.75
2012-06-14,27.25,27.50,26.05,26.35,4663300,26.35
2012-06-13,27.30,27.75,26.80,27.20,5212500,27.20
2012-06-12,26.60,27.20,26.30,27.10,2354300,27.10
2012-06-11,26.90,27.30,26.70,26.70,2728400,26.70
2012-06-08,25.50,26.90,25.50,26.60,2005300,26.60
2012-06-07,26.50,27.00,26.10,26.90,4350900,26.90
2012-06-06,25.35,26.30,25.35,26.15,5989300,26.15
2012-06-05,25.25,25.50,25.10,25.40,2217500,25.40
2012-06-01,25.40,25.60,24.30,25.30,5892800,25.30
2012-05-31,24.15,25.40,23.90,24.85,8848200,24.85
2012-05-30,24.70,25.05,24.25,24.35,2966700,24.35
2012-05-29,24.40,25.35,24.40,25.10,3993700,25.10
2012-05-28,24.40,24.85,24.25,24.80,4706500,24.80
2012-05-25,24.40,24.80,24.00,24.05,5202600,24.05
2012-05-24,23.55,24.60,23.55,24.50,4695600,24.50
2012-05-23,23.60,24.75,23.60,24.25,3499000,24.25
2012-05-22,25.45,25.45,24.50,24.70,3341900,24.70
2012-05-21,25.00,25.25,24.80,24.95,4553200,24.95
2012-05-18,25.35,25.50,24.20,25.05,5250500,25.05
2012-05-17,25.50,26.00,24.80,25.00,7175900,25.00
2012-05-16,25.00,25.80,25.00,25.30,8313400,25.30
2012-05-14,26.80,27.20,25.85,26.20,5024700,26.20
2012-05-11,28.50,28.50,26.60,26.85,5162200,26.85
2012-05-10,28.05,28.50,27.35,27.50,3283400,27.50
2012-05-09,28.20,28.75,27.85,28.00,3665800,28.00
2012-05-08,28.90,29.65,28.10,28.30,10501100,28.30
2012-05-07,28.00,29.15,27.25,28.95,7123100,28.95
2012-05-04,25.55,30.00,25.55,28.30,19583400,28.30
2012-05-03,30.60,30.95,29.55,29.85,8451400,29.85
2012-05-02,33.50,33.50,30.20,30.50,13428600,30.50
2012-04-30,31.90,32.45,31.40,32.20,5406300,32.20
2012-04-27,32.00,32.50,31.25,31.40,3718400,31.40
2012-04-26,31.30,32.40,30.50,32.25,8865900,32.25
2012-04-25,31.40,31.40,30.30,31.05,2719500,31.05
2012-04-24,31.85,31.90,30.90,31.00,3968100,31.00
2012-04-23,31.45,31.80,31.05,31.60,8512300,31.60
2012-04-20,33.00,33.00,30.20,31.25,9092100,31.25
2012-04-19,30.80,30.95,30.40,30.80,6602500,30.80
2012-04-18,29.35,30.45,29.35,30.25,8311100,30.25
2012-04-17,29.60,29.60,29.05,29.25,3058800,29.25
2012-04-16,29.30,29.60,29.15,29.25,2159800,29.25
