/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,110.50,110.70,108.00,108.40,622000,108.30
2012-07-20,110.50,110.90,108.00,108.30,622000,108.30
2012-07-19,108.10,112.45,102.40,108.80,383000,108.80
2012-07-18,110.90,111.50,109.50,111.40,395800,111.40
2012-07-17,110.40,112.20,109.50,110.30,495700,110.30
2012-07-16,112.50,113.45,109.60,109.80,579500,109.80
2012-07-13,112.10,113.70,111.50,112.70,807400,112.70
2012-07-12,112.65,114.90,111.85,113.95,571100,113.95
2012-07-11,116.00,116.00,112.50,113.50,317500,113.50
2012-07-10,111.30,115.85,111.30,114.60,877300,114.60
2012-07-09,114.95,115.20,110.70,111.55,620100,111.55
2012-07-06,115.25,117.20,115.05,115.60,652000,115.60
2012-07-05,115.20,116.00,114.65,115.50,627400,115.50
2012-07-04,115.50,118.25,113.50,115.20,843200,115.20
2012-07-03,106.60,117.95,106.60,116.25,1174200,116.25
2012-07-02,108.35,114.90,108.35,114.00,1141000,114.00
2012-06-29,108.10,111.90,107.55,109.65,1070500,109.65
2012-06-28,108.70,108.70,106.35,106.70,536300,106.70
2012-06-27,108.20,109.30,106.65,107.60,558800,107.60
2012-06-26,108.00,109.00,106.20,108.65,411700,108.65
2012-06-25,109.90,110.40,107.95,108.05,410600,108.05
2012-06-22,106.70,109.75,106.70,109.30,543800,109.30
2012-06-21,106.35,109.00,106.05,108.50,616500,108.50
2012-06-20,106.30,106.95,105.45,106.55,584600,106.55
2012-06-19,106.75,106.90,104.00,105.30,659100,105.30
2012-06-18,109.20,111.45,105.40,106.35,699300,106.35
2012-06-15,105.35,110.25,105.35,108.60,1634100,108.60
2012-06-14,106.10,107.40,105.00,105.80,549600,105.80
2012-06-13,108.30,108.45,105.15,106.35,1169200,106.35
2012-06-12,105.00,108.45,105.00,107.10,2143000,107.10
2012-06-11,108.95,110.60,107.40,107.65,1775700,107.65
2012-06-08,111.45,111.45,106.55,107.30,1246900,107.30
