Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,1130.30,1149.95,1121.20,1140.25,2185100,1140.25
2014-01-28,1157.00,1179.00,1115.30,1121.75,2530200,1121.75
2014-01-27,1176.00,1183.60,1155.00,1161.10,2175900,1161.10
2014-01-24,1203.00,1228.80,1195.00,1204.60,2812800,1204.60
2014-01-23,1183.25,1220.20,1181.35,1216.00,3005400,1216.00
2014-01-22,1186.00,1202.40,1173.10,1188.85,2367900,1188.85
2014-01-21,1164.90,1192.20,1158.50,1188.55,2195900,1188.55
2014-01-20,1142.70,1168.00,1132.30,1163.20,1975000,1163.20
2014-01-17,1178.00,1188.00,1145.00,1152.95,3786500,1152.95
2014-01-16,1185.00,1197.50,1168.70,1176.15,3795900,1176.15
2014-01-15,1185.00,1188.00,1166.40,1178.30,2840500,1178.30
2014-01-14,1185.00,1193.55,1169.25,1177.05,2420100,1177.05
2014-01-13,1165.00,1200.00,1165.00,1184.90,1694000,1184.90
2014-01-10,1193.95,1196.55,1158.90,1164.05,3975500,1164.05
2014-01-09,1205.00,1210.55,1176.20,1184.85,5110700,1184.85
2014-01-08,1240.00,1245.00,1207.15,1211.75,2780300,1211.75
2014-01-07,1257.50,1265.80,1215.50,1234.25,3020000,1234.25
2014-01-06,1257.55,1262.00,1241.60,1256.30,1836200,1256.30
2014-01-03,1258.00,1269.50,1245.60,1260.90,2403700,1260.90
2014-01-02,1292.00,1325.00,1263.35,1272.30,2594400,1272.30
2014-01-01,1301.50,1305.00,1288.20,1292.20,569800,1292.20
2013-12-31,1291.95,1302.75,1276.40,1299.55,1273000,1299.55
2013-12-30,1300.00,1306.00,1283.05,1286.25,1412900,1286.25
2013-12-27,1310.00,1314.30,1290.30,1294.50,1246400,1294.50
2013-12-26,1287.80,1319.00,1279.15,1297.05,2694200,1297.05
2013-12-25,1282.95,1282.95,1282.95,1282.95,000,1282.95
2013-12-24,1296.00,1298.00,1278.50,1282.95,1014000,1282.95
2013-12-23,1281.00,1304.50,1281.00,1291.25,1164200,1291.25
2013-12-20,1250.00,1284.00,1249.75,1277.85,1450400,1277.85
2013-12-19,1295.80,1299.00,1243.00,1257.00,2244100,1257.00
2013-12-18,1250.10,1305.00,1248.00,1282.85,2066100,1282.85
2013-12-17,1271.15,1280.30,1248.35,1256.10,1363600,1256.10
2013-12-16,1232.05,1271.90,1229.70,1261.40,1685300,1261.40
2013-12-13,1230.00,1249.00,1220.05,1239.80,1595100,1239.80
2013-12-12,1266.00,1269.30,1244.20,1247.70,1280700,1247.70
