/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1549.20,1594.00,1528.85,1590.60,133300,1590.60
2012-07-20,1539.95,1595.00,1528.85,1590.60,133300,1590.60
2012-07-19,1530.05,1566.00,1504.80,1549.20,167300,1549.20
2012-07-18,1446.00,1530.00,1423.10,1522.35,378300,1522.35
2012-07-17,1496.00,1496.05,1432.05,1447.15,69700,1447.15
2012-07-16,1515.00,1515.00,1477.00,1483.25,29600,1483.25
2012-07-13,1495.00,1502.75,1486.00,1497.15,21300,1497.15
2012-07-12,1505.05,1517.60,1486.05,1491.50,29700,1491.50
2012-07-11,1519.60,1520.00,1502.25,1513.40,20400,1513.40
2012-07-10,1505.00,1533.45,1504.55,1523.15,30800,1523.15
2012-07-09,1540.00,1540.00,1493.40,1504.15,34800,1504.15
2012-07-06,1553.00,1559.70,1533.00,1539.55,40200,1539.55
2012-07-05,1551.80,1562.00,1542.65,1555.30,39300,1555.30
2012-07-04,1565.05,1591.00,1565.00,1583.50,36300,1583.50
2012-07-03,1556.05,1572.75,1552.65,1562.05,21800,1562.05
2012-07-02,1572.10,1578.60,1549.40,1561.05,23400,1561.05
2012-06-29,1566.00,1590.00,1558.10,1572.00,36800,1572.00
2012-06-28,1562.95,1566.20,1545.05,1550.45,15700,1550.45
2012-06-27,1565.00,1569.35,1552.00,1560.30,33500,1560.30
2012-06-26,1545.20,1567.00,1541.30,1559.20,20100,1559.20
2012-06-25,1564.70,1564.70,1540.00,1550.05,67800,1550.05
2012-06-22,1533.00,1558.00,1527.40,1545.30,34300,1545.30
2012-06-21,1530.05,1544.80,1518.00,1537.35,74400,1537.35
2012-06-20,1539.70,1555.00,1527.55,1535.25,48900,1535.25
2012-06-19,1546.60,1546.60,1526.45,1537.55,19200,1537.55
2012-06-18,1548.00,1555.00,1521.10,1541.95,52500,1541.95
2012-06-15,1568.00,1568.00,1516.30,1527.55,84000,1527.55
2012-06-14,1560.05,1577.00,1541.00,1549.40,79700,1549.40
2012-06-13,1570.95,1576.95,1545.65,1561.20,19600,1561.20
2012-06-12,1560.00,1581.00,1541.00,1571.45,27700,1571.45
2012-06-11,1531.00,1574.60,1531.00,1557.00,33600,1557.00
2012-06-08,1520.00,1538.00,1515.75,1528.65,67400,1528.65
2012-06-07,1549.70,1563.90,1535.50,1545.10,56700,1545.10
2012-06-06,1504.80,1550.00,1500.00,1544.00,42200,1544.00
2012-06-05,1487.70,1499.40,1480.45,1493.00,36700,1493.00
2012-06-01,1505.00,1512.10,1486.00,1499.50,27200,1499.50
2012-05-31,1500.00,1529.00,1497.00,1513.00,25100,1513.00
2012-05-30,1510.00,1526.50,1506.10,1518.80,15400,1518.80
2012-05-29,1520.00,1535.00,1495.15,1526.45,29800,1526.45
2012-05-28,1513.00,1519.00,1490.00,1512.70,28800,1512.70
2012-05-25,1511.00,1524.90,1482.80,1496.35,35500,1496.35
2012-05-24,1460.00,1511.95,1456.55,1503.15,45100,1503.15
2012-05-23,1495.00,1498.75,1475.40,1487.10,56900,1487.10
2012-05-22,1534.20,1538.00,1493.10,1507.70,54600,1507.70
2012-05-21,1547.00,1547.00,1501.00,1522.35,38100,1522.35
2012-05-18,1540.00,1554.50,1524.20,1532.95,44000,1532.95
2012-05-17,1625.00,1636.00,1551.25,1574.35,302300,1574.35
2012-05-16,1588.25,1625.00,1574.00,1616.50,28700,1616.50
2012-05-14,1574.00,1598.15,1555.00,1583.15,44600,1583.15
2012-05-11,1499.00,1561.90,1485.40,1555.20,28700,1555.20
2012-05-10,1545.00,1548.85,1494.00,1502.90,39400,1502.90
2012-05-09,1472.05,1538.40,1456.75,1511.75,60300,1511.75
2012-05-08,1502.00,1529.90,1484.00,1493.95,63600,1493.95
2012-05-07,1490.00,1529.90,1470.05,1515.45,38100,1515.45
2012-05-04,1540.25,1547.00,1492.00,1501.75,69900,1501.75
2012-05-03,1586.00,1586.00,1524.00,1560.45,65900,1560.45
2012-05-02,1622.00,1638.50,1581.50,1593.15,38100,1593.15
2012-04-30,1596.80,1629.00,1580.00,1623.10,87900,1623.10
2012-04-27,1622.00,1632.25,1578.30,1582.55,32700,1582.55
2012-04-26,1650.00,1668.00,1600.00,1605.45,37100,1605.45
2012-04-25,1648.00,1686.15,1641.85,1654.15,73400,1654.15
2012-04-24,1669.00,1679.95,1635.00,1647.45,15200,1647.45
2012-04-23,1703.00,1719.95,1664.20,1664.20,11900,1664.20
2012-04-20,1728.00,1757.00,1678.00,1708.85,22100,1708.85
2012-04-19,1725.00,1739.00,1720.90,1732.05,15700,1732.05
2012-04-18,1683.00,1735.55,1683.00,1718.35,29100,1718.35
2012-04-17,1636.00,1679.00,1636.00,1675.00,17500,1675.00
