Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,32.30,33.00,32.20,32.45,1451900,32.50
2012-07-20,32.35,33.05,32.15,32.50,1451900,32.50
2012-07-19,32.90,33.25,32.30,32.75,2276600,32.75
2012-07-18,32.00,33.15,31.65,33.00,2803600,33.00
2012-07-17,34.05,34.60,32.00,32.15,3261600,32.15
2012-07-16,33.50,34.70,33.50,34.05,3834000,34.05
2012-07-13,33.35,34.45,33.35,33.65,4175100,33.65
2012-07-12,32.90,33.55,32.50,33.20,2751100,33.20
2012-07-11,33.45,33.70,32.75,32.80,1736300,32.80
2012-07-10,32.95,33.65,32.80,33.15,2147000,33.15
2012-07-09,33.25,33.85,32.55,32.80,3310600,32.80
2012-07-06,33.40,34.15,32.25,33.15,4152400,33.15
2012-07-05,32.50,33.85,32.10,33.25,3865800,33.25
2012-07-04,32.70,33.10,31.60,32.30,3017600,32.30
2012-07-03,30.95,32.80,30.55,32.80,3493500,32.80
2012-07-02,29.90,31.20,29.60,31.00,2180900,31.00
2012-06-29,29.20,29.90,28.90,29.70,1563000,29.70
2012-06-28,28.90,29.00,28.50,28.85,1056100,28.85
2012-06-27,28.70,29.15,28.50,28.70,1661500,28.70
2012-06-26,28.45,28.85,28.20,28.25,1050000,28.25
2012-06-25,28.35,29.25,28.05,28.65,2142800,28.65
2012-06-22,27.85,28.75,27.45,28.45,2660000,28.45
2012-06-21,27.60,28.15,27.40,28.00,1158400,28.00
2012-06-20,27.50,27.90,27.10,27.75,1154300,27.75
2012-06-19,27.15,27.60,26.95,27.45,894400,27.45
2012-06-18,29.90,29.90,26.90,27.10,1857700,27.10
2012-06-15,27.25,28.20,27.05,28.00,1405800,28.00
2012-06-14,27.90,27.95,26.85,26.95,1127700,26.95
2012-06-13,27.95,28.50,27.55,27.80,1581900,27.80
2012-06-12,27.50,28.00,27.30,27.95,1175000,27.95
2012-06-11,28.45,28.45,27.45,27.65,1309800,27.65
2012-06-08,27.65,28.35,27.45,28.00,2592200,28.00
2012-06-07,26.25,28.20,26.10,28.10,2204300,28.10
2012-06-06,25.45,26.10,25.45,26.00,790200,26.00
2012-06-05,25.45,25.90,24.95,25.45,1000700,25.45
2012-06-01,25.60,25.95,24.75,24.95,1230900,24.95
2012-05-31,25.80,26.00,25.20,25.55,2592200,25.55
2012-05-30,26.80,26.80,25.70,25.70,874700,25.70
2012-05-29,27.00,27.10,26.75,26.80,599900,26.80
2012-05-28,26.65,27.00,26.30,27.00,790300,27.00
2012-05-25,26.00,26.80,26.00,26.80,911500,26.80
2012-05-24,26.00,26.55,25.60,26.40,1420700,26.40
2012-05-23,26.15,26.40,25.75,25.95,1114200,25.95
2012-05-22,28.00,28.00,26.30,26.60,1627800,26.60
2012-05-21,27.10,27.40,26.65,26.70,1164600,26.70
2012-05-18,26.00,27.40,25.60,26.90,1576200,26.90
2012-05-17,26.25,26.65,26.15,26.50,1355600,26.50
2012-05-16,26.50,26.50,25.75,25.75,1480300,25.75
2012-05-14,27.00,27.45,25.95,26.45,1399700,26.45
2012-05-11,27.35,27.70,26.45,27.00,1798100,27.00
2012-05-10,27.25,28.00,27.05,27.65,2181000,27.65
2012-05-09,27.80,28.15,26.95,27.10,2588500,27.10
2012-05-08,28.70,29.50,28.15,28.30,2581600,28.30
2012-05-07,28.50,29.40,28.00,29.20,3437300,29.20
2012-05-04,30.75,31.10,28.90,29.15,1792900,29.15
2012-05-03,31.40,31.65,30.30,30.50,3554300,30.50
2012-05-02,30.60,30.70,29.75,29.80,1253400,29.80
2012-04-30,29.85,30.45,29.85,30.45,1196000,30.45
2012-04-27,29.05,29.90,29.05,29.60,1430700,29.60
2012-04-26,29.30,29.95,28.70,28.90,6777200,28.90
2012-04-25,29.90,30.00,28.85,29.40,2000300,29.40
2012-04-24,29.90,29.90,29.00,29.30,1544800,29.30
2012-04-23,30.25,30.80,29.35,29.80,1643200,29.80
2012-04-20,31.45,31.65,30.30,30.40,1538400,30.40
2012-04-19,32.00,32.30,31.30,31.80,1602900,31.80
2012-04-18,32.00,32.35,31.70,32.00,1885700,32.00
2012-04-17,31.55,32.20,31.05,32.00,2009600,32.00
2012-04-16,30.15,31.80,30.15,31.65,1534100,31.65
2012-04-13,32.35,32.50,30.70,31.00,2710200,31.00
2012-04-12,31.45,31.95,31.00,31.80,2661300,31.80
2012-04-11,31.00,31.45,30.55,30.75,1960700,30.75
2012-04-10,31.70,32.00,30.30,31.40,1775700,31.40
2012-04-09,31.70,31.70,30.40,30.80,1402600,30.80
2012-04-04,31.00,31.90,31.00,31.80,1763800,31.80
2012-04-03,31.25,31.50,30.80,31.25,1631600,31.25
2012-04-02,31.25,31.55,30.80,31.20,1811200,31.20
2012-03-30,29.50,31.45,29.40,31.15,3170000,31.15
2012-03-29,29.50,30.10,29.05,29.30,5536100,29.30
2012-03-28,31.25,31.35,30.15,30.20,1994800,30.20
2012-03-27,31.40,31.95,31.10,31.45,2338400,31.45
2012-03-26,31.80,31.95,30.70,30.90,3069100,30.90
2012-03-23,30.65,31.55,30.55,31.45,2281800,31.45
2012-03-21,31.50,33.10,31.25,33.05,2455000,33.05
2012-03-20,30.50,31.50,30.50,31.20,1923700,31.20
2012-03-19,32.80,33.40,30.55,30.80,2463200,30.80
2012-03-16,34.00,34.20,32.35,32.50,2510200,32.50
2012-03-15,34.70,34.75,33.65,33.80,3040500,33.80
2012-03-14,35.15,35.30,34.15,34.40,2002600,34.40
2012-03-13,35.00,35.25,34.50,34.85,3321900,34.85
2012-03-12,35.30,35.50,34.25,34.45,3203300,34.45
2012-03-09,34.50,35.05,34.05,34.85,3250200,34.85
2012-03-07,33.80,34.40,32.80,33.85,5590400,33.85
2012-03-06,36.75,36.80,32.80,32.95,13196800,32.95
2012-03-05,35.00,37.00,35.00,36.25,7752000,36.25
2012-03-02,34.00,34.90,33.80,34.30,3323000,34.30
2012-03-01,33.30,34.30,33.10,33.70,2776500,33.70
2012-02-29,33.45,34.70,32.75,33.65,3454000,33.65
2012-02-28,28.00,34.10,28.00,34.05,3939800,34.05
2012-02-27,34.80,34.80,31.05,31.65,4365500,31.65
2012-02-24,35.00,35.20,33.00,33.40,3157600,33.40
2012-02-23,34.45,34.70,33.40,34.45,3817100,34.45
2012-02-22,36.40,37.05,34.00,34.15,9044300,34.15
2012-02-21,35.90,36.60,35.65,36.35,5494800,36.35
2012-02-17,36.35,37.20,35.50,35.65,9047200,35.65
2012-02-16,36.00,36.70,35.65,36.00,5874300,36.00
2012-02-15,35.45,36.00,35.00,35.85,3652100,35.85
2012-02-14,34.45,35.20,33.40,35.00,3084100,35.00
2012-02-13,33.50,34.70,33.30,34.35,4364700,34.35
2012-02-10,36.00,36.25,33.60,34.30,5515000,34.30
2012-02-09,35.25,36.00,35.05,35.80,2777700,35.80
2012-02-08,35.50,36.05,35.15,35.50,3758800,35.50
2012-02-07,35.80,36.30,34.65,35.10,5771300,35.10
2012-02-06,36.10,36.45,35.05,35.45,4903700,35.45
2012-02-03,35.10,36.00,34.75,35.50,4521500,35.50
2012-02-02,36.00,36.00,34.45,35.00,4099900,35.00
2012-02-01,34.05,35.90,34.05,35.45,4166100,35.45
2012-01-31,33.95,34.90,33.30,34.85,3990600,34.85
2012-01-30,34.85,37.50,33.30,33.40,6174400,33.40
2012-01-27,35.95,35.95,33.75,34.80,6463400,34.80
2012-01-25,31.35,33.90,31.20,33.45,9880800,33.45
2012-01-24,30.75,31.50,30.70,31.00,3276000,31.00
2012-01-23,30.85,31.20,30.25,30.70,2359500,30.70
2012-01-20,30.70,31.45,30.05,30.30,4572700,30.30
2012-01-19,29.50,30.70,29.25,30.60,4018600,30.60
2012-01-18,29.45,29.90,28.45,29.10,4001000,29.10
2012-01-17,30.00,30.85,29.10,29.60,7061200,29.60
2012-01-16,30.80,31.30,30.20,30.30,2549000,30.30
2012-01-13,30.80,31.90,30.55,30.60,4704000,30.60
2012-01-12,28.90,30.70,27.90,30.55,4819200,30.55
2012-01-11,28.85,29.25,28.10,28.45,2803700,28.45
2012-01-10,28.20,29.60,28.20,28.50,3749000,28.50
2012-01-06,24.30,26.25,24.25,26.15,2445600,26.15
2012-01-05,24.50,25.25,24.20,24.50,1160200,24.50
2012-01-04,25.00,25.55,24.45,24.60,1893300,24.60
2012-01-03,24.00,25.30,24.00,25.00,1307800,25.00
2012-01-02,23.80,24.25,23.35,23.95,1073300,23.95
2011-12-30,23.95,24.35,23.10,23.75,1177700,23.75
2011-12-29,24.45,24.65,23.30,23.30,4403800,23.30
2011-12-28,25.00,25.00,24.45,24.55,1487600,24.55
2011-12-27,25.95,26.15,24.75,25.00,1550400,25.00
2011-12-26,27.80,27.80,25.45,25.70,1097100,25.70
2011-12-23,26.40,26.75,25.70,26.00,2235300,26.00
2011-12-22,24.40,26.40,24.40,26.40,2969900,26.40
2011-12-21,24.35,24.60,23.90,24.45,1204500,24.45
2011-12-20,24.20,24.45,23.35,23.75,1524200,23.75
2011-12-19,24.35,24.55,23.35,24.00,2045800,24.00
2011-12-16,25.85,25.95,24.00,24.40,1901800,24.40
2011-12-15,26.00,26.00,25.40,25.50,1281200,25.50
2011-12-14,26.60,27.10,26.10,26.15,1553400,26.15
2011-12-13,25.00,26.85,25.00,26.65,1167400,26.65
2011-12-12,27.50,27.50,26.05,26.25,1588100,26.25
2011-12-09,26.40,27.15,26.15,26.50,1747900,26.50
2011-12-08,27.50,27.90,26.65,26.80,1819200,26.80
2011-12-07,28.65,28.70,27.10,27.50,2592700,27.50
2011-12-05,28.70,29.00,27.95,28.55,1375900,28.55
2011-12-02,28.30,28.95,27.60,28.65,1565400,28.65
2011-12-01,28.80,28.80,27.90,28.15,1601200,28.15
2011-11-30,27.90,28.10,27.30,27.65,1711800,27.65
