/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,58.10,58.50,57.00,58.05,40600,58.00
2012-07-20,58.00,58.50,57.20,58.00,317900,58.00
2012-07-19,59.90,59.90,57.85,58.00,588100,58.00
2012-07-18,57.90,58.95,56.55,58.90,737500,58.90
2012-07-17,59.10,59.80,57.45,57.55,1096000,57.55
2012-07-16,58.45,59.55,57.85,58.90,1112100,58.90
2012-07-13,58.90,59.75,57.65,58.15,1323800,58.15
2012-07-12,57.10,58.40,56.85,57.95,559200,57.95
2012-07-11,58.10,58.65,57.10,57.55,1358200,57.55
2012-07-10,56.25,58.70,56.00,58.10,1078700,58.10
2012-07-09,56.85,57.00,55.75,56.40,680800,56.40
2012-07-06,56.80,57.55,55.65,56.55,932400,56.55
2012-07-05,55.20,57.35,55.00,57.00,1335800,57.00
2012-07-04,55.30,55.70,53.90,55.10,951600,55.10
2012-07-03,51.85,55.15,51.85,55.00,2337400,55.00
2012-07-02,52.00,52.80,50.75,52.00,645600,52.00
2012-06-29,50.40,52.00,50.05,51.90,575000,51.90
2012-06-28,49.40,50.80,48.95,49.70,2107000,49.70
2012-06-27,49.20,49.80,48.60,48.90,531700,48.90
2012-06-26,48.10,49.25,48.10,48.30,199500,48.30
2012-06-25,49.80,50.40,48.50,48.50,347300,48.50
2012-06-22,48.50,49.80,48.00,49.40,646900,49.40
2012-06-21,49.30,49.40,48.55,48.80,551400,48.80
2012-06-20,48.00,49.45,47.80,49.35,355700,49.35
2012-06-19,48.40,48.50,47.55,47.70,334900,47.70
2012-06-18,48.90,49.40,46.85,48.00,1277400,48.00
2012-06-15,49.05,49.15,48.35,48.85,1294700,48.85
2012-06-14,48.65,49.25,48.50,48.60,251600,48.60
2012-06-13,49.15,49.80,48.25,48.85,450800,48.85
2012-06-12,48.90,50.05,48.70,48.95,875300,48.95
2012-06-11,51.05,51.25,49.40,49.40,578300,49.40
2012-06-08,49.90,51.00,49.45,50.85,1232200,50.85
2012-06-07,47.95,50.45,47.95,50.30,825400,50.30
2012-06-06,49.10,49.75,47.00,47.35,3911900,47.35
2012-06-05,49.80,50.60,48.60,49.00,230200,49.00
2012-06-01,49.75,50.55,48.45,49.25,398400,49.25
2012-05-31,49.20,50.65,48.40,49.80,891500,49.80
2012-05-30,50.95,51.00,49.25,49.40,306300,49.40
2012-05-29,53.15,53.50,50.60,50.65,898100,50.65
2012-05-28,50.95,51.70,50.10,50.80,1136500,50.80
2012-05-25,49.60,51.80,48.15,51.35,704700,51.35
2012-05-24,49.00,50.30,48.10,50.10,311300,50.10
2012-05-23,49.25,49.25,47.45,48.40,554200,48.40
2012-05-22,50.85,52.05,49.00,49.30,818600,49.30
2012-05-21,49.10,51.25,49.10,51.05,132900,51.05
2012-05-18,49.90,51.10,48.00,50.85,552900,50.85
2012-05-17,50.00,50.80,49.35,49.90,314300,49.90
2012-05-16,50.10,50.50,48.50,49.30,478400,49.30
2012-05-14,50.05,51.90,48.15,50.50,409100,50.50
2012-05-11,50.60,50.85,48.20,50.00,949500,50.00
2012-05-10,48.80,51.50,48.50,50.75,716700,50.75
2012-05-09,50.20,50.45,48.45,49.35,509400,49.35
2012-05-08,54.00,54.00,50.50,50.55,1672700,50.55
2012-05-07,53.65,54.40,52.90,53.30,1180300,53.30
2012-05-04,54.50,54.80,52.55,54.30,819400,54.30
2012-05-03,55.35,56.90,53.95,54.35,1892800,54.35
