Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,12.03,12.03,12.03,12.03,000,12.03
2014-01-28,12.03,12.03,12.03,12.03,000,12.03
2014-01-27,597.60,597.60,565.00,569.95,171600,569.95
2014-01-24,12.15,12.15,12.15,12.15,000,12.15
2014-01-23,12.18,12.18,12.18,12.18,000,12.18
2014-01-22,631.70,635.80,625.90,631.65,88000,631.65
2014-01-21,12.18,12.18,12.18,12.18,000,12.18
2014-01-20,12.17,12.17,12.17,12.17,000,12.17
2014-01-17,12.14,12.14,12.14,12.14,000,12.14
2014-01-16,12.16,12.16,12.16,12.16,000,12.16
2014-01-15,624.00,645.00,623.05,643.00,277300,643.00
2014-01-14,618.10,624.70,612.00,620.70,101400,620.70
2014-01-13,12.14,12.14,12.14,12.14,000,12.14
2014-01-10,12.11,12.11,12.11,12.11,000,12.11
2014-01-09,633.30,633.30,617.10,620.15,132000,620.15
2014-01-08,620.00,634.05,612.05,629.85,251600,629.85
2014-01-07,641.00,644.00,614.90,616.75,256600,616.75
2014-01-06,12.12,12.12,12.12,12.12,000,12.12
2014-01-03,645.00,652.00,637.85,649.95,190200,649.95
2014-01-02,660.50,681.60,645.50,650.20,393600,650.20
2014-01-01,646.00,661.00,643.80,657.70,139200,657.70
2013-12-31,643.00,650.40,640.65,645.75,128500,645.75
2013-12-30,655.00,659.50,640.40,642.35,113400,642.35
2013-12-27,653.30,659.30,647.00,651.65,202300,651.65
2013-12-26,648.50,655.85,643.35,647.15,165600,647.15
2013-12-25,646.85,646.85,646.85,646.85,000,646.85
2013-12-24,12.15,12.15,12.15,12.15,000,12.15
2013-12-23,12.17,12.17,12.17,12.17,000,12.17
2013-12-20,12.16,12.16,12.16,12.16,000,12.16
2013-12-19,12.13,12.13,12.13,12.13,000,12.13
2013-12-18,12.13,12.13,12.13,12.13,000,12.13
2013-12-17,12.10,12.10,12.10,12.10,000,12.10
2013-12-16,12.09,12.09,12.09,12.09,000,12.09
2013-12-13,12.08,12.08,12.08,12.08,000,12.08
2013-12-12,12.12,12.12,12.12,12.12,000,12.12
2013-12-11,12.12,12.12,12.12,12.12,000,12.12
2013-12-10,12.11,12.11,12.11,12.11,000,12.11
2013-12-09,12.13,12.13,12.13,12.13,000,12.13
2013-12-06,12.10,12.10,12.10,12.10,000,12.10
2013-12-05,12.09,12.09,12.09,12.09,000,12.09
2013-12-04,12.06,12.06,12.06,12.06,000,12.06
2013-12-03,12.06,12.06,12.06,12.06,000,12.06
2013-12-02,12.07,12.07,12.07,12.07,000,12.07
2013-11-29,12.05,12.05,12.05,12.05,000,12.05
2013-11-28,12.01,12.01,12.01,12.01,000,12.01
2013-11-27,12.00,12.00,12.00,12.00,000,12.00
2013-11-26,11.99,11.99,11.99,11.99,000,11.99
2013-11-25,12.06,12.06,12.06,12.06,000,12.06
2013-11-22,12.01,12.01,12.01,12.01,000,12.01
2013-11-21,11.99,11.99,11.99,11.99,000,11.99
2013-11-20,12.04,12.04,12.04,12.04,000,12.04
2013-11-19,12.06,12.06,12.06,12.06,000,12.06
2013-11-18,12.02,12.02,12.02,12.02,000,12.02
2013-11-14,11.97,11.97,11.97,11.97,000,11.97
2013-11-13,11.94,11.94,11.94,11.94,000,11.94
2013-11-12,11.94,11.94,11.94,11.94,000,11.94
2013-11-11,11.95,11.95,11.95,11.95,000,11.95
2013-11-08,11.98,11.98,11.98,11.98,000,11.98
2013-11-07,12.00,12.00,12.00,12.00,000,12.00
2013-11-06,12.04,12.04,12.04,12.04,000,12.04
2013-11-05,12.08,12.08,12.08,12.08,000,12.08
2013-11-01,12.08,12.08,12.08,12.08,000,12.08
2013-10-31,12.03,12.03,12.03,12.03,000,12.03
2013-10-30,11.97,11.97,11.97,11.97,000,11.97
2013-10-29,11.96,11.96,11.96,11.96,000,11.96
2013-10-28,11.90,11.90,11.90,11.90,000,11.90
2013-10-25,12.00,12.00,12.00,12.00,000,12.00
2013-10-24,12.02,12.02,12.02,12.02,000,12.02
2013-10-23,565.00,592.00,564.50,589.35,319800,589.35
2013-10-22,561.40,569.95,553.00,563.55,127000,563.55
2013-10-21,555.25,569.05,547.90,566.80,142400,566.80
2013-10-18,538.00,558.00,538.00,554.45,141500,554.45
2013-10-17,552.95,554.75,532.30,536.90,125900,536.90
2013-10-16,551.40,551.40,551.40,551.40,000,551.40
2013-10-15,573.00,576.00,547.00,551.40,116400,551.40
2013-10-14,562.00,579.90,555.30,571.00,160400,571.00
2013-10-11,541.00,564.95,538.85,562.25,227900,562.25
2013-10-10,523.30,539.80,523.30,535.75,99200,535.75
2013-10-09,516.70,532.30,514.00,530.65,118100,530.65
2013-10-08,536.00,539.50,517.00,520.50,97300,520.50
2013-10-07,519.50,519.50,507.50,516.80,81900,516.80
2013-10-04,519.00,528.50,511.50,520.20,160500,520.20
2013-10-03,501.00,526.50,499.50,524.80,177000,524.80
2013-10-02,498.80,498.80,498.80,498.80,000,498.80
2013-10-01,499.30,502.70,488.00,498.80,117700,498.80
2013-09-30,497.75,497.75,484.00,493.60,175200,493.60
2013-09-27,511.60,511.80,499.05,500.85,138200,500.85
2013-09-26,509.00,516.85,503.90,509.30,150900,509.30
2013-09-25,505.00,512.75,499.75,509.60,153000,509.60
2013-09-24,500.00,517.50,494.10,504.75,257100,504.70
2013-09-23,543.00,543.00,507.25,511.40,242400,511.35
2013-09-20,577.50,580.00,524.90,549.60,348800,549.54
2013-09-19,553.50,582.80,549.00,577.70,318900,577.64
2013-09-18,520.50,534.20,517.35,530.15,171900,530.10
2013-09-17,534.80,534.80,515.00,518.90,156900,518.85
2013-09-16,541.10,547.95,522.45,535.50,195500,535.45
