Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,212.00,213.90,207.25,208.25,3100000,208.25
2014-01-28,210.20,216.45,203.50,208.95,6108200,208.95
2014-01-27,223.00,223.50,209.30,210.30,3375700,210.30
2014-01-24,241.10,241.30,226.35,227.60,3458500,227.60
2014-01-23,241.20,242.50,238.40,240.70,3337800,240.70
2014-01-22,241.70,247.45,240.70,246.30,2655900,241.30
2014-01-21,236.20,244.40,236.20,242.60,2362100,237.68
2014-01-20,234.00,237.90,231.30,237.10,1769200,232.29
2014-01-17,239.90,241.40,233.05,234.00,2312700,229.25
2014-01-16,243.10,244.95,238.20,239.10,2869000,234.25
2014-01-15,233.95,243.00,231.60,241.65,3467100,236.74
2014-01-14,234.00,237.20,230.10,232.10,2138700,227.39
2014-01-13,231.40,235.80,227.85,233.40,3058900,228.66
2014-01-10,234.00,237.90,228.65,230.10,3219400,225.43
2014-01-09,242.25,246.25,231.75,233.70,4312900,228.96
2014-01-08,232.90,244.00,229.05,242.05,5315700,237.14
2014-01-07,232.05,235.00,225.65,231.00,3514900,226.31
2014-01-06,240.00,240.90,230.05,232.35,2935300,227.63
2014-01-03,233.95,241.05,231.90,240.10,3726600,235.23
2014-01-02,244.90,251.30,234.40,236.05,6453200,231.26
2014-01-01,239.00,246.00,237.05,243.15,2230800,238.21
2013-12-31,236.00,239.00,231.65,237.95,2435600,233.12
2013-12-30,238.00,241.80,234.05,235.60,3615100,230.82
2013-12-27,228.25,238.50,228.25,236.20,4398900,231.41
2013-12-26,227.60,231.15,226.10,228.85,4393800,224.20
2013-12-25,226.60,226.60,226.60,226.60,000,222.00
2013-12-24,220.65,227.50,218.65,226.60,4088600,222.00
2013-12-23,217.10,223.85,216.25,220.05,3643900,215.58
2013-12-20,210.50,216.30,209.50,215.60,2342100,211.22
2013-12-19,218.45,220.00,209.65,210.85,3218800,206.57
2013-12-18,205.85,218.40,205.30,216.70,5708200,212.30
2013-12-17,209.15,211.20,204.50,205.75,2271800,201.57
2013-12-16,208.00,211.90,205.35,206.80,2624100,202.60
2013-12-13,212.05,213.35,208.50,209.35,2113900,205.10
2013-12-12,214.40,218.50,213.10,215.20,2605600,210.83
2013-12-11,220.00,220.00,214.00,215.95,2662700,211.57
2013-12-10,226.00,226.50,217.30,220.20,3755700,215.73
2013-12-09,230.10,232.00,224.60,226.30,4703000,221.71
2013-12-06,217.20,221.40,213.00,220.40,4934700,215.93
2013-12-05,219.00,221.35,215.50,217.25,4344900,212.84
2013-12-04,210.20,213.90,208.05,211.60,4640700,207.30
2013-12-03,217.00,217.00,210.20,210.95,4137400,206.67
2013-12-02,219.40,222.75,217.65,219.45,3126300,215.00
2013-11-29,208.00,219.40,208.00,217.15,4580600,212.74
2013-11-28,211.10,213.50,206.35,208.50,3469300,204.27
2013-11-27,207.50,211.85,204.50,209.55,5401400,205.30
2013-11-26,216.05,220.00,204.25,205.85,13595200,201.67
2013-11-25,212.30,218.65,212.10,217.05,4128600,212.64
2013-11-22,216.00,217.70,207.70,209.60,4569700,205.35
2013-11-21,220.65,222.55,211.50,213.20,5522100,208.87
2013-11-20,234.40,235.75,223.45,225.40,4927400,220.82
2013-11-19,243.00,244.00,232.65,234.95,6203000,230.18
2013-11-18,227.30,244.10,227.30,240.75,5427400,235.86
2013-11-15,223.15,223.15,223.15,223.15,000,218.62
2013-11-14,217.85,224.50,217.15,223.15,4540200,218.62
2013-11-13,209.10,221.35,209.10,212.05,5585400,207.75
2013-11-12,216.00,221.35,211.00,212.30,4489200,207.99
2013-11-11,220.50,226.70,211.55,216.05,5481700,211.66
2013-11-08,217.05,224.75,215.00,219.90,5181900,215.44
2013-11-07,230.00,234.90,219.55,220.75,6418600,216.27
2013-11-06,237.95,239.75,229.30,230.70,6535000,226.02
2013-11-05,223.80,241.75,222.35,238.05,12548600,233.22
2013-11-04,221.45,221.45,221.45,221.45,000,216.95
2013-11-01,213.00,230.80,209.30,221.45,20503900,216.95
2013-10-31,173.75,214.20,173.15,209.90,23859700,205.64
2013-10-30,180.55,182.55,171.75,172.80,2840200,169.29
2013-10-29,174.95,181.70,171.55,179.90,4165000,176.25
2013-10-28,175.30,184.55,174.50,176.65,1330400,173.06
2013-10-25,186.40,186.40,180.40,181.80,1638600,178.11
2013-10-24,186.70,192.00,184.65,186.15,2695700,182.37
2013-10-23,177.90,186.80,177.50,186.05,3027900,182.27
2013-10-22,174.00,177.90,172.95,176.85,2288800,173.26
2013-10-21,173.75,177.00,172.85,175.25,1620900,171.69
2013-10-18,169.50,173.25,169.10,172.45,1829300,168.95
2013-10-17,174.00,174.90,167.00,168.20,2102600,164.79
2013-10-16,174.40,174.40,174.40,174.40,000,170.86
2013-10-15,188.90,188.90,172.20,174.40,2046500,170.86
2013-10-14,184.85,188.50,183.65,186.60,2493300,182.81
2013-10-11,188.20,189.90,182.45,185.30,2848600,181.54
2013-10-10,183.95,188.30,183.10,186.05,1460600,182.27
2013-10-09,173.50,185.00,172.00,184.15,1920100,180.41
2013-10-08,181.00,183.00,174.70,177.05,1786900,173.46
2013-10-07,174.00,177.40,170.50,176.30,1526700,172.72
2013-10-04,172.90,175.75,170.65,174.50,1847700,170.96
2013-10-03,167.10,175.00,167.10,174.30,2080300,170.76
2013-10-02,166.30,166.30,166.30,166.30,000,162.92
2013-10-01,158.30,167.90,156.55,166.30,1933600,162.92
2013-09-30,163.35,163.35,156.35,157.95,1789100,154.74
2013-09-27,166.00,168.90,162.20,163.25,1823700,159.94
2013-09-26,164.85,168.40,163.85,164.80,1900700,161.45
2013-09-25,163.00,165.65,158.70,163.70,2330000,160.38
2013-09-24,165.60,169.90,162.25,163.35,3623000,160.03
2013-09-23,180.55,180.95,170.10,171.10,2373000,167.63
2013-09-20,193.40,193.90,163.50,184.30,4272200,180.56
2013-09-19,184.00,193.95,183.05,191.90,2976600,188.00
2013-09-18,172.80,178.00,171.50,176.90,1461800,173.31
2013-09-17,172.10,173.40,168.00,171.95,2063100,168.46
2013-09-16,176.80,178.50,167.15,172.45,2172200,168.95
2013-09-13,164.50,172.80,163.35,170.40,2589400,166.94
2013-09-12,168.90,172.00,163.25,165.75,3186200,162.39
2013-09-11,151.90,168.65,148.00,167.35,4882200,163.95
2013-09-10,149.00,153.90,148.00,151.55,2753600,148.47
2013-09-09,145.25,145.25,145.25,145.25,000,142.30
2013-09-06,148.40,148.50,144.00,145.25,2201700,142.30
2013-09-05,140.50,146.55,140.50,145.30,2697600,142.35
2013-09-04,134.45,139.00,132.00,136.60,1534400,133.83
2013-09-03,145.90,145.90,133.60,134.65,1738900,131.92
2013-09-02,144.00,147.00,143.10,144.50,1202200,141.57
2013-08-30,132.50,143.85,131.70,142.30,3614300,139.41
2013-08-29,132.40,134.80,128.10,133.05,2725600,130.35
2013-08-28,134.95,134.95,126.50,131.05,2457500,128.39
2013-08-27,144.75,145.00,135.70,137.30,2242300,134.51
2013-08-26,148.90,150.20,144.75,146.85,1901400,143.87
2013-08-23,148.15,150.60,143.65,147.50,2750800,144.51
2013-08-22,143.00,149.75,140.80,146.95,2851200,143.97
2013-08-21,160.00,164.35,142.80,145.25,3526900,142.30
2013-08-20,148.10,154.40,145.55,151.40,2798300,148.33
2013-08-19,161.00,161.00,152.10,153.80,1895100,150.68
2013-08-16,178.00,179.00,161.80,162.65,1760000,159.35
2013-08-15,180.20,180.20,180.20,180.20,000,176.54
2013-08-14,179.55,184.45,177.00,180.20,1466300,176.54
2013-08-13,176.00,180.45,172.90,179.50,1449000,175.86
2013-08-12,170.45,179.00,165.10,176.55,1727900,172.97
2013-08-09,169.25,169.25,169.25,169.25,000,165.81
2013-08-08,174.75,174.75,166.40,169.25,1671200,165.81
2013-08-07,165.80,175.50,164.80,172.20,1317700,168.70
2013-08-06,174.00,174.00,164.40,165.85,1382300,162.48
2013-08-05,170.00,176.90,165.10,175.65,1171700,172.08
2013-08-02,181.00,182.50,167.50,169.65,1519100,166.21
2013-08-01,186.50,190.40,171.50,179.15,2562000,175.51
2013-07-31,174.15,187.00,166.00,184.70,2359200,180.95
2013-07-30,180.10,183.65,173.05,174.15,1796900,170.61
2013-07-29,182.55,186.60,179.10,180.10,1679500,176.44
2013-07-26,192.05,194.00,178.45,183.00,7022600,179.29
2013-07-25,194.65,196.60,190.30,191.60,1872900,187.71
2013-07-24,211.40,211.40,195.30,196.60,2007100,192.61
2013-07-23,213.80,217.55,213.55,215.20,883500,210.83
2013-07-22,210.10,213.80,208.25,211.15,1414100,206.86
2013-07-19,219.00,219.60,210.30,211.50,1102300,207.21
2013-07-18,214.10,219.85,209.50,218.30,1356100,213.87
2013-07-17,222.00,223.50,211.45,213.90,1051600,209.56
2013-07-16,225.15,225.15,218.70,220.90,998500,216.42
2013-07-15,226.20,232.40,224.60,231.25,970200,226.56
2013-07-12,233.00,234.00,225.00,227.85,1054000,223.22
2013-07-11,230.00,233.10,228.90,231.05,977100,226.36
2013-07-10,233.90,233.90,225.00,226.70,831600,222.10
2013-07-09,227.55,231.90,226.00,230.55,746600,225.87
2013-07-08,223.75,227.00,216.50,225.65,901900,221.07
2013-07-05,228.00,229.90,221.70,225.30,876300,220.73
2013-07-04,220.60,226.50,215.10,224.60,1519500,220.04
2013-07-03,232.80,232.80,218.25,220.20,1333000,215.73
2013-07-02,240.10,241.90,234.00,234.90,1064600,230.13
2013-07-01,232.90,243.25,232.40,242.05,1003400,237.14
2013-06-28,228.10,233.45,224.25,232.40,1228800,227.68
2013-06-27,227.80,228.00,219.00,221.10,1131000,216.61
2013-06-26,223.75,228.30,221.30,222.20,1098900,217.69
2013-06-25,230.00,231.05,220.20,222.55,1405000,218.03
2013-06-24,243.00,243.00,227.60,228.95,1512900,224.30
2013-06-21,260.00,260.25,238.20,243.80,1276500,238.85
2013-06-20,268.50,268.50,258.60,260.35,1013500,255.06
2013-06-19,277.30,282.50,277.30,280.10,619300,264.62
2013-06-18,279.90,284.80,278.70,279.65,567400,264.19
2013-06-17,284.40,285.20,276.95,281.25,792200,265.70
2013-06-14,283.50,286.30,282.55,283.65,790600,267.97
2013-06-13,283.00,286.80,279.30,280.10,695300,264.62
2013-06-12,283.10,289.90,280.00,285.65,666900,269.86
2013-06-11,283.60,290.65,282.35,285.40,622100,269.62
2013-06-10,293.00,294.00,284.00,286.85,403300,270.99
2013-06-07,294.00,298.00,289.50,290.40,609600,274.35
2013-06-06,287.00,296.65,287.00,293.70,733000,277.47
2013-06-05,288.55,291.80,287.00,290.10,566200,274.06
2013-06-04,289.90,295.00,287.20,289.65,351400,273.64
2013-06-03,288.50,294.20,285.05,290.50,935700,274.44
2013-05-31,294.50,298.70,285.00,287.75,1698600,271.84
2013-05-30,293.25,300.95,293.25,297.15,1767800,280.72
2013-05-29,301.10,301.70,293.25,296.15,652500,279.78
2013-05-28,299.00,304.95,297.95,301.10,959500,284.46
