/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,365.25,366.85,362.00,363.45,82500,363.95
2012-07-20,366.00,369.60,362.00,363.95,82700,363.95
2012-07-19,366.90,368.00,362.05,364.65,173500,364.65
2012-07-18,370.00,370.00,361.10,361.60,240500,361.60
2012-07-17,370.95,374.45,364.00,364.25,137800,364.25
2012-07-16,379.50,381.40,369.20,370.60,125800,370.60
2012-07-13,381.05,384.85,376.05,376.50,111900,376.50
2012-07-12,386.00,386.50,377.60,378.50,160000,378.50
2012-07-11,388.50,393.45,384.55,385.05,193500,385.05
2012-07-10,387.45,392.00,382.10,390.00,215800,390.00
2012-07-09,406.85,407.95,387.95,389.15,418000,389.15
2012-07-06,407.00,413.85,405.00,406.90,96300,406.90
2012-07-05,409.85,414.10,408.30,412.00,130900,412.00
2012-07-04,410.00,412.40,406.40,408.25,240900,408.25
2012-07-03,398.00,409.00,395.80,406.35,461000,406.35
2012-07-02,378.05,396.35,377.95,395.20,351200,395.20
2012-06-29,382.00,382.10,376.15,377.50,232100,377.50
2012-06-28,381.60,382.90,373.60,375.00,152700,375.00
2012-06-27,384.00,386.45,377.50,379.00,129000,379.00
2012-06-26,383.90,391.45,381.60,381.95,250500,381.95
2012-06-25,371.10,389.90,371.10,381.10,180500,381.10
2012-06-22,378.85,384.50,375.55,377.10,96100,377.10
2012-06-21,378.95,386.00,377.55,379.70,247700,379.70
2012-06-20,369.70,383.90,369.40,378.00,272200,378.00
2012-06-19,369.00,374.60,368.20,370.00,86000,370.00
2012-06-18,373.35,381.70,365.50,371.00,131900,371.00
2012-06-15,372.00,376.00,370.40,370.50,155800,370.50
2012-06-14,375.90,377.20,368.50,368.70,280500,368.70
2012-06-13,385.90,389.50,375.55,376.90,272700,376.90
2012-06-12,372.00,386.10,366.85,383.00,479900,383.00
2012-06-11,385.95,394.95,372.00,373.10,908300,373.10
2012-06-08,402.10,404.00,381.00,382.90,360400,382.90
2012-06-07,417.00,417.00,405.15,406.40,95700,406.40
2012-06-06,413.95,414.90,407.95,410.15,106000,410.15
2012-06-05,422.55,422.95,408.00,409.95,63300,409.95
2012-06-01,422.95,423.00,406.00,417.50,216700,417.50
2012-05-31,426.00,433.90,412.30,430.00,177900,430.00
2012-05-30,440.00,443.00,427.05,429.00,77000,429.00
2012-05-29,458.90,460.30,433.20,434.20,130600,434.20
2012-05-28,461.40,470.00,452.30,453.05,123300,453.05
2012-05-25,457.05,464.75,451.55,454.10,69500,454.10
2012-05-24,453.60,472.35,453.60,458.65,77200,458.65
2012-05-23,463.25,470.00,455.30,464.00,72500,464.00
2012-05-22,484.00,490.00,465.00,467.55,107700,467.55
2012-05-21,473.95,497.00,469.00,489.00,140000,489.00
2012-05-18,504.60,512.00,444.55,473.00,1399300,473.00
2012-05-17,506.95,518.00,506.95,516.00,23400,516.00
2012-05-16,512.00,514.00,505.00,505.00,12700,505.00
2012-05-14,515.00,521.50,501.00,507.00,49600,507.00
2012-05-11,526.65,530.00,515.70,529.00,47700,529.00
2012-05-10,519.35,535.00,512.00,528.00,49100,528.00
2012-05-09,520.50,532.00,515.25,519.85,27700,519.85
2012-05-08,514.90,528.00,514.90,526.00,57400,526.00
2012-05-07,519.60,519.90,506.10,513.00,31000,513.00
2012-05-04,528.95,528.95,515.00,522.00,35300,522.00
2012-05-03,525.00,534.00,518.20,520.30,21900,520.30
2012-05-02,533.00,542.00,525.10,525.55,125500,525.55
2012-04-30,525.00,535.00,518.90,533.00,63200,533.00
2012-04-27,532.65,547.00,520.00,527.20,59900,527.20
2012-04-26,548.05,552.00,527.00,536.00,111700,536.00
2012-04-25,549.75,552.00,541.00,545.05,39400,545.05
2012-04-24,553.95,554.50,535.05,540.10,52400,540.10
2012-04-23,554.90,567.00,552.05,552.05,54100,552.05
2012-04-20,559.05,559.70,532.15,552.00,107000,552.00
2012-04-19,567.10,592.00,544.40,566.00,394400,566.00
2012-04-18,569.10,584.00,567.00,574.70,47400,574.70
2012-04-17,580.05,587.65,570.00,571.25,39800,571.25
2012-04-16,580.00,582.70,573.10,581.30,44500,581.30
2012-04-13,583.00,595.00,579.00,582.00,64400,582.00
2012-04-12,565.35,585.00,561.10,583.70,87700,583.70
2012-04-11,572.00,576.00,561.50,567.70,95100,567.70
2012-04-10,603.00,604.50,578.10,578.30,141200,578.30
2012-04-09,614.00,614.00,602.30,606.50,62300,606.50
2012-04-04,610.00,624.90,607.00,622.70,87700,622.70
