/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,468.70,468.70,455.95,457.40,361100,457.00
2012-07-20,468.70,468.70,455.70,457.00,361100,457.00
2012-07-19,470.00,473.50,464.10,467.10,397100,467.10
2012-07-18,465.85,469.70,451.30,465.75,630800,465.75
2012-07-17,474.95,481.65,462.10,463.15,580700,463.15
2012-07-16,481.00,483.35,461.55,472.95,722100,472.95
2012-07-13,468.95,489.30,465.90,481.45,1406500,481.45
2012-07-12,473.80,475.40,460.95,465.95,509000,465.95
2012-07-11,477.20,486.40,472.20,477.80,932200,477.80
2012-07-10,477.00,481.90,470.10,480.10,978600,480.10
2012-07-09,465.90,479.65,460.05,473.50,1976300,473.50
2012-07-06,444.90,467.20,434.35,466.85,1501000,466.85
2012-07-05,444.65,449.80,441.10,443.00,547600,443.00
2012-07-04,437.00,444.45,432.00,442.40,700100,442.40
2012-07-03,434.85,440.80,427.60,434.55,603500,434.55
2012-07-02,423.00,439.00,420.70,434.40,917000,434.40
2012-06-29,453.35,453.35,412.50,422.20,528700,422.20
2012-06-28,420.00,421.80,409.65,412.10,522500,412.10
2012-06-27,417.90,424.00,415.10,418.50,531900,418.50
2012-06-26,414.65,420.80,410.10,414.85,521100,414.85
2012-06-25,422.50,429.90,411.40,411.65,1359800,411.65
2012-06-22,400.00,423.95,395.00,421.35,1373400,421.35
2012-06-21,392.95,407.60,389.25,406.40,527000,406.40
2012-06-20,391.65,398.70,388.60,393.50,392100,393.50
2012-06-19,383.00,392.90,382.60,391.15,272400,391.15
2012-06-18,400.10,402.65,381.00,385.00,391700,385.00
2012-06-15,389.95,400.10,389.95,396.80,324500,396.80
2012-06-14,403.80,408.00,385.25,386.65,469100,386.65
2012-06-13,400.00,412.45,400.00,404.80,693100,404.80
2012-06-12,388.55,401.90,387.15,399.90,458400,399.90
2012-06-11,404.40,414.00,388.30,388.35,771900,388.35
2012-06-08,399.95,404.40,387.45,402.35,501600,402.35
2012-06-07,395.00,407.95,395.00,400.00,849600,400.00
2012-06-06,394.70,401.00,385.25,392.80,1044000,392.80
2012-06-05,365.10,395.70,365.10,390.00,1144800,390.00
2012-06-01,372.80,382.70,363.00,363.00,324500,363.00
2012-05-31,370.05,376.80,367.00,374.60,258700,374.60
2012-05-30,384.00,385.30,372.30,373.00,233000,373.00
2012-05-29,388.75,393.10,384.10,385.50,431000,385.50
2012-05-28,382.30,390.80,382.30,386.10,326300,386.10
2012-05-25,376.45,386.90,374.95,380.05,396400,380.05
2012-05-24,373.00,379.10,366.00,377.65,372900,377.65
2012-05-23,372.35,377.25,368.00,371.65,268900,371.65
2012-05-22,380.10,392.90,372.25,373.00,556900,373.00
2012-05-21,375.00,387.80,375.00,382.40,412300,382.40
2012-05-18,369.20,376.85,362.05,373.10,398400,373.10
2012-05-17,374.95,385.00,371.10,373.60,364600,373.60
2012-05-16,376.95,381.00,368.60,376.60,381100,376.60
2012-05-14,392.50,393.00,379.45,383.00,317100,383.00
2012-05-11,389.95,397.15,383.00,389.55,567000,389.55
2012-05-10,394.95,403.00,387.05,390.40,567600,390.40
2012-05-09,396.80,407.40,388.00,392.55,714200,392.55
2012-05-08,412.00,422.40,390.00,391.60,1046500,391.60
2012-05-07,384.00,415.00,372.80,414.00,921900,414.00
2012-05-04,410.00,413.65,386.85,387.95,604600,387.95
2012-05-03,419.60,422.55,408.10,415.00,527600,415.00
2012-05-02,427.10,433.85,419.50,420.10,758400,420.10
