/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,307.55,308.85,298.80,299.85,672500,300.00
2012-07-20,309.10,309.80,298.65,300.00,672500,300.00
2012-07-19,305.40,307.50,302.00,304.10,607900,304.10
2012-07-18,294.00,302.50,287.05,302.00,780400,302.00
2012-07-17,303.00,303.75,291.60,293.25,551000,293.25
2012-07-16,305.70,307.00,299.35,300.25,347800,300.25
2012-07-13,306.75,310.50,303.60,304.65,458100,304.65
2012-07-12,309.00,309.00,303.05,304.75,486100,304.75
2012-07-11,314.60,318.30,310.25,311.10,849000,311.10
2012-07-10,303.50,313.90,302.35,313.50,735000,313.50
2012-07-09,309.50,309.80,300.00,302.25,553100,302.25
2012-07-06,316.30,317.05,308.10,311.00,619400,311.00
2012-07-05,312.15,319.70,312.15,315.55,1130400,315.55
2012-07-04,314.75,316.20,310.00,312.20,760400,312.20
2012-07-03,312.00,316.40,310.85,313.10,1066400,313.10
2012-07-02,303.50,312.00,301.00,308.55,1302000,308.55
2012-06-29,297.80,304.00,296.00,301.20,1072000,301.20
2012-06-28,299.50,299.65,291.30,293.45,486300,293.45
2012-06-27,298.00,302.40,295.10,296.95,574100,296.95
2012-06-26,295.00,301.35,294.50,297.95,504000,297.95
2012-06-25,298.00,307.90,293.05,295.35,1114900,295.35
2012-06-22,292.65,302.80,291.20,299.60,1375400,299.60
2012-06-21,291.00,297.25,289.80,295.00,857500,295.00
2012-06-20,285.60,292.50,282.00,289.55,846000,289.55
2012-06-19,275.10,284.00,274.00,283.60,593700,283.60
2012-06-18,298.15,299.50,277.20,278.00,640800,278.00
2012-06-15,294.10,298.00,291.50,296.50,652700,296.50
2012-06-14,290.05,298.00,287.00,291.40,903100,291.40
2012-06-13,294.35,297.30,289.45,290.70,602300,290.70
2012-06-12,287.40,295.55,284.90,293.30,737800,293.30
2012-06-11,296.80,303.00,286.10,286.55,1026500,286.55
2012-06-08,288.55,294.70,284.00,293.90,932600,293.90
2012-06-07,287.40,291.60,283.60,288.20,645800,288.20
2012-06-06,280.75,287.90,278.00,284.30,782500,284.30
2012-06-05,279.95,284.60,272.25,276.00,616400,276.00
2012-06-01,284.30,290.40,272.70,276.00,559400,276.00
2012-05-31,284.00,288.90,277.65,287.60,854600,287.60
2012-05-30,300.00,301.05,282.10,283.95,715900,283.95
2012-05-29,301.50,308.80,300.20,301.40,716200,301.40
2012-05-28,293.00,301.95,293.00,301.70,603500,301.70
2012-05-25,290.15,296.70,288.15,294.95,477700,294.95
2012-05-24,284.95,293.60,282.50,292.95,525900,292.95
2012-05-23,285.00,287.45,281.10,285.00,501000,285.00
2012-05-22,296.35,300.90,287.00,288.00,935400,288.00
2012-05-21,285.00,294.90,283.50,291.00,562900,291.00
2012-05-18,279.00,285.00,275.05,283.00,669200,283.00
2012-05-17,290.15,296.40,282.15,282.55,694000,282.55
2012-05-16,280.00,291.85,275.10,286.90,910900,286.90
2012-05-14,293.45,295.90,281.55,285.00,744400,285.00
2012-05-11,300.05,304.00,291.00,294.50,772800,294.50
2012-05-10,303.00,311.25,301.10,301.60,578600,301.60
2012-05-09,307.00,314.00,299.25,300.80,709700,300.80
2012-05-08,324.40,324.40,302.20,304.00,723900,304.00
2012-05-07,308.00,325.00,298.50,323.90,919300,323.90
