Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,296.70,298.30,294.40,297.00,29400,297.00
2012-07-20,296.25,299.05,294.00,297.00,202300,297.00
2012-07-19,302.00,306.80,294.60,296.00,253500,296.00
2012-07-18,297.05,301.65,293.50,300.05,216700,300.05
2012-07-17,304.95,305.00,294.60,294.80,193800,294.80
2012-07-16,303.95,303.95,298.00,302.05,106100,302.05
2012-07-13,304.70,306.30,299.15,299.15,159100,299.15
2012-07-12,304.90,306.45,302.40,303.20,98800,303.20
2012-07-11,310.00,310.05,305.05,306.25,80400,306.25
2012-07-10,306.05,308.85,304.15,307.50,135900,307.50
2012-07-09,314.60,314.60,302.00,303.10,301000,303.10
2012-07-06,319.00,321.50,309.95,311.30,358500,311.30
2012-07-05,312.00,321.10,312.00,319.00,476500,319.00
2012-07-04,308.90,315.95,308.90,314.60,814400,314.60
2012-07-03,301.20,308.90,301.00,308.60,718500,308.60
2012-07-02,302.85,302.85,297.95,300.65,260000,300.65
2012-06-29,291.05,301.25,291.05,300.10,375300,300.10
2012-06-28,294.35,298.15,288.85,290.00,542500,290.00
2012-06-27,289.80,293.40,288.50,293.40,121000,293.40
2012-06-26,293.35,293.35,286.65,289.40,212100,289.40
2012-06-25,298.70,300.70,291.50,293.40,146100,293.40
2012-06-22,302.85,302.85,294.30,295.80,307200,295.80
2012-06-21,301.80,304.95,300.25,302.20,328800,302.20
2012-06-20,301.00,308.50,300.50,303.95,735300,303.95
2012-06-19,302.60,306.40,299.55,301.00,128600,301.00
2012-06-18,313.00,314.70,301.60,304.70,442500,304.70
2012-06-15,306.00,312.90,301.15,312.90,442100,312.90
2012-06-14,309.80,309.80,301.55,304.05,126600,304.05
2012-06-13,311.25,311.90,306.80,307.80,399400,307.80
2012-06-12,304.65,313.50,295.95,311.45,261100,311.45
2012-06-11,312.00,313.80,304.60,305.05,185800,305.05
2012-06-08,305.00,311.40,304.10,309.60,341500,309.60
2012-06-07,314.85,315.25,305.25,306.10,504600,306.10
2012-06-06,306.05,312.45,303.15,311.20,286800,311.20
2012-06-05,300.00,307.85,295.40,304.00,138700,304.00
2012-06-01,313.75,315.50,298.40,302.50,106100,302.50
2012-05-31,316.50,316.55,311.05,312.10,437800,312.10
2012-05-30,315.95,319.80,312.25,314.00,205000,314.00
2012-05-29,310.20,321.90,310.20,315.50,260200,315.50
2012-05-28,310.00,322.00,307.15,321.80,818300,321.80
2012-05-25,306.00,311.90,306.00,310.00,112300,310.00
2012-05-24,312.70,312.70,305.15,308.00,291800,308.00
2012-05-23,306.75,315.50,304.50,313.00,458200,313.00
2012-05-22,312.30,313.70,306.05,306.95,120500,306.95
2012-05-21,310.05,315.80,306.85,308.00,260500,308.00
2012-05-18,305.00,313.75,301.00,310.00,574300,310.00
2012-05-17,318.00,320.00,302.65,313.00,251800,313.00
2012-05-16,320.00,320.00,311.70,314.25,155600,314.25
2012-05-14,323.00,326.00,313.50,323.10,298300,323.10
2012-05-11,335.30,338.00,320.00,320.20,383700,320.20
2012-05-10,332.00,343.55,328.30,337.75,342000,337.75
2012-05-09,336.00,343.95,328.30,336.80,629000,336.80
2012-05-08,330.60,358.40,328.00,336.15,1054900,336.15
2012-05-07,320.95,331.00,313.30,329.00,349400,329.00
2012-05-04,318.30,331.40,318.30,320.95,614700,320.95
2012-05-03,328.00,329.75,321.55,322.00,223600,322.00
2012-05-02,320.25,332.00,320.25,325.95,369600,325.95
2012-04-30,318.45,323.00,314.00,323.00,243300,323.00
2012-04-27,319.00,319.00,309.60,316.35,284500,316.35
2012-04-26,315.55,323.00,311.40,314.00,1342900,314.00
2012-04-25,314.20,316.55,309.05,314.85,247700,314.85
2012-04-24,317.55,319.45,310.55,312.60,657700,312.60
2012-04-23,322.00,325.90,317.15,318.40,133100,318.40
2012-04-20,320.00,326.95,317.00,322.80,206300,322.80
2012-04-19,331.00,333.20,321.75,323.20,273700,323.20
2012-04-18,324.90,331.60,321.70,326.25,606100,326.25
2012-04-17,311.85,324.25,309.05,323.75,360800,323.75
2012-04-16,306.20,314.90,306.15,310.00,276500,310.00
2012-04-13,317.50,319.50,308.00,310.00,153700,310.00
2012-04-12,317.00,321.10,314.50,316.00,202900,316.00
2012-04-11,314.85,317.50,311.40,317.25,205500,317.25
2012-04-10,314.50,319.90,312.10,315.90,158200,315.90
2012-04-09,315.00,315.50,310.00,312.80,122300,312.80
2012-04-04,308.50,315.90,305.00,315.00,220700,315.00
2012-04-03,318.70,318.70,307.85,310.50,180800,310.50
2012-04-02,319.20,323.00,313.40,314.50,162700,314.50
2012-03-30,312.35,323.00,308.00,321.00,704800,321.00
2012-03-29,294.25,312.40,292.40,306.10,801100,306.10
2012-03-28,299.00,305.00,295.00,297.85,267700,297.85
2012-03-27,311.40,314.20,298.00,300.60,321500,300.60
2012-03-26,311.60,315.80,305.20,306.00,574900,306.00
2012-03-23,318.00,324.90,309.15,310.05,476800,310.05
2012-03-22,329.00,331.00,316.10,317.00,352800,317.00
2012-03-21,326.45,331.50,324.00,327.05,732100,327.05
2012-03-20,325.95,331.75,323.00,325.45,373900,325.45
2012-03-19,331.80,335.45,320.90,322.45,336100,322.45
2012-03-16,325.85,336.85,321.05,330.90,1319100,330.90
2012-03-15,325.20,333.60,321.50,321.60,958100,321.60
2012-03-14,323.30,328.90,322.20,325.25,712100,325.25
2012-03-13,332.75,332.95,317.70,321.95,1023600,321.95
2012-03-12,314.95,330.90,311.25,328.00,1140000,328.00
2012-03-09,307.00,312.80,307.00,308.00,363700,308.00
2012-03-07,311.00,311.00,302.55,303.55,308400,303.55
2012-03-06,303.45,314.40,300.40,306.35,777300,306.35
2012-03-05,306.05,309.45,303.00,303.45,310000,303.45
2012-03-02,311.80,317.00,299.80,302.35,568700,302.35
2012-03-01,308.50,314.80,302.70,306.05,234900,306.05
2012-02-29,312.00,317.45,306.00,307.50,264900,307.50
2012-02-28,292.00,314.35,292.00,314.35,310700,314.35
2012-02-27,302.80,302.80,286.20,291.00,345400,291.00
2012-02-24,305.40,307.00,291.60,300.60,473200,300.60
2012-02-23,299.90,307.70,291.30,302.05,482200,302.05
2012-02-22,315.40,321.50,294.85,300.35,361800,300.35
2012-02-21,320.00,327.50,316.10,317.30,473700,317.30
2012-02-17,329.90,349.40,317.55,317.65,602900,317.65
2012-02-16,313.05,323.50,305.95,321.75,340600,321.75
2012-02-15,315.00,319.25,307.90,311.00,780600,311.00
2012-02-14,318.00,342.00,305.00,314.70,598000,314.70
2012-02-13,305.00,309.00,303.35,303.90,299100,303.90
2012-02-10,311.80,316.65,302.15,302.35,403300,302.35
2012-02-09,307.00,313.00,305.60,312.45,272900,312.45
2012-02-08,305.20,314.00,304.55,307.10,1411800,307.10
2012-02-07,313.00,314.80,302.55,304.50,633700,304.50
2012-02-06,309.45,313.50,304.40,305.70,374500,305.70
2012-02-03,294.80,306.90,290.70,304.95,624200,304.95
2012-02-02,294.80,299.00,290.15,294.00,526600,294.00
2012-02-01,288.00,294.95,286.65,292.40,210900,292.40
2012-01-31,285.00,294.00,283.45,288.00,560500,288.00
2012-01-30,287.00,288.40,282.00,283.00,288100,283.00
2012-01-27,283.95,290.70,278.45,288.25,685300,288.25
2012-01-25,290.00,290.00,279.30,282.30,388400,282.30
2012-01-24,276.20,288.10,272.55,286.00,407700,286.00
2012-01-23,282.15,285.70,273.50,273.50,269900,273.50
2012-01-20,277.00,285.10,276.40,284.95,175600,284.95
2012-01-19,279.50,284.90,275.10,276.55,158000,276.55
2012-01-18,286.05,289.50,276.15,276.50,174100,276.50
2012-01-17,290.00,291.75,286.05,286.45,235300,286.45
2012-01-16,285.00,289.45,279.00,287.50,252900,287.50
2012-01-13,281.40,289.50,278.60,285.50,274000,285.50
2012-01-12,277.20,282.85,275.30,277.00,157100,277.00
2012-01-11,279.65,283.95,276.00,281.00,207900,281.00
2012-01-10,264.85,279.90,264.85,275.05,292400,275.05
2012-01-06,258.55,262.30,255.15,260.50,96000,260.50
2012-01-05,260.20,262.65,257.20,257.30,105600,257.30
2012-01-04,266.50,266.50,257.00,257.90,238700,257.90
2012-01-03,252.95,268.00,252.40,262.30,149600,262.30
2012-01-02,252.05,253.00,245.60,251.95,68400,251.95
2011-12-30,252.00,254.25,244.05,248.30,210300,248.30
2011-12-29,249.35,252.80,242.05,250.00,486300,250.00
2011-12-28,259.60,264.35,248.25,248.50,281900,248.50
2011-12-27,260.00,262.60,253.50,254.00,124100,254.00
2011-12-26,251.50,259.80,250.20,259.00,95900,259.00
2011-12-23,256.00,259.00,251.50,252.50,189600,252.50
2011-12-22,249.90,256.25,245.90,253.95,141500,253.95
2011-12-21,244.95,255.55,237.60,252.50,247300,252.50
2011-12-20,244.00,245.90,230.20,240.25,446200,240.25
2011-12-19,250.05,253.60,241.60,243.25,343800,243.25
2011-12-16,254.00,258.45,248.05,252.60,266200,252.60
2011-12-15,252.00,255.25,245.50,253.50,601700,253.50
2011-12-14,254.00,259.70,252.35,253.60,248300,253.60
2011-12-13,255.10,257.25,251.00,257.20,374500,257.20
2011-12-12,263.65,264.25,253.35,253.55,159900,253.55
2011-12-09,263.00,267.05,259.10,263.00,221900,263.00
2011-12-08,268.50,270.00,261.20,267.90,2244800,267.90
2011-12-07,270.25,274.05,266.40,266.65,69800,266.65
2011-12-05,262.00,273.05,261.95,270.95,135800,270.95
2011-12-02,261.25,271.40,257.20,271.00,143600,271.00
2011-12-01,262.30,268.35,257.10,262.50,284000,262.50
2011-11-30,264.05,266.55,257.15,259.00,169800,259.00
2011-11-29,267.20,270.95,261.35,264.70,305400,264.70
2011-11-28,260.60,272.50,260.60,266.65,447100,266.65
2011-11-25,267.00,272.35,264.00,268.90,122300,268.90
2011-11-24,260.55,272.00,254.60,268.05,249200,268.05
2011-11-23,289.00,289.00,257.40,258.00,167800,258.00
2011-11-22,269.60,273.85,266.05,269.55,64300,269.55
2011-11-21,276.00,276.00,265.40,266.05,264000,266.05
2011-11-18,273.00,278.25,268.65,275.20,104800,275.20
2011-11-17,274.95,277.50,271.05,274.00,239600,274.00
2011-11-16,273.15,277.40,262.60,276.00,232500,276.00
2011-11-15,274.85,277.35,268.10,271.50,233500,271.50
2011-11-14,285.00,287.75,274.50,276.00,179400,276.00
2011-11-11,285.50,286.90,280.00,284.30,250600,284.30
2011-11-09,291.50,294.70,280.90,281.45,1005600,281.45
2011-11-08,297.00,299.50,288.05,289.00,280300,289.00
2011-11-04,294.00,302.00,292.00,297.10,531100,297.10
2011-11-03,292.60,294.95,288.20,289.50,160500,289.50
2011-11-02,290.55,296.90,283.50,292.00,146500,292.00
2011-11-01,297.50,298.45,288.15,290.00,102400,290.00
2011-10-31,304.00,309.65,297.60,299.00,229200,299.00
2011-10-28,283.60,305.00,283.60,304.05,473100,304.05
2011-10-26,298.70,298.70,278.00,281.20,46300,281.20
2011-10-25,284.05,288.55,275.05,278.00,459000,278.00
2011-10-24,285.00,289.40,284.00,284.00,74400,284.00
2011-10-21,286.95,289.60,284.10,285.90,48100,285.90
2011-10-20,288.00,288.80,283.30,285.85,124700,285.85
2011-10-19,289.90,290.00,279.20,289.00,122300,289.00
2011-10-18,280.00,283.90,276.00,282.00,85400,282.00
2011-10-17,291.00,294.95,283.50,283.50,239000,283.50
2011-10-14,280.05,290.85,278.50,289.05,134900,289.05
2011-10-13,284.90,287.00,280.15,281.10,96300,281.10
2011-10-12,273.00,286.80,270.35,284.60,277900,284.60
2011-10-11,264.20,273.95,255.25,270.00,170000,270.00
2011-10-10,255.25,271.80,255.05,270.00,172500,270.00
2011-10-07,257.00,264.00,251.30,257.00,110300,257.00
2011-10-05,258.15,263.00,252.40,254.40,145400,254.40
2011-10-04,258.95,261.10,253.05,258.00,171400,258.00
2011-10-03,260.30,264.90,257.00,258.85,204800,258.85
2011-09-30,275.50,275.50,266.50,266.50,255200,266.50
2011-09-29,269.25,274.60,267.00,273.00,277500,273.00
2011-09-28,275.00,275.45,268.15,270.00,330800,270.00
2011-09-27,275.05,279.70,271.25,273.50,229800,273.50
2011-09-26,274.90,297.70,267.40,272.55,272000,272.55
2011-09-23,278.00,278.05,269.10,270.50,225800,270.50
2011-09-22,290.00,290.00,273.15,277.00,295200,277.00
2011-09-21,290.00,294.20,286.00,288.05,296500,288.05
2011-09-20,290.10,293.65,267.75,290.55,295800,290.55
2011-09-19,283.00,291.95,281.00,290.00,215400,290.00
2011-09-16,283.00,289.95,275.60,284.10,560100,284.10
2011-09-15,283.75,283.75,274.10,279.00,164100,279.00
2011-09-14,273.00,279.50,270.00,279.00,346100,279.00
2011-09-13,281.35,289.85,274.30,274.50,105700,274.50
2011-09-12,288.00,288.00,277.00,280.45,274200,280.45
2011-09-09,292.50,295.75,286.15,290.20,264300,290.20
2011-09-08,295.05,299.75,290.60,293.25,185200,293.25
2011-09-07,289.95,299.05,288.30,294.10,260900,294.10
2011-09-06,289.90,294.10,280.50,292.95,286400,292.95
2011-09-05,284.00,289.90,280.05,288.00,103300,288.00
2011-09-02,278.05,287.35,275.25,284.60,153900,284.60
2011-08-30,275.00,279.70,270.50,279.00,156500,279.00
2011-08-29,265.10,273.00,264.50,271.85,89600,271.85
2011-08-26,274.45,274.90,258.60,262.00,388400,262.00
2011-08-25,279.85,279.85,267.50,275.30,450700,275.30
2011-08-24,278.20,284.95,273.20,274.05,132900,274.05
2011-08-23,278.95,282.85,256.80,281.60,115900,281.60
2011-08-22,279.90,283.75,275.15,280.00,140800,280.00
2011-08-19,268.00,280.75,268.00,280.75,272200,280.75
2011-08-18,288.00,288.00,274.50,274.50,377200,274.50
2011-08-17,285.80,288.85,272.20,285.00,311200,285.00
2011-08-16,294.00,296.00,275.10,288.00,400100,288.00
2011-08-12,292.65,297.95,286.70,293.85,566300,293.85
2011-08-11,283.00,293.45,282.65,290.00,637500,290.00
2011-08-10,276.65,290.70,273.85,282.05,1379700,282.05
2011-08-09,262.50,278.40,262.50,269.20,1117900,269.20
2011-08-08,272.60,276.75,261.95,270.55,1387500,270.55
2011-08-05,288.00,289.90,274.25,275.00,1180200,275.00
2011-08-04,304.00,304.00,291.00,295.05,606400,295.05
2011-08-03,295.95,307.70,290.20,305.00,1070000,301.50
2011-08-02,316.00,316.00,295.50,297.00,809900,293.59
2011-08-01,331.50,331.50,301.55,311.15,807500,307.58
2011-07-29,321.25,334.00,321.25,326.80,363400,323.05
2011-07-28,335.95,337.40,326.00,328.00,310800,324.24
2011-07-27,336.00,342.80,333.30,338.00,279300,334.12
2011-07-26,343.00,348.20,332.20,338.40,491200,334.52
2011-07-25,338.50,346.00,337.10,341.00,178400,337.09
2011-07-22,332.05,342.90,331.85,339.10,326700,335.21
2011-07-21,327.05,334.00,327.05,329.05,179500,325.27
2011-07-20,338.25,338.25,329.10,330.70,231600,326.91
2011-07-19,334.75,340.70,333.05,336.25,144100,332.39
2011-07-18,335.00,339.50,333.10,333.80,77500,329.97
2011-07-15,334.95,341.50,334.55,335.80,79400,331.95
2011-07-14,336.10,344.30,330.30,337.00,436100,333.13
2011-07-13,331.65,337.50,324.95,335.50,394300,331.65
2011-07-12,324.00,329.30,321.45,323.80,188200,320.08
2011-07-11,327.00,331.95,324.75,326.75,126800,323.00
2011-07-08,331.10,332.40,324.00,328.70,221800,324.93
2011-07-07,323.30,332.40,322.00,330.90,574300,327.10
2011-07-06,308.65,324.75,307.50,324.10,855800,320.38
2011-07-05,309.45,314.40,306.20,308.50,331800,304.96
2011-07-04,307.00,313.80,306.20,310.90,623000,307.33
2011-07-01,306.50,311.85,304.10,306.45,232300,302.93
2011-06-30,304.20,318.90,304.05,309.00,2027800,305.45
2011-06-29,310.00,314.70,303.10,305.00,547500,301.50
2011-06-28,308.00,311.00,306.05,306.25,205900,302.74
2011-06-27,301.10,309.40,296.60,308.00,350100,304.47
2011-06-24,288.15,306.00,287.50,301.35,527700,297.89
2011-06-23,291.75,291.75,284.35,285.00,216100,281.73
2011-06-22,292.15,294.40,287.25,290.00,357300,286.67
2011-06-21,296.05,297.85,286.40,291.00,903200,287.66
2011-06-20,309.90,309.90,293.75,294.55,181300,291.17
2011-06-17,306.05,309.00,303.95,307.00,142100,303.48
2011-06-16,305.90,307.20,303.05,305.00,98300,301.50
2011-06-15,314.95,314.95,305.25,306.00,140600,302.49
2011-06-14,314.60,314.95,310.50,312.80,153200,309.21
2011-06-13,309.05,311.45,304.50,310.40,246600,306.84
2011-06-10,311.50,311.50,303.50,307.00,432600,303.48
2011-06-09,312.90,313.00,309.00,309.95,119300,306.39
2011-06-08,311.20,313.95,310.30,311.30,185700,307.73
2011-06-07,310.50,315.90,310.50,314.00,81100,310.40
2011-06-06,312.00,313.45,307.75,313.00,69100,309.41
2011-06-03,315.20,318.80,311.50,312.50,89300,308.91
2011-06-02,318.95,318.95,314.00,314.35,120100,310.74
2011-06-01,318.05,322.85,317.20,320.35,185200,316.67
2011-05-31,318.90,325.85,316.55,319.65,261200,315.98
2011-05-30,318.05,319.80,315.05,318.00,160700,314.35
2011-05-27,315.20,318.00,313.15,317.20,151000,313.56
2011-05-26,315.00,319.95,308.30,313.70,679500,310.10
2011-05-25,305.95,315.70,305.00,314.00,589700,310.40
2011-05-24,324.95,330.40,301.60,304.00,1861700,300.51
2011-05-23,329.00,329.00,323.45,326.45,78500,322.70
2011-05-20,334.85,334.85,325.55,329.00,129400,325.22
2011-05-19,323.10,333.50,318.10,333.25,157300,329.43
2011-05-18,332.50,333.00,321.35,324.00,140500,320.28
2011-05-17,331.00,332.20,326.15,330.25,103100,326.46
2011-05-16,344.05,344.05,330.25,331.35,290800,327.55
2011-05-13,341.00,344.50,337.25,341.65,85400,337.73
2011-05-12,346.50,346.50,338.25,340.00,127200,336.10
2011-05-11,350.00,352.00,344.00,346.30,202400,342.33
2011-05-10,344.20,348.90,342.60,348.35,105600,344.35
2011-05-09,340.25,348.00,335.15,344.05,351500,340.10
2011-05-06,338.20,341.65,334.05,338.55,78600,334.66
2011-05-05,340.05,341.90,332.35,336.20,159800,332.34
2011-05-04,339.40,342.50,332.25,339.00,213200,335.11
2011-05-03,345.30,350.10,337.40,338.10,112100,334.22
2011-05-02,348.40,354.85,345.70,346.25,166000,342.28
2011-04-29,354.75,354.75,345.35,348.50,125800,344.50
2011-04-28,363.40,363.40,350.05,351.50,400400,347.47
2011-04-27,361.40,364.35,357.75,360.00,81000,355.87
2011-04-26,361.00,362.60,356.60,360.50,111000,356.36
2011-04-25,358.30,360.55,353.45,360.45,170000,356.31
2011-04-21,357.65,362.25,354.35,356.05,93800,351.96
2011-04-20,355.45,360.50,351.15,358.30,116300,354.19
2011-04-19,350.50,354.50,345.15,351.40,123500,347.37
2011-04-18,360.90,365.10,350.05,350.50,210000,346.48
2011-04-15,360.00,361.70,356.85,360.05,114000,355.92
2011-04-13,345.75,362.80,345.75,361.00,275700,356.86
2011-04-11,357.85,357.90,350.50,350.50,153300,346.48
2011-04-08,369.25,370.00,356.35,359.20,170800,355.08
2011-04-07,364.95,369.50,359.00,367.10,178600,362.89
2011-04-06,361.00,370.25,358.10,364.00,392100,359.82
2011-04-05,365.70,366.05,358.30,359.70,111000,355.57
2011-04-04,357.05,366.90,353.40,366.00,226900,361.80
2011-04-01,347.45,356.90,345.15,356.90,348500,352.80
2011-03-31,342.45,355.00,335.25,346.00,720200,342.03
