/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,317.00,319.30,313.70,314.65,4770600,315.00
2012-07-20,317.00,319.40,313.35,315.00,4770600,315.00
2012-07-19,326.10,326.85,315.25,316.30,3020000,316.30
2012-07-18,324.45,326.25,315.00,325.65,3828100,325.65
2012-07-17,323.20,328.80,320.05,320.60,5923100,320.60
2012-07-16,313.50,321.95,310.00,319.65,5805200,319.65
2012-07-13,308.45,309.85,306.50,308.15,2494100,308.15
2012-07-12,314.90,316.20,305.55,306.30,3471600,306.30
2012-07-11,319.00,320.45,314.70,315.80,2335900,315.80
2012-07-10,317.80,324.90,316.05,320.90,2244500,320.90
2012-07-09,320.45,320.45,313.65,316.50,1369800,316.50
2012-07-06,324.20,325.35,319.30,321.30,1854500,321.30
2012-07-05,326.00,328.35,323.00,323.25,2740600,323.25
2012-07-04,320.00,328.00,318.70,326.95,4571400,326.95
2012-07-03,312.40,322.60,312.00,319.20,6263600,319.20
2012-07-02,305.05,311.50,305.00,310.95,2464400,310.95
2012-06-29,304.00,307.85,302.50,305.25,5028800,305.25
2012-06-28,305.70,306.70,302.35,302.75,2369200,302.75
2012-06-27,307.70,308.00,302.90,304.50,3234600,304.50
2012-06-26,309.25,310.50,303.80,307.00,2035600,307.00
2012-06-25,313.45,314.50,307.40,308.65,1863900,308.65
2012-06-22,310.10,312.40,306.00,311.40,1748800,311.40
2012-06-21,310.30,314.00,309.05,311.85,2128200,311.85
2012-06-20,315.85,316.90,309.00,310.50,2409100,310.50
2012-06-19,308.30,316.00,308.30,315.40,2306700,315.40
2012-06-18,314.00,314.75,307.00,310.05,1887000,310.05
2012-06-15,303.55,312.65,303.00,312.30,2189500,312.30
2012-06-14,305.20,308.30,303.75,306.00,2412500,306.00
2012-06-13,310.00,313.40,306.40,307.45,2582300,307.45
2012-06-12,301.00,309.90,301.00,308.20,1487700,308.20
2012-06-11,308.65,308.65,301.90,301.90,1906300,301.90
2012-06-08,297.00,308.00,297.00,305.80,3284600,305.80
2012-06-07,300.00,302.50,294.65,300.85,2783000,300.85
2012-06-06,291.00,299.50,285.30,297.00,8960000,297.00
2012-06-05,297.00,297.75,285.35,287.75,9442400,287.75
2012-06-01,300.10,304.65,299.15,302.00,3156200,302.00
2012-05-31,301.45,307.90,300.00,301.50,5647600,301.50
2012-05-30,300.90,307.00,299.20,302.55,3569100,302.55
2012-05-29,303.00,304.40,299.00,299.75,2603400,299.75
2012-05-28,300.25,304.50,300.00,303.40,2087000,303.40
2012-05-25,301.00,302.95,297.00,297.80,2943300,297.80
2012-05-24,280.55,301.60,280.55,297.10,3786800,297.10
2012-05-23,295.05,296.45,280.10,281.35,5013300,281.35
2012-05-22,299.70,299.70,293.85,295.00,2360200,295.00
2012-05-21,297.40,303.00,292.75,294.50,2007200,294.50
2012-05-18,295.95,298.95,292.65,298.95,2774700,298.95
2012-05-17,300.45,306.00,297.35,298.65,2644400,298.65
2012-05-16,300.00,304.80,295.35,300.00,3651000,300.00
2012-05-14,308.00,310.00,302.00,307.40,2020400,307.40
2012-05-11,307.10,312.50,306.00,307.40,1777100,307.40
2012-05-10,309.65,314.75,308.35,312.00,2852000,312.00
2012-05-09,312.90,313.20,308.05,309.20,1843900,309.20
2012-05-08,317.00,319.20,313.10,314.10,2471600,314.10
2012-05-07,309.30,318.20,307.75,318.00,2779500,318.00
2012-05-04,313.40,315.50,309.70,312.25,3255900,312.25
2012-05-03,315.00,317.45,313.10,315.40,1757700,315.40
2012-05-02,312.00,319.95,307.55,318.00,6770700,318.00
2012-04-30,307.10,312.55,307.10,310.50,3109700,310.50
2012-04-27,308.30,313.00,303.00,307.00,4531100,307.00
2012-04-26,315.00,316.95,305.50,312.00,6066500,312.00
2012-04-25,305.00,315.65,305.00,312.65,4095700,312.65
2012-04-24,306.10,309.70,288.95,307.75,13804800,307.75
2012-04-23,322.60,326.50,310.40,312.00,3595000,312.00
2012-04-20,323.15,328.45,320.35,324.90,2233000,324.90
2012-04-19,322.60,325.80,321.50,323.90,1313300,323.90
2012-04-18,326.00,326.40,320.55,321.00,1885400,321.00
2012-04-17,316.95,324.00,315.10,323.00,3384500,323.00
2012-04-16,322.00,322.00,314.50,318.45,3883200,318.45
2012-04-13,325.55,329.10,320.40,323.25,2034800,323.25
