/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,239.00,239.50,227.50,228.10,6338800,227.75
2012-07-20,239.00,239.90,227.50,227.75,6338800,227.75
2012-07-19,233.20,236.90,232.90,234.85,4324800,234.85
2012-07-18,225.00,231.15,222.10,230.60,2620500,230.60
2012-07-17,231.55,232.15,225.50,225.75,1722800,225.75
2012-07-16,234.50,234.50,229.60,230.00,1523700,230.00
2012-07-13,231.00,233.10,229.80,231.25,2014800,231.25
2012-07-12,232.00,234.90,229.35,230.80,2868800,230.80
2012-07-11,235.05,235.15,231.45,231.95,2505700,231.95
2012-07-10,232.10,236.50,232.10,235.90,2227300,235.90
2012-07-09,236.00,236.00,232.25,234.25,2602200,234.25
2012-07-06,237.00,237.20,232.60,236.05,4365500,236.05
2012-07-05,234.00,237.10,233.05,235.00,2765100,235.00
2012-07-04,233.10,234.65,231.70,233.35,2852700,233.35
2012-07-03,236.70,236.95,230.30,230.90,3105700,230.90
2012-07-02,234.45,236.70,231.70,235.30,3784800,235.30
2012-06-29,224.00,233.00,223.55,231.75,8257200,231.75
2012-06-28,221.10,223.65,219.70,221.30,7875100,221.30
2012-06-27,221.90,221.90,219.50,220.40,3642700,220.40
2012-06-26,217.50,220.60,217.20,219.65,2999200,219.65
2012-06-25,223.00,224.40,216.80,217.10,4132700,217.10
2012-06-22,220.25,225.40,218.05,220.50,5556600,220.50
2012-06-21,216.80,223.80,216.10,223.30,7973300,223.30
2012-06-20,213.10,217.65,212.80,215.05,5312700,215.05
2012-06-19,213.10,214.85,210.45,211.80,4730600,211.80
2012-06-18,221.50,222.95,212.70,213.55,4673600,213.55
2012-06-15,218.20,219.65,215.10,218.30,3685200,218.30
2012-06-14,220.90,221.75,216.30,217.05,3442200,217.05
2012-06-13,219.20,223.40,217.05,221.00,3855800,221.00
2012-06-12,214.10,219.95,213.25,219.50,3416300,219.50
2012-06-11,223.20,225.35,214.55,214.95,4869800,214.95
2012-06-08,216.50,221.95,215.50,221.70,4370500,221.70
2012-06-07,219.40,219.40,215.30,219.00,4136000,219.00
2012-06-06,212.00,217.50,211.80,215.15,5392900,215.15
2012-06-05,208.80,211.70,208.00,211.00,2874500,211.00
2012-06-01,211.15,211.90,206.25,206.60,2459800,206.60
2012-05-31,209.00,215.70,208.10,211.75,5100800,211.75
2012-05-30,217.00,217.00,210.30,210.90,2700100,210.90
2012-05-29,219.55,221.10,216.25,217.05,5127000,217.05
2012-05-28,209.25,217.95,209.25,217.90,6426600,217.90
2012-05-25,206.75,210.65,206.75,208.70,4476200,208.70
2012-05-24,210.50,212.00,205.50,208.00,5866400,208.00
2012-05-23,208.00,213.45,207.00,208.25,11091700,208.25
2012-05-22,209.40,213.55,207.15,208.65,6415400,208.65
2012-05-21,202.40,207.70,201.25,207.05,4573200,207.05
2012-05-18,203.45,204.90,197.35,201.25,9079000,201.25
2012-05-17,209.20,212.75,205.15,206.20,4837100,206.20
2012-05-16,212.95,213.60,206.00,209.00,5928900,209.00
2012-05-14,221.45,223.90,213.60,217.05,4999400,217.05
2012-05-11,217.10,224.75,217.10,220.50,9490700,220.50
2012-05-10,216.50,222.90,216.50,219.00,6204300,219.00
2012-05-09,214.00,222.35,213.00,215.95,5628900,215.95
2012-05-08,228.40,228.40,214.30,215.40,6085600,215.40
2012-05-07,211.00,228.70,208.65,225.95,9692600,225.95
2012-05-04,225.15,226.00,211.50,214.30,8701300,214.30
2012-05-03,223.00,228.45,222.75,225.45,4692800,225.45
2012-05-02,224.60,227.10,223.15,223.50,3700800,223.50
2012-04-30,225.95,227.20,222.30,224.20,5426400,224.20
2012-04-27,230.00,235.50,227.00,227.45,5578300,227.45
2012-04-26,232.00,233.00,227.60,230.55,9607300,230.55
2012-04-25,237.35,239.20,230.80,231.60,4338300,231.60
2012-04-24,237.15,240.80,233.95,237.45,4064200,237.45
2012-04-23,245.00,247.95,235.00,235.30,5171200,235.30
2012-04-20,249.00,252.55,243.00,245.50,7202900,245.50
2012-04-19,257.55,257.55,249.45,251.00,10518500,251.00
2012-04-18,264.00,266.90,259.80,260.10,4797400,260.10
2012-04-17,260.50,265.60,258.25,263.25,3902600,263.25
2012-04-16,256.00,262.90,255.30,261.35,3243500,261.35
2012-04-13,259.60,262.00,254.15,258.25,4504500,258.25
2012-04-12,254.00,257.90,253.90,257.50,4989000,257.50
2012-04-11,252.40,254.45,250.00,250.75,4892600,250.75
2012-04-10,264.00,264.20,254.85,255.60,7159500,255.60
2012-04-09,271.00,271.00,260.65,261.50,3922900,261.50
2012-04-04,263.00,274.50,262.35,273.60,11260300,273.60
2012-04-03,262.75,269.40,260.55,263.70,9072700,263.70
2012-04-02,257.85,261.90,254.00,261.05,3779800,261.05
2012-03-30,251.50,258.95,250.00,257.30,5649800,257.30
2012-03-29,250.50,252.65,246.00,248.00,6926800,248.00
2012-03-28,255.00,258.65,251.10,252.50,3822700,252.50
2012-03-27,262.20,262.95,251.25,255.95,6446300,255.95
2012-03-26,266.35,266.35,257.00,258.00,3547800,258.00
2012-03-23,262.50,269.45,258.55,267.00,7557800,267.00
2012-03-21,263.00,271.10,260.00,271.00,6235200,271.00
2012-03-20,261.00,267.30,255.65,262.25,8052900,262.25
2012-03-19,273.90,274.60,259.20,260.75,6793500,260.75
2012-03-16,287.00,294.85,269.55,272.50,8947600,272.50
2012-03-15,293.20,293.80,281.70,283.50,3568500,283.50
2012-03-14,295.90,297.95,291.30,294.10,4906900,294.10
2012-03-13,287.85,296.75,287.20,290.75,3950700,290.75
2012-03-12,284.90,286.40,279.60,284.60,4646000,284.60
2012-03-09,276.50,280.50,273.10,279.50,5066000,279.50
2012-03-07,271.70,277.80,264.00,270.20,6476600,270.20
2012-03-06,283.15,299.70,272.15,272.90,8442500,272.90
2012-03-05,292.25,292.50,283.05,284.70,3604100,284.70
2012-03-02,303.00,303.60,291.65,296.25,6781600,296.25
2012-03-01,304.95,304.95,295.00,297.95,6582800,297.95
2012-02-29,315.00,323.60,304.10,305.35,10501100,305.35
2012-02-28,293.00,311.00,292.30,310.40,6908300,310.40
2012-02-27,304.80,306.80,286.00,288.65,5033700,288.65
2012-02-24,315.00,318.00,301.65,303.55,5642200,303.55
2012-02-23,307.00,320.75,302.00,311.25,9992100,311.25
