Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,474.00,475.45,472.00,472.70,65700,472.50
2012-07-20,474.00,475.45,471.60,472.50,65700,472.50
2012-07-19,472.35,475.80,472.10,472.50,66900,472.50
2012-07-18,470.55,477.30,470.15,473.75,113300,473.75
2012-07-17,472.55,475.75,470.30,471.15,78000,471.15
2012-07-16,469.20,475.75,469.20,475.30,124500,475.30
2012-07-13,472.50,475.90,470.10,472.00,72500,472.00
2012-07-12,479.35,479.35,471.00,473.20,111800,473.20
2012-07-11,478.45,478.45,472.00,473.50,94100,473.50
2012-07-10,471.00,476.20,469.15,475.60,131700,475.60
2012-07-09,467.25,473.50,466.05,471.40,102800,471.40
2012-07-06,473.95,476.70,466.85,473.45,155600,473.45
2012-07-05,479.00,479.00,471.35,473.25,197900,473.25
2012-07-04,466.00,478.80,463.30,472.70,395700,472.70
2012-07-03,464.00,465.90,459.10,464.00,116300,464.00
2012-07-02,466.35,466.85,460.15,462.05,99600,462.05
2012-06-29,455.00,465.80,455.00,463.00,101300,463.00
2012-06-28,462.30,464.90,456.15,459.20,113400,459.20
2012-06-27,455.40,464.80,455.40,461.15,118700,461.15
2012-06-26,456.85,460.90,453.85,458.05,100100,458.05
2012-06-25,460.70,462.95,457.65,458.00,162000,458.00
2012-06-22,452.00,461.00,452.00,457.95,101700,457.95
2012-06-21,458.80,461.70,453.95,458.25,116800,458.25
2012-06-20,453.30,460.85,453.30,459.40,128200,459.40
2012-06-19,458.00,459.45,453.15,458.00,118300,458.00
2012-06-18,469.00,469.00,455.50,458.00,248000,458.00
2012-06-15,451.00,460.90,451.00,459.70,147200,459.70
2012-06-14,453.95,463.90,446.70,450.00,126400,450.00
2012-06-13,454.00,455.95,446.70,454.80,243800,454.80
2012-06-12,447.50,454.90,443.00,449.50,162100,449.50
2012-06-11,454.90,458.00,447.25,449.15,133500,449.15
2012-06-08,451.60,455.90,448.10,450.00,182700,450.00
2012-06-07,446.00,456.80,443.00,453.20,168900,453.20
2012-06-06,432.40,445.80,432.40,445.50,121300,445.50
2012-06-05,432.15,439.65,430.00,434.05,107900,434.05
2012-06-01,438.00,438.00,430.10,436.50,63400,436.50
2012-05-31,440.00,444.90,436.00,439.25,88600,439.25
2012-05-30,442.00,446.85,438.30,443.00,146000,443.00
2012-05-29,446.95,447.00,439.30,444.35,103900,444.35
2012-05-28,437.95,446.90,435.30,442.00,113900,442.00
2012-05-25,440.15,450.00,438.05,439.30,126600,439.30
2012-05-24,437.50,442.90,434.20,441.80,143200,441.80
2012-05-23,438.45,440.55,432.20,435.50,94900,435.50
2012-05-22,437.85,441.00,434.45,436.25,92400,436.25
2012-05-21,433.65,437.90,428.80,434.70,103500,434.70
2012-05-18,434.90,436.00,426.00,434.00,83600,434.00
2012-05-17,436.95,438.85,432.00,436.00,60100,436.00
2012-05-16,432.35,438.50,432.35,433.05,64600,433.05
2012-05-14,442.90,445.50,435.15,435.20,122800,435.20
2012-05-11,434.95,441.85,418.90,438.95,95900,438.95
2012-05-10,435.00,444.50,434.65,440.50,122900,440.50
2012-05-09,428.00,435.90,425.45,435.65,96500,435.65
2012-05-08,442.00,444.95,433.00,434.10,111500,434.10
2012-05-07,429.60,440.90,421.35,439.25,145200,439.25
2012-05-04,433.90,433.90,427.00,432.70,140100,432.70
2012-05-03,428.90,438.80,425.25,434.80,133700,434.80
2012-05-02,433.90,439.95,427.75,432.00,287000,432.00
2012-04-30,424.90,433.50,416.35,432.00,181500,432.00
2012-04-27,400.15,429.80,400.15,421.80,91500,421.80
2012-04-26,411.05,428.00,410.10,422.00,184600,422.00
2012-04-25,429.90,429.90,408.00,412.00,87500,412.00
2012-04-24,410.00,415.80,407.15,414.50,94900,414.50
2012-04-23,416.85,419.35,409.20,411.10,103800,411.10
2012-04-20,421.95,423.50,414.00,417.90,164900,417.90
2012-04-19,429.00,434.35,422.00,424.60,538000,424.60
2012-04-18,398.90,431.45,397.00,429.40,583900,429.40
2012-04-17,398.00,398.65,392.10,395.00,71100,395.00
2012-04-16,394.60,396.70,392.10,394.10,82900,394.10
2012-04-13,411.00,411.00,397.00,397.00,144200,397.00
2012-04-12,409.35,409.35,392.00,403.35,141400,403.35
2012-04-11,394.05,404.80,394.05,398.25,133700,398.25
2012-04-10,395.00,401.00,393.10,398.30,156800,398.30
2012-04-09,407.35,410.05,395.45,397.70,117500,397.70
2012-04-04,411.00,415.00,407.05,413.25,105300,413.25
2012-04-03,415.55,422.00,411.50,415.50,126600,415.50
2012-04-02,421.35,429.70,411.00,417.50,255700,417.50
2012-03-30,397.00,419.90,397.00,419.90,249400,419.90
2012-03-29,386.50,400.00,386.10,399.25,165600,399.25
2012-03-28,398.50,398.50,390.10,393.65,218500,393.65
2012-03-27,403.00,406.00,390.20,398.50,405400,398.50
2012-03-26,393.00,401.70,392.30,396.50,527100,396.50
2012-03-23,393.95,397.75,388.05,393.05,341500,393.05
2012-03-21,395.00,400.60,390.05,400.00,369900,400.00
2012-03-20,393.75,398.30,391.00,392.90,268000,392.90
2012-03-19,379.10,396.70,379.00,392.95,351900,392.95
2012-03-16,390.15,392.80,385.20,389.80,232200,389.80
2012-03-15,390.60,394.45,387.20,390.70,269000,390.70
2012-03-14,399.85,403.45,392.10,392.20,404400,392.20
