/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,248.00,249.00,244.05,245.55,200900,246.00
2012-07-20,247.00,249.00,244.05,246.00,201000,246.00
2012-07-19,250.00,251.40,246.00,246.50,132600,246.50
2012-07-18,248.30,250.65,245.55,249.05,399200,249.05
2012-07-17,246.95,253.85,245.20,247.40,626400,247.40
2012-07-16,245.80,246.70,243.50,245.05,203900,245.05
2012-07-13,243.90,246.70,243.90,244.35,322600,244.35
2012-07-12,241.50,244.90,239.55,243.30,353500,243.30
2012-07-11,240.60,243.50,238.95,242.15,309900,242.15
2012-07-10,239.75,243.00,236.80,241.50,275300,241.50
2012-07-09,239.10,239.90,234.50,238.00,234800,238.00
2012-07-06,240.55,240.90,235.25,239.00,316900,239.00
2012-07-05,240.95,241.80,239.15,240.60,260200,240.60
2012-07-04,242.00,247.50,241.70,244.10,550100,244.10
2012-07-03,239.10,243.75,236.00,240.80,277700,240.80
2012-07-02,238.00,239.85,237.15,238.00,190700,238.00
2012-06-29,235.80,239.35,235.70,237.90,409900,237.90
2012-06-28,229.00,236.00,229.00,233.85,930300,233.85
2012-06-27,231.90,234.40,230.10,230.95,251800,230.95
2012-06-26,231.90,232.30,226.60,231.00,237800,231.00
2012-06-25,233.20,236.15,229.05,230.00,728000,230.00
2012-06-22,223.40,233.40,223.00,232.15,1191700,232.15
2012-06-21,218.00,225.50,217.15,225.40,749400,225.40
2012-06-20,218.60,218.85,216.20,218.20,191800,218.20
2012-06-19,215.15,217.60,213.20,217.00,339300,217.00
2012-06-18,219.00,221.05,212.55,215.00,207700,215.00
2012-06-15,217.05,222.00,216.70,219.00,174100,219.00
2012-06-14,218.80,220.90,216.00,216.40,105700,216.40
2012-06-13,220.70,222.20,217.50,219.50,181400,219.50
2012-06-12,217.60,219.90,215.40,218.60,114200,218.60
2012-06-11,218.95,222.90,217.00,217.00,157400,217.00
2012-06-08,218.15,221.90,215.50,218.50,330600,218.50
2012-06-07,218.00,220.95,216.60,218.25,152200,218.25
2012-06-06,213.85,219.00,213.25,218.40,227600,218.40
2012-06-05,213.50,218.00,210.65,212.20,378000,212.20
2012-06-01,221.55,222.85,211.00,212.75,336600,212.75
2012-05-31,219.95,223.15,217.80,221.00,321300,221.00
2012-05-30,222.05,224.50,219.45,220.05,260600,220.05
2012-05-29,219.90,227.85,217.70,221.65,728700,221.65
2012-05-28,215.05,219.45,214.95,218.60,139300,218.60
2012-05-25,215.00,218.65,214.25,216.50,178300,216.50
2012-05-24,215.90,218.10,213.65,215.55,294800,215.55
2012-05-23,212.10,215.50,211.35,215.50,321600,215.50
2012-05-22,216.50,216.90,213.00,214.05,830600,214.05
2012-05-21,216.00,221.30,212.00,215.25,762100,215.25
2012-05-18,215.00,218.50,213.80,216.00,761600,216.00
2012-05-17,215.00,218.70,214.70,217.40,619800,217.40
2012-05-16,210.00,215.70,208.15,212.25,902300,212.25
2012-05-14,221.00,221.55,213.00,214.10,457900,214.10
2012-05-11,229.35,229.35,220.15,221.25,508000,221.25
2012-05-10,228.45,232.00,227.50,228.50,276100,228.50
2012-05-09,232.00,232.00,227.10,228.80,282000,228.80
2012-05-08,233.00,236.75,230.00,230.30,615000,230.30
2012-05-07,233.35,234.90,226.20,233.20,250200,233.20
2012-05-04,238.70,239.75,223.00,233.35,424000,233.35
2012-05-03,237.05,239.60,236.15,236.50,426300,236.50
2012-05-02,238.60,243.15,236.35,236.35,542600,236.35
2012-04-30,239.90,240.85,234.45,240.40,354300,240.40
2012-04-27,228.10,240.35,225.10,238.75,1998000,238.75
2012-04-26,232.00,235.00,225.15,226.20,968600,226.20
2012-04-25,244.00,244.00,230.00,233.00,341700,233.00
2012-04-24,236.00,237.00,229.10,233.90,551300,233.90
2012-04-23,244.00,245.55,234.50,235.15,269800,235.15
2012-04-20,245.00,248.85,240.00,242.10,768700,242.10
2012-04-19,238.00,245.90,237.10,245.15,444300,245.15
2012-04-18,238.70,241.50,236.10,236.10,300900,236.10
2012-04-17,237.10,238.30,234.50,238.00,141800,238.00
2012-04-16,234.80,239.15,232.75,237.25,245500,237.25
2012-04-13,240.05,241.90,233.80,234.00,445500,234.00
2012-04-12,237.15,240.70,236.20,240.70,265500,240.70
2012-04-11,239.85,241.90,236.00,236.15,324600,236.15
2012-04-10,243.50,244.85,240.30,241.50,219300,241.50
2012-04-09,242.05,247.40,240.15,241.80,578200,241.80
2012-04-04,243.00,244.00,240.55,242.30,217100,242.30
2012-04-03,241.60,245.90,241.20,242.80,610200,242.80
2012-04-02,240.00,243.00,237.10,240.70,344800,240.70
2012-03-30,232.05,240.50,232.05,239.00,868000,239.00
2012-03-29,232.00,235.70,228.25,229.75,829700,229.75
2012-03-28,234.00,238.85,231.10,232.65,466000,232.65
2012-03-27,232.00,237.00,230.55,234.20,377000,234.20
2012-03-26,236.10,237.00,230.05,230.05,462900,230.05
2012-03-23,236.50,238.45,233.50,236.85,334100,236.85
2012-03-21,238.50,245.70,236.60,243.35,907800,243.35
2012-03-20,239.90,242.00,235.80,239.00,393600,239.00
2012-03-19,241.05,245.00,237.10,239.00,865400,239.00
2012-03-16,245.95,247.95,239.00,239.90,668500,239.90
2012-03-15,249.40,249.40,243.55,244.90,1199500,244.90
2012-03-14,251.10,254.85,248.00,248.50,1643000,248.50
2012-03-13,265.60,265.60,244.75,250.85,6224600,250.85
2012-03-12,269.35,272.90,266.00,267.70,234400,267.70
2012-03-09,266.75,270.05,260.00,268.50,413400,268.50
2012-03-07,264.70,268.00,262.00,266.25,260500,266.25
2012-03-06,276.00,279.75,265.05,266.40,337800,266.40
2012-03-05,282.80,282.80,275.20,275.55,154300,275.55
2012-03-02,275.90,285.00,273.70,283.50,515900,283.50
2012-03-01,274.65,279.00,273.25,274.40,234700,274.40
2012-02-29,276.00,279.75,271.45,274.90,419600,274.90
2012-02-28,272.05,278.50,270.30,275.50,309500,275.50
2012-02-27,288.50,288.50,266.10,270.00,479300,270.00
2012-02-24,277.00,287.50,275.50,286.50,540500,286.50
2012-02-23,285.45,285.45,274.45,277.10,717100,277.10
2012-02-22,294.45,296.35,284.10,285.70,501600,285.70
2012-02-21,298.00,300.00,292.35,293.10,516700,293.10
2012-02-17,298.00,301.30,292.15,296.00,912600,296.00
2012-02-16,295.00,298.75,291.05,296.55,1082400,296.55
2012-02-15,293.90,296.60,286.00,293.75,1030600,293.75
2012-02-14,289.95,295.00,286.10,290.25,789900,290.25
2012-02-13,286.50,292.70,278.60,291.30,756100,291.30
2012-02-10,288.90,293.00,281.10,284.95,1031100,284.95
2012-02-09,280.70,289.45,278.10,286.15,916700,286.15
2012-02-08,277.00,285.00,276.15,279.00,711800,279.00
2012-02-07,285.00,286.50,275.45,277.00,683100,277.00
