/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,8800.10,8887.00,8775.00,8851.80,5300,8815.25
2012-07-20,8800.10,8887.00,8775.00,8815.25,5300,8815.25
2012-07-19,8690.05,8888.00,8690.05,8824.00,800,8824.00
2012-07-18,8706.60,8805.00,8706.60,8740.20,2100,8740.20
2012-07-17,8878.95,8878.95,8605.05,8802.00,5900,8802.00
2012-07-16,8830.00,8898.00,8760.10,8845.95,1600,8845.95
2012-07-13,8830.00,8900.00,8810.00,8860.00,1000,8860.00
2012-07-12,8850.05,8898.95,8805.05,8810.50,1600,8810.50
2012-07-11,8875.00,8875.00,8825.00,8850.00,1500,8850.00
2012-07-10,8849.80,8950.00,8792.25,8900.05,2300,8900.05
2012-07-09,8929.00,8939.95,8750.00,8795.05,2900,8795.05
2012-07-06,9045.00,9068.80,8865.00,8900.00,14800,8900.00
2012-07-05,9088.10,9154.95,8975.00,9045.00,4400,9045.00
2012-07-04,9219.95,9220.00,9070.00,9088.00,2100,9088.00
2012-07-03,9100.00,9200.00,9008.30,9068.90,3400,9068.90
2012-07-02,9112.15,9148.00,9011.05,9028.95,4400,9028.95
2012-06-29,8703.00,9399.95,8645.00,9130.00,18900,9130.00
2012-06-28,8631.00,9274.40,8500.00,8690.00,9600,8690.00
2012-06-27,8604.00,8784.00,8512.65,8651.00,3300,8651.00
2012-06-26,8730.00,8787.75,8515.15,8620.00,8600,8620.00
2012-06-25,8899.80,8899.80,8665.20,8680.00,7500,8680.00
2012-06-22,8808.00,8925.05,8808.00,8870.00,2900,8870.00
2012-06-21,8949.70,8949.75,8860.00,8900.00,5600,8900.00
2012-06-20,8882.15,8990.00,8776.00,8975.00,4400,8975.00
2012-06-19,8860.00,9000.00,8852.00,8930.00,2000,8930.00
2012-06-18,8825.00,8860.00,8750.00,8860.00,1200,8860.00
2012-06-15,8683.90,8845.00,8665.00,8838.00,1200,8838.00
2012-06-14,8726.10,8779.25,8650.00,8660.15,600,8660.15
2012-06-13,8950.00,8950.00,8655.05,8790.00,5800,8790.00
2012-06-12,8750.00,8845.00,8660.00,8699.95,1800,8699.95
2012-06-11,8890.00,8940.00,8755.40,8760.00,1100,8760.00
2012-06-08,8900.10,8900.10,8855.10,8876.50,1600,8876.50
2012-06-07,8950.00,8998.95,8849.95,8939.90,1300,8939.90
2012-06-06,8807.05,8979.00,8750.10,8927.20,3800,8927.20
2012-06-05,8846.00,8887.00,8778.00,8854.75,1700,8854.75
2012-06-01,8725.00,8782.95,8710.00,8710.00,1200,8710.00
2012-05-31,8791.10,8850.00,8610.05,8631.60,5400,8631.60
2012-05-30,8797.45,8874.00,8775.00,8795.00,1500,8795.00
2012-05-29,8810.05,8877.90,8780.00,8780.00,1300,8780.00
2012-05-28,8750.00,8880.00,8750.00,8850.00,800,8850.00
2012-05-25,8900.00,8917.00,8800.00,8800.00,900,8800.00
2012-05-24,8900.00,8940.00,8866.00,8900.00,13800,8900.00
2012-05-23,8861.00,8998.95,8861.00,8889.75,2500,8889.75
2012-05-22,8950.00,8998.95,8829.00,8870.00,7300,8870.00
2012-05-21,8920.00,8999.95,8900.00,8980.00,5600,8980.00
2012-05-18,8830.05,8949.95,8805.05,8930.00,7500,8930.00
2012-05-17,8979.00,8980.00,8780.05,8874.95,1300,8874.95
2012-05-16,8980.00,8980.00,8810.00,8870.00,2200,8870.00
2012-05-14,9000.25,9114.75,8911.30,9020.00,2100,9020.00
2012-05-11,9150.00,9187.40,8932.60,9058.95,14200,9058.95
2012-05-10,9150.00,9276.00,9090.90,9225.00,9400,9225.00
2012-05-09,8831.95,9197.00,8831.95,9100.00,8200,9100.00
2012-05-08,8950.00,9057.20,8800.00,9000.00,25300,9000.00
2012-05-07,8530.00,8930.00,8500.00,8900.00,10000,8900.00
2012-05-04,8512.00,8735.00,8512.00,8595.00,2100,8595.00
2012-05-03,8716.00,8798.00,8613.60,8639.00,1400,8639.00
2012-05-02,8738.75,8888.00,8675.50,8749.00,4100,8749.00
2012-04-30,8690.00,8780.00,8650.00,8670.00,2800,8670.00
2012-04-27,8509.05,8694.90,8509.05,8650.00,1900,8650.00
2012-04-26,8790.00,8890.00,8500.00,8500.00,4700,8500.00
2012-04-25,8500.00,8750.00,8341.00,8659.95,11000,8659.95
2012-04-24,8600.00,8700.00,8360.00,8460.00,5500,8460.00
2012-04-23,8720.00,8739.90,8465.00,8506.60,3500,8506.60
2012-04-20,8701.10,8790.00,8660.00,8674.90,3000,8674.90
2012-04-19,8800.00,8800.00,8650.00,8719.90,10700,8719.90
2012-04-18,8830.00,8974.50,8665.90,8705.00,5900,8705.00
2012-04-17,8592.00,8900.00,8557.05,8859.75,7900,8859.75
2012-04-16,8510.00,8599.00,8476.00,8576.00,2500,8576.00
2012-04-13,8568.00,8599.00,8420.10,8524.00,3000,8524.00
2012-04-12,8600.00,8620.00,8421.00,8469.00,4400,8469.00
2012-04-11,8455.00,8688.00,8405.05,8523.00,7800,8523.00
2012-04-10,8282.40,8516.00,8150.00,8450.00,10600,8450.00
2012-04-09,8200.05,8260.00,8100.05,8245.00,2700,8245.00
2012-04-04,8156.10,8274.00,8142.10,8179.85,2500,8179.85
2012-04-03,8200.00,8300.00,8133.10,8218.00,4500,8218.00
2012-04-02,8101.00,8300.00,8065.00,8165.00,4000,8165.00
2012-03-30,7600.00,9000.00,7600.00,8112.00,17100,8112.00
2012-03-29,7761.85,7761.85,7510.60,7599.85,8400,7599.85
2012-03-28,7650.00,7780.05,7570.10,7710.00,2400,7710.00
2012-03-27,7650.00,7694.85,7530.00,7694.75,5900,7694.75
2012-03-26,7655.05,7728.00,7622.00,7631.10,6200,7631.10
2012-03-23,7652.05,7730.00,7650.00,7723.95,800,7723.95
2012-03-21,7780.00,7780.00,7660.00,7714.00,5300,7714.00
2012-03-20,7740.00,7780.00,7650.00,7668.00,2800,7668.00
2012-03-19,7799.00,7799.00,7650.00,7698.90,1400,7698.90
2012-03-16,7850.25,7919.45,7700.00,7735.00,1900,7735.00
2012-03-15,7818.00,7949.70,7818.00,7870.00,16200,7870.00
2012-03-14,7702.00,7820.00,7661.00,7800.00,15300,7800.00
2012-03-13,7677.70,7704.70,7601.00,7640.00,6900,7640.00
2012-03-12,7745.00,7745.00,7583.55,7640.00,2700,7640.00
2012-03-09,7550.00,7769.00,7550.00,7650.00,3200,7650.00
2012-03-07,7710.00,7710.00,7569.00,7600.00,2500,7600.00
2012-03-06,7670.10,7773.85,7605.00,7650.00,2700,7650.00
