/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,385.15,388.00,381.25,383.10,282200,382.65
2012-07-20,385.20,388.00,381.10,382.65,282200,382.65
2012-07-19,379.90,391.70,379.10,388.00,1216600,388.00
2012-07-18,377.60,381.90,375.00,376.30,690900,376.30
2012-07-17,385.10,385.90,375.30,376.55,1560300,376.55
2012-07-16,392.00,393.20,382.15,387.00,892500,387.00
2012-07-13,389.90,393.45,385.00,385.60,669900,385.60
2012-07-12,775.20,789.35,774.80,786.10,886900,786.10
2012-07-11,768.90,787.70,763.45,775.95,779500,775.95
2012-07-10,763.05,774.60,763.05,768.05,537000,768.05
2012-07-09,767.00,769.30,759.25,761.00,418300,761.00
2012-07-06,762.50,774.30,757.50,763.00,708600,763.00
2012-07-05,753.00,765.00,751.30,757.10,259700,757.10
2012-07-04,756.00,759.00,748.00,753.80,229500,753.80
2012-07-03,747.00,762.50,743.70,759.50,538900,759.50
2012-07-02,741.35,750.00,732.55,745.05,285700,745.05
2012-06-29,753.05,754.00,741.10,742.00,649300,742.00
2012-06-28,750.00,757.60,741.55,755.00,572500,755.00
2012-06-27,751.25,753.65,743.95,752.00,245800,752.00
2012-06-26,746.00,754.65,739.00,753.15,547300,753.15
2012-06-25,760.00,768.50,743.60,757.45,431400,757.45
2012-06-22,765.00,771.85,758.00,761.10,303800,761.10
2012-06-21,763.00,775.00,760.50,762.00,883600,762.00
2012-06-20,756.10,763.00,754.05,763.00,428500,763.00
2012-06-19,739.30,757.80,735.20,753.05,604600,753.05
2012-06-18,749.75,749.75,733.10,742.00,284400,742.00
2012-06-15,733.25,751.00,733.00,743.00,603300,743.00
2012-06-14,730.50,742.70,724.10,737.00,531300,737.00
2012-06-13,734.90,738.00,727.95,732.00,358700,732.00
2012-06-12,714.90,735.80,713.35,730.30,606900,730.30
2012-06-11,713.00,727.40,707.10,708.05,770400,708.05
2012-06-08,696.10,708.00,692.00,705.00,353800,705.00
2012-06-07,705.60,707.00,697.40,701.10,196200,701.10
2012-06-06,698.00,710.90,696.20,702.50,436500,702.50
2012-06-05,718.00,721.20,700.40,702.45,308600,702.45
2012-06-01,697.00,700.95,684.55,696.00,312400,696.00
2012-05-31,691.00,704.55,682.25,703.00,865300,703.00
2012-05-30,694.00,694.85,680.00,692.00,535700,692.00
2012-05-29,717.00,718.00,695.05,700.00,825200,700.00
2012-05-28,736.90,736.90,712.10,714.60,618500,714.60
2012-05-25,721.30,741.70,715.45,727.90,2188300,727.90
2012-05-24,755.00,759.60,721.25,722.00,1808200,722.00
2012-05-23,734.90,735.80,717.90,723.00,494500,723.00
2012-05-22,736.95,742.00,724.10,732.00,550200,732.00
2012-05-21,733.00,738.00,721.45,728.00,404000,728.00
2012-05-18,725.00,742.40,721.55,725.00,490900,725.00
2012-05-17,757.70,759.00,733.00,733.60,654200,733.60
2012-05-16,730.00,770.00,728.95,747.20,1702500,747.20
2012-05-14,705.00,715.85,703.20,713.40,864000,713.40
2012-05-11,709.25,713.80,691.15,702.00,630000,702.00
2012-05-10,686.50,707.45,686.00,706.95,663000,706.95
2012-05-09,679.00,695.95,670.20,688.35,559900,688.35
2012-05-08,689.90,695.80,674.00,674.00,672900,674.00
2012-05-07,655.50,699.00,655.50,684.00,1041700,684.00
2012-05-04,657.50,668.85,647.25,649.20,420300,649.20
2012-05-03,658.00,664.15,646.10,663.45,208100,663.45
2012-05-02,669.10,674.55,655.20,656.40,433400,656.40
2012-04-30,672.00,679.00,667.20,670.30,267800,670.30
2012-04-27,661.00,671.75,660.05,660.05,275900,660.05
2012-04-26,682.75,688.60,657.00,666.00,699300,666.00
2012-04-25,693.25,697.85,683.00,683.05,428700,683.05
2012-04-24,675.00,700.75,671.80,684.05,575400,684.05
2012-04-23,696.00,698.95,672.25,673.55,165100,673.55
2012-04-20,691.60,708.80,686.40,696.00,530500,696.00
2012-04-19,699.55,701.85,692.15,694.50,180300,694.50
2012-04-18,690.10,701.00,690.10,698.55,276600,698.55
2012-04-17,678.00,689.25,674.10,687.10,328600,687.10
2012-04-16,681.30,684.00,671.90,676.90,132800,676.90
2012-04-13,675.00,692.50,672.95,678.00,337400,678.00
2012-04-12,675.95,681.90,669.45,679.00,197700,679.00
2012-04-11,660.80,686.25,659.95,670.50,197700,670.50
2012-04-10,683.00,683.00,645.25,665.00,176500,665.00
2012-04-09,693.80,693.80,675.75,676.50,225400,676.50
2012-04-04,698.30,703.90,693.60,700.00,143000,700.00
2012-04-03,690.75,708.70,682.70,705.70,484500,705.70
2012-04-02,694.00,698.75,681.00,688.60,348600,688.60
2012-03-30,690.90,703.90,685.15,702.00,722800,702.00
2012-03-29,666.00,694.70,661.30,689.00,600000,689.00
2012-03-28,667.00,670.40,663.55,667.35,274200,667.35
2012-03-27,680.00,680.00,661.25,665.35,242800,665.35
2012-03-26,682.00,686.05,661.80,665.15,222100,665.15
2012-03-23,678.00,687.95,666.20,687.50,338600,687.50
2012-03-21,684.10,702.70,676.10,698.00,796500,698.00
2012-03-20,671.05,692.50,666.20,684.95,627800,684.95
2012-03-19,665.00,669.70,655.00,667.50,295000,667.50
2012-03-16,668.00,682.00,660.75,665.20,615300,665.20
2012-03-15,680.20,683.45,662.55,665.00,311500,665.00
2012-03-14,668.00,689.00,668.00,688.30,541100,688.30
2012-03-13,663.30,675.80,663.00,669.00,301600,669.00
2012-03-12,671.00,671.00,656.70,664.00,302700,664.00
2012-03-09,653.00,666.10,648.80,665.50,722500,665.50
2012-03-07,662.40,666.00,649.15,660.00,623100,660.00
2012-03-06,665.00,680.00,661.00,667.00,553600,667.00
2012-03-05,681.00,682.00,663.10,668.30,619100,668.30
2012-03-02,664.80,668.70,658.15,667.00,274900,667.00
2012-03-01,663.00,668.85,622.50,660.25,283500,660.25
2012-02-29,657.80,669.80,655.20,662.00,1084200,662.00
2012-02-28,663.25,670.00,648.00,654.00,660000,654.00
2012-02-27,665.00,685.05,651.30,654.00,1248800,654.00
2012-02-24,665.00,668.80,646.25,646.25,1098600,646.25
2012-02-23,621.00,664.50,620.10,664.00,2483200,664.00
2012-02-22,614.60,639.00,610.30,614.95,1533900,614.95
2012-02-21,612.60,624.00,604.25,608.95,595900,608.95
2012-02-17,622.85,623.00,605.35,621.35,638900,621.35
2012-02-16,597.00,625.00,592.10,622.00,570900,622.00
2012-02-15,599.90,607.00,593.30,602.00,274000,602.00
2012-02-14,594.10,604.00,590.00,599.00,326100,599.00
2012-02-13,598.25,601.80,586.00,586.00,213700,586.00
2012-02-10,610.90,627.90,590.60,592.50,1549900,592.50
2012-02-09,577.60,604.95,574.05,604.75,510800,604.75
2012-02-08,569.85,579.70,564.75,577.25,380700,577.25
2012-02-07,570.00,586.00,565.50,568.00,520200,568.00
2012-02-06,579.60,579.90,571.05,572.00,474400,572.00
2012-02-03,580.00,588.20,572.45,572.45,424900,572.45
2012-02-02,568.00,579.00,564.65,578.00,560900,578.00
2012-02-01,570.00,576.00,556.75,560.30,541300,560.30
2012-01-31,573.50,581.90,561.20,576.10,573100,576.10
2012-01-30,574.00,579.50,552.40,569.50,473300,569.50
2012-01-27,587.30,587.30,571.35,580.00,420900,580.00
2012-01-25,560.00,589.85,557.90,584.00,1432900,584.00
2012-01-24,544.80,563.80,541.30,561.00,560100,561.00
2012-01-23,556.00,561.50,541.50,544.00,323700,544.00
2012-01-20,538.10,565.30,538.10,559.00,472500,559.00
2012-01-19,538.30,548.40,531.70,540.00,458400,540.00
2012-01-18,521.15,551.70,521.15,533.00,648500,533.00
2012-01-17,505.30,529.00,505.30,524.00,354700,524.00
2012-01-16,507.60,511.00,498.25,505.00,174500,505.00
2012-01-13,517.40,519.00,506.10,506.55,252000,506.55
2012-01-12,509.40,516.00,500.10,513.40,774600,513.40
2012-01-11,486.95,509.85,485.15,508.00,770100,508.00
2012-01-10,472.00,486.60,470.55,482.50,354800,482.50
2012-01-06,461.75,479.50,461.00,479.10,1059600,479.10
2012-01-05,471.90,474.00,458.05,459.45,601300,459.45
2012-01-04,469.00,474.55,461.00,471.35,1114800,471.35
2012-01-03,476.50,476.50,465.25,472.00,848900,472.00
