/*Owner & Copyrights: Vance King Saxbe. A.*/4,683.74:03:02:22
4,683.74:03:02:24
4,676.63:03:02:26
4,676.16:03:02:28
4,680.07:03:02:41
4,683.31:03:03:10
4,682.81:03:03:32
4,681.22:03:04:01
4,678.94:03:04:28
4,676.39:03:04:52
4,676.05:03:05:14
4,675.89:03:05:36
4,678.35:03:05:58
4,674.41:03:06:17
4,674.36:03:06:39
4,674.22:03:07:00
4,675.26:03:07:20
4,672.40:03:07:43
4,670.59:03:08:05
4,671.32:03:08:26
4,673.94:03:08:55
4,674.03:03:09:20
4,674.83:03:09:44
4,676.70:03:10:06
4,677.40:03:10:34
4,675.98:03:10:57
4,674.21:03:11:18
4,671.57:03:11:48
4,671.62:03:12:01
4,672.22:03:12:23
4,674.70:03:12:51
4,671.92:03:13:23
4,673.21:03:13:56
4,671.74:03:14:24
4,671.62:03:14:52
4,679.16:03:15:35
4,677.81:03:16:40
4,677.62:03:17:09
4,679.30:03:17:22
4,679.77:03:17:35
4,681.16:03:17:48
4,676.38:03:18:20
4,681.68:03:18:50
4,682.06:03:19:04
4,683.08:03:19:20
4,682.68:03:19:56
4,682.26:03:20:08
4,682.94:03:20:19
4,680.61:03:20:42
4,680.78:03:20:49
4,678.95:03:21:10
4,681.67:03:21:33
4,683.45:03:22:03
4,682.44:03:22:32
4,683.26:03:22:47
4,682.30:03:23:28
4,683.32:03:23:43
4,682.75:03:24:05
4,679.28:03:24:27
4,683.57:03:24:34
4,680.57:03:25:00
4,684.07:03:25:20
4,685.02:03:25:40
4,684.73:03:26:12
4,685.43:03:26:23
4,685.72:03:26:43
4,685.18:03:26:57
4,684.73:03:27:08
4,685.04:03:27:18
4,688.28:03:27:33
4,689.23:03:27:58
4,691.15:03:28:08
4,688.72:03:28:29
4,689.09:03:28:51
4,688.12:03:29:04
4,689.32:03:29:50
4,686.48:03:30:10
4,680.56:02:51:39
4,706.38:02:30:17
4,706.55:02:30:30
4,707.90:02:38:15
4,707.88:02:38:26
4,708.63:02:38:35
4,706.95:02:38:47
4,706.65:02:39:01
4,706.66:02:39:17
4,706.24:02:39:37
4,705.89:02:39:52
4,707.27:02:40:08
4,700.61:02:42:16
4,700.91:02:42:32
4,701.14:02:42:45
4,706.87:02:43:01
4,706.85:02:43:27
4,706.70:02:43:40
4,706.67:02:43:53
4,706.70:02:44:04
4,707.05:02:44:16
4,707.13:02:44:30
4,707.26:02:44:54
4,706.01:02:45:06
4,706.44:02:45:21
4,705.42:02:45:40
4,705.14:02:46:01
4,705.11:02:46:19
4,702.81:02:46:33
4,702.65:02:46:45
4,612.90:02:54:11
4,609.36:02:54:28
4,559.47:03:19:08
4,545.66:03:20:24
4,545.25:03:21:08
4,544.28:03:22:04
4,562.16:03:32:46
4,565.79:03:40:18
