Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,5249.44,5249.44,5210.01,5219.74,000,5219.74
2012-07-20,5244.51,5248.07,5210.01,5219.74,000,5219.74
2012-07-19,5264.84,5267.71,5242.74,5251.04,000,5251.04
2012-07-18,5215.69,5234.51,5182.75,5227.03,000,5227.03
2012-07-17,5249.04,5255.30,5199.62,5207.73,000,5207.73
2012-07-16,5256.67,5262.90,5210.85,5216.79,000,5216.79
2012-07-13,5266.86,5288.48,5237.87,5244.14,000,5244.14
2012-07-12,5264.00,5279.66,5238.84,5256.80,000,5256.80
2012-07-11,5331.47,5349.34,5317.12,5321.00,000,5321.00
2012-07-10,5300.33,5356.98,5300.33,5354.06,000,5354.06
2012-07-09,5304.87,5315.45,5268.87,5284.74,000,5284.74
2012-07-06,5342.30,5343.21,5308.30,5331.57,000,5331.57
2012-07-05,5316.19,5352.18,5310.03,5344.66,000,5344.66
2012-07-04,5329.64,5333.55,5292.34,5320.94,000,5320.94
2012-07-03,5309.60,5327.63,5284.50,5306.19,000,5306.19
2012-07-02,5290.08,5308.81,5268.16,5286.88,000,5286.88
2012-06-29,5201.17,5283.02,5201.17,5279.22,000,5279.22
2012-06-28,5157.08,5162.80,5127.64,5150.31,000,5150.31
2012-06-27,5161.70,5164.76,5135.65,5148.02,000,5148.02
2012-06-26,5114.20,5137.41,5099.60,5127.71,000,5127.71
2012-06-25,5164.20,5193.49,5105.55,5113.42,000,5113.42
2012-06-22,5111.88,5156.89,5092.42,5143.47,000,5143.47
2012-06-21,5097.27,5164.79,5091.77,5161.21,000,5161.21
2012-06-20,5110.79,5133.71,5094.24,5116.08,000,5116.08
2012-06-19,5050.06,5102.15,5036.64,5094.21,000,5094.21
2012-06-18,5176.72,5179.60,5033.55,5053.43,000,5053.43
2012-06-15,5074.85,5136.14,5060.80,5131.16,000,5131.16
2012-06-14,5115.22,5127.88,5047.38,5052.60,000,5052.60
2012-06-13,5121.77,5143.23,5100.13,5120.29,000,5120.29
2012-06-12,5033.24,5125.78,5030.18,5116.28,000,5116.28
2012-06-11,5110.12,5129.29,5042.80,5054.85,000,5054.85
2012-06-08,5038.46,5086.37,5002.23,5073.30,000,5073.30
2012-06-07,5043.38,5059.21,5012.97,5052.73,000,5052.73
2012-06-06,4914.77,5011.41,4892.78,5000.38,000,5000.38
2012-06-05,4888.54,4908.07,4859.27,4873.19,000,4873.19
2012-06-04,4810.92,4868.45,4786.41,4861.35,000,4861.35
2012-06-01,8502.00,8523.48,8359.34,8372.49,000,8372.49
2012-05-31,8464.29,8542.97,8444.22,8520.92,000,8520.92
2012-05-30,8578.99,8623.45,8534.95,8542.97,000,8542.97
2012-05-29,8652.94,8672.09,8610.66,8623.45,000,8623.45
2012-05-28,8543.69,8628.30,8509.97,8617.46,000,8617.46
2012-05-25,8479.03,8536.39,8458.62,8509.97,000,8509.97
2012-05-24,8408.01,8515.31,8356.14,8500.36,000,8500.36
2012-05-23,8388.88,8413.83,8320.88,8368.73,000,8368.73
2012-05-22,8568.29,8574.36,8400.33,8413.83,000,8413.83
2012-05-21,8489.90,8545.51,8463.32,8492.20,000,8492.20
2012-05-18,8329.23,8487.29,8295.31,8463.32,000,8463.32
2012-05-17,8479.82,8525.81,8398.00,8427.60,000,8427.60
2012-05-16,8429.85,8549.81,8374.40,8413.92,000,8413.92
2012-05-15,8451.38,8566.69,8451.38,8549.81,000,8549.81
2012-05-14,8556.74,8574.52,8438.30,8487.67,000,8487.67
2012-05-11,8564.17,8608.92,8491.45,8530.16,000,8530.16
2012-05-10,8643.37,8717.15,8573.20,8595.33,000,8595.33
2012-05-09,8620.63,8689.90,8583.47,8611.30,000,8611.30
2012-05-08,8861.64,8879.58,8642.29,8670.12,000,8670.12
2012-05-07,8685.73,8879.27,8643.35,8862.95,000,8862.95
2012-05-04,8941.38,8978.93,8787.45,8810.24,000,8810.24
2012-05-03,9028.26,9066.58,8967.27,8978.93,000,8978.93
2012-05-02,9132.23,9142.91,9049.66,9066.58,000,9066.58
2012-04-30,9032.51,9106.38,9015.48,9083.47,000,9083.47
2012-04-27,8995.37,9048.81,8926.90,8981.99,000,8981.99
2012-04-26,9037.48,9037.48,8976.12,8989.82,000,8989.82
2012-04-25,9046.64,9080.42,8950.66,9018.10,000,9018.10
2012-04-24,9034.02,9075.58,8989.15,9053.63,000,9053.63
2012-04-23,9167.89,9214.39,9005.55,9022.16,000,9022.16
2012-04-20,9221.76,9253.47,9110.10,9175.59,000,9175.59
2012-04-19,9235.77,9261.60,9188.36,9248.71,000,9248.71
2012-04-18,9259.77,9281.45,9188.23,9208.07,000,9208.07
2012-04-17,9092.98,9195.80,9058.18,9188.23,000,9188.23
2012-04-16,9021.41,9093.29,9021.41,9085.18,000,9085.18
2012-04-13,9127.97,9215.45,9024.68,9050.31,000,9050.31
2012-04-12,9124.94,9184.48,9079.27,9152.65,000,9152.65
2012-04-11,9043.55,9143.23,9028.89,9079.27,000,9079.27
2012-04-10,9118.43,9134.81,9055.71,9110.93,000,9110.93
2012-04-09,9178.80,9246.00,9087.96,9099.53,000,9099.53
2012-04-04,9256.91,9296.48,9216.11,9246.00,000,9246.00
2012-04-03,9287.47,9329.38,9219.00,9296.48,000,9296.48
2012-04-02,9173.56,9245.50,9159.98,9219.00,000,9219.00
2012-03-30,9023.54,9179.31,8996.84,9164.06,000,9164.06
2012-03-29,8915.26,8989.22,8889.03,8973.26,000,8973.26
2012-03-28,9036.90,9057.14,8943.60,8981.26,000,8981.26
2012-03-27,9063.95,9124.51,8979.77,9064.02,000,9064.02
2012-03-26,9117.69,9140.78,8954.73,8968.22,000,8968.22
2012-03-23,9092.74,9186.74,9031.85,9135.50,000,9135.50
2012-03-22,9274.97,9328.63,9019.92,9049.12,000,9049.12
2012-03-21,9112.03,9294.83,9096.00,9283.09,000,9283.09
2012-03-20,9083.99,9157.73,9048.47,9121.04,000,9121.04
2012-03-19,9228.84,9228.84,9052.82,9082.81,000,9082.81
2012-03-16,9325.35,9419.66,9180.78,9197.46,000,9197.46
2012-03-15,9451.42,9458.08,9284.10,9314.43,000,9314.43
2012-03-14,9514.53,9517.47,9418.83,9462.58,000,9462.58
2012-03-13,9361.46,9418.36,9325.61,9401.04,000,9401.04
2012-03-12,9294.40,9347.70,9230.84,9285.60,000,9285.60
2012-03-09,9157.89,9242.98,9117.66,9232.49,000,9232.49
2012-03-07,9007.26,9082.32,8955.39,9035.92,000,9035.92
2012-03-06,9093.29,9317.25,9029.42,9049.72,000,9049.72
2012-03-05,9245.23,9268.25,9120.09,9145.33,000,9145.33
2012-03-02,9288.02,9347.65,9216.24,9276.40,000,9276.40
2012-03-01,9298.34,9306.50,9185.28,9251.29,000,9251.29
2012-02-29,9400.03,9448.42,9265.63,9321.49,000,9321.49
2012-02-28,9193.54,9318.78,9151.52,9300.40,000,9300.40
2012-02-27,9381.95,9385.64,9086.35,9107.88,000,9107.88
2012-02-24,9475.38,9538.00,9329.48,9369.95,000,9369.95
2012-02-23,9487.71,9550.72,9406.09,9464.68,000,9464.68
2012-02-22,9734.83,9755.49,9472.74,9498.48,000,9498.48
2012-02-21,9647.29,9730.86,9647.29,9709.03,000,9709.03
2012-02-17,9644.59,9724.88,9607.42,9641.94,000,9641.94
2012-02-16,9553.54,9584.21,9504.80,9567.96,000,9567.96
2012-02-15,9430.67,9584.57,9430.67,9570.04,000,9570.04
2012-02-14,9320.67,9380.07,9312.74,9366.47,000,9366.47
2012-02-13,9309.59,9360.63,9259.23,9323.04,000,9323.04
2012-02-10,9343.76,9395.67,9244.32,9304.31,000,9304.31
2012-02-09,9247.34,9364.48,9236.97,9346.87,000,9346.87
2012-02-08,9218.74,9318.62,9200.32,9270.75,000,9270.75
2012-02-07,9313.54,9325.22,9188.36,9210.67,000,9210.67
2012-02-06,9246.30,9319.69,9208.67,9267.69,000,9267.69
2012-02-03,9106.18,9199.37,9079.16,9185.35,000,9185.35
2012-02-02,9097.41,9141.88,9024.69,9098.88,000,9098.88
2012-02-01,8963.25,9050.25,8916.94,9039.19,000,9039.19
2012-01-31,8827.66,8991.38,8827.66,8970.08,000,8970.08
2012-01-30,8942.73,8942.73,8766.36,8785.16,000,8785.16
2012-01-27,8951.65,8991.46,8918.41,8982.13,000,8982.13
2012-01-25,8873.10,8924.19,8858.29,8903.40,000,8903.40
2012-01-24,8723.15,8865.27,8708.69,8841.01,000,8841.01
2012-01-23,8672.58,8733.35,8669.69,8700.16,000,8700.16
2012-01-20,8683.77,8721.16,8628.07,8698.13,000,8698.13
2012-01-19,8578.10,8648.07,8578.10,8641.51,000,8641.51
2012-01-18,8566.70,8581.17,8493.65,8523.78,000,8523.78
2012-01-17,8436.60,8570.08,8436.60,8551.40,000,8551.40
2012-01-16,8354.11,8409.22,8319.01,8400.42,000,8400.42
2012-01-13,8365.00,8437.24,8335.83,8384.37,000,8384.37
2012-01-12,8329.68,8384.56,8277.16,8321.32,000,8321.32
2012-01-11,8344.16,8377.94,8313.86,8352.08,000,8352.08
2012-01-10,8169.94,8329.59,8169.94,8321.11,000,8321.11
