/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,6659.81,6659.86,6616.99,6628.65,000,6628.65
2012-07-20,6655.49,6660.17,6616.99,6628.65,000,6628.65
2012-07-19,6676.78,6684.36,6653.54,6661.44,000,6661.44
2012-07-18,6613.88,6641.01,6577.03,6633.61,000,6633.61
2012-07-17,6662.92,6671.25,6599.22,6607.62,000,6607.62
2012-07-16,6677.92,6686.76,6620.16,6626.81,000,6626.81
2012-07-13,6690.49,6721.47,6656.25,6662.97,000,6662.97
2012-07-12,6688.25,6702.46,6654.37,6677.17,000,6677.17
2012-07-11,6763.74,6789.06,6746.09,6750.12,000,6750.12
2012-07-10,6720.06,6789.38,6720.06,6786.22,000,6786.22
2012-07-09,6737.28,6748.26,6685.78,6703.09,000,6703.09
2012-07-06,6786.49,6786.49,6743.43,6766.75,000,6766.75
2012-07-05,6748.78,6797.05,6742.14,6787.47,000,6787.47
2012-07-04,6752.97,6758.96,6716.21,6751.19,000,6751.19
2012-07-03,6726.95,6751.74,6701.70,6726.86,000,6726.86
2012-07-02,6695.99,6724.91,6677.09,6700.36,000,6700.36
2012-06-29,6587.28,6686.19,6587.28,6682.47,000,6682.47
2012-06-28,6537.84,6547.83,6503.84,6530.99,000,6530.99
2012-06-27,6538.31,6544.68,6510.98,6525.50,000,6525.50
2012-06-26,6485.65,6510.95,6468.21,6500.12,000,6500.12
2012-06-25,6539.02,6578.58,6474.38,6483.63,000,6483.63
2012-06-22,6476.03,6528.42,6452.91,6513.78,000,6513.78
2012-06-21,6453.40,6534.62,6449.34,6530.90,000,6530.90
2012-06-20,6458.85,6494.15,6447.59,6474.67,000,6474.67
2012-06-19,6393.12,6449.67,6375.25,6440.74,000,6440.74
2012-06-18,6540.11,6547.91,6374.79,6396.60,000,6396.60
2012-06-15,6425.27,6494.28,6408.30,6487.13,000,6487.13
2012-06-14,6476.86,6491.35,6394.34,6399.89,000,6399.89
2012-06-13,6483.77,6510.32,6461.76,6481.45,000,6481.45
2012-06-12,6385.90,6486.95,6382.59,6476.48,000,6476.48
2012-06-11,6470.48,6498.54,6394.37,6407.76,000,6407.76
2012-06-08,6392.26,6442.79,6347.54,6429.05,000,6429.05
2012-06-07,6393.23,6412.83,6360.25,6406.54,000,6406.54
2012-06-06,6240.03,6356.90,6214.86,6345.26,000,6345.26
2012-06-05,6209.50,6237.82,6178.12,6194.73,000,6194.73
2012-06-04,6126.88,6187.00,6088.62,6178.64,000,6178.64
2012-06-01,6268.76,6284.48,6168.75,6177.22,000,6177.22
2012-05-31,6240.35,6292.51,6222.71,6280.04,000,6280.04
2012-05-30,6324.75,6352.29,6285.01,6290.01,000,6290.01
2012-05-29,6374.41,6387.14,6344.22,6352.29,000,6352.29
2012-05-28,6297.45,6357.82,6272.97,6350.89,000,6350.89
2012-05-25,6251.98,6290.94,6239.82,6272.97,000,6272.97
2012-05-24,6202.43,6272.45,6167.43,6263.39,000,6263.39
2012-05-23,6193.65,6209.65,6144.36,6176.39,000,6176.39
2012-05-22,6312.88,6319.35,6200.05,6209.65,000,6209.65
2012-05-21,6259.69,6300.44,6241.20,6263.56,000,6263.56
2012-05-18,6157.11,6257.05,6129.37,6241.20,000,6241.20
2012-05-17,6257.45,6296.75,6204.62,6222.92,000,6222.92
2012-05-16,6229.18,6306.76,6185.49,6214.37,000,6214.37
2012-05-15,6237.74,6317.16,6237.74,6306.76,000,6306.76
2012-05-14,6319.33,6330.93,6230.53,6262.70,000,6262.70
2012-05-11,6328.62,6353.40,6274.41,6300.73,000,6300.73
2012-05-10,6379.52,6434.31,6333.80,6348.82,000,6348.82
2012-05-09,6374.47,6417.36,6340.79,6358.22,000,6358.22
2012-05-08,6537.11,6552.26,6386.76,6406.07,000,6406.07
2012-05-07,6413.44,6546.72,6375.78,6534.95,000,6534.95
2012-05-04,6599.27,6622.15,6481.95,6496.99,000,6496.99
2012-05-03,6664.80,6687.94,6614.02,6622.15,000,6622.15
2012-05-02,6732.03,6741.87,6676.52,6687.94,000,6687.94
2012-04-30,6662.34,6712.35,6650.25,6698.51,000,6698.51
2012-04-27,6635.74,6672.36,6585.99,6622.89,000,6622.89
2012-04-26,6663.91,6663.91,6621.35,6629.67,000,6629.67
2012-04-25,6675.90,6702.54,6604.91,6650.58,000,6650.58
2012-04-24,6671.56,6696.19,6635.91,6679.96,000,6679.96
2012-04-23,6774.54,6808.48,6652.61,6662.83,000,6662.83
2012-04-20,6817.26,6839.27,6737.06,6777.81,000,6777.81
2012-04-19,6824.68,6842.52,6796.24,6833.46,000,6833.46
2012-04-18,6836.51,6857.98,6788.99,6806.86,000,6806.86
2012-04-17,6725.86,6794.07,6704.32,6788.99,000,6788.99
2012-04-16,6672.47,6725.51,6672.47,6718.82,000,6718.82
2012-04-13,6747.48,6811.09,6680.57,6689.94,000,6689.94
2012-04-12,6737.67,6783.86,6707.13,6760.98,000,6760.98
2012-04-11,6690.85,6756.23,6679.82,6707.13,000,6707.13
2012-04-10,6740.34,6751.45,6694.27,6734.03,000,6734.03
2012-04-09,6794.17,6835.13,6722.33,6730.78,000,6730.78
2012-04-04,6839.03,6864.24,6811.96,6835.13,000,6835.13
2012-04-03,6851.88,6887.06,6806.09,6864.24,000,6864.24
2012-04-02,6769.94,6824.06,6759.63,6806.09,000,6806.09
2012-03-30,6647.77,6767.34,6628.91,6759.63,000,6759.63
2012-03-29,6575.18,6625.02,6556.03,6614.89,000,6614.89
2012-03-28,6660.81,6672.13,6593.12,6617.16,000,6617.16
2012-03-27,6683.31,6717.20,6624.70,6676.94,000,6676.94
2012-03-26,6729.12,6741.09,6611.30,6619.91,000,6619.91
2012-03-23,6708.88,6771.25,6666.17,6737.92,000,6737.92
2012-03-22,6842.24,6879.66,6661.51,6679.49,000,6679.49
2012-03-21,6722.51,6853.95,6712.01,6844.85,000,6844.85
2012-03-20,6698.24,6749.47,6673.44,6726.66,000,6726.66
2012-03-19,6796.42,6796.42,6675.00,6697.01,000,6697.01
2012-03-16,6866.66,6932.96,6765.23,6775.79,000,6775.79
2012-03-15,6953.12,6958.76,6836.87,6858.29,000,6858.29
2012-03-14,6997.70,7001.32,6931.15,6961.43,000,6961.43
2012-03-13,6887.91,6933.00,6861.84,6922.46,000,6922.46
2012-03-12,6838.04,6862.13,6798.65,6838.03,000,6838.03
2012-03-09,6730.09,6800.49,6699.67,6793.45,000,6793.45
2012-03-07,6635.39,6682.01,6594.52,6651.12,000,6651.12
2012-03-06,6697.43,6851.08,6646.72,6661.39,000,6661.39
2012-03-05,6807.03,6820.12,6716.05,6732.47,000,6732.47
2012-03-02,6836.27,6874.37,6786.32,6821.64,000,6821.64
2012-03-01,6844.63,6848.37,6766.39,6809.48,000,6809.48
2012-02-29,6898.92,6939.70,6810.54,6857.28,000,6857.28
2012-02-28,6733.72,6840.72,6704.76,6831.83,000,6831.83
2012-02-27,6880.01,6881.24,6664.76,6678.83,000,6678.83
2012-02-24,6942.31,6989.49,6842.96,6871.91,000,6871.91
2012-02-23,6951.51,6991.69,6885.26,6933.15,000,6933.15
2012-02-22,7144.99,7166.28,6940.96,6960.61,000,6960.61
2012-02-21,7080.22,7145.40,7080.22,7129.67,000,7129.67
2012-02-17,7077.57,7146.24,7052.79,7076.99,000,7076.99
2012-02-16,7013.33,7044.13,6984.03,7032.08,000,7032.08
2012-02-15,6916.97,7033.13,6916.97,7023.11,000,7023.11
2012-02-14,6838.46,6887.89,6834.74,6878.82,000,6878.82
2012-02-13,6828.29,6865.96,6797.72,6839.78,000,6839.78
2012-02-10,6845.67,6889.36,6779.49,6825.15,000,6825.15
2012-02-09,6775.19,6858.14,6771.45,6847.44,000,6847.44
2012-02-08,6742.83,6820.54,6737.98,6788.91,000,6788.91
2012-02-07,6807.07,6821.59,6719.88,6738.02,000,6738.02
2012-02-06,6754.02,6822.06,6738.14,6779.41,000,6779.41
2012-02-03,6655.08,6727.12,6643.75,6717.47,000,6717.47
2012-02-02,6639.49,6680.85,6594.42,6650.48,000,6650.48
2012-02-01,6545.14,6611.77,6522.13,6605.00,000,6605.00
2012-01-31,6442.50,6562.69,6442.50,6549.31,000,6549.31
2012-01-30,6531.03,6531.03,6403.91,6417.22,000,6417.22
2012-01-27,6526.12,6562.06,6513.94,6554.58,000,6554.58
2012-01-25,6463.67,6508.92,6461.88,6497.43,000,6497.43
2012-01-24,6359.87,6460.64,6350.18,6444.56,000,6444.56
2012-01-23,6329.10,6373.82,6328.72,6346.06,000,6346.06
2012-01-20,6336.58,6365.32,6297.46,6344.09,000,6344.09
2012-01-19,6260.36,6316.54,6260.36,6311.34,000,6311.34
2012-01-18,6267.79,6279.70,6211.42,6227.93,000,6227.93
2012-01-17,6177.20,6273.84,6177.20,6258.40,000,6258.40
2012-01-16,6128.18,6161.57,6102.21,6155.78,000,6155.78
2012-01-13,6123.24,6185.85,6114.36,6146.50,000,6146.50
2012-01-12,6096.95,6140.36,6065.63,6097.16,000,6097.16
2012-01-11,6094.62,6130.53,6080.06,6110.26,000,6110.26
2012-01-10,5967.97,6087.60,5967.97,6080.88,000,6080.88
2012-01-09,5940.69,5964.20,5892.15,5947.54,000,5947.54
2012-01-06,5917.19,5974.66,5866.46,5934.40,000,5934.40
2012-01-05,5937.02,5972.83,5915.65,5934.77,000,5934.77
2012-01-04,5949.35,5974.02,5915.49,5934.43,000,5934.43
2012-01-03,5816.21,5950.73,5816.21,5942.39,000,5942.39
2011-12-30,5808.32,5843.84,5754.45,5778.68,000,5778.68
2011-12-29,5833.71,5849.18,5789.58,5797.68,000,5797.68
2011-12-28,5904.26,5908.67,5831.77,5851.48,000,5851.48
2011-12-27,5950.42,5975.21,5884.73,5908.85,000,5908.85
2011-12-23,5913.48,5940.59,5856.02,5877.83,000,5877.83
2011-12-22,5813.14,5905.67,5784.18,5900.03,000,5900.03
2011-12-21,5772.15,5861.83,5753.05,5845.99,000,5845.99
2011-12-20,5802.21,5813.61,5683.02,5694.35,000,5694.35
2011-12-19,5842.27,5842.27,5728.74,5787.70,000,5787.70
2011-12-16,5983.73,6049.35,5836.52,5855.86,000,5855.86
2011-12-15,5963.12,5995.40,5895.30,5974.13,000,5974.13
2011-12-14,6042.35,6091.80,5988.33,5998.32,000,5998.32
2011-12-13,6001.23,6074.95,5978.42,6050.54,000,6050.54
2011-12-12,6186.15,6195.71,6013.42,6024.15,000,6024.15
2011-12-09,6181.33,6208.56,6128.05,6151.79,000,6151.79
2011-12-08,6357.03,6362.64,6217.00,6236.09,000,6236.09
2011-12-07,6358.52,6416.65,6351.24,6369.78,000,6369.78
2011-12-05,6348.94,6370.20,6318.68,6351.70,000,6351.70
2011-12-02,6226.20,6368.22,6208.90,6357.37,000,6357.37
2011-12-01,6226.60,6309.82,6204.00,6224.60,000,6224.60
2011-11-30,6072.36,6136.50,6050.67,6117.00,000,6117.00
2011-11-29,6177.86,6185.12,6091.95,6105.72,000,6105.72
2011-11-28,6057.04,6170.05,6057.04,6165.48,000,6165.48
2011-11-25,6021.34,6074.77,5989.44,6008.93,000,6008.93
2011-11-23,6078.93,6078.93,5917.05,5972.48,000,5972.48
2011-11-22,6080.49,6147.37,6064.85,6101.74,000,6101.74
2011-11-21,6195.87,6195.87,6055.86,6068.66,000,6068.66
2011-11-18,6234.62,6234.62,6137.49,6214.08,000,6214.08
2011-11-17,6363.20,6377.19,6240.40,6253.96,000,6253.96
2011-11-16,6415.81,6415.81,6318.44,6368.99,000,6368.99
2011-11-15,6528.60,6546.37,6406.89,6418.25,000,6418.25
2011-11-14,6624.22,6650.47,6531.76,6538.17,000,6538.17
2011-11-11,6616.35,6633.75,6559.94,6585.87,000,6585.87
2011-11-09,6761.46,6769.95,6646.94,6655.75,000,6655.75
2011-11-08,6747.99,6768.54,6708.91,6742.52,000,6742.52
2011-11-04,6755.13,6787.42,6714.71,6742.08,000,6742.08
2011-11-03,6686.62,6718.75,6641.84,6706.10,000,6706.10
2011-11-02,6659.97,6738.65,6659.97,6693.54,000,6693.54
2011-11-01,6723.25,6758.23,6670.92,6695.18,000,6695.18
2011-10-31,6781.89,6796.79,6748.68,6763.26,000,6763.26
2011-10-28,6707.50,6794.05,6707.50,6782.19,000,6782.19
2011-10-26,6604.35,6630.77,6604.35,6614.04,000,6614.04
2011-10-25,6515.94,6603.13,6475.37,6583.83,000,6583.83
2011-10-24,6516.18,6565.29,6486.80,6496.80,000,6496.80
2011-10-21,6524.79,6550.59,6450.52,6461.12,000,6461.12
2011-10-20,6525.88,6525.88,6459.97,6515.68,000,6515.68
2011-10-19,6490.72,6575.79,6490.72,6568.95,000,6568.95
2011-10-18,6500.17,6500.17,6431.62,6458.31,000,6458.31
2011-10-17,6588.69,6600.87,6524.84,6552.50,000,6552.50
2011-10-14,6498.75,6575.41,6498.39,6567.08,000,6567.08
2011-10-13,6554.06,6580.40,6502.37,6511.65,000,6511.65
2011-10-12,6422.78,6540.30,6422.72,6532.64,000,6532.64
2011-10-11,6414.14,6469.03,6382.73,6394.14,000,6394.14
2011-10-10,6289.63,6395.03,6279.82,6385.93,000,6385.93
2011-10-07,6248.98,6329.76,6248.98,6281.88,000,6281.88
2011-10-05,6202.91,6229.13,6135.65,6143.55,000,6143.55
2011-10-04,6256.88,6300.95,6144.62,6177.55,000,6177.55
2011-10-03,6338.96,6338.96,6247.18,6274.53,000,6274.53
2011-09-30,6440.59,6483.91,6369.39,6385.76,000,6385.76
2011-09-29,6390.22,6477.59,6357.05,6464.65,000,6464.65
2011-09-28,6476.51,6476.51,6383.06,6404.19,000,6404.19
2011-09-27,6351.82,6454.37,6351.82,6443.12,000,6443.12
2011-09-26,6367.08,6367.08,6208.73,6293.39,000,6293.39
2011-09-23,6384.54,6424.14,6306.41,6356.36,000,6356.36
2011-09-22,6607.09,6607.09,6405.59,6419.49,000,6419.49
