Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,9098.25,9173.08,9075.83,9161.80,000,9161.80
2012-07-20,9100.06,9173.08,9075.83,9161.80,000,9161.80
2012-07-19,9202.27,9202.27,9123.97,9136.73,000,9136.73
2012-07-18,9108.54,9185.73,9001.72,9179.79,000,9179.79
2012-07-17,9280.33,9313.83,9104.23,9125.74,000,9125.74
2012-07-16,9338.36,9386.98,9234.09,9244.28,000,9244.28
2012-07-13,9312.99,9372.55,9293.60,9310.02,000,9310.02
2012-07-12,9314.73,9401.80,9296.09,9312.35,000,9312.35
2012-07-11,9466.10,9496.07,9407.20,9420.67,000,9420.67
2012-07-10,9419.04,9558.86,9407.26,9533.13,000,9533.13
2012-07-09,9446.65,9484.59,9361.62,9381.46,000,9381.46
2012-07-06,9549.32,9575.85,9481.61,9487.65,000,9487.65
2012-07-05,9433.12,9547.96,9433.12,9530.52,000,9530.52
2012-07-04,9474.08,9532.07,9461.20,9472.41,000,9472.41
2012-07-03,9449.49,9488.18,9382.04,9426.43,000,9426.43
2012-07-02,9456.56,9464.36,9377.37,9405.41,000,9405.41
2012-06-29,9380.12,9482.40,9378.20,9457.91,000,9457.91
2012-06-28,9248.40,9278.19,9130.04,9255.89,000,9255.89
2012-06-27,9362.47,9381.93,9230.59,9248.05,000,9248.05
2012-06-26,9305.16,9338.80,9247.25,9319.53,000,9319.53
2012-06-25,9388.36,9459.05,9261.62,9283.75,000,9283.75
2012-06-22,9246.80,9417.81,9246.80,9338.41,000,9338.41
2012-06-21,9228.54,9338.76,9197.44,9329.12,000,9329.12
2012-06-20,9241.01,9292.27,9205.69,9260.84,000,9260.84
2012-06-19,9183.25,9234.53,9124.56,9176.87,000,9176.87
2012-06-18,9310.69,9376.74,9101.75,9155.05,000,9155.05
2012-06-15,9032.10,9226.91,9028.98,9213.80,000,9213.80
2012-06-14,9185.04,9203.50,8963.45,8983.29,000,8983.29
2012-06-13,9289.40,9289.40,9124.91,9165.40,000,9165.40
2012-06-12,9096.14,9324.65,9094.84,9301.91,000,9301.91
2012-06-11,9258.03,9330.48,9118.32,9140.79,000,9140.79
2012-06-08,9132.52,9221.79,9071.25,9192.24,000,9192.24
2012-06-07,9133.68,9207.49,9053.56,9186.54,000,9186.54
2012-06-06,8819.21,9087.99,8801.55,9066.68,000,9066.68
2012-06-05,8782.24,8796.79,8707.26,8729.99,000,8729.99
2012-06-01,8871.25,8892.31,8666.68,8680.30,000,8680.30
2012-05-31,8915.52,8949.50,8842.38,8873.01,000,8873.01
2012-05-30,9196.13,9196.13,9034.93,9050.13,000,9050.13
2012-05-29,9489.04,9501.83,9389.27,9424.46,000,9424.46
2012-05-28,9286.82,9412.98,9249.81,9399.91,000,9399.91
2012-05-25,9213.56,9274.80,9159.12,9238.89,000,9238.89
2012-05-24,9124.00,9259.61,9038.60,9243.21,000,9243.21
2012-05-23,9140.47,9163.23,9044.06,9140.09,000,9140.09
2012-05-22,9371.94,9409.34,9182.94,9202.50,000,9202.50
2012-05-21,9249.52,9328.08,9228.39,9276.21,000,9276.21
2012-05-18,9252.97,9293.08,9106.01,9231.46,000,9231.46
2012-05-17,9562.00,9572.48,9371.84,9410.61,000,9410.61
2012-05-16,9464.02,9526.01,9382.47,9489.31,000,9489.31
2012-05-14,9837.88,9868.02,9648.41,9715.47,000,9715.47
2012-05-11,9680.32,9831.73,9636.40,9779.08,000,9779.08
2012-05-10,9865.94,9977.10,9690.86,9722.26,000,9722.26
2012-05-09,9810.31,9893.56,9755.79,9809.09,000,9809.09
2012-05-08,10172.42,10239.84,9869.70,9903.93,000,9903.93
2012-05-07,9851.05,10204.00,9800.04,10147.43,000,10147.43
2012-05-04,10152.26,10153.16,9949.74,10024.41,000,10024.41
2012-05-03,10371.53,10371.53,10190.63,10209.04,000,10209.04
2012-05-02,10639.99,10648.62,10441.50,10462.90,000,10462.90
2012-04-30,10557.68,10655.82,10490.42,10645.52,000,10645.52
2012-04-27,10546.05,10609.80,10472.81,10528.00,000,10528.00
2012-04-26,10627.87,10657.30,10487.12,10514.04,000,10514.04
2012-04-25,10556.57,10665.67,10526.63,10602.70,000,10602.70
2012-04-24,10574.10,10606.58,10489.61,10579.76,000,10579.76
2012-04-23,10759.81,10819.81,10532.57,10575.28,000,10575.28
2012-04-20,10715.54,10829.10,10647.13,10753.06,000,10753.06
2012-04-19,10565.92,10786.60,10546.79,10744.73,000,10744.73
2012-04-18,10468.68,10559.39,10468.68,10529.39,000,10529.39
2012-04-17,10296.53,10397.12,10240.75,10371.53,000,10371.53
2012-04-16,10144.15,10307.55,10109.46,10288.94,000,10288.94
2012-04-13,10155.19,10354.85,10134.12,10156.26,000,10156.26
2012-04-12,10032.72,10138.96,10024.34,10110.28,000,10110.28
2012-04-11,9964.27,10077.91,9960.06,9985.58,000,9985.58
2012-04-10,9993.87,10063.99,9917.37,10035.89,000,10035.89
2012-04-09,10000.91,10031.92,9919.34,9950.88,000,9950.88
2012-04-04,10078.34,10109.34,10034.41,10064.37,000,10064.37
2012-04-03,10207.79,10207.79,10097.15,10110.24,000,10110.24
2012-04-02,10235.02,10250.98,10108.10,10129.30,000,10129.30
2012-03-30,9982.25,10139.44,9948.78,10134.88,000,10134.88
2012-03-29,9768.15,9931.97,9738.90,9909.67,000,9909.67
2012-03-28,9866.59,9891.06,9797.14,9844.00,000,9844.00
2012-03-27,9959.30,9975.28,9790.86,9905.95,000,9905.95
2012-03-26,9971.99,9976.51,9822.72,9860.50,000,9860.50
2012-03-23,9935.73,10057.06,9804.91,9998.62,000,9998.62
2012-03-21,9941.83,10115.28,9885.58,10098.99,000,10098.99
2012-03-20,10110.22,10164.42,9896.21,9965.14,000,9965.14
2012-03-19,10204.20,10241.03,10086.97,10116.58,000,10116.58
2012-03-16,10106.45,10385.35,9993.44,10154.48,000,10154.48
2012-03-15,10194.72,10194.72,10042.53,10132.48,000,10132.48
2012-03-14,10239.98,10326.35,10178.30,10204.26,000,10204.26
2012-03-13,10184.71,10214.71,10102.88,10118.01,000,10118.01
2012-03-12,10029.82,10126.13,9991.16,10106.73,000,10106.73
2012-03-09,9949.82,10037.54,9934.52,10019.28,000,10019.28
2012-03-07,9754.23,9841.17,9726.39,9801.93,000,9801.93
2012-03-06,9787.60,10044.92,9748.31,9780.82,000,9780.82
2012-03-05,9846.71,9872.94,9764.14,9831.79,000,9831.79
2012-03-02,10003.66,10009.53,9833.91,9875.78,000,9875.78
2012-03-01,10002.90,10042.72,9814.56,9905.03,000,9905.03
2012-02-29,10103.98,10178.72,9904.37,9994.61,000,9994.61
2012-02-28,9796.23,10012.41,9777.73,9995.05,000,9995.05
2012-02-27,10046.51,10046.51,9623.81,9699.90,000,9699.90
2012-02-24,10145.70,10214.42,9977.89,10033.24,000,10033.24
2012-02-23,10167.21,10217.66,10019.24,10089.91,000,10089.91
2012-02-22,10374.74,10426.07,10122.39,10170.62,000,10170.62
2012-02-21,10361.25,10392.41,10290.39,10330.44,000,10330.44
2012-02-17,10466.94,10487.55,10303.45,10319.20,000,10319.20
2012-02-16,10291.62,10408.98,10182.61,10373.67,000,10373.67
2012-02-15,10153.84,10432.45,10153.84,10338.32,000,10338.32
2012-02-14,9784.63,10057.76,9784.63,10005.14,000,10005.14
2012-02-13,9722.31,9841.53,9709.81,9795.42,000,9795.42
2012-02-10,9723.61,9855.59,9657.18,9713.36,000,9713.36
2012-02-09,9530.96,9757.79,9530.96,9735.52,000,9735.52
2012-02-08,9515.61,9620.64,9433.42,9565.55,000,9565.55
2012-02-07,9647.08,9656.51,9465.25,9498.20,000,9498.20
2012-02-06,9598.94,9682.91,9531.40,9604.05,000,9604.05
2012-02-03,9451.34,9559.84,9408.99,9523.22,000,9523.22
2012-02-02,9546.32,9546.84,9406.39,9448.67,000,9448.67
2012-02-01,9273.16,9464.28,9273.16,9428.70,000,9428.70
2012-01-31,9092.10,9265.39,9065.66,9241.78,000,9241.78
2012-01-30,9163.48,9171.97,9006.96,9028.18,000,9028.18
2012-01-27,9115.17,9219.32,9115.17,9197.33,000,9197.33
2012-01-25,9015.90,9142.39,9005.89,9101.61,000,9101.61
2012-01-24,8864.32,9016.06,8794.24,8998.04,000,8998.04
2012-01-23,8808.21,8882.57,8753.92,8862.10,000,8862.10
2012-01-20,8780.00,8869.99,8736.85,8818.88,000,8818.88
2012-01-19,8741.61,8811.19,8736.88,8756.11,000,8756.11
2012-01-18,8770.89,8791.63,8639.88,8656.66,000,8656.66
2012-01-17,8600.88,8785.09,8600.88,8755.47,000,8755.47
2012-01-16,8423.90,8550.24,8361.41,8531.64,000,8531.64
2012-01-13,8512.15,8575.59,8414.69,8465.96,000,8465.96
2012-01-12,8396.85,8504.43,8358.90,8463.80,000,8463.80
2012-01-11,8407.84,8413.07,8331.96,8393.52,000,8393.52
2012-01-10,8153.64,8383.81,8153.64,8370.95,000,8370.95
2012-01-06,8167.81,8215.98,8074.91,8174.39,000,8174.39
2012-01-05,8109.61,8250.45,8102.02,8200.13,000,8200.13
2012-01-04,8189.43,8222.66,8063.77,8102.04,000,8102.04
2012-01-03,8101.21,8217.87,8083.38,8200.98,000,8200.98
2012-01-02,8216.59,8229.18,7941.02,8045.90,000,8045.90
2011-12-30,8205.11,8283.58,8119.82,8143.65,000,8143.65
2011-12-29,8162.93,8255.72,8130.98,8170.36,000,8170.36
2011-12-28,8300.31,8325.37,8174.48,8209.06,000,8209.06
2011-12-27,8345.92,8392.55,8272.19,8299.87,000,8299.87
2011-12-26,8311.21,8401.87,8294.37,8356.77,000,8356.77
2011-12-23,8272.33,8353.77,8234.95,8281.47,000,8281.47
2011-12-22,8018.86,8286.48,8016.94,8262.62,000,8262.62
2011-12-21,8060.39,8146.24,7965.40,8128.80,000,8128.80
