Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,12200.00,12200.00,12020.96,12042.03,000,12042.03
2012-07-20,12171.93,12186.98,12020.06,12042.03,000,12042.03
2012-07-19,12297.22,12309.71,12179.43,12198.05,000,12198.05
2012-07-18,12146.32,12215.32,12065.95,12184.41,000,12184.41
2012-07-17,12259.44,12268.08,12091.89,12135.36,000,12135.36
2012-07-16,12221.20,12290.60,12124.08,12146.08,000,12146.08
2012-07-13,12245.44,12324.85,12157.86,12182.57,000,12182.57
2012-07-12,12266.87,12279.29,12143.56,12207.86,000,12207.86
2012-07-11,12308.82,12405.76,12301.41,12322.47,000,12322.47
2012-07-10,12217.69,12379.05,12215.08,12360.52,000,12360.52
2012-07-09,12195.54,12240.04,12109.59,12173.45,000,12173.45
2012-07-06,12232.40,12296.10,12145.81,12265.41,000,12265.41
2012-07-05,12083.86,12257.32,12061.73,12243.60,000,12243.60
2012-07-04,12144.94,12145.36,12062.99,12120.86,000,12120.86
2012-07-03,12057.26,12136.93,12029.28,12060.45,000,12060.45
2012-07-02,11926.91,12036.16,11871.95,11987.67,000,11987.67
2012-06-29,11670.82,11926.62,11670.82,11908.71,000,11908.71
2012-06-28,11573.17,11578.10,11459.46,11507.50,000,11507.50
2012-06-27,11593.41,11644.81,11511.02,11544.27,000,11544.27
2012-06-26,11440.24,11553.41,11417.40,11502.43,000,11502.43
2012-06-25,11643.80,11740.82,11410.16,11442.55,000,11442.55
2012-06-22,11435.97,11602.45,11376.73,11561.05,000,11561.05
2012-06-21,11259.26,11577.10,11256.72,11562.75,000,11562.75
2012-06-20,11343.93,11380.78,11255.31,11329.51,000,11329.51
2012-06-19,11220.80,11307.39,11085.73,11281.84,000,11281.84
2012-06-18,11717.16,11739.27,11171.87,11220.87,000,11220.87
2012-06-15,11409.50,11622.45,11402.73,11586.65,000,11586.65
2012-06-14,11606.47,11628.24,11320.32,11338.72,000,11338.72
2012-06-13,11698.75,11769.54,11608.42,11667.19,000,11667.19
2012-06-12,11419.76,11700.29,11413.87,11680.20,000,11680.20
2012-06-11,11641.61,11699.72,11426.16,11462.48,000,11462.48
2012-06-08,11429.75,11550.91,11293.58,11513.80,000,11513.80
2012-06-07,11332.02,11478.71,11271.09,11455.49,000,11455.49
2012-06-06,11004.38,11243.09,11004.38,11218.78,000,11218.78
2012-06-05,10885.16,10996.73,10828.44,10891.31,000,10891.31
2012-06-01,10883.33,10948.27,10663.89,10684.62,000,10684.62
2012-05-31,10826.03,10917.02,10791.71,10884.53,000,10884.53
2012-05-30,11096.31,11111.11,10956.32,10979.86,000,10979.86
2012-05-29,11227.60,11266.78,11151.46,11178.04,000,11178.04
2012-05-28,10961.92,11180.77,10961.92,11162.95,000,11162.95
2012-05-25,10846.24,10944.31,10801.58,10899.21,000,10899.21
2012-05-24,10655.50,10898.38,10595.57,10865.64,000,10865.64
2012-05-23,10620.53,10708.29,10554.09,10618.09,000,10618.09
2012-05-22,10961.91,10973.19,10660.66,10678.79,000,10678.79
2012-05-21,10784.18,10919.70,10784.18,10843.00,000,10843.00
2012-05-18,10396.78,10785.13,10386.92,10726.81,000,10726.81
2012-05-17,10641.03,10754.23,10508.02,10542.61,000,10542.61
2012-05-16,10566.09,10620.77,10440.07,10566.84,000,10566.84
2012-05-14,10893.64,10946.68,10594.68,10661.64,000,10661.64
2012-05-11,10779.46,10974.31,10722.66,10835.66,000,10835.66
2012-05-10,10872.07,11032.86,10783.88,10833.81,000,10833.81
2012-05-09,10926.87,11034.24,10778.76,10842.68,000,10842.68
2012-05-08,11400.40,11433.15,10985.91,11051.80,000,11051.80
2012-05-07,11069.52,11415.29,10929.42,11374.31,000,11374.31
2012-05-04,11599.44,11599.44,11242.69,11284.03,000,11284.03
2012-05-03,11803.09,11813.08,11630.20,11653.70,000,11653.70
2012-05-02,11895.28,11955.47,11836.32,11860.29,000,11860.29
2012-04-30,11819.30,11928.12,11777.74,11828.63,000,11828.63
2012-04-27,11688.75,11805.40,11563.23,11684.72,000,11684.72
2012-04-26,11749.55,11749.55,11611.18,11666.23,000,11666.23
2012-04-25,11744.19,11843.64,11579.77,11716.12,000,11716.12
2012-04-24,11824.22,11856.84,11706.38,11767.66,000,11767.66
2012-04-23,12030.23,12127.58,11768.83,11798.91,000,11798.91
2012-04-20,12149.35,12186.35,11979.49,12049.90,000,12049.90
2012-04-19,12135.57,12210.04,12031.44,12180.40,000,12180.40
2012-04-18,12264.62,12270.13,12076.29,12111.38,000,12111.38
2012-04-17,12047.35,12248.28,11832.16,12123.84,000,12123.84
2012-04-16,11849.71,12055.86,11849.71,12028.61,000,12028.61
2012-04-13,12088.23,12201.55,11804.25,11884.21,000,11884.21
2012-04-12,11869.82,12024.64,11869.82,11979.99,000,11979.99
2012-04-11,11668.63,11892.83,11616.62,11788.84,000,11788.84
2012-04-10,11723.76,11784.60,11628.38,11766.02,000,11766.02
2012-04-09,11789.91,11814.67,11691.83,11709.34,000,11709.34
2012-04-04,11915.17,11946.54,11841.40,11925.08,000,11925.08
2012-04-03,11963.57,12096.55,11963.57,12015.76,000,12015.76
2012-04-02,11759.95,11894.26,11729.42,11870.61,000,11870.61
2012-03-30,11521.49,11784.29,11521.49,11751.18,000,11751.18
2012-03-29,11355.63,11512.00,11346.13,11458.67,000,11458.67
2012-03-28,11606.89,11631.73,11418.31,11475.87,000,11475.87
2012-03-27,11740.19,11795.89,11486.55,11678.27,000,11678.27
2012-03-26,11812.47,11812.97,11539.88,11570.74,000,11570.74
2012-03-23,11804.21,11986.46,11672.48,11860.42,000,11860.42
2012-03-21,11791.72,12160.89,11774.33,12126.16,000,12126.16
2012-03-20,11709.30,11935.20,11671.21,11836.77,000,11836.77
2012-03-19,11999.29,11999.29,11676.97,11736.61,000,11736.61
2012-03-16,12219.51,12472.78,11924.10,11969.50,000,11969.50
2012-03-15,12533.09,12537.48,12163.82,12203.29,000,12203.29
2012-03-14,12460.01,12564.57,12395.74,12529.00,000,12529.00
2012-03-13,12347.42,12390.31,12281.54,12303.31,000,12303.31
2012-03-12,12260.01,12307.48,12134.18,12233.86,000,12233.86
2012-03-09,11877.53,12111.99,11877.53,12086.53,000,12086.53
2012-03-07,11525.50,11699.15,11441.32,11659.56,000,11659.56
2012-03-06,11594.79,12013.66,11524.41,11579.77,000,11579.77
2012-03-05,11902.72,11902.72,11675.46,11706.88,000,11706.88
2012-03-02,11874.63,12165.08,11728.28,11996.83,000,11996.83
2012-03-01,11938.09,11938.09,11695.21,11830.87,000,11830.87
2012-02-29,12196.51,12263.81,11889.88,11974.16,000,11974.16
2012-02-28,11766.01,12125.01,11689.98,12045.11,000,12045.11
2012-02-27,12064.18,12064.18,11562.45,11589.28,000,11589.28
2012-02-24,12304.63,12368.50,11997.26,12068.47,000,12068.47
2012-02-23,12303.05,12453.49,12198.42,12308.49,000,12308.49
2012-02-22,12834.79,12892.33,12315.26,12348.87,000,12348.87
2012-02-21,12697.25,12881.17,12697.25,12838.84,000,12838.84
2012-02-17,12698.06,12883.24,12656.73,12736.09,000,12736.09
2012-02-16,12523.30,12585.10,12402.80,12559.43,000,12559.43
2012-02-15,12199.37,12584.77,12199.37,12558.11,000,12558.11
2012-02-14,12023.52,12190.10,12001.67,12127.07,000,12127.07
2012-02-13,11997.89,12098.73,11877.84,12029.51,000,12029.51
2012-02-10,12067.41,12128.98,11895.44,11986.92,000,11986.92
2012-02-09,11818.26,12115.05,11808.45,12068.58,000,12068.58
2012-02-08,11846.15,11940.67,11728.75,11849.22,000,11849.22
2012-02-07,11854.84,11975.38,11787.06,11864.62,000,11864.62
2012-02-06,11742.19,11879.90,11710.15,11798.19,000,11798.19
2012-02-03,11469.22,11671.47,11410.62,11643.84,000,11643.84
2012-02-02,11517.88,11597.46,11248.64,11480.38,000,11480.38
2012-02-01,11388.31,11451.04,11232.52,11427.87,000,11427.87
2012-01-31,11050.61,11423.18,11050.61,11390.70,000,11390.70
2012-01-30,11197.90,11197.90,10939.17,10969.09,000,10969.09
2012-01-27,11417.20,11417.20,11165.63,11282.33,000,11282.33
2012-01-25,11323.40,11380.34,11222.76,11323.72,000,11323.72
2012-01-24,10953.14,11351.92,10857.36,11286.43,000,11286.43
2012-01-23,10918.93,11090.08,10909.09,10935.12,000,10935.12
2012-01-20,10641.55,10960.45,10625.70,10912.15,000,10912.15
2012-01-19,10433.18,10557.05,10433.18,10542.14,000,10542.14
2012-01-18,10372.30,10394.80,10245.27,10350.35,000,10350.35
2012-01-17,10327.77,10462.42,10327.77,10395.82,000,10395.82
2012-01-16,10240.43,10300.57,10125.30,10269.32,000,10269.32
2012-01-13,10296.95,10413.08,10234.64,10300.49,000,10300.49
2012-01-12,10150.74,10343.93,10132.63,10249.57,000,10249.57
2012-01-11,10065.00,10165.20,10027.45,10140.36,000,10140.36
2012-01-10,9788.74,10045.13,9788.74,10027.62,000,10027.62
2012-01-06,9626.92,9841.20,9525.00,9736.04,000,9736.04
2012-01-05,9657.28,9767.31,9625.46,9688.31,000,9688.31
2012-01-04,9615.53,9698.66,9517.19,9643.49,000,9643.49
2012-01-03,9263.49,9598.76,9263.49,9576.99,000,9576.99
2012-01-02,9212.56,9221.60,9058.86,9178.05,000,9178.05
2011-12-30,9252.82,9324.99,9105.84,9153.39,000,9153.39
2011-12-29,9257.43,9335.27,9175.70,9220.92,000,9220.92
2011-12-28,9452.27,9452.27,9243.72,9303.93,000,9303.93
2011-12-27,9610.38,9610.38,9443.47,9492.20,000,9492.20
2011-12-26,9572.52,9669.87,9523.58,9610.03,000,9610.03
2011-12-23,9638.49,9707.48,9481.13,9529.86,000,9529.86
2011-12-22,9342.98,9661.92,9270.44,9629.89,000,9629.89
2011-12-21,9197.92,9464.75,9134.72,9416.41,000,9416.41
2011-12-20,9151.48,9180.01,8947.37,8975.01,000,8975.01
2011-12-19,9383.98,9383.98,9005.67,9130.56,000,9130.56
2011-12-16,9752.24,9910.48,9376.16,9420.85,000,9420.85
2011-12-15,9753.26,9799.86,9654.06,9728.21,000,9728.21
2011-12-14,9862.32,10021.50,9776.51,9824.49,000,9824.49
2011-12-13,9786.47,9946.82,9678.19,9863.60,000,9863.60
2011-12-12,10257.57,10285.85,9816.66,9854.61,000,9854.61
2011-12-09,10134.05,10292.00,10023.39,10157.05,000,10157.05
2011-12-08,10526.54,10539.11,10224.32,10266.84,000,10266.84
2011-12-07,10593.86,10676.19,10506.06,10552.51,000,10552.51
2011-12-05,10532.14,10597.13,10434.03,10552.04,000,10552.04
2011-12-02,10223.16,10581.19,10181.69,10550.45,000,10550.45
2011-12-01,10160.86,10375.67,10136.98,10217.20,000,10217.20
2011-11-30,9824.19,9998.43,9774.42,9850.43,000,9850.43
2011-11-29,10145.14,10166.51,9882.55,9911.10,000,9911.10
2011-11-28,9905.69,10124.96,9878.51,10104.09,000,10104.09
2011-11-25,9702.39,9843.96,9615.98,9768.70,000,9768.70
2011-11-24,9663.45,9772.27,9512.01,9742.50,000,9742.50
2011-11-23,9828.57,9828.57,9482.09,9649.30,000,9649.30
2011-11-22,9896.35,9990.48,9813.39,9886.23,000,9886.23
2011-11-21,10137.94,10137.94,9791.42,9831.83,000,9831.83
2011-11-18,10208.96,10208.96,10011.59,10161.29,000,10161.29
2011-11-17,10390.57,10477.46,10218.62,10250.30,000,10250.30
2011-11-16,10421.00,10495.14,10297.51,10402.63,000,10402.63
2011-11-15,10633.21,10688.09,10412.19,10436.22,000,10436.22
2011-11-14,10813.48,10856.21,10626.71,10651.42,000,10651.42
2011-11-11,10938.25,10991.68,10660.77,10686.97,000,10686.97
2011-11-09,11363.79,11363.79,10992.66,11020.96,000,11020.96
2011-11-08,11330.80,11367.12,11192.94,11317.93,000,11317.93
2011-11-04,11345.63,11392.50,11273.59,11302.24,000,11302.24
2011-11-03,11205.69,11276.55,11092.90,11232.57,000,11232.57
2011-11-02,11180.84,11349.36,11175.00,11238.24,000,11238.24
