/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,6375.06,6418.88,6326.69,6388.15,000,6388.15
2012-07-20,6380.48,6418.88,6325.97,6388.15,000,6388.15
2012-07-19,6339.66,6409.34,6328.26,6375.06,000,6375.06
2012-07-18,6355.00,6355.00,6217.52,6288.26,000,6288.26
2012-07-17,6303.93,6317.31,6265.85,6295.02,000,6295.02
2012-07-16,6231.82,6320.96,6224.33,6278.80,000,6278.80
2012-07-13,6343.39,6369.03,6217.58,6230.67,000,6230.67
2012-07-12,6421.28,6422.01,6316.44,6334.03,000,6334.03
2012-07-11,6445.39,6522.68,6437.02,6448.55,000,6448.55
2012-07-10,6410.56,6477.20,6404.06,6451.09,000,6451.09
2012-07-09,6446.63,6453.78,6366.54,6386.25,000,6386.25
2012-07-06,6507.44,6545.63,6432.34,6448.88,000,6448.88
2012-07-05,6520.51,6572.38,6493.14,6519.24,000,6519.24
2012-07-04,6506.77,6550.34,6471.50,6516.95,000,6516.95
2012-07-03,6327.82,6489.01,6326.54,6473.00,000,6473.00
2012-07-02,6256.97,6314.74,6247.96,6285.65,000,6285.65
2012-06-29,6119.76,6242.65,6119.76,6208.83,000,6208.83
2012-06-28,6126.83,6151.82,6036.30,6073.82,000,6073.82
2012-06-27,6147.19,6157.97,6082.24,6092.02,000,6092.02
2012-06-26,6206.62,6212.44,6108.84,6124.99,000,6124.99
2012-06-25,6197.03,6272.09,6175.35,6185.32,000,6185.32
2012-06-22,6140.99,6207.99,6126.92,6175.39,000,6175.39
2012-06-21,6141.14,6218.30,6085.35,6176.89,000,6176.89
2012-06-20,6147.37,6211.65,6130.99,6180.77,000,6180.77
2012-06-19,6146.05,6167.42,6101.34,6133.81,000,6133.81
2012-06-18,6202.06,6224.48,6102.05,6131.99,000,6131.99
2012-06-15,6086.86,6145.57,6086.86,6121.96,000,6121.96
2012-06-14,6121.41,6178.76,6016.75,6060.94,000,6060.94
2012-06-13,6196.41,6206.04,6109.67,6127.76,000,6127.76
2012-06-12,6069.59,6200.21,6063.64,6184.38,000,6184.38
2012-06-11,6079.22,6202.80,6076.75,6091.51,000,6091.51
2012-06-08,6024.54,6041.38,5944.63,6031.83,000,6031.83
2012-06-07,6108.91,6139.62,5985.72,6039.95,000,6039.95
2012-06-06,5996.49,6077.24,5958.00,6063.08,000,6063.08
2012-06-05,6003.52,6072.32,5894.39,5935.87,000,5935.87
2012-06-01,6175.64,6251.91,6121.34,6155.76,000,6155.76
2012-05-31,6207.74,6237.04,6127.34,6201.53,000,6201.53
2012-05-30,6379.58,6427.49,6233.38,6252.44,000,6252.44
2012-05-29,6480.39,6483.67,6376.39,6396.29,000,6396.29
2012-05-28,6329.47,6454.48,6314.44,6439.41,000,6439.41
2012-05-25,6303.53,6318.76,6268.49,6300.56,000,6300.56
2012-05-24,6311.52,6345.58,6237.51,6318.38,000,6318.38
2012-05-23,6376.56,6396.04,6279.46,6295.18,000,6295.18
2012-05-22,6466.22,6507.58,6390.36,6428.93,000,6428.93
2012-05-21,6446.26,6518.24,6403.01,6421.71,000,6421.71
2012-05-18,6358.64,6438.27,6293.36,6419.97,000,6419.97
2012-05-17,6531.56,6570.23,6393.75,6426.10,000,6426.10
2012-05-16,6548.34,6601.64,6438.97,6503.73,000,6503.73
2012-05-14,6619.05,6661.69,6596.94,6630.56,000,6630.56
2012-05-11,6629.92,6679.83,6545.35,6606.97,000,6606.97
2012-05-10,6604.05,6686.05,6603.67,6643.51,000,6643.51
2012-05-09,6595.13,6646.11,6563.07,6622.73,000,6622.73
2012-05-08,6733.94,6780.99,6607.58,6634.50,000,6634.50
2012-05-07,6525.04,6742.53,6439.50,6706.26,000,6706.26
2012-05-04,6737.67,6748.96,6541.05,6610.41,000,6610.41
2012-05-03,6756.48,6799.05,6705.86,6749.04,000,6749.04
2012-05-02,6654.38,6791.16,6645.63,6750.75,000,6750.75
2012-04-30,6669.07,6698.84,6546.09,6591.92,000,6591.92
2012-04-27,6507.38,6630.10,6485.63,6603.09,000,6603.09
2012-04-26,6524.66,6585.66,6494.90,6509.12,000,6509.12
2012-04-25,6641.32,6651.03,6480.93,6513.14,000,6513.14
2012-04-24,6648.37,6690.05,6604.62,6623.77,000,6623.77
2012-04-23,6707.55,6749.83,6582.29,6618.77,000,6618.77
2012-04-20,6725.63,6775.13,6648.94,6686.64,000,6686.64
2012-04-19,6762.77,6768.16,6652.77,6689.73,000,6689.73
2012-04-18,6729.23,6828.80,6695.05,6722.06,000,6722.06
2012-04-17,6680.32,6699.16,6574.25,6691.07,000,6691.07
2012-04-16,6652.91,6706.13,6619.31,6673.30,000,6673.30
2012-04-13,6700.23,6758.64,6620.04,6638.88,000,6638.88
2012-04-12,6683.89,6751.27,6651.30,6662.84,000,6662.84
2012-04-11,6687.69,6725.68,6627.69,6644.69,000,6644.69
2012-04-10,6733.07,6744.67,6626.05,6715.37,000,6715.37
2012-04-09,6808.05,6846.45,6693.16,6705.48,000,6705.48
2012-04-04,6759.43,6897.47,6729.28,6811.81,000,6811.81
2012-04-03,6729.98,6823.00,6729.98,6793.76,000,6793.76
2012-04-02,6513.79,6684.95,6513.79,6651.23,000,6651.23
2012-03-30,6398.04,6465.37,6365.93,6402.49,000,6402.49
2012-03-29,6214.64,6378.29,6194.69,6348.46,000,6348.46
2012-03-28,6394.97,6420.42,6263.21,6293.15,000,6293.15
2012-03-27,6433.03,6534.43,6433.03,6509.48,000,6509.48
2012-03-26,6461.71,6500.34,6348.19,6377.24,000,6377.24
2012-03-23,6502.32,6588.55,6390.44,6469.15,000,6469.15
2012-03-21,6647.64,6701.26,6598.82,6687.58,000,6687.58
2012-03-20,6446.26,6651.82,6446.26,6631.61,000,6631.61
2012-03-19,6518.53,6581.72,6433.81,6479.35,000,6479.35
2012-03-16,6481.53,6579.13,6377.19,6486.73,000,6486.73
2012-03-15,6757.95,6758.99,6488.22,6522.24,000,6522.24
2012-03-14,6834.33,6879.28,6748.57,6770.16,000,6770.16
2012-03-13,6808.48,6842.70,6764.00,6782.86,000,6782.86
2012-03-12,6751.13,6778.68,6697.11,6758.96,000,6758.96
2012-03-09,6510.02,6660.73,6504.33,6632.69,000,6632.69
2012-03-07,6429.81,6501.08,6374.48,6444.47,000,6444.47
2012-03-06,6397.42,6610.34,6328.79,6441.66,000,6441.66
2012-03-05,6512.46,6512.46,6377.95,6401.71,000,6401.71
2012-03-02,6574.83,6591.24,6498.88,6521.32,000,6521.32
2012-03-01,6508.17,6632.23,6428.96,6523.77,000,6523.77
2012-02-29,6585.20,6686.61,6491.73,6561.17,000,6561.17
2012-02-28,6378.61,6563.56,6378.61,6517.87,000,6517.87
2012-02-27,6550.54,6552.56,6267.49,6320.56,000,6320.56
2012-02-24,6600.32,6705.58,6515.83,6544.35,000,6544.35
2012-02-23,6511.94,6631.57,6404.96,6524.23,000,6524.23
2012-02-22,6865.88,6968.54,6501.27,6527.68,000,6527.68
2012-02-21,6647.43,6997.02,6513.15,6865.88,000,6865.88
2012-02-17,6379.07,6718.24,6379.07,6647.43,000,6647.43
2012-02-16,6438.62,6446.96,6337.70,6379.07,000,6379.07
2012-02-15,6246.89,6467.60,6246.89,6438.62,000,6438.62
2012-02-14,6206.72,6267.36,6203.94,6246.89,000,6246.89
2012-02-13,6168.83,6272.07,6168.83,6206.72,000,6206.72
2012-02-10,6185.59,6280.42,6111.44,6168.83,000,6168.83
2012-02-09,6107.13,6197.94,6104.95,6185.59,000,6185.59
2012-02-08,5928.98,6125.22,5928.98,6107.13,000,6107.13
2012-02-07,5893.17,5978.24,5884.13,5928.98,000,5928.98
2012-02-06,5832.41,5954.18,5832.41,5893.17,000,5893.17
2012-02-03,5806.94,5869.22,5767.22,5832.41,000,5832.41
2012-02-02,5829.21,5923.22,5763.01,5806.94,000,5806.94
2012-02-01,5906.39,5906.39,5783.16,5829.21,000,5829.21
2012-01-31,5847.50,5966.96,5847.50,5906.39,000,5906.39
2012-01-30,6000.46,6000.46,5825.63,5847.50,000,5847.50
2012-01-27,5851.82,6013.37,5851.82,6000.46,000,6000.46
2012-01-25,5786.97,5879.32,5786.97,5851.82,000,5851.82
2012-01-24,5770.48,5861.04,5770.48,5786.97,000,5786.97
2012-01-23,5801.31,5869.71,5750.93,5770.48,000,5770.48
2012-01-20,5670.28,5832.32,5670.28,5801.31,000,5801.31
2012-01-19,5639.84,5721.83,5639.84,5670.28,000,5670.28
2012-01-18,5649.97,5693.08,5614.35,5639.84,000,5639.84
2012-01-17,5614.35,5734.54,5574.34,5649.97,000,5649.97
2012-01-16,5606.48,5629.69,5544.15,5614.35,000,5614.35
2012-01-13,5629.18,5702.67,5564.89,5606.48,000,5606.48
2012-01-12,5608.60,5695.04,5568.78,5629.18,000,5629.18
2012-01-11,5569.21,5651.30,5569.21,5608.60,000,5608.60
2012-01-10,5450.00,5583.79,5450.00,5569.21,000,5569.21
2012-01-06,5411.82,5420.62,5327.40,5379.17,000,5379.17
2012-01-05,5410.11,5479.23,5373.81,5411.82,000,5411.82
2012-01-04,5446.74,5542.20,5396.97,5410.11,000,5410.11
2012-01-03,5355.53,5465.15,5355.53,5446.74,000,5446.74
2012-01-02,5284.33,5385.26,5284.33,5355.53,000,5355.53
2011-12-30,5284.47,5333.73,5233.18,5284.33,000,5284.33
2011-12-29,5354.78,5354.78,5271.33,5284.47,000,5284.47
2011-12-28,5404.00,5404.00,5321.88,5354.78,000,5354.78
2011-12-27,5396.01,5449.29,5359.78,5404.00,000,5404.00
2011-12-26,5328.28,5411.75,5328.28,5396.01,000,5396.01
2011-12-23,5390.00,5463.57,5298.53,5328.28,000,5328.28
2011-12-22,5292.28,5418.07,5239.45,5390.00,000,5390.00
2011-12-21,5083.81,5299.71,5083.81,5292.28,000,5292.28
2011-12-20,5189.76,5237.92,5062.96,5083.81,000,5083.81
2011-12-19,5226.36,5270.40,5112.37,5189.76,000,5189.76
2011-12-16,5310.32,5458.95,5204.77,5226.36,000,5226.36
2011-12-15,5397.59,5397.59,5183.85,5310.32,000,5310.32
2011-12-14,5476.39,5487.45,5370.59,5397.59,000,5397.59
2011-12-13,5588.89,5589.90,5433.84,5476.39,000,5476.39
