/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,4934.37,4952.69,4925.11,4937.80,000,4937.80
2012-07-20,4934.86,4952.69,4925.11,4937.80,000,4937.80
2012-07-19,4954.95,4969.17,4922.94,4937.41,000,4937.41
2012-07-18,4951.17,4954.84,4918.90,4938.22,000,4938.22
2012-07-17,4912.16,4946.70,4912.16,4939.19,000,4939.19
2012-07-16,4907.76,4933.92,4882.43,4892.35,000,4892.35
2012-07-13,4904.65,4918.15,4880.99,4909.59,000,4909.59
2012-07-12,4926.42,4937.40,4889.65,4898.72,000,4898.72
2012-07-11,4947.76,4956.89,4900.02,4909.15,000,4909.15
2012-07-10,4880.70,4974.97,4861.66,4965.73,000,4965.73
2012-07-09,4892.03,4934.91,4867.44,4880.55,000,4880.55
2012-07-06,4887.76,4929.26,4872.95,4910.21,000,4910.21
2012-07-05,4838.21,4888.35,4832.42,4877.68,000,4877.68
2012-07-04,4867.64,4874.16,4808.20,4827.94,000,4827.94
2012-07-03,4885.71,4903.74,4836.59,4850.96,000,4850.96
2012-07-02,5007.48,5017.32,4866.43,4887.95,000,4887.95
2012-06-29,4919.24,5006.69,4919.24,4992.03,000,4992.03
2012-06-28,4850.70,4898.72,4841.87,4888.45,000,4888.45
2012-06-27,4845.82,4856.05,4836.80,4848.62,000,4848.62
2012-06-26,4864.14,4867.20,4805.57,4825.39,000,4825.39
2012-06-25,4872.79,4915.68,4859.43,4869.17,000,4869.17
2012-06-22,4890.00,4901.08,4828.61,4875.32,000,4875.32
2012-06-21,4828.17,4897.32,4807.26,4885.59,000,4885.59
2012-06-20,4841.11,4847.38,4811.84,4822.95,000,4822.95
2012-06-19,4773.14,4852.76,4773.14,4832.84,000,4832.84
2012-06-18,4865.41,4865.41,4747.82,4757.67,000,4757.67
2012-06-15,4791.60,4846.65,4775.10,4838.87,000,4838.87
2012-06-14,4788.54,4833.94,4762.14,4770.59,000,4770.59
2012-06-13,4730.75,4792.10,4729.60,4779.02,000,4779.02
2012-06-12,4670.98,4738.54,4638.62,4728.89,000,4728.89
2012-06-11,4665.29,4710.51,4665.29,4689.61,000,4689.61
2012-06-08,4638.60,4701.14,4615.13,4680.77,000,4680.77
2012-06-07,4637.67,4662.66,4594.31,4639.67,000,4639.67
2012-06-06,4507.87,4632.12,4507.87,4603.50,000,4603.50
2012-06-05,4550.12,4554.79,4456.67,4471.66,000,4471.66
2012-06-01,4585.48,4608.49,4559.03,4591.16,000,4591.16
2012-05-31,4551.46,4592.36,4550.46,4574.26,000,4574.26
2012-05-30,4579.58,4608.67,4567.06,4579.55,000,4579.55
2012-05-29,4626.25,4642.65,4577.19,4588.09,000,4588.09
2012-05-28,4607.62,4643.91,4596.03,4631.05,000,4631.05
2012-05-25,4596.76,4643.19,4580.28,4590.25,000,4590.25
2012-05-24,4604.33,4622.10,4584.56,4611.39,000,4611.39
2012-05-23,4587.90,4604.16,4566.01,4597.27,000,4597.27
2012-05-22,4656.85,4685.20,4585.37,4601.48,000,4601.48
2012-05-21,4714.21,4730.39,4632.13,4642.71,000,4642.71
2012-05-18,4604.04,4712.67,4583.13,4697.56,000,4697.56
2012-05-17,4601.87,4689.38,4601.87,4644.40,000,4644.40
2012-05-16,4576.65,4591.97,4535.98,4557.73,000,4557.73
2012-05-14,4615.41,4646.18,4604.44,4631.02,000,4631.02
2012-05-11,4664.68,4669.58,4584.70,4617.93,000,4617.93
2012-05-10,4708.45,4730.47,4652.25,4677.21,000,4677.21
2012-05-09,4615.59,4705.99,4607.60,4688.83,000,4688.83
2012-05-08,4693.86,4752.59,4534.19,4565.79,000,4565.79
2012-05-07,4668.52,4691.15,4628.22,4680.56,000,4680.56
2012-05-04,4751.94,4798.52,4706.47,4714.30,000,4714.30
2012-05-03,4784.40,4793.23,4749.70,4766.79,000,4766.79
2012-05-02,4818.00,4839.60,4769.99,4782.21,000,4782.21
2012-04-30,4806.18,4820.07,4765.73,4772.07,000,4772.07
2012-04-27,4809.69,4844.98,4755.50,4765.89,000,4765.89
2012-04-26,4801.33,4817.02,4771.18,4806.23,000,4806.23
2012-04-25,4777.86,4803.78,4744.01,4794.28,000,4794.28
2012-04-24,4711.25,4782.66,4703.67,4771.31,000,4771.31
2012-04-23,4817.76,4827.34,4750.90,4754.44,000,4754.44
2012-04-20,4787.33,4833.76,4765.83,4804.68,000,4804.68
2012-04-19,4765.79,4808.06,4727.48,4799.47,000,4799.47
2012-04-18,4797.62,4808.85,4740.68,4753.73,000,4753.73
2012-04-17,4723.99,4795.39,4700.86,4778.91,000,4778.91
2012-04-16,4663.56,4723.55,4652.48,4711.14,000,4711.14
2012-04-13,4660.41,4729.35,4622.18,4665.73,000,4665.73
2012-04-12,4574.62,4643.66,4571.25,4638.17,000,4638.17
2012-04-11,4564.51,4597.95,4537.18,4569.67,000,4569.67
2012-04-10,4486.60,4570.42,4478.83,4564.92,000,4564.92
2012-04-09,4493.50,4504.18,4467.59,4475.87,000,4475.87
2012-04-04,4504.64,4515.66,4488.26,4503.68,000,4503.68
2012-04-03,4530.45,4531.74,4512.11,4518.40,000,4518.40
2012-04-02,4478.89,4508.73,4466.29,4502.02,000,4502.02
2012-03-30,4463.49,4505.09,4450.69,4493.10,000,4493.10
2012-03-29,4459.03,4471.60,4409.13,4443.47,000,4443.47
2012-03-28,4468.71,4491.99,4450.54,4472.53,000,4472.53
2012-03-27,4417.54,4474.15,4410.59,4459.50,000,4459.50
2012-03-26,4401.37,4420.04,4375.07,4385.59,000,4385.59
2012-03-23,4366.00,4425.74,4361.10,4403.30,000,4403.30
2012-03-21,4373.63,4430.72,4371.38,4410.30,000,4410.30
2012-03-20,4339.79,4388.35,4327.51,4379.17,000,4379.17
2012-03-19,4300.21,4366.85,4280.54,4333.91,000,4333.91
2012-03-16,4214.20,4374.20,4204.73,4287.16,000,4287.16
2012-03-15,4244.20,4255.89,4186.16,4206.64,000,4206.64
2012-03-14,4250.82,4262.35,4233.54,4250.14,000,4250.14
2012-03-13,4181.39,4218.23,4181.39,4212.25,000,4212.25
2012-03-12,4150.76,4185.80,4150.76,4168.59,000,4168.59
2012-03-09,4187.13,4209.78,4155.83,4164.54,000,4164.54
2012-03-07,4162.58,4184.16,4143.78,4169.35,000,4169.35
2012-03-06,4129.14,4205.04,4110.76,4170.70,000,4170.70
2012-03-05,4124.21,4144.31,4097.04,4138.19,000,4138.19
2012-03-02,4153.53,4154.23,4108.48,4130.35,000,4130.35
2012-03-01,4167.89,4181.74,4128.84,4145.68,000,4145.68
2012-02-29,4210.48,4240.31,4157.31,4166.85,000,4166.85
2012-02-28,4213.24,4234.22,4190.65,4197.02,000,4197.02
2012-02-27,4193.61,4235.71,4186.54,4202.29,000,4202.29
2012-02-24,4191.18,4219.10,4168.73,4190.01,000,4190.01
2012-02-23,4155.30,4194.34,4151.18,4178.31,000,4178.31
2012-02-22,4183.52,4185.12,4120.50,4144.30,000,4144.30
2012-02-21,4160.73,4196.28,4158.01,4168.45,000,4168.45
2012-02-17,4142.78,4160.03,4136.92,4153.20,000,4153.20
2012-02-16,4140.92,4155.83,4130.44,4137.86,000,4137.86
2012-02-15,4160.01,4161.85,4128.59,4138.76,000,4138.76
2012-02-14,4135.08,4154.50,4122.39,4136.28,000,4136.28
2012-02-13,4130.91,4149.04,4120.75,4128.75,000,4128.75
2012-02-10,4157.24,4162.07,4114.56,4130.91,000,4130.91
2012-02-09,4125.78,4154.11,4120.72,4137.62,000,4137.62
2012-02-08,4135.77,4171.44,4113.84,4136.50,000,4136.50
2012-02-07,4139.05,4145.08,4114.52,4132.79,000,4132.79
2012-02-06,4146.23,4164.68,4106.80,4121.20,000,4121.20
2012-02-03,4057.51,4132.56,4052.78,4120.75,000,4120.75
2012-02-02,4099.20,4099.20,4056.93,4062.30,000,4062.30
2012-02-01,4076.29,4086.17,4047.85,4073.04,000,4073.04
2012-01-31,4046.17,4083.28,4046.17,4074.37,000,4074.37
2012-01-30,4073.04,4077.92,4021.69,4033.23,000,4033.23
2012-01-27,4110.94,4127.22,4030.44,4063.87,000,4063.87
2012-01-25,4087.44,4105.55,4075.86,4097.07,000,4097.07
2012-01-24,4085.96,4093.29,4065.65,4073.54,000,4073.54
2012-01-23,4042.08,4087.81,4006.81,4068.46,000,4068.46
2012-01-20,4130.51,4146.08,4020.69,4035.07,000,4035.07
2012-01-19,4121.71,4147.12,4107.75,4117.99,000,4117.99
2012-01-18,4121.82,4138.15,4091.19,4118.70,000,4118.70
2012-01-17,4095.06,4136.59,4095.06,4127.78,000,4127.78
2012-01-16,4067.88,4106.96,4066.13,4099.70,000,4099.70
2012-01-13,4055.24,4094.08,4053.55,4071.65,000,4071.65
2012-01-12,4030.68,4060.62,4029.29,4049.30,000,4049.30
2012-01-11,4064.07,4067.93,4025.30,4032.30,000,4032.30
2012-01-10,4024.48,4067.97,4020.32,4059.87,000,4059.87
2012-01-06,4000.23,4043.78,3971.77,4032.07,000,4032.07
2012-01-05,4019.30,4019.30,3973.64,3997.40,000,3997.40
2012-01-04,4029.08,4031.09,3991.45,4004.72,000,4004.72
2012-01-03,4005.71,4041.05,3999.56,4025.73,000,4025.73
2012-01-02,4054.28,4054.28,3977.39,3982.64,000,3982.64
2011-12-30,4053.61,4070.88,4013.63,4035.31,000,4035.31
2011-12-29,4081.80,4081.80,4031.37,4047.11,000,4047.11
2011-12-28,4127.69,4127.69,4063.19,4075.17,000,4075.17
2011-12-27,4121.22,4129.43,4092.91,4115.20,000,4115.20
2011-12-26,4089.05,4128.02,4081.44,4119.14,000,4119.14
2011-12-23,4086.36,4112.97,4069.24,4088.18,000,4088.18
2011-12-22,4056.44,4094.38,4041.11,4084.63,000,4084.63
2011-12-21,4028.19,4054.73,4001.28,4037.36,000,4037.36
2011-12-20,3996.74,4033.32,3992.46,4000.26,000,4000.26
2011-12-19,3967.68,3992.84,3921.86,3985.54,000,3985.54
2011-12-16,4016.08,4091.54,3946.57,3961.27,000,3961.27
2011-12-15,3981.30,4042.96,3974.43,4025.14,000,4025.14
2011-12-14,3984.97,4039.46,3984.97,4000.71,000,4000.71
2011-12-13,3954.66,4005.11,3954.66,3991.38,000,3991.38
2011-12-12,4017.94,4018.35,3954.97,3963.50,000,3963.50
2011-12-09,4020.51,4022.30,3980.95,3989.17,000,3989.17
2011-12-08,4107.44,4129.39,4018.51,4038.44,000,4038.44
2011-12-07,4085.19,4144.04,4085.19,4112.64,000,4112.64
2011-12-05,4103.69,4122.70,4071.37,4083.66,000,4083.66
2011-12-02,4069.07,4115.91,4059.18,4111.20,000,4111.20
2011-12-01,4097.72,4116.22,4057.70,4064.74,000,4064.74
2011-11-30,3982.33,4054.08,3979.54,4040.82,000,4040.82
2011-11-29,3975.65,4001.15,3963.56,3993.09,000,3993.09
2011-11-28,3927.86,3998.44,3926.98,3975.18,000,3975.18
2011-11-25,3917.76,3937.46,3891.65,3899.57,000,3899.57
2011-11-24,3938.89,3961.31,3887.18,3928.30,000,3928.30
2011-11-23,3987.66,3987.66,3878.52,3925.27,000,3925.27
2011-11-22,4073.05,4082.05,3977.03,3986.57,000,3986.57
2011-11-21,4059.56,4079.79,4027.45,4041.57,000,4041.57
2011-11-18,4133.78,4133.78,4047.59,4075.02,000,4075.02
2011-11-17,4188.05,4194.92,4114.27,4132.58,000,4132.58
2011-11-16,4170.64,4215.52,4148.48,4194.95,000,4194.95
2011-11-15,4216.93,4222.27,4167.65,4173.80,000,4173.80
2011-11-14,4250.50,4274.17,4216.72,4220.97,000,4220.97
2011-11-11,4208.53,4264.01,4201.92,4234.61,000,4234.61
2011-11-09,4190.94,4271.13,4183.98,4231.98,000,4231.98
2011-11-08,4176.01,4215.96,4168.65,4183.21,000,4183.21
2011-11-04,4177.79,4200.13,4172.92,4183.85,000,4183.85
2011-11-03,4174.40,4180.63,4148.52,4173.08,000,4173.08
2011-11-02,4159.87,4202.21,4159.06,4181.03,000,4181.03
2011-11-01,4160.60,4182.91,4156.74,4171.17,000,4171.17
2011-10-31,4160.54,4205.12,4136.36,4196.59,000,4196.59
2011-10-28,4122.49,4167.12,4122.49,4153.36,000,4153.36
2011-10-26,4100.42,4112.92,4094.16,4101.22,000,4101.22
2011-10-25,4019.92,4103.50,4010.29,4077.28,000,4077.28
2011-10-24,3997.92,4041.53,3989.45,4019.52,000,4019.52
2011-10-21,3997.67,4016.63,3963.03,3966.40,000,3966.40
2011-10-20,4000.91,4003.85,3970.65,3995.49,000,3995.49
2011-10-19,3985.96,4025.15,3972.76,4016.84,000,4016.84
2011-10-18,3970.52,4001.35,3956.39,3975.39,000,3975.39
2011-10-17,4007.56,4009.54,3969.36,3999.43,000,3999.43
