/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,7030.97,7030.97,6984.95,6989.04,000,6989.04
2012-07-20,7019.24,7027.11,6984.66,6989.04,000,6989.04
2012-07-19,7057.62,7078.54,7029.85,7033.94,000,7033.94
2012-07-18,7038.35,7067.55,7013.06,7030.25,000,7030.25
2012-07-17,7036.40,7105.12,7036.40,7045.65,000,7045.65
2012-07-16,6923.24,7036.07,6923.24,6996.05,000,6996.05
2012-07-13,6933.49,6963.86,6925.95,6931.01,000,6931.01
2012-07-12,6951.51,6959.74,6926.93,6938.30,000,6938.30
2012-07-11,6952.95,6971.40,6931.76,6943.84,000,6943.84
2012-07-10,6907.46,6963.55,6907.46,6954.61,000,6954.61
2012-07-09,6925.70,6930.47,6882.65,6896.30,000,6896.30
2012-07-06,6943.63,6953.27,6906.45,6941.97,000,6941.97
2012-07-05,6916.32,6955.97,6901.62,6942.34,000,6942.34
2012-07-04,6911.43,6958.94,6892.28,6910.77,000,6910.77
2012-07-03,6929.37,6969.89,6906.87,6916.00,000,6916.00
2012-07-02,6888.87,6923.14,6872.94,6905.04,000,6905.04
2012-06-29,6793.16,6887.71,6793.16,6883.89,000,6883.89
2012-06-28,6768.87,6789.76,6736.62,6757.43,000,6757.43
2012-06-27,6745.40,6774.14,6745.40,6758.77,000,6758.77
2012-06-26,6680.67,6733.78,6679.48,6723.91,000,6723.91
2012-06-25,6726.31,6755.81,6674.83,6680.38,000,6680.38
2012-06-22,6693.05,6744.22,6689.35,6709.57,000,6709.57
2012-06-21,6679.85,6725.57,6675.23,6715.92,000,6715.92
2012-06-20,6634.90,6695.77,6632.30,6685.31,000,6685.31
2012-06-19,6535.50,6621.36,6535.50,6608.60,000,6608.60
2012-06-18,6611.82,6619.26,6519.44,6534.64,000,6534.64
2012-06-15,6516.70,6585.50,6516.70,6580.21,000,6580.21
2012-06-14,6555.06,6573.03,6496.56,6510.92,000,6510.92
2012-06-13,6528.51,6585.82,6528.51,6549.04,000,6549.04
2012-06-12,6532.90,6537.52,6487.24,6519.57,000,6519.57
2012-06-11,6653.66,6660.57,6536.27,6545.80,000,6545.80
2012-06-08,6625.21,6644.69,6570.23,6634.98,000,6634.98
2012-06-07,6646.53,6664.68,6612.67,6635.60,000,6635.60
2012-06-06,6558.61,6648.98,6551.34,6615.55,000,6615.55
2012-06-05,6534.47,6566.97,6524.67,6546.97,000,6546.97
2012-06-01,6627.33,6646.96,6535.69,6556.96,000,6556.96
2012-05-31,6632.28,6657.72,6606.77,6645.31,000,6645.31
2012-05-30,6673.48,6681.68,6626.87,6650.18,000,6650.18
2012-05-29,6705.75,6735.24,6647.61,6657.45,000,6657.45
2012-05-28,6652.15,6687.88,6644.59,6677.40,000,6677.40
2012-05-25,6652.52,6662.87,6623.38,6640.08,000,6640.08
2012-05-24,6631.00,6658.71,6576.31,6648.70,000,6648.70
2012-05-23,6595.40,6620.56,6536.18,6612.37,000,6612.37
2012-05-22,6655.20,6669.04,6586.62,6602.37,000,6602.37
2012-05-21,6628.44,6653.94,6610.29,6636.43,000,6636.43
2012-05-18,6576.60,6631.61,6547.73,6617.65,000,6617.65
2012-05-17,6662.75,6714.64,6599.09,6623.51,000,6623.51
2012-05-16,6647.30,6684.29,6623.90,6646.16,000,6646.16
2012-05-14,6605.20,6644.24,6577.08,6625.53,000,6625.53
2012-05-11,6710.40,6710.40,6565.41,6574.07,000,6574.07
2012-05-10,6766.84,6796.04,6695.09,6706.50,000,6706.50
2012-05-09,6746.82,6764.25,6704.15,6728.47,000,6728.47
2012-05-08,6819.45,6836.52,6710.73,6733.78,000,6733.78
2012-05-07,6785.23,6802.51,6740.97,6793.61,000,6793.61
2012-05-04,6788.39,6846.03,6779.14,6802.75,000,6802.75
2012-05-03,6806.45,6822.66,6769.51,6786.77,000,6786.77
2012-05-02,6815.43,6844.81,6787.30,6797.99,000,6797.99
2012-04-30,6783.76,6814.25,6729.50,6795.59,000,6795.59
2012-04-27,6738.85,6775.23,6699.97,6752.13,000,6752.13
2012-04-26,6761.33,6790.66,6728.72,6747.09,000,6747.09
2012-04-25,6786.37,6810.09,6721.31,6767.31,000,6767.31
2012-04-24,6798.09,6798.96,6752.38,6761.51,000,6761.51
2012-04-23,6829.84,6859.18,6762.19,6785.13,000,6785.13
2012-04-20,6860.48,6878.53,6776.46,6815.95,000,6815.95
2012-04-19,6799.59,6865.01,6799.59,6854.52,000,6854.52
2012-04-18,6737.49,6822.80,6737.49,6774.75,000,6774.75
2012-04-17,6712.07,6739.95,6673.33,6706.83,000,6706.83
2012-04-16,6687.13,6740.31,6677.76,6694.90,000,6694.90
2012-04-13,6647.88,6747.77,6647.88,6693.95,000,6693.95
2012-04-12,6639.94,6649.75,6588.73,6625.73,000,6625.73
2012-04-11,6565.33,6649.92,6564.28,6625.68,000,6625.68
2012-04-10,6600.31,6611.04,6574.98,6587.79,000,6587.79
2012-04-09,6554.66,6602.95,6513.72,6590.81,000,6590.81
2012-04-04,6588.29,6591.47,6560.63,6569.99,000,6569.99
2012-04-03,6635.54,6666.09,6576.47,6587.30,000,6587.30
2012-04-02,6671.39,6671.39,6595.57,6616.94,000,6616.94
2012-03-30,6535.61,6645.72,6535.17,6625.74,000,6625.74
2012-03-29,6447.59,6522.44,6423.86,6505.80,000,6505.80
2012-03-28,6440.74,6472.53,6409.62,6446.40,000,6446.40
2012-03-27,6440.90,6464.77,6408.02,6432.54,000,6432.54
2012-03-26,6479.11,6481.37,6381.24,6391.41,000,6391.41
2012-03-23,6416.23,6482.62,6397.25,6466.76,000,6466.76
2012-03-21,6424.74,6501.44,6422.48,6492.97,000,6492.97
2012-03-20,6387.13,6427.39,6369.89,6420.43,000,6420.43
2012-03-19,6368.32,6389.50,6333.25,6356.05,000,6356.05
2012-03-16,6495.35,6546.98,6340.96,6354.34,000,6354.34
2012-03-15,6514.86,6514.86,6462.59,6485.22,000,6485.22
2012-03-14,6517.82,6563.15,6501.53,6513.46,000,6513.46
2012-03-13,6439.91,6483.34,6439.91,6473.13,000,6473.13
2012-03-12,6455.26,6466.79,6425.22,6434.49,000,6434.49
2012-03-09,6405.10,6471.48,6405.10,6444.41,000,6444.41
2012-03-07,6336.15,6364.59,6316.80,6356.37,000,6356.37
2012-03-06,6346.91,6435.53,6316.37,6330.97,000,6330.97
2012-03-05,6414.81,6414.81,6343.02,6350.99,000,6350.99
2012-03-02,6389.57,6483.37,6368.46,6404.95,000,6404.95
2012-03-01,6353.50,6382.06,6324.93,6352.30,000,6352.30
2012-02-29,6345.90,6407.42,6301.67,6336.41,000,6336.41
2012-02-28,6256.92,6328.78,6256.92,6314.63,000,6314.63
2012-02-27,6296.29,6296.29,6231.69,6245.33,000,6245.33
2012-02-24,6319.13,6358.14,6268.04,6279.22,000,6279.22
2012-02-23,6351.56,6353.46,6287.14,6310.40,000,6310.40
2012-02-22,6387.39,6433.61,6310.32,6328.11,000,6328.11
2012-02-21,6383.20,6431.44,6372.14,6378.83,000,6378.83
2012-02-17,6393.67,6436.42,6367.06,6375.30,000,6375.30
2012-02-16,6347.35,6409.17,6335.07,6381.35,000,6381.35
2012-02-15,6353.14,6422.11,6353.14,6380.34,000,6380.34
2012-02-14,6362.59,6371.92,6324.96,6333.06,000,6333.06
2012-02-13,6382.38,6406.96,6351.18,6369.60,000,6369.60
2012-02-10,6398.78,6425.71,6333.45,6347.10,000,6347.10
2012-02-09,6399.32,6416.54,6375.85,6392.38,000,6392.38
2012-02-08,6403.30,6431.53,6369.02,6394.04,000,6394.04
2012-02-07,6423.84,6463.65,6370.81,6403.30,000,6403.30
