Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,5334.08,5336.34,5294.23,5320.58,000,5320.58
2012-07-20,5325.47,5337.17,5294.23,5320.58,000,5320.58
2012-07-19,5284.36,5339.59,5276.22,5325.46,000,5325.46
2012-07-18,5229.64,5253.64,5208.54,5233.65,000,5233.65
2012-07-17,5265.57,5266.30,5184.08,5209.36,000,5209.36
2012-07-16,5381.93,5383.62,5218.99,5235.37,000,5235.37
2012-07-13,5398.52,5426.42,5349.49,5360.65,000,5360.65
2012-07-12,5331.94,5411.90,5331.94,5384.39,000,5384.39
2012-07-11,5670.41,5734.82,5657.00,5674.14,000,5674.14
2012-07-10,5680.25,5696.97,5657.84,5686.00,000,5686.00
2012-07-09,5626.88,5704.22,5609.44,5650.87,000,5650.87
2012-07-06,5695.39,5695.39,5622.80,5654.85,000,5654.85
2012-07-05,5696.17,5704.85,5674.72,5700.05,000,5700.05
2012-07-04,5730.43,5732.58,5664.75,5698.74,000,5698.74
2012-07-03,5765.84,5771.58,5692.99,5720.60,000,5720.60
2012-07-02,5786.63,5787.68,5743.01,5749.48,000,5749.48
2012-06-29,5717.55,5791.73,5716.64,5765.16,000,5765.16
2012-06-28,5672.56,5705.67,5661.76,5687.54,000,5687.54
2012-06-27,5647.95,5690.16,5645.57,5675.26,000,5675.26
2012-06-26,5614.55,5634.82,5601.28,5622.53,000,5622.53
2012-06-25,5664.70,5692.59,5614.46,5625.99,000,5625.99
2012-06-22,5609.89,5680.64,5609.89,5663.69,000,5663.69
2012-06-21,5665.62,5686.47,5614.71,5677.50,000,5677.50
2012-06-20,5716.27,5723.38,5678.20,5688.53,000,5688.53
2012-06-19,5696.96,5726.20,5668.20,5711.76,000,5711.76
2012-06-18,5810.25,5817.11,5689.58,5717.12,000,5717.12
2012-06-15,5722.98,5774.41,5716.47,5765.50,000,5765.50
2012-06-14,5680.43,5736.81,5679.36,5701.57,000,5701.57
2012-06-13,5653.02,5714.28,5643.72,5682.77,000,5682.77
2012-06-12,5622.13,5670.07,5578.25,5657.27,000,5657.27
2012-06-11,5643.41,5666.49,5599.85,5613.88,000,5613.88
2012-06-08,5650.34,5660.51,5576.98,5617.05,000,5617.05
2012-06-07,5677.35,5696.39,5640.89,5659.37,000,5659.37
2012-06-06,5603.62,5673.33,5603.17,5638.81,000,5638.81
2012-06-05,5532.86,5588.11,5532.86,5556.62,000,5556.62
2012-06-01,5620.99,5636.50,5545.35,5552.27,000,5552.27
2012-05-31,5614.19,5726.63,5581.28,5666.08,000,5666.08
2012-05-30,5603.77,5696.43,5597.29,5646.54,000,5646.54
2012-05-29,5563.13,5649.33,5552.48,5625.39,000,5625.39
2012-05-28,5539.43,5570.50,5513.66,5559.44,000,5559.44
2012-05-25,5495.99,5539.02,5480.30,5523.09,000,5523.09
2012-05-24,5451.52,5531.99,5436.14,5525.98,000,5525.98
2012-05-23,5504.10,5511.52,5419.78,5480.05,000,5480.05
2012-05-22,5488.21,5504.25,5446.44,5471.24,000,5471.24
2012-05-21,5511.43,5514.54,5426.77,5446.35,000,5446.35
2012-05-18,5441.28,5536.18,5419.91,5512.00,000,5512.00
2012-05-17,5538.36,5538.36,5455.66,5510.75,000,5510.75
2012-05-16,5533.52,5574.93,5492.50,5512.94,000,5512.94
2012-05-14,5495.49,5522.05,5453.86,5504.56,000,5504.56
2012-05-11,5536.27,5545.25,5468.52,5481.94,000,5481.94
2012-05-10,5553.21,5579.21,5506.63,5540.27,000,5540.27
2012-05-09,5508.45,5585.28,5508.45,5545.03,000,5545.03
2012-05-08,5550.01,5582.26,5497.42,5533.39,000,5533.39
2012-05-07,5651.03,5727.77,5599.08,5709.56,000,5709.56
2012-05-04,5785.53,5825.99,5702.67,5733.26,000,5733.26
2012-05-03,5735.64,5801.86,5735.64,5786.99,000,5786.99
2012-05-02,5725.66,5767.62,5721.48,5746.08,000,5746.08
2012-04-30,5587.71,5716.74,5587.71,5704.31,000,5704.31
2012-04-27,5508.94,5574.22,5508.94,5568.19,000,5568.19
2012-04-26,5489.12,5531.92,5460.96,5502.26,000,5502.26
2012-04-25,5500.41,5522.58,5447.55,5479.90,000,5479.90
2012-04-24,5417.50,5584.31,5327.80,5562.12,000,5562.12
2012-04-23,5435.89,5446.57,5282.97,5300.62,000,5300.62
2012-04-20,5453.93,5509.38,5396.00,5460.93,000,5460.93
