/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,10656.32,10728.44,10589.20,10673.58,000,10673.58
2012-07-20,10644.84,10730.00,10585.60,10673.58,000,10673.58
2012-07-19,10692.66,10715.11,10644.56,10660.56,000,10660.56
2012-07-18,10440.22,10597.95,10408.61,10567.63,000,10567.63
2012-07-17,10498.63,10529.87,10390.01,10413.65,000,10413.65
2012-07-16,10600.01,10615.72,10413.26,10429.85,000,10429.85
2012-07-13,10803.19,10848.51,10628.46,10641.04,000,10641.04
2012-07-12,10773.73,10843.91,10737.72,10764.78,000,10764.78
2012-07-11,10924.65,11010.08,10863.75,10876.57,000,10876.57
2012-07-10,10858.23,11010.10,10852.77,10991.96,000,10991.96
2012-07-09,10897.45,10898.89,10765.85,10831.79,000,10831.79
2012-07-06,11083.79,11093.33,10944.57,11001.86,000,11001.86
2012-07-05,11172.69,11220.82,11094.87,11122.59,000,11122.59
2012-07-04,11000.00,11208.89,11000.00,11166.44,000,11166.44
2012-07-03,10872.33,10971.28,10837.23,10934.31,000,10934.31
2012-07-02,10825.56,10941.73,10738.45,10850.84,000,10850.84
2012-06-29,10549.99,10803.56,10548.12,10785.38,000,10785.38
2012-06-28,10459.81,10482.88,10370.79,10426.25,000,10426.25
2012-06-27,10332.17,10424.95,10306.84,10409.06,000,10409.06
2012-06-26,10246.45,10291.77,10187.28,10250.19,000,10250.19
2012-06-25,10431.05,10478.76,10239.38,10270.71,000,10270.71
2012-06-22,10376.08,10439.51,10258.87,10344.99,000,10344.99
2012-06-21,10369.91,10522.20,10340.05,10500.74,000,10500.74
2012-06-20,10393.23,10472.40,10313.04,10436.93,000,10436.93
2012-06-19,10283.27,10376.95,10204.27,10305.17,000,10305.17
2012-06-18,10521.14,10573.34,10251.99,10289.91,000,10289.91
2012-06-15,10338.58,10414.16,10309.65,10394.89,000,10394.89
2012-06-14,10377.28,10430.42,10242.98,10264.02,000,10264.02
2012-06-13,10435.24,10475.73,10344.40,10369.58,000,10369.58
2012-06-12,10215.55,10431.99,10215.55,10404.75,000,10404.75
2012-06-11,10453.94,10519.02,10241.70,10296.34,000,10296.34
2012-06-08,10236.21,10340.48,10180.87,10308.14,000,10308.14
2012-06-07,10267.86,10303.27,10186.30,10269.37,000,10269.37
2012-06-06,9943.82,10145.83,9943.82,10135.61,000,10135.61
2012-06-05,9990.57,10029.30,9830.59,9848.08,000,9848.08
2012-06-01,10058.97,10122.63,9903.28,9934.86,000,9934.86
2012-05-31,10057.18,10158.01,10057.18,10106.45,000,10106.45
2012-05-30,10136.06,10239.59,10107.31,10127.97,000,10127.97
2012-05-29,10259.91,10304.32,10182.15,10223.83,000,10223.83
2012-05-28,10125.54,10206.00,10101.86,10187.79,000,10187.79
2012-05-25,9961.77,10137.61,9926.05,10088.61,000,10088.61
2012-05-24,9900.33,10020.88,9781.56,9996.31,000,9996.31
2012-05-23,9876.02,9949.30,9808.28,9862.09,000,9862.09
2012-05-22,10247.97,10253.78,9905.90,9933.71,000,9933.71
2012-05-21,10073.64,10201.28,10069.75,10118.70,000,10118.70
2012-05-18,9850.33,10100.22,9828.69,10078.10,000,10078.10
2012-05-17,10088.37,10178.11,9969.77,10037.81,000,10037.81
2012-05-16,10071.95,10124.42,9956.99,9997.84,000,9997.84
2012-05-14,10159.84,10228.86,9942.22,10050.62,000,10050.62
2012-05-11,10156.06,10254.26,10040.48,10106.70,000,10106.70
2012-05-10,10370.41,10479.24,10210.71,10226.83,000,10226.83
2012-05-09,10421.57,10512.99,10287.52,10332.06,000,10332.06
2012-05-08,10768.53,10813.35,10475.63,10549.56,000,10549.56
2012-05-07,10384.32,10768.52,10333.33,10728.27,000,10728.27
2012-05-04,10775.36,10789.37,10518.89,10562.22,000,10562.22
2012-05-03,10935.38,10989.40,10797.80,10833.90,000,10833.90
2012-05-02,11169.05,11186.43,10995.82,11026.33,000,11026.33
2012-04-30,10989.90,11114.06,10946.98,11066.55,000,11066.55
2012-04-27,11003.29,11074.58,10795.31,10890.18,000,10890.18
2012-04-26,11033.55,11098.83,10949.31,10981.42,000,10981.42
2012-04-25,11058.34,11141.46,10869.49,10975.67,000,10975.67
2012-04-24,10972.80,11056.48,10890.33,11013.90,000,11013.90
2012-04-23,11229.05,11328.49,10914.42,10956.42,000,10956.42
2012-04-20,11302.30,11436.41,11168.83,11278.56,000,11278.56
2012-04-19,11323.18,11388.34,11215.06,11352.16,000,11352.16
2012-04-18,11281.05,11358.51,11245.58,11262.49,000,11262.49
2012-04-17,11015.66,11189.27,10995.67,11178.84,000,11178.84
2012-04-16,10841.84,10981.32,10830.24,10958.77,000,10958.77
2012-04-13,11074.44,11133.07,10874.99,10914.79,000,10914.79
2012-04-12,10841.59,10979.76,10786.80,10956.13,000,10956.13
2012-04-11,10711.87,10851.09,10667.81,10720.67,000,10720.67
2012-04-10,10983.77,10999.19,10801.58,10866.77,000,10866.77
2012-04-09,11223.60,11223.60,10942.09,10965.12,000,10965.12
2012-04-04,11352.30,11425.22,11291.81,11355.27,000,11355.27
2012-04-03,11420.80,11534.39,11414.28,11472.27,000,11472.27
2012-04-02,11316.56,11427.95,11287.14,11315.86,000,11315.86
2012-03-30,11109.76,11383.12,11098.84,11346.31,000,11346.31
2012-03-29,10899.51,11111.16,10881.45,11060.80,000,11060.80
2012-03-28,11040.43,11072.52,10955.59,11017.45,000,11017.45
2012-03-27,11170.87,11170.87,10984.16,11112.31,000,11112.31
2012-03-26,11217.15,11273.67,10901.31,10978.06,000,10978.06
2012-03-23,11346.21,11413.20,11098.01,11223.41,000,11223.41
2012-03-21,11430.45,11700.83,11335.56,11665.08,000,11665.08
2012-03-20,11442.72,11600.70,11402.01,11465.83,000,11465.83
2012-03-19,11536.09,11647.23,11375.73,11430.13,000,11430.13
2012-03-16,11786.36,11914.29,11477.58,11515.35,000,11515.35
2012-03-15,11840.28,11840.28,11687.06,11776.91,000,11776.91
2012-03-14,12167.18,12176.01,11920.12,11941.79,000,11941.79
2012-03-13,11758.98,12029.49,11754.23,11953.73,000,11953.73
2012-03-12,11628.72,11641.85,11460.64,11604.96,000,11604.96
2012-03-09,11205.99,11532.35,11205.99,11499.68,000,11499.68
2012-03-07,11044.34,11144.24,10859.44,10984.66,000,10984.66
2012-03-06,11414.81,11794.09,11105.69,11153.56,000,11153.56
2012-03-05,11862.28,11862.28,11582.32,11603.33,000,11603.33
2012-03-02,12051.60,12135.45,11919.08,11969.57,000,11969.57
2012-03-01,12003.49,12073.06,11845.80,11950.15,000,11950.15
2012-02-29,12053.21,12147.07,11823.11,12052.39,000,12052.39
2012-02-28,11602.54,11915.72,11556.14,11880.16,000,11880.16
2012-02-27,12104.99,12104.99,11447.20,11486.51,000,11486.51
2012-02-24,12024.47,12165.96,11953.99,12072.82,000,12072.82
2012-02-23,12069.32,12137.17,11828.62,11944.28,000,11944.28
2012-02-22,12729.74,12781.68,12071.51,12115.08,000,12115.08
2012-02-21,12626.45,12825.84,12619.37,12658.43,000,12658.43
