/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,6197.94,6206.83,6178.01,6184.10,000,6184.10
2012-07-20,6198.36,6206.83,6178.01,6184.10,000,6184.10
2012-07-19,6217.10,6233.51,6195.59,6198.18,000,6198.18
2012-07-18,6165.26,6194.28,6127.36,6190.76,000,6190.76
2012-07-17,6223.76,6244.06,6152.64,6158.24,000,6158.24
2012-07-16,6260.23,6273.55,6203.40,6208.86,000,6208.86
2012-07-13,6277.69,6318.33,6245.35,6247.89,000,6247.89
2012-07-12,6275.93,6276.18,6232.25,6261.89,000,6261.89
2012-07-11,6311.60,6347.21,6295.33,6298.96,000,6298.96
2012-07-10,6248.54,6307.72,6248.54,6306.68,000,6306.68
2012-07-09,6304.78,6304.78,6231.39,6238.19,000,6238.19
2012-07-06,6354.33,6360.74,6307.13,6313.90,000,6313.90
2012-07-05,6303.76,6362.03,6296.70,6349.26,000,6349.26
2012-07-04,6256.01,6295.45,6256.01,6292.88,000,6292.88
2012-07-03,6227.41,6256.65,6217.92,6238.89,000,6238.89
2012-07-02,6169.76,6224.19,6164.17,6209.24,000,6209.24
2012-06-29,6078.94,6156.07,6078.94,6153.72,000,6153.72
2012-06-28,6071.08,6087.58,6039.10,6055.46,000,6055.46
2012-06-27,6049.19,6069.85,6043.64,6051.50,000,6051.50
2012-06-26,6013.88,6036.36,6008.58,6030.09,000,6030.09
2012-06-25,6033.71,6079.56,6003.73,6008.46,000,6008.46
2012-06-22,5980.71,6021.58,5961.02,6010.21,000,6010.21
2012-06-21,5938.69,6003.74,5931.75,6002.48,000,6002.48
2012-06-20,5908.28,5966.23,5905.27,5954.37,000,5954.37
2012-06-19,5895.49,5911.52,5862.32,5905.48,000,5905.48
2012-06-18,5984.40,6015.64,5880.68,5895.36,000,5895.36
2012-06-15,5939.41,5967.22,5924.83,5958.50,000,5958.50
2012-06-14,6005.95,6023.29,5920.26,5924.59,000,5924.59
2012-06-13,6021.06,6047.07,5995.46,6000.94,000,6000.94
2012-06-12,5966.93,6019.14,5957.71,6013.37,000,6013.37
2012-06-11,6012.97,6060.93,5967.87,5976.48,000,5976.48
2012-06-08,5979.50,5992.13,5935.48,5988.21,000,5988.21
2012-06-07,5954.10,5975.86,5932.88,5975.23,000,5975.23
2012-06-06,5850.61,5936.70,5829.05,5932.30,000,5932.30
2012-06-05,5829.68,5878.12,5809.23,5828.46,000,5828.46
2012-06-04,5795.75,5821.63,5734.24,5809.23,000,5809.23
2012-06-01,5907.96,5922.75,5814.78,5821.63,000,5821.63
2012-05-31,5865.50,5920.97,5840.90,5907.95,000,5907.95
2012-05-30,5968.25,5968.25,5882.05,5886.92,000,5886.92
2012-05-29,5986.48,5993.62,5957.02,5963.50,000,5963.50
2012-05-28,5925.89,5977.22,5900.40,5971.77,000,5971.77
2012-05-25,5881.82,5915.69,5873.38,5900.51,000,5900.51
2012-05-24,5845.53,5879.74,5817.89,5874.78,000,5874.78
2012-05-23,5845.02,5854.18,5805.73,5830.22,000,5830.22
