Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,8062.36,8070.93,7994.87,8026.52,000,8026.52
2012-07-20,8059.12,8070.93,7994.58,8026.52,000,8026.52
2012-07-19,8025.96,8095.71,8023.47,8084.06,000,8084.06
2012-07-18,8037.94,8046.14,7969.21,7984.75,000,7984.75
2012-07-17,8054.62,8081.51,7989.03,8002.65,000,8002.65
2012-07-16,8059.90,8072.13,7993.60,8033.99,000,8033.99
2012-07-13,8033.85,8074.03,8007.73,8028.44,000,8028.44
2012-07-12,7985.80,8047.53,7984.38,8027.43,000,8027.43
2012-07-11,8052.96,8062.61,7987.25,8005.60,000,8005.60
2012-07-10,8042.22,8105.18,8031.71,8090.48,000,8090.48
2012-07-09,8024.20,8077.49,7991.29,8018.56,000,8018.56
2012-07-06,8084.03,8086.30,8013.02,8060.69,000,8060.69
2012-07-05,8095.64,8126.13,8069.92,8089.21,000,8089.21
2012-07-04,8174.56,8179.21,8065.55,8100.86,000,8100.86
2012-07-03,8133.67,8175.44,8106.67,8146.80,000,8146.80
2012-07-02,8075.93,8121.14,8017.83,8094.99,000,8094.99
2012-06-29,8006.22,8098.80,7989.34,8075.67,000,8075.67
2012-06-28,7976.96,8006.75,7913.96,7940.99,000,7940.99
2012-06-27,8028.53,8030.32,7929.23,7970.09,000,7970.09
2012-06-26,7894.82,7993.45,7894.82,7976.45,000,7976.45
2012-06-25,7928.55,7973.09,7859.86,7881.48,000,7881.48
2012-06-22,7852.61,7914.36,7816.81,7895.03,000,7895.03
2012-06-21,7939.18,7954.53,7856.56,7908.01,000,7908.01
2012-06-20,7950.09,8000.34,7924.14,7979.19,000,7979.19
2012-06-19,7753.30,7933.91,7753.30,7921.27,000,7921.27
2012-06-18,7888.66,7896.62,7714.20,7755.06,000,7755.06
2012-06-15,7818.78,7862.58,7812.27,7824.91,000,7824.91
2012-06-14,7792.45,7812.07,7733.52,7769.73,000,7769.73
2012-06-13,7792.58,7797.54,7725.70,7787.85,000,7787.85
2012-06-12,7694.88,7796.92,7694.88,7773.82,000,7773.82
2012-06-11,7834.83,7853.37,7705.23,7722.26,000,7722.26
2012-06-08,7715.51,7803.97,7654.32,7780.76,000,7780.76
2012-06-07,7758.39,7799.21,7721.23,7742.89,000,7742.89
2012-06-06,7608.67,7710.22,7575.48,7699.15,000,7699.15
2012-06-05,7554.17,7586.72,7531.05,7567.25,000,7567.25
2012-06-01,7576.57,7588.50,7391.54,7427.61,000,7427.61
2012-05-31,7501.64,7660.70,7441.63,7587.84,000,7587.84
2012-05-30,7620.58,7634.53,7564.62,7584.40,000,7584.40
2012-05-29,7626.81,7657.62,7583.82,7613.25,000,7613.25
2012-05-28,7595.70,7618.15,7566.53,7592.46,000,7592.46
2012-05-25,7549.92,7598.73,7503.86,7577.63,000,7577.63
2012-05-24,7567.59,7600.43,7518.05,7582.75,000,7582.75
2012-05-23,7455.43,7464.13,7383.94,7435.25,000,7435.25
2012-05-22,7571.63,7582.10,7444.64,7462.24,000,7462.24
2012-05-21,7473.62,7548.24,7461.17,7504.22,000,7504.22
2012-05-18,7385.79,7499.54,7337.94,7465.38,000,7465.38
2012-05-17,7437.05,7474.80,7382.09,7422.03,000,7422.03
2012-05-16,7372.79,7454.13,7370.52,7389.21,000,7389.21
2012-05-14,7557.57,7563.15,7400.71,7420.47,000,7420.47
2012-05-11,7546.81,7592.60,7512.99,7547.94,000,7547.94
2012-05-10,7580.66,7662.87,7547.43,7585.09,000,7585.09
2012-05-09,7593.73,7604.36,7509.99,7538.33,000,7538.33
2012-05-08,7743.20,7758.68,7625.58,7638.24,000,7638.24
2012-05-07,7662.88,7715.94,7587.89,7698.53,000,7698.53
2012-05-04,7813.41,7882.29,7721.99,7737.81,000,7737.81
2012-05-03,7875.24,7897.50,7839.78,7867.52,000,7867.52
2012-05-02,7980.91,7991.58,7892.73,7918.62,000,7918.62
2012-04-30,7878.61,7979.45,7878.61,7964.63,000,7964.63
2012-04-27,7862.33,7936.43,7832.99,7877.41,000,7877.41
2012-04-26,7905.25,7923.31,7852.45,7895.70,000,7895.70
2012-04-25,7948.09,7990.86,7860.61,7900.30,000,7900.30
2012-04-24,7925.70,7959.03,7850.86,7935.23,000,7935.23
2012-04-23,7948.74,8021.52,7907.46,7937.58,000,7937.58
2012-04-20,8016.36,8037.80,7907.88,7943.87,000,7943.87
2012-04-19,8116.29,8123.08,8030.97,8048.60,000,8048.60
2012-04-18,8077.57,8154.16,8076.66,8096.28,000,8096.28
2012-04-17,7928.51,8044.81,7915.91,8034.21,000,8034.21
2012-04-16,7943.22,7987.67,7886.03,7959.92,000,7959.92
2012-04-13,7987.74,8085.33,7921.06,7981.09,000,7981.09
2012-04-12,7927.19,7963.91,7915.71,7940.72,000,7940.72
2012-04-11,7907.12,7946.47,7865.04,7900.40,000,7900.40
2012-04-10,7995.09,7998.09,7907.39,7969.30,000,7969.30
2012-04-09,8089.12,8089.12,8007.24,8019.74,000,8019.74
2012-04-04,8172.92,8213.81,8121.08,8141.13,000,8141.13
2012-04-03,8119.06,8242.79,8110.16,8190.54,000,8190.54
2012-04-02,8089.60,8114.26,8026.97,8064.47,000,8064.47
2012-03-30,7897.37,8105.82,7890.47,8087.50,000,8087.50
2012-03-29,7810.52,7908.19,7789.74,7865.47,000,7865.47
2012-03-28,7939.84,7965.44,7832.14,7850.45,000,7850.45
2012-03-27,7967.10,8002.95,7869.06,7948.16,000,7948.16
2012-03-26,8058.19,8058.19,7892.38,7910.02,000,7910.02
2012-03-23,8068.63,8105.90,7994.48,8059.08,000,8059.08
2012-03-21,8183.76,8275.82,8142.22,8237.69,000,8237.69
2012-03-20,8140.55,8225.07,8116.86,8185.71,000,8185.71
2012-03-19,8248.43,8248.43,8100.75,8136.05,000,8136.05
2012-03-16,8458.27,8541.54,8208.61,8240.78,000,8240.78
2012-03-15,8685.07,8712.54,8498.30,8523.55,000,8523.55
2012-03-14,8746.52,8746.52,8597.02,8684.61,000,8684.61
2012-03-13,8504.53,8665.32,8504.53,8658.43,000,8658.43
2012-03-12,8383.19,8476.41,8366.23,8438.67,000,8438.67
2012-03-09,8327.00,8357.31,8297.82,8335.47,000,8335.47
2012-03-07,8324.56,8349.45,8141.13,8210.31,000,8210.31
2012-03-06,8472.06,8593.46,8323.72,8335.82,000,8335.82
2012-03-05,8596.08,8599.43,8449.19,8487.47,000,8487.47
2012-03-02,8631.81,8644.83,8557.65,8600.22,000,8600.22
2012-03-01,8705.53,8705.53,8574.15,8629.23,000,8629.23
2012-02-29,8626.04,8762.40,8626.04,8711.71,000,8711.71
2012-02-28,8489.48,8533.57,8431.90,8497.13,000,8497.13
2012-02-27,8665.98,8712.31,8318.14,8387.41,000,8387.41
2012-02-24,8825.51,8867.60,8626.25,8652.69,000,8652.69
2012-02-23,8795.78,8868.08,8759.25,8803.56,000,8803.56
2012-02-22,8897.59,8993.78,8743.49,8773.06,000,8773.06
2012-02-21,8661.68,8862.50,8652.59,8842.29,000,8842.29
