Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,6685.70,6701.33,6672.73,6675.35,000,6675.35
2012-07-20,6690.39,6701.56,6672.73,6675.35,000,6675.35
2012-07-19,6675.41,6707.89,6675.41,6682.47,000,6682.47
2012-07-18,6646.69,6662.59,6610.68,6657.53,000,6657.53
2012-07-17,6708.82,6735.28,6634.88,6638.10,000,6638.10
2012-07-16,6752.20,6769.19,6688.33,6696.02,000,6696.02
2012-07-13,6756.92,6826.16,6733.22,6737.42,000,6737.42
2012-07-12,6782.31,6782.31,6710.15,6744.53,000,6744.53
2012-07-11,6807.94,6845.01,6784.51,6789.08,000,6789.08
2012-07-10,6759.71,6807.93,6759.71,6805.10,000,6805.10
2012-07-09,6818.66,6820.78,6740.41,6750.33,000,6750.33
2012-07-06,6861.86,6870.17,6813.82,6822.52,000,6822.52
2012-07-05,6741.24,6842.41,6741.24,6836.54,000,6836.54
2012-07-04,6682.96,6730.26,6682.96,6726.55,000,6726.55
2012-07-03,6632.53,6673.67,6632.53,6667.98,000,6667.98
2012-07-02,6552.00,6624.18,6552.00,6615.29,000,6615.29
2012-06-29,6475.34,6547.61,6475.34,6543.75,000,6543.75
2012-06-28,6455.15,6481.88,6447.75,6458.85,000,6458.85
2012-06-27,6437.01,6466.70,6437.01,6444.39,000,6444.39
2012-06-26,6429.81,6452.95,6414.62,6424.05,000,6424.05
2012-06-25,6416.85,6485.90,6407.92,6422.72,000,6422.72
2012-06-22,6398.30,6427.36,6376.54,6407.50,000,6407.50
2012-06-21,6364.64,6410.02,6353.82,6405.08,000,6405.08
2012-06-20,6320.16,6363.40,6305.89,6356.49,000,6356.49
2012-06-19,6306.52,6322.35,6286.33,6306.55,000,6306.55
2012-06-18,6377.25,6424.81,6296.98,6307.09,000,6307.09
2012-06-15,6331.36,6360.61,6324.96,6351.44,000,6351.44
2012-06-14,6370.53,6383.64,6318.11,6322.47,000,6322.47
2012-06-13,6369.35,6408.82,6357.77,6365.30,000,6365.30
2012-06-12,6337.56,6360.15,6327.28,6357.24,000,6357.24
2012-06-11,6341.37,6413.37,6327.49,6339.50,000,6339.50
2012-06-08,6314.04,6339.93,6291.22,6326.14,000,6326.14
2012-06-07,6296.38,6324.85,6285.46,6313.63,000,6313.63
2012-06-06,6205.62,6289.83,6197.90,6284.62,000,6284.62
2012-06-05,6186.67,6239.22,6180.43,6193.22,000,6193.22
2012-06-04,6189.79,6194.54,6132.10,6180.43,000,6180.43
