Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,3177.31,3181.70,3157.56,3171.40,000,3171.40
2012-07-20,3173.28,3181.91,3157.56,3171.40,000,3171.40
2012-07-19,3172.78,3185.27,3163.61,3173.64,000,3173.64
2012-07-18,3140.13,3155.21,3123.21,3146.22,000,3146.22
2012-07-17,3160.53,3160.65,3125.70,3131.88,000,3131.88
2012-07-16,3194.97,3197.97,3133.11,3140.37,000,3140.37
2012-07-13,3196.42,3214.29,3175.75,3181.61,000,3181.61
2012-07-12,3177.69,3212.30,3170.28,3188.41,000,3188.41
2012-07-11,3339.77,3368.26,3327.72,3336.06,000,3336.06
2012-07-10,3339.32,3359.27,3333.00,3350.04,000,3350.04
2012-07-09,3322.87,3354.98,3314.00,3324.61,000,3324.61
2012-07-06,3360.74,3360.74,3323.18,3338.47,000,3338.47
2012-07-05,3356.40,3365.71,3350.86,3362.38,000,3362.38
2012-07-04,3365.84,3366.87,3336.18,3363.71,000,3363.71
2012-07-03,3360.02,3371.19,3340.98,3356.55,000,3356.55
2012-07-02,3356.11,3357.76,3340.57,3348.64,000,3348.64
2012-06-29,3316.29,3352.79,3316.29,3344.39,000,3344.39
2012-06-28,3296.88,3309.95,3287.25,3299.39,000,3299.39
2012-06-27,3290.47,3306.00,3286.06,3297.92,000,3297.92
2012-06-26,3271.83,3284.71,3260.94,3272.78,000,3272.78
2012-06-25,3298.09,3313.21,3269.63,3274.81,000,3274.81
2012-06-22,3266.43,3299.40,3266.43,3293.54,000,3293.54
2012-06-21,3293.58,3307.19,3270.35,3303.41,000,3303.41
2012-06-20,3320.50,3325.46,3298.22,3303.58,000,3303.58
2012-06-19,3298.79,3324.32,3288.32,3317.06,000,3317.06
2012-06-18,3366.42,3370.00,3296.56,3311.44,000,3311.44
2012-06-15,3311.70,3346.41,3308.13,3342.16,000,3342.16
2012-06-14,3296.18,3321.94,3296.18,3302.69,000,3302.69
2012-06-13,3291.64,3316.36,3286.22,3298.45,000,3298.45
2012-06-12,3262.64,3297.41,3245.54,3290.76,000,3290.76
2012-06-11,3285.28,3294.82,3256.73,3263.39,000,3263.39
2012-06-08,3271.07,3276.37,3242.31,3266.54,000,3266.54
2012-06-07,3283.28,3290.54,3263.46,3278.85,000,3278.85
2012-06-06,3227.09,3270.32,3223.96,3258.05,000,3258.05
2012-06-05,3203.32,3223.97,3196.24,3199.41,000,3199.41
2012-06-01,3254.89,3260.29,3213.04,3217.23,000,3217.23
2012-05-31,3249.09,3301.02,3235.80,3277.35,000,3277.35
2012-05-30,3247.46,3295.00,3243.58,3267.17,000,3267.17
2012-05-29,3234.31,3269.95,3226.78,3256.42,000,3256.42
2012-05-28,3220.40,3238.62,3213.06,3232.60,000,3232.60
2012-05-25,3198.14,3218.18,3188.13,3207.85,000,3207.85
2012-05-24,3148.35,3213.08,3141.88,3206.50,000,3206.50
2012-05-23,3190.29,3192.91,3145.39,3159.44,000,3159.44
2012-05-22,3196.24,3203.83,3166.39,3175.89,000,3175.89
2012-05-21,3204.92,3211.37,3161.48,3171.24,000,3171.24
2012-05-18,3166.92,3215.90,3154.00,3203.17,000,3203.17
2012-05-17,3223.65,3225.42,3183.02,3206.69,000,3206.69
2012-05-16,3218.80,3240.03,3194.44,3205.63,000,3205.63
2012-05-14,3216.71,3227.19,3190.60,3216.15,000,3216.15
2012-05-11,3232.25,3235.97,3199.17,3208.46,000,3208.46
2012-05-10,3248.74,3262.41,3221.21,3237.44,000,3237.44
2012-05-09,3231.18,3266.82,3231.18,3241.78,000,3241.78
2012-05-08,3266.15,3279.07,3241.71,3247.41,000,3247.41
2012-05-07,3290.26,3341.07,3270.35,3334.81,000,3334.81
2012-05-04,3364.90,3384.37,3324.88,3336.16,000,3336.16
2012-05-03,3350.57,3379.20,3350.55,3370.80,000,3370.80
2012-05-02,3341.89,3370.85,3339.85,3358.47,000,3358.47
2012-04-30,3273.56,3332.62,3273.56,3326.09,000,3326.09
2012-04-27,3241.47,3264.35,3233.96,3260.75,000,3260.75
2012-04-26,3237.43,3261.66,3228.97,3239.10,000,3239.10
2012-04-25,3233.56,3253.76,3215.61,3232.15,000,3232.15
2012-04-24,3192.52,3272.07,3143.89,3261.77,000,3261.77
2012-04-23,3242.40,3251.20,3146.28,3156.28,000,3156.28
2012-04-20,3249.63,3279.95,3220.28,3254.71,000,3254.71
2012-04-19,3247.24,3263.54,3243.04,3259.43,000,3259.43
2012-04-18,3272.97,3274.26,3237.74,3242.71,000,3242.71
2012-04-17,3221.87,3248.20,3205.27,3240.45,000,3240.45
2012-04-16,3217.81,3233.95,3182.53,3210.42,000,3210.42
2012-04-13,3284.11,3340.96,3223.33,3231.33,000,3231.33
2012-04-12,3515.54,3516.81,3466.32,3470.69,000,3470.69
2012-04-11,3490.99,3526.22,3478.20,3498.12,000,3498.12
2012-04-10,3544.71,3556.42,3484.63,3506.98,000,3506.98
2012-04-09,3553.38,3569.68,3527.35,3532.51,000,3532.51
2012-04-04,3575.54,3599.75,3569.16,3572.73,000,3572.73
2012-04-03,3613.58,3613.58,3581.06,3588.58,000,3588.58
2012-04-02,3563.05,3599.02,3561.34,3588.05,000,3588.05
2012-03-30,3512.15,3568.49,3506.35,3562.41,000,3562.41
2012-03-29,3501.37,3503.90,3471.40,3492.76,000,3492.76
2012-03-28,3551.77,3551.77,3510.66,3528.26,000,3528.26
2012-03-27,3541.54,3580.14,3532.71,3559.37,000,3559.37
2012-03-26,3565.56,3565.56,3508.08,3516.18,000,3516.18
2012-03-23,3522.24,3577.27,3520.05,3569.10,000,3569.10
2012-03-21,3510.47,3581.49,3507.13,3564.03,000,3564.03
2012-03-20,3498.45,3519.34,3484.00,3500.26,000,3500.26
2012-03-19,3563.92,3563.92,3472.98,3493.35,000,3493.35
2012-03-16,3581.47,3600.43,3540.81,3546.61,000,3546.61
2012-03-15,3587.64,3593.01,3555.54,3567.40,000,3567.40
2012-03-14,3638.96,3644.77,3574.71,3582.69,000,3582.69
2012-03-13,3600.69,3615.76,3590.89,3601.07,000,3601.07
2012-03-12,3611.02,3614.12,3555.30,3571.88,000,3571.88
2012-03-09,3619.46,3621.56,3592.44,3599.01,000,3599.01
