Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,324.35,329.30,321.40,326.85,2086500,326.45
2012-07-20,325.40,329.35,321.40,326.45,2086500,326.45
2012-07-19,316.70,324.95,316.15,323.80,4687900,323.80
2012-07-18,316.50,317.20,313.25,314.00,1189600,314.00
2012-07-17,317.50,318.70,316.00,316.40,1270500,316.40
2012-07-16,317.00,319.45,314.20,315.50,2154700,315.50
2012-07-13,314.00,316.85,314.00,315.50,2147700,315.50
2012-07-12,310.40,315.50,310.40,313.40,3716700,313.40
2012-07-11,312.80,313.50,311.25,312.00,1721100,312.00
2012-07-10,309.85,313.65,309.80,312.35,2645200,312.35
2012-07-09,315.00,316.25,307.90,308.00,3097100,308.00
2012-07-06,315.55,316.50,312.75,315.60,2476400,315.60
2012-07-05,316.00,316.10,313.50,314.75,2587600,314.75
2012-07-04,315.70,316.90,314.05,314.30,4461700,314.30
2012-07-03,315.00,315.00,309.05,312.90,3178100,312.90
2012-07-02,310.80,314.80,310.40,313.30,7112000,313.30
2012-06-29,318.80,318.80,302.60,307.25,65764500,307.25
2012-06-28,325.50,328.55,324.70,325.25,1125800,325.25
2012-06-27,332.00,334.25,324.10,324.40,1998100,324.40
2012-06-26,331.90,332.90,327.65,329.25,1557700,329.25
2012-06-25,328.55,334.45,327.75,330.50,2057900,330.50
2012-06-22,321.55,326.50,320.15,325.50,1795200,325.50
2012-06-21,330.05,330.35,323.60,325.75,2580200,325.75
2012-06-20,329.90,336.20,328.00,333.50,1352500,333.50
2012-06-19,330.55,331.75,324.10,328.00,1335700,328.00
2012-06-18,331.00,334.35,325.70,332.00,1567600,332.00
2012-06-15,327.90,330.55,325.00,328.50,1094600,328.50
2012-06-14,321.00,325.90,320.55,324.20,1675900,324.20
2012-06-13,320.85,323.00,318.35,321.30,1904400,321.30
2012-06-12,316.05,322.50,315.50,320.50,1409100,320.50
2012-06-11,327.90,331.00,318.65,319.15,1339800,319.15
2012-06-08,327.90,327.90,321.00,325.30,969100,325.30
2012-06-07,323.65,332.00,323.65,331.00,2729800,331.00
2012-06-06,316.90,323.60,316.65,321.55,1952200,321.55
2012-06-05,312.00,316.90,306.50,314.25,1780700,314.25
2012-06-01,330.10,334.10,315.10,315.50,3157300,315.50
2012-05-31,333.25,339.90,329.10,332.00,21545100,332.00
2012-05-30,335.00,341.30,331.50,333.75,4105700,333.75
2012-05-29,328.40,339.40,328.40,335.50,2258600,335.50
2012-05-28,325.15,330.85,324.60,328.55,1642800,328.55
2012-05-25,317.10,325.20,314.00,324.90,2504400,324.90
2012-05-24,319.90,323.70,312.75,316.85,3278600,316.85
2012-05-23,323.00,329.70,318.55,319.55,1882300,319.55
2012-05-22,327.00,334.70,321.45,328.05,2828300,328.05
2012-05-21,320.90,327.50,320.90,323.00,1833400,323.00
2012-05-18,317.80,325.25,315.00,318.85,2246900,318.85
2012-05-17,320.10,326.50,317.80,320.90,2353000,320.90
2012-05-16,312.95,327.40,312.50,319.75,4450500,319.75
2012-05-14,315.45,320.10,301.10,302.00,2246700,302.00
2012-05-11,317.00,326.40,315.00,316.75,2648400,316.75
2012-05-10,310.00,323.75,309.65,320.45,3245800,320.45
2012-05-09,312.30,313.75,304.00,309.70,3662900,309.70
2012-05-08,326.90,329.70,313.25,314.00,2160700,314.00
2012-05-07,325.00,325.45,315.00,325.40,3314100,325.40
