Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,404.20,406.90,399.85,402.40,481200,402.95
2012-07-20,404.20,406.90,399.05,402.95,482500,402.95
2012-07-19,408.00,410.35,401.70,405.00,535000,405.00
2012-07-18,415.05,415.05,403.10,404.90,871400,404.90
2012-07-17,420.00,423.60,410.50,412.80,465100,412.80
2012-07-16,427.00,428.20,412.10,420.00,686200,420.00
2012-07-13,427.50,431.85,424.50,424.50,516600,424.50
2012-07-12,427.00,428.85,423.00,426.80,500300,426.80
2012-07-11,431.05,439.40,424.90,426.80,2118100,426.80
2012-07-10,428.70,432.25,425.25,432.00,664200,432.00
2012-07-09,424.85,429.00,420.10,426.00,696500,426.00
2012-07-06,429.00,432.20,420.40,425.90,569500,425.90
2012-07-05,424.45,431.50,421.55,431.00,1139300,431.00
2012-07-04,421.80,426.00,419.75,425.10,1055400,425.10
2012-07-03,418.50,421.00,415.50,420.00,793800,420.00
2012-07-02,412.00,418.50,410.65,413.70,669400,413.70
2012-06-29,413.15,414.50,409.00,411.50,904800,411.50
2012-06-28,412.10,414.05,403.70,404.70,558500,404.70
2012-06-27,418.95,421.05,407.30,410.00,685800,410.00
2012-06-26,415.30,416.50,408.30,415.15,196000,415.15
2012-06-25,419.95,422.00,410.00,410.80,272300,410.80
2012-06-22,410.00,418.85,403.00,415.05,332300,415.05
2012-06-21,406.85,414.90,401.55,412.10,393500,412.10
2012-06-20,405.05,410.50,402.25,410.50,180200,410.50
2012-06-19,408.05,408.90,397.00,406.60,427000,406.60
2012-06-18,437.50,437.50,403.35,406.00,652200,406.00
2012-06-15,411.10,425.20,411.10,422.60,423700,422.60
2012-06-14,421.00,423.90,410.20,412.30,368900,412.30
2012-06-13,434.70,436.20,427.90,430.00,598000,430.00
2012-06-12,416.10,434.70,413.15,433.00,625100,433.00
2012-06-11,423.00,432.00,414.25,417.00,655500,417.00
2012-06-08,416.00,425.60,410.00,422.10,728600,422.10
2012-06-07,418.55,418.80,410.00,416.00,451100,416.00
2012-06-06,411.10,418.45,409.30,415.10,759100,415.10
2012-06-05,397.10,411.60,397.10,408.60,641800,408.60
2012-06-01,400.65,407.40,391.25,393.30,536800,393.30
2012-05-31,388.00,407.90,382.60,397.00,1212800,397.00
2012-05-30,398.35,402.00,385.70,387.10,304200,387.10
2012-05-29,409.40,409.65,401.10,402.00,227600,402.00
2012-05-28,399.70,406.00,396.40,406.00,360000,406.00
2012-05-25,388.00,398.95,387.00,396.60,486500,396.60
2012-05-24,385.50,393.00,365.85,392.50,583100,392.50
2012-05-23,392.15,393.30,383.25,384.25,608800,384.25
2012-05-22,395.65,402.00,390.50,391.25,526700,391.25
2012-05-21,405.00,405.00,390.65,392.25,703100,392.25
2012-05-18,387.05,400.00,387.05,398.65,478400,398.65
2012-05-17,397.10,403.80,395.00,397.95,509200,397.95
2012-05-16,397.95,402.65,391.65,394.50,476300,394.50
2012-05-14,420.00,424.25,402.80,408.00,646700,408.00
2012-05-11,417.50,427.00,412.05,420.90,949800,420.90
2012-05-10,407.00,424.90,390.60,424.90,3539800,424.90
2012-05-09,421.00,423.90,402.00,403.00,575900,403.00
2012-05-08,435.00,437.70,421.10,423.00,383800,423.00
2012-05-07,424.00,437.00,418.15,434.00,669600,434.00
2012-05-04,428.15,433.55,421.60,429.85,665100,429.85
2012-05-03,438.45,438.45,426.90,429.10,312500,429.10
2012-05-02,436.00,442.50,431.15,435.00,468600,435.00
2012-04-30,437.90,441.70,428.80,435.95,936900,435.95
2012-04-27,446.00,446.00,419.40,425.35,951400,425.35
2012-04-26,459.85,463.45,438.00,438.70,628900,438.70
2012-04-25,471.40,473.85,454.55,458.60,233000,458.60
2012-04-24,472.00,475.75,463.40,470.40,239300,470.40
2012-04-23,472.05,476.60,466.10,470.00,491600,470.00
2012-04-20,473.95,480.00,464.50,472.30,460000,472.30
2012-04-19,476.00,481.60,471.50,475.00,229300,475.00
2012-04-18,485.00,488.70,475.80,477.45,426000,477.45
2012-04-17,478.80,486.60,466.10,481.55,1178900,481.55
2012-04-16,463.65,477.35,462.30,474.70,386700,474.70
2012-04-13,475.00,479.00,460.00,464.00,467800,464.00
2012-04-12,461.65,473.90,458.90,471.60,653300,471.60
2012-04-11,456.00,464.85,451.10,455.70,556900,455.70
2012-04-10,459.00,462.50,451.00,460.10,429300,460.10
2012-04-09,467.00,472.00,455.25,456.55,430400,456.55
2012-04-04,468.00,474.90,466.40,474.90,212700,474.90
2012-04-03,475.00,476.25,469.10,471.10,248300,471.10
2012-04-02,477.00,485.00,467.60,469.90,481700,469.90
2012-03-30,455.75,478.00,450.00,475.00,614300,475.00
2012-03-29,448.00,457.90,447.05,453.75,627700,453.75
2012-03-28,450.50,462.30,447.55,454.50,702700,454.50
2012-03-27,450.00,459.00,444.10,455.00,774400,455.00
2012-03-26,464.00,464.00,442.45,443.95,571100,443.95
2012-03-23,466.20,470.60,450.45,464.75,552700,464.75
2012-03-21,474.90,479.05,462.00,477.00,1190100,477.00
2012-03-20,462.00,471.00,450.90,470.00,1383200,470.00
2012-03-19,476.35,493.90,458.00,458.75,1344900,458.75
2012-03-16,502.10,517.40,485.10,485.10,1048900,485.10
2012-03-15,526.65,529.20,501.50,507.15,660900,507.15
2012-03-14,524.95,529.75,514.00,526.00,820400,526.00
