/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,75.30,75.70,74.50,75.15,129200,75.15
2012-07-20,76.20,76.20,74.50,75.15,129200,75.15
2012-07-19,77.00,77.00,75.00,75.30,258600,75.30
2012-07-18,74.85,75.80,73.10,75.10,277800,75.10
2012-07-17,77.15,77.55,74.50,74.75,142800,74.75
2012-07-16,78.90,79.10,76.50,76.85,161900,76.85
2012-07-13,78.30,79.75,77.45,78.55,188100,78.55
2012-07-12,79.50,79.80,77.25,78.25,193400,78.25
2012-07-11,78.50,81.10,78.50,80.20,483900,80.20
2012-07-10,77.10,78.45,76.95,78.25,188000,78.25
2012-07-09,80.10,80.60,76.55,76.85,222000,76.85
2012-07-06,78.00,81.75,78.00,80.65,697500,80.65
2012-07-05,76.40,79.15,76.00,78.75,610700,78.75
2012-07-04,75.40,76.80,75.05,76.45,325900,76.45
2012-07-03,74.70,74.90,73.55,74.60,157700,74.60
2012-07-02,73.20,74.65,72.65,73.95,190200,73.95
2012-06-29,72.30,73.40,72.00,73.15,262600,73.15
2012-06-28,72.15,72.15,71.20,71.65,187900,71.65
2012-06-27,72.00,72.10,71.05,71.45,102300,71.45
2012-06-26,71.45,71.70,70.70,71.30,135100,71.30
2012-06-25,71.50,72.35,71.10,71.50,162200,71.50
2012-06-22,71.50,72.00,70.75,71.05,164500,71.05
2012-06-21,71.35,72.50,71.10,71.90,151800,71.90
2012-06-20,72.20,72.65,71.15,71.55,149000,71.55
2012-06-19,72.00,72.90,71.35,71.90,137500,71.90
2012-06-18,73.85,74.35,70.55,72.55,296500,72.55
2012-06-15,75.50,75.50,72.50,73.15,344500,73.15
2012-06-14,77.75,79.45,73.00,74.15,1124100,74.15
2012-06-13,76.00,76.80,74.25,76.25,199600,76.25
2012-06-12,75.30,75.60,74.25,75.00,154900,75.00
2012-06-11,75.40,77.35,74.40,74.85,247700,74.85
2012-06-08,75.80,75.80,73.60,75.20,213600,75.20
2012-06-07,74.90,76.45,74.15,76.00,405600,76.00
2012-06-06,72.40,74.80,72.40,74.45,245500,74.45
2012-06-05,72.30,73.45,71.20,71.85,299600,71.85
2012-06-01,71.50,71.90,69.20,69.90,185800,69.90
