Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,332.05,332.70,325.10,326.50,47900,327.00
2012-07-20,332.10,332.75,324.75,327.00,468700,327.00
2012-07-19,331.30,335.00,331.30,332.00,606500,332.00
2012-07-18,334.10,334.75,328.05,329.25,710500,329.25
2012-07-17,334.00,337.50,329.75,332.90,1042000,332.90
2012-07-16,328.05,335.65,328.05,332.95,1041400,332.95
2012-07-13,326.90,332.45,326.50,329.00,1489200,329.00
2012-07-12,324.00,327.75,324.00,326.25,894000,326.25
2012-07-11,328.00,328.00,323.50,326.00,919900,326.00
2012-07-10,321.05,329.25,321.00,326.05,1516700,326.05
2012-07-09,326.85,328.15,321.80,322.15,482600,322.15
2012-07-06,325.10,329.70,322.40,327.85,1255000,327.85
2012-07-05,314.80,325.00,314.40,323.20,1301900,323.20
2012-07-04,318.00,318.85,315.30,315.85,437600,315.85
2012-07-03,315.60,319.50,313.30,314.50,849800,314.50
2012-07-02,316.25,319.80,313.70,313.70,1064100,313.70
2012-06-29,309.50,317.90,309.15,315.60,2159300,315.60
2012-06-28,309.95,310.05,306.25,306.50,1037800,306.50
2012-06-27,309.00,310.50,305.75,309.00,737300,309.00
2012-06-26,306.25,311.50,305.75,308.80,1211100,308.80
2012-06-25,315.80,316.00,305.00,306.05,744600,306.05
2012-06-22,309.00,316.90,308.55,313.75,825000,313.75
2012-06-21,309.40,311.00,308.15,310.25,530000,310.25
2012-06-20,310.00,310.75,307.35,309.75,891000,309.75
2012-06-19,307.20,310.15,306.60,310.00,1410500,310.00
2012-06-18,310.00,312.45,304.50,306.20,767700,306.20
2012-06-15,305.55,310.75,304.00,309.10,1910900,309.10
2012-06-14,303.80,308.25,303.10,305.75,956400,305.75
2012-06-13,306.00,306.75,302.60,303.00,2002700,303.00
2012-06-12,300.55,305.15,300.00,304.50,1042600,304.50
2012-06-11,309.90,311.10,301.05,301.10,1222100,301.10
2012-06-08,302.35,310.00,301.05,308.55,920100,308.55
2012-06-07,311.75,312.25,307.00,307.60,579400,307.60
2012-06-06,311.30,311.90,307.50,308.70,938500,308.70
2012-06-05,305.00,310.20,304.65,309.15,832700,309.15
2012-06-01,310.70,311.30,306.60,308.00,1007200,308.00
2012-05-31,306.00,311.45,303.80,308.50,2356000,308.50
2012-05-30,310.40,311.35,305.00,306.00,758500,306.00
2012-05-29,315.30,316.10,308.10,310.50,1474500,310.50
2012-05-28,310.00,315.60,309.45,314.10,534700,314.10
2012-05-25,310.00,310.70,307.10,308.85,505200,308.85
2012-05-24,310.40,312.00,308.05,309.80,668700,309.80
2012-05-23,312.35,314.20,307.65,310.80,871300,310.80
2012-05-22,315.95,316.50,310.75,312.25,859100,312.25
2012-05-21,315.00,318.40,312.00,312.10,662800,312.10
2012-05-18,312.70,318.60,309.00,318.00,936200,318.00
2012-05-17,323.00,325.20,311.50,313.60,2394000,313.60
2012-05-16,322.00,325.55,320.05,322.00,871400,322.00
2012-05-14,318.70,322.65,312.85,322.00,1039800,322.00
2012-05-11,328.90,331.20,316.00,317.00,1542500,317.00
2012-05-10,326.95,331.15,320.60,324.95,2621300,324.95
2012-05-09,324.00,326.55,317.05,324.00,1228000,324.00
2012-05-08,327.90,329.40,321.60,325.80,2100900,325.80
2012-05-07,330.00,331.30,326.00,328.40,3128000,328.40
2012-05-04,319.15,329.60,319.15,326.70,4511900,326.70
2012-05-03,320.00,322.90,315.75,317.50,1289600,317.50
2012-05-02,312.25,318.90,310.35,318.00,1568100,318.00
2012-04-30,310.90,314.70,310.90,312.00,2006300,312.00
2012-04-27,308.10,312.00,306.60,310.85,1100900,310.85
2012-04-26,314.80,315.40,305.00,306.70,1778400,306.70
2012-04-25,315.90,318.10,311.65,312.00,887700,312.00
