/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,359.20,363.15,359.20,361.00,973000,362.00
2012-07-20,359.20,363.20,359.00,362.00,973600,362.00
2012-07-19,362.70,363.60,358.25,359.30,1221900,359.30
2012-07-18,355.50,361.90,355.50,360.25,3132400,360.25
2012-07-17,354.00,355.40,351.95,354.40,1404500,354.40
2012-07-16,353.00,356.85,349.70,351.00,1105600,351.00
2012-07-13,355.00,357.00,353.00,354.70,1002400,354.70
2012-07-12,351.70,355.75,351.25,354.75,1078000,354.75
2012-07-11,351.20,354.70,350.25,353.00,747300,353.00
2012-07-10,351.00,360.00,350.55,353.65,1487600,353.65
2012-07-09,349.00,352.90,346.50,350.60,1169000,350.60
2012-07-06,348.40,354.10,347.30,351.20,2194700,351.20
2012-07-05,354.60,356.15,347.60,348.25,992800,348.25
2012-07-04,357.00,358.65,352.30,353.90,1463800,353.90
2012-07-03,349.35,357.90,346.80,356.00,1721000,356.00
2012-07-02,348.00,351.85,344.75,350.60,939900,350.60
2012-06-29,350.00,354.00,343.05,347.00,2197800,347.00
2012-06-28,342.05,348.95,341.90,345.15,1551000,345.15
2012-06-27,340.00,344.45,338.85,342.30,1093900,342.30
2012-06-26,337.00,340.00,335.05,340.00,977500,340.00
2012-06-25,341.35,345.00,335.20,336.00,1341500,336.00
2012-06-22,340.00,343.35,336.50,337.25,1307700,337.25
2012-06-21,336.20,343.75,334.75,343.75,1306200,343.75
2012-06-20,345.20,346.25,336.10,339.40,1968900,339.40
2012-06-19,338.80,345.15,334.60,343.50,1889500,343.50
2012-06-18,341.30,344.00,336.85,339.50,1920900,339.50
2012-06-15,333.00,340.90,333.00,340.00,2607800,340.00
2012-06-14,333.55,336.70,329.45,331.25,1016300,331.25
2012-06-13,336.50,340.90,332.50,333.90,1541900,333.90
2012-06-12,330.70,337.20,330.20,336.05,1185100,336.05
2012-06-11,329.00,337.30,328.10,331.00,1775800,331.00
2012-06-08,323.80,329.50,321.80,328.65,1309100,328.65
2012-06-07,323.35,326.65,323.35,325.30,1102300,325.30
2012-06-06,317.00,323.50,317.00,322.20,2518800,322.20
2012-06-05,320.30,324.75,314.80,315.40,1820900,315.40
2012-06-01,321.60,324.25,318.40,321.05,1725300,321.05
2012-05-31,316.00,325.75,316.00,322.00,4945100,322.00
2012-05-30,319.85,322.40,318.10,320.75,1288400,320.75
2012-05-29,319.00,324.00,317.10,321.05,2048500,321.05
2012-05-28,314.00,316.50,313.25,315.00,976300,315.00
2012-05-25,308.50,314.30,307.30,314.00,1207700,314.00
2012-05-24,308.00,312.10,305.10,309.80,888400,309.80
2012-05-23,304.80,309.85,302.60,308.00,1096900,308.00
2012-05-22,313.50,314.90,305.10,306.10,1763800,306.10
2012-05-21,302.50,311.30,302.05,310.00,1855000,310.00
2012-05-18,304.00,305.80,301.10,303.80,2601000,303.80
2012-05-17,308.30,312.50,305.50,306.55,2066400,306.55
2012-05-16,311.50,315.50,307.40,310.00,2230300,310.00
2012-05-14,315.00,320.25,314.00,316.65,2554700,316.65
2012-05-11,320.45,321.20,312.65,313.25,2240100,313.25
2012-05-10,327.95,330.65,320.00,321.00,1823500,321.00
2012-05-09,332.85,332.85,325.30,326.00,2775700,326.00
2012-05-08,327.10,338.70,327.00,333.50,3112500,333.50
2012-05-07,327.00,332.40,325.10,328.00,2982600,328.00
2012-05-04,337.00,339.00,328.60,330.00,1430000,330.00
2012-05-03,343.30,344.65,332.80,336.50,3406400,336.50
2012-05-02,353.55,355.45,343.25,343.25,2621200,343.25
2012-04-30,351.50,354.90,349.10,352.75,745400,352.75
2012-04-27,356.50,357.95,348.00,350.95,1031600,350.95
