Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1169.20,1172.20,1162.45,1164.65,18400,1168.20
2012-07-20,1169.20,1172.20,1162.45,1168.20,18400,1168.20
2012-07-19,1171.10,1184.35,1163.25,1170.10,56800,1170.10
2012-07-18,1147.10,1168.00,1143.25,1167.85,38700,1167.85
2012-07-17,1137.00,1151.90,1133.60,1145.00,64700,1145.00
2012-07-16,1130.00,1138.25,1127.70,1136.95,32700,1136.95
2012-07-13,1136.95,1142.35,1130.00,1134.00,29500,1134.00
2012-07-12,1133.55,1156.50,1120.70,1130.00,108900,1130.00
2012-07-11,1153.20,1155.00,1139.00,1142.80,226400,1142.80
2012-07-10,1157.35,1163.35,1153.00,1157.70,43500,1157.70
2012-07-09,1160.15,1164.00,1150.45,1153.95,29600,1153.95
2012-07-06,1172.60,1191.80,1163.00,1166.00,59600,1166.00
2012-07-05,1181.00,1192.10,1178.10,1182.90,19400,1182.90
2012-07-04,1192.20,1201.00,1180.30,1189.95,51000,1189.95
2012-07-03,1179.95,1200.00,1179.95,1195.05,41100,1195.05
2012-07-02,1201.75,1201.95,1173.35,1179.95,29600,1179.95
2012-06-29,1174.55,1206.00,1174.55,1194.10,110500,1194.10
2012-06-28,1155.65,1184.95,1144.00,1178.10,111700,1178.10
2012-06-27,1140.00,1156.90,1130.05,1152.00,83800,1152.00
2012-06-26,1120.05,1136.90,1120.05,1131.35,44800,1131.35
2012-06-25,1128.50,1129.90,1116.05,1123.00,17500,1123.00
2012-06-22,1102.00,1125.85,1102.00,1120.20,48500,1120.20
2012-06-21,1105.00,1116.95,1096.50,1106.50,138300,1106.50
2012-06-20,1110.00,1124.80,1105.05,1111.50,149700,1111.50
2012-06-19,1126.05,1127.20,1099.35,1108.65,181100,1108.65
2012-06-18,1155.05,1163.90,1119.60,1130.00,70500,1130.00
2012-06-15,1174.00,1174.00,1140.25,1144.70,73200,1144.70
2012-06-14,1155.85,1176.00,1144.20,1161.00,109500,1161.00
2012-06-13,1140.05,1146.90,1131.30,1140.00,44700,1140.00
2012-06-12,1126.05,1142.05,1126.05,1134.00,40500,1134.00
2012-06-11,1150.00,1156.90,1132.60,1135.00,38800,1135.00
2012-06-08,1115.80,1155.00,1115.80,1144.10,103300,1144.10
2012-06-07,1132.40,1133.00,1115.00,1128.00,84200,1128.00
2012-06-06,1160.00,1160.00,1117.05,1125.00,114900,1125.00
2012-06-05,1198.00,1198.00,1131.15,1140.00,46100,1140.00
2012-06-01,1209.95,1209.95,1176.05,1182.15,63600,1182.15
2012-05-31,1182.00,1214.90,1181.00,1200.00,189400,1200.00
2012-05-30,1220.00,1228.95,1178.00,1187.15,140100,1187.15
2012-05-29,1234.80,1234.80,1214.95,1216.20,35100,1216.20
2012-05-28,1213.00,1252.00,1210.10,1225.00,68800,1225.00
2012-05-25,1207.10,1218.90,1202.25,1212.00,41800,1212.00
2012-05-24,1226.95,1227.05,1200.15,1211.00,326100,1211.00
2012-05-23,1200.45,1210.00,1195.00,1207.95,43000,1207.95
2012-05-22,1222.60,1229.95,1195.00,1204.00,68900,1204.00
2012-05-21,1234.80,1234.85,1217.15,1220.00,39900,1220.00
2012-05-18,1222.00,1228.95,1214.00,1223.00,35300,1223.00
2012-05-17,1220.35,1240.00,1220.00,1230.00,95000,1230.00
2012-05-16,1224.95,1232.00,1210.05,1218.00,45800,1218.00
2012-05-14,1184.00,1220.00,1162.05,1214.00,294800,1214.00
2012-05-11,1163.35,1188.05,1156.20,1185.15,171900,1185.15
2012-05-10,1145.95,1178.00,1140.00,1165.05,198600,1165.05
2012-05-09,1140.00,1145.00,1120.30,1140.00,27900,1140.00
2012-05-08,1122.00,1141.40,1122.00,1126.75,25300,1126.75
2012-05-07,1050.00,1134.75,1050.00,1125.90,19600,1125.90
2012-05-04,1130.40,1142.95,1126.25,1135.55,36800,1135.55
2012-05-03,1149.00,1157.65,1113.05,1130.00,30900,1130.00
2012-05-02,1120.00,1128.70,1117.10,1121.40,24700,1121.40
2012-04-30,1120.90,1123.95,1107.40,1110.00,69300,1110.00
2012-04-27,1128.95,1134.90,1106.25,1112.90,30100,1112.90
2012-04-26,1159.00,1159.95,1111.25,1121.25,68700,1121.25
2012-04-25,1130.60,1164.70,1130.60,1155.45,72300,1155.45
2012-04-24,1103.85,1169.80,1103.85,1164.00,41600,1164.00
2012-04-23,1150.00,1160.00,1105.10,1119.65,51800,1119.65
2012-04-20,1121.50,1159.85,1121.50,1153.00,42900,1153.00
2012-04-19,1199.80,1224.80,1130.50,1142.40,42600,1142.40
2012-04-18,1108.55,1141.00,1108.55,1133.10,24900,1133.10
2012-04-17,1102.00,1133.50,1102.00,1127.50,34800,1127.50
2012-04-16,1101.00,1125.90,1083.15,1125.00,27100,1125.00
2012-04-13,1117.05,1136.95,1105.25,1112.90,68000,1112.90
2012-04-12,1118.00,1135.90,1115.00,1118.15,42200,1118.15
2012-04-11,1115.35,1137.00,1115.00,1118.00,45700,1118.00
2012-04-10,1115.00,1132.00,1108.25,1128.90,52800,1128.90
2012-04-09,1126.10,1139.00,1111.10,1117.00,30700,1117.00
2012-04-04,1146.15,1156.65,1130.85,1135.00,35100,1135.00
2012-04-03,1154.40,1164.85,1145.15,1159.10,74700,1159.10
2012-04-02,1124.00,1158.50,1114.50,1144.95,73200,1144.95
2012-03-30,1119.00,1124.50,1108.00,1124.00,31000,1124.00
2012-03-29,1117.45,1126.70,1106.00,1113.85,32300,1113.85
2012-03-28,1108.00,1125.95,1107.95,1123.95,381100,1123.95
2012-03-27,1060.00,1117.75,1025.00,1108.00,88300,1108.00
2012-03-26,1120.00,1120.00,1080.15,1089.00,25200,1089.00
2012-03-23,1080.00,1098.00,1070.00,1080.00,42200,1080.00
2012-03-21,1087.30,1120.00,1082.85,1119.75,41900,1119.75
2012-03-20,1100.45,1122.80,1090.00,1105.00,59700,1105.00
2012-03-19,1061.10,1105.00,1061.10,1105.00,19500,1105.00
2012-03-16,1080.20,1109.95,1080.20,1093.30,43900,1093.30
2012-03-15,1100.00,1108.35,1088.05,1097.00,23300,1097.00
2012-03-14,1121.00,1139.85,1095.15,1108.95,93600,1108.95
2012-03-13,1097.00,1121.95,1083.25,1103.05,90200,1103.05
2012-03-12,1056.50,1100.00,1056.50,1096.70,59900,1096.70
2012-03-09,1055.00,1067.70,1036.05,1063.50,45200,1063.50
2012-03-07,1039.00,1047.90,1030.00,1034.10,38300,1034.10
2012-03-06,1005.00,1065.00,1004.95,1040.00,48000,1040.00
2012-03-05,1037.00,1043.00,1021.00,1034.90,33500,1034.90
2012-03-02,1034.15,1069.00,1034.15,1038.00,99000,1038.00
2012-03-01,1040.10,1051.90,1022.00,1036.50,38700,1036.50
2012-02-29,1080.00,1080.00,1043.00,1052.00,17000,1052.00
2012-02-28,1074.00,1074.00,1047.00,1049.00,35300,1049.00
2012-02-27,1231.10,1231.10,1043.05,1058.00,156300,1058.00
2012-02-24,1022.95,1065.00,1015.20,1064.00,194300,1064.00
2012-02-23,1001.00,1039.90,999.20,1033.40,108400,1033.40
2012-02-22,1001.00,1014.00,998.95,1007.00,37200,1007.00
2012-02-21,1011.00,1018.95,1010.55,1012.00,37300,1012.00
2012-02-17,1010.20,1019.80,1010.00,1010.00,71400,1010.00
2012-02-16,1011.00,1018.00,1004.05,1009.00,25400,1009.00
2012-02-15,1010.00,1016.95,1005.00,1012.00,100200,1012.00
2012-02-14,1025.00,1025.00,998.90,999.00,169200,999.00
2012-02-13,1020.00,1026.95,1000.00,1009.00,62000,1009.00
2012-02-10,1018.80,1040.00,1006.05,1025.00,111200,1025.00
2012-02-09,1020.00,1029.80,997.15,1006.00,54400,1006.00
2012-02-08,1025.00,1035.00,1016.20,1022.45,72800,1022.45
2012-02-07,984.30,1033.00,984.30,1024.20,89200,1024.20
2012-02-06,1008.65,1008.90,991.60,1007.00,80500,1007.00
2012-02-03,1007.90,1007.90,998.00,1000.05,79800,1000.05
2012-02-02,999.05,1009.70,990.00,998.00,24700,998.00
2012-02-01,1003.00,1015.00,993.65,995.90,77700,995.90
2012-01-31,1039.00,1039.00,984.05,1008.00,217700,1008.00
2012-01-30,978.00,986.35,976.50,985.05,194700,985.05
2012-01-27,985.00,985.00,976.25,976.25,34800,976.25
2012-01-25,988.40,988.40,976.00,977.90,76000,977.90
2012-01-24,994.95,997.95,977.05,977.05,155300,977.05
2012-01-23,973.65,1013.40,960.50,984.90,430000,984.90
2012-01-20,967.05,973.55,957.00,960.10,36100,960.10
2012-01-19,964.00,979.00,958.00,968.50,26700,968.50
2012-01-18,969.90,971.00,949.10,963.50,66500,963.50
2012-01-17,957.00,974.20,952.00,963.55,57400,963.55
2012-01-16,935.00,954.00,934.90,951.90,30800,951.90
2012-01-13,959.00,960.05,936.30,943.50,119500,943.50
2012-01-12,980.15,982.00,954.00,957.10,384000,957.10
2012-01-11,1009.00,1009.00,980.00,980.00,54600,980.00
2012-01-10,982.65,993.00,982.00,986.30,116200,986.30
2012-01-06,992.80,992.80,978.00,981.95,275300,981.95
2012-01-05,987.00,995.00,978.00,983.90,18500,983.90
2012-01-04,995.00,997.25,960.00,981.05,60100,981.05
2012-01-03,988.95,995.00,985.00,990.10,20500,990.10
2012-01-02,995.00,995.70,981.10,986.80,16600,986.80
2011-12-30,982.00,1009.90,976.00,990.10,47500,990.10
2011-12-29,1014.00,1015.20,975.00,980.25,81600,980.25
2011-12-28,1020.20,1028.00,1008.55,1012.00,39500,1012.00
2011-12-27,1016.20,1028.00,1014.00,1020.00,15200,1020.00
2011-12-26,1025.00,1029.45,1012.25,1020.00,27800,1020.00
2011-12-23,1025.00,1030.00,1019.95,1023.00,29700,1023.00
2011-12-22,1015.00,1028.00,1012.00,1025.00,18500,1025.00
2011-12-21,1005.05,1026.90,1000.00,1018.10,78100,1018.10
2011-12-20,1009.00,1009.00,991.20,1002.40,51000,1002.40
2011-12-19,1049.00,1049.00,981.00,1010.05,43100,1010.05
2011-12-16,1059.00,1059.00,1011.35,1014.00,34300,1014.00
2011-12-15,1035.00,1040.00,1022.10,1028.10,46000,1028.10
2011-12-14,1040.00,1053.00,1031.90,1041.05,109700,1041.05
2011-12-13,1004.00,1037.00,998.55,1033.00,88400,1033.00
2011-12-12,1010.00,1019.95,1000.70,1001.10,104000,1001.10
2011-12-09,1022.75,1022.75,992.10,1000.25,23700,1000.25
2011-12-08,1016.20,1029.70,1001.10,1005.00,42100,1005.00
2011-12-07,1007.00,1030.00,1002.10,1016.00,94500,1016.00
2011-12-05,1000.00,1008.00,997.00,1000.05,15400,1000.05
2011-12-02,1009.00,1009.00,995.05,1000.15,23300,1000.15
2011-12-01,1010.00,1018.00,998.20,998.20,21900,998.20
2011-11-30,1004.40,1011.20,991.00,1002.00,91300,1002.00
2011-11-29,992.00,1009.00,992.00,997.00,45600,997.00
2011-11-28,991.20,999.55,981.20,994.00,39700,994.00
2011-11-25,975.00,994.85,971.00,981.30,24600,981.30
2011-11-24,982.00,992.70,962.25,967.00,170200,967.00
2011-11-23,1004.10,1006.75,979.00,983.45,75100,983.45
2011-11-22,1009.65,1009.65,975.00,998.05,52800,998.05
2011-11-21,1007.00,1009.90,990.15,998.50,28300,998.50
2011-11-18,1011.00,1013.40,1000.00,1002.00,86500,1002.00
2011-11-17,1001.00,1034.00,996.00,1009.00,69200,1009.00
2011-11-16,1012.55,1017.95,998.10,1008.00,28100,1008.00
2011-11-15,1040.00,1040.00,1011.55,1012.05,50300,1012.05
2011-11-14,1050.65,1054.85,1031.20,1039.90,55000,1039.90
2011-11-11,1051.50,1059.20,1036.00,1046.15,78400,1046.15
2011-11-09,1070.00,1072.80,1050.00,1050.50,35700,1050.50
2011-11-08,1072.55,1085.00,1058.65,1065.00,71000,1065.00
2011-11-04,1050.00,1085.00,1050.00,1078.00,167100,1078.00
2011-11-03,1060.10,1072.00,1045.70,1046.20,86100,1046.20
2011-11-02,1034.95,1066.00,1031.00,1058.10,108300,1058.10
2011-11-01,1005.95,1068.80,994.00,1043.00,354200,1043.00
2011-10-31,997.10,1012.20,972.50,1000.00,155700,1000.00
2011-10-28,1014.00,1015.00,990.25,994.50,43500,994.50
2011-10-26,1010.00,1012.00,1000.20,1004.00,5600,1004.00
2011-10-25,990.00,1002.75,987.00,999.00,37100,999.00
2011-10-24,991.00,999.00,989.50,992.50,15300,992.50
2011-10-21,1000.00,1007.00,981.10,992.15,18800,992.15
2011-10-20,1006.00,1014.95,988.30,996.00,32700,996.00
2011-10-19,999.40,1020.00,999.40,1003.50,41700,1003.50
2011-10-18,1001.25,1008.00,995.00,997.50,71200,997.50
2011-10-17,997.90,1005.00,992.15,1005.00,48700,1005.00
2011-10-14,991.00,996.00,985.00,996.00,10900,996.00
2011-10-13,1000.00,1002.95,985.00,986.00,9100,986.00
2011-10-12,996.30,1000.95,996.10,1000.00,34400,1000.00
2011-10-11,988.00,1000.00,984.05,994.00,40800,994.00
2011-10-10,984.00,990.00,978.80,984.05,23500,984.05
