/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,128.50,132.35,126.70,130.05,2830900,130.40
2012-07-20,128.00,132.40,126.55,130.40,2835400,130.40
2012-07-19,130.10,131.90,127.10,127.80,798800,127.80
2012-07-18,130.90,130.90,126.15,129.60,1248400,129.60
2012-07-17,130.40,131.00,128.10,129.45,1869500,129.45
2012-07-16,127.50,129.25,125.00,129.00,1102000,129.00
2012-07-13,130.00,131.60,125.70,126.20,1370200,126.20
2012-07-12,133.00,133.00,128.80,129.10,1276900,129.10
2012-07-11,133.00,136.00,132.00,132.90,1506500,132.90
2012-07-10,130.40,132.90,129.30,132.60,907100,132.60
2012-07-09,131.40,132.90,128.75,131.00,1117700,131.00
2012-07-06,131.00,134.20,131.00,131.50,1809800,131.50
2012-07-05,129.05,132.05,129.00,131.30,887000,131.30
2012-07-04,132.20,132.75,127.70,129.00,2055500,129.00
2012-07-03,126.50,132.15,126.50,131.80,3630500,131.80
2012-07-02,122.00,127.00,121.50,126.40,5588600,126.40
2012-06-29,121.25,122.50,120.65,121.20,2577300,121.20
2012-06-28,121.75,122.55,119.30,119.55,725700,119.55
2012-06-27,121.30,124.00,119.50,121.20,820600,121.20
2012-06-26,119.50,120.75,117.55,119.35,519500,119.35
2012-06-25,123.00,123.00,118.25,119.00,602600,119.00
2012-06-22,120.45,121.80,117.35,118.20,1380800,118.20
2012-06-21,119.80,122.95,119.65,121.10,1798800,121.10
2012-06-20,115.00,120.50,114.70,119.40,1256900,119.40
2012-06-19,114.00,115.40,113.40,114.60,1472500,114.60
2012-06-18,118.35,118.50,113.65,113.70,1120900,113.70
2012-06-15,116.05,116.85,114.05,116.50,1577200,116.50
2012-06-14,116.05,118.40,114.10,114.60,1173900,114.60
2012-06-13,118.40,119.55,116.00,116.50,1025500,116.50
2012-06-12,114.15,119.90,111.55,119.65,1000000,119.65
2012-06-11,120.95,121.80,115.20,115.60,1326100,115.60
2012-06-08,117.50,120.90,116.00,120.10,1927800,120.10
2012-06-07,115.60,119.10,114.75,118.10,1870400,118.10
2012-06-06,112.15,115.35,111.25,113.65,2163700,113.65
2012-06-05,110.00,113.90,109.90,111.70,1629900,111.70
2012-06-01,112.50,114.80,107.50,108.80,2358300,108.80
2012-05-31,113.95,115.00,110.20,112.85,2547700,112.85
2012-05-30,111.30,115.40,110.25,114.70,5709100,114.70
2012-05-29,110.80,113.95,108.40,110.35,6325600,110.35
2012-05-28,104.95,110.75,102.10,110.50,12641400,110.50
2012-05-25,107.30,110.00,103.10,107.30,10488400,107.30
2012-05-24,112.20,112.55,107.00,107.90,2087100,107.90
2012-05-23,115.00,115.00,110.55,111.60,956000,111.60
2012-05-22,120.70,121.35,114.30,115.10,739300,115.10
2012-05-21,116.00,120.70,115.70,118.00,1321800,118.00
2012-05-18,112.00,116.45,109.20,116.05,1572000,116.05
2012-05-17,112.10,114.70,111.00,112.30,1542000,112.30
2012-05-16,112.00,112.65,109.05,110.65,1728600,110.65
2012-05-14,115.50,117.50,110.50,112.75,1257000,112.75
2012-05-11,119.45,119.45,115.50,117.85,687800,117.85
2012-05-10,122.50,123.40,118.30,120.25,892000,120.25
2012-05-09,122.05,123.90,120.50,121.10,601400,121.10
2012-05-08,128.00,128.90,121.20,122.40,1134800,122.40
2012-05-07,121.60,127.90,120.00,127.20,841800,127.20
2012-05-04,127.75,127.90,122.70,123.50,876400,123.50
2012-05-03,131.00,131.30,127.05,128.00,435200,128.00
2012-05-02,131.45,133.15,129.55,131.20,1123300,131.20
2012-04-30,131.00,133.50,128.80,130.65,2111500,130.65
2012-04-27,129.35,132.80,127.85,129.00,2263900,129.00
2012-04-26,133.00,134.00,128.25,129.80,1738600,129.80
2012-04-25,131.15,133.90,128.80,132.90,2140300,132.90
