/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,115.70,118.95,115.00,118.35,1202200,119.00
2012-07-20,115.70,119.00,115.00,119.00,1202200,119.00
2012-07-19,115.10,116.20,114.80,115.70,364800,115.70
2012-07-18,115.00,116.45,114.65,115.40,565300,115.40
2012-07-17,114.00,115.95,114.00,115.60,715200,115.60
2012-07-16,114.60,115.25,112.65,113.30,1062900,113.30
2012-07-13,116.00,116.00,114.15,114.25,782200,114.25
2012-07-12,114.85,116.35,114.50,115.00,1065000,115.00
2012-07-11,115.00,116.40,114.70,115.60,319100,115.60
2012-07-10,115.80,117.00,114.55,114.75,582100,114.75
2012-07-09,115.00,115.80,114.40,115.70,800100,115.70
2012-07-06,115.00,115.25,114.45,114.75,296600,114.75
2012-07-05,113.95,115.45,113.25,115.00,1280500,115.00
2012-07-04,113.75,114.65,113.30,114.00,627400,114.00
2012-07-03,114.75,114.75,112.70,113.00,696600,113.00
2012-07-02,114.50,114.95,113.25,113.55,394500,113.55
2012-06-29,114.00,116.00,113.05,114.75,1120700,114.75
2012-06-28,114.00,115.00,112.05,115.00,650000,115.00
2012-06-27,113.65,114.40,112.10,113.00,781300,113.00
2012-06-26,111.90,113.50,110.80,113.30,1143900,113.30
2012-06-25,111.10,112.80,110.85,111.30,318300,111.30
2012-06-22,112.75,113.45,111.20,111.75,441500,111.75
2012-06-21,110.00,114.95,109.00,112.90,2411600,112.90
2012-06-20,109.00,110.45,107.00,110.20,414200,110.20
2012-06-19,108.05,109.80,107.20,109.00,527800,109.00
2012-06-18,111.85,111.90,107.45,108.25,430800,108.25
2012-06-15,110.70,112.20,110.30,111.00,1264400,111.00
2012-06-14,109.95,111.65,109.35,109.95,1190600,109.95
2012-06-13,106.90,110.70,106.80,109.90,1389000,109.90
2012-06-12,105.10,107.45,104.15,106.00,4724400,106.00
2012-06-11,103.65,106.70,103.65,105.50,6234400,105.50
2012-06-08,105.70,105.70,102.90,103.50,1218000,103.50
2012-06-07,107.80,107.85,105.05,105.65,580000,105.65
2012-06-06,101.55,108.10,100.60,106.90,4497000,106.90
2012-06-05,102.80,103.40,102.00,102.20,583300,102.20
2012-06-01,104.30,104.45,103.00,103.00,343500,103.00
2012-05-31,103.00,104.90,101.25,103.50,1743600,103.50
2012-05-30,104.55,104.95,103.20,103.70,254900,103.70
2012-05-29,105.00,105.40,104.05,104.50,384300,104.50
2012-05-28,105.05,105.15,104.20,104.95,420300,104.95
2012-05-25,105.00,105.00,103.80,104.00,534200,104.00
2012-05-24,105.00,105.00,103.95,104.80,149100,104.80
2012-05-23,105.55,105.55,104.00,104.95,327800,104.95
2012-05-22,105.05,106.10,104.75,105.00,506300,105.00
2012-05-21,106.10,106.10,104.35,104.55,434100,104.55
2012-05-18,104.00,106.10,103.00,105.70,434800,105.70
2012-05-17,104.25,105.80,104.10,104.50,464200,104.50
2012-05-16,105.50,106.90,104.05,104.50,1039100,104.50
2012-05-14,105.70,109.35,104.70,109.00,3733000,109.00
2012-05-11,105.50,106.25,104.50,104.70,606300,104.70
2012-05-10,106.00,107.20,105.40,105.70,709700,105.70
2012-05-09,106.00,107.65,104.50,107.25,818600,107.25
2012-05-08,107.60,107.80,105.15,105.45,476600,105.45
2012-05-07,105.00,108.45,105.00,106.95,3148500,106.95
2012-05-04,105.70,108.90,104.75,107.00,7725800,107.00
2012-05-03,110.05,110.05,103.90,105.85,980700,105.85
2012-05-02,112.55,112.95,109.40,110.25,2057500,110.25
2012-04-30,111.85,113.45,110.90,111.80,1111400,111.80
2012-04-27,111.55,111.95,109.00,109.80,511500,109.80
2012-04-26,112.15,114.25,109.20,110.45,1595100,110.45
2012-04-25,110.95,113.40,110.95,111.85,679700,111.85
2012-04-24,112.70,112.80,110.00,111.00,502200,111.00
2012-04-23,112.85,114.45,110.90,110.90,412400,110.90
2012-04-20,111.10,114.10,111.10,112.70,657600,112.70
2012-04-19,111.90,113.90,110.65,113.00,999400,113.00
2012-04-18,111.15,112.15,109.75,111.55,881800,111.55
2012-04-17,112.30,112.30,109.55,110.95,1842600,110.95
2012-04-16,109.00,113.00,109.00,111.35,1185200,111.35
2012-04-13,110.00,112.00,108.25,109.45,897400,109.45
2012-04-12,105.95,110.25,105.05,110.05,3681000,110.05
2012-04-11,105.95,107.00,104.60,105.50,355800,105.50
2012-04-10,105.15,106.75,104.60,104.65,309300,104.65
2012-04-09,106.00,106.00,103.10,105.45,286300,105.45
2012-04-04,106.05,106.25,105.25,105.25,186100,105.25
2012-04-03,107.00,107.00,105.50,105.90,728100,105.90
2012-04-02,106.50,107.40,105.20,105.45,455700,105.45
2012-03-30,106.00,106.90,104.60,106.70,714200,106.70
2012-03-29,103.20,106.00,102.05,105.50,929300,105.50
2012-03-28,105.25,106.25,102.60,102.70,588400,102.70
2012-03-27,105.00,106.70,104.55,105.90,524400,105.90
2012-03-26,106.00,107.00,104.50,104.90,578100,104.90
2012-03-23,106.00,106.85,104.10,106.85,360800,106.85
2012-03-21,105.65,107.50,105.40,105.90,2957700,105.90
2012-03-20,104.00,105.75,102.65,105.50,871200,105.50
2012-03-19,103.15,104.70,102.15,104.45,876000,104.45
2012-03-16,104.00,104.40,101.25,103.65,1183500,103.65
2012-03-15,100.95,104.45,100.95,104.20,964800,104.20
2012-03-14,102.55,104.10,102.05,103.20,688800,103.20
2012-03-13,103.00,103.00,102.20,102.20,267400,102.20
2012-03-12,103.00,103.90,102.20,102.50,383300,102.50
2012-03-09,104.55,105.50,102.65,102.70,1071300,102.70
2012-03-07,102.80,104.35,102.00,104.10,312800,104.10
2012-03-06,103.75,104.00,102.00,102.60,422800,102.60
