/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,55.15,56.00,54.45,54.65,648500,54.65
2014-01-28,55.20,55.95,54.30,54.95,1262800,54.95
2014-01-27,56.50,56.85,54.55,55.20,901700,55.20
2014-01-24,58.90,59.10,57.50,57.80,708700,57.80
2014-01-23,59.00,59.80,58.90,59.20,508400,59.20
2014-01-22,60.30,60.30,59.35,59.65,834600,58.55
2014-01-21,60.10,60.60,59.70,60.15,615400,59.04
2014-01-20,59.50,59.90,59.00,59.45,456300,58.35
2014-01-17,60.00,60.25,59.05,59.40,739000,58.30
2014-01-16,60.65,61.20,60.15,60.35,633500,59.24
2014-01-15,60.55,61.15,60.15,60.55,942200,59.43
2014-01-14,60.00,61.35,59.90,60.45,754600,59.34
2014-01-13,61.90,61.90,60.10,60.45,1422600,59.34
2014-01-10,61.75,63.50,60.65,61.30,2107200,60.17
2014-01-09,62.40,62.80,61.15,61.40,1390200,60.27
2014-01-08,61.50,62.70,61.10,62.00,1565100,60.86
2014-01-07,62.25,63.35,60.90,61.30,1438900,60.17
2014-01-06,62.00,63.00,60.85,62.80,1837100,61.64
2014-01-03,60.60,62.50,60.45,62.15,1770700,61.00
2014-01-02,62.10,63.80,60.50,61.05,3621800,59.92
2014-01-01,60.85,62.30,60.85,61.85,1224300,60.71
2013-12-31,62.25,62.40,60.60,60.80,1647700,59.68
2013-12-30,64.00,64.40,61.75,61.90,2309300,60.76
2013-12-27,62.75,64.10,62.60,63.40,4780600,62.23
2013-12-26,59.50,62.35,59.45,61.80,5687900,60.66
2013-12-25,59.15,59.15,59.15,59.15,000,58.06
2013-12-24,58.00,59.40,58.00,59.15,4107400,58.06
2013-12-23,57.00,58.35,56.90,57.65,2944000,56.59
2013-12-20,56.45,56.95,56.25,56.80,1213200,55.75
2013-12-19,57.40,57.60,56.00,56.15,1274100,55.11
2013-12-18,56.00,57.65,56.00,56.85,3216200,55.80
2013-12-17,56.70,57.10,55.85,56.00,1379700,54.97
2013-12-16,55.65,56.60,55.65,56.10,1429600,55.07
2013-12-13,55.50,56.20,55.20,56.05,2078100,55.02
2013-12-12,55.50,56.40,55.30,56.05,1993300,55.02
2013-12-11,54.60,56.10,54.45,55.60,1581300,54.57
2013-12-10,56.70,56.70,54.60,55.05,1959800,54.03
2013-12-09,57.80,57.80,56.30,56.60,3911200,55.56
2013-12-06,55.45,56.20,55.05,55.80,2400700,54.77
2013-12-05,56.00,56.65,55.05,55.45,1799100,54.43
2013-12-04,55.15,55.70,54.60,54.80,1791700,53.79
2013-12-03,55.40,56.70,55.40,55.85,4146800,54.82
2013-12-02,54.05,55.70,54.05,55.30,2539300,54.28
2013-11-29,53.85,54.45,53.60,54.15,2182100,53.15
2013-11-28,53.90,54.45,53.00,53.20,5861400,52.22
2013-11-27,54.00,54.55,52.90,53.30,3044600,52.32
2013-11-26,54.95,55.80,54.05,54.30,2963900,53.30
2013-11-25,54.80,55.70,54.40,55.20,2766800,54.18
2013-11-22,56.30,56.60,54.05,54.35,3802800,53.35
2013-11-21,56.00,57.30,55.40,55.75,5593500,54.72
2013-11-20,56.05,58.60,55.80,56.55,6651400,55.51
2013-11-19,56.90,57.40,55.80,56.75,4251400,55.70
2013-11-18,56.00,56.95,55.50,56.65,4105200,55.61
2013-11-15,55.10,55.10,55.10,55.10,000,54.08
2013-11-14,55.55,55.95,54.75,55.10,3271900,54.08
2013-11-13,53.80,55.95,53.60,54.05,5756500,53.05
2013-11-12,55.60,56.50,54.20,54.55,5136000,53.54
2013-11-11,57.10,57.60,55.00,55.45,9586100,54.43
2013-11-08,58.50,60.75,57.90,59.60,8467900,58.50
2013-11-07,63.00,63.20,58.40,58.90,10576300,57.81
2013-11-06,64.05,65.00,61.65,62.40,15047500,61.25
2013-11-05,60.95,64.40,60.50,62.75,17598200,61.59
2013-11-04,57.25,57.25,57.25,57.25,000,56.19
2013-11-01,53.85,59.20,53.70,57.25,18937700,56.19
2013-10-31,50.00,54.10,50.00,53.80,8670100,52.81
2013-10-30,51.80,51.80,50.20,50.45,1774500,49.52
2013-10-29,48.70,51.45,48.20,51.15,3901500,50.21
2013-10-28,50.90,50.90,48.55,48.75,2002100,47.85
2013-10-25,51.55,51.85,50.25,50.45,1979100,49.52
2013-10-24,52.00,52.90,51.50,51.70,3278400,50.75
2013-10-23,52.00,52.90,51.10,51.95,4677000,50.99
2013-10-22,51.00,51.90,50.80,51.50,3160800,50.55
2013-10-21,50.40,51.50,50.40,51.05,3277100,50.11
2013-10-18,49.30,50.70,49.25,50.20,2777900,49.27
2013-10-17,49.00,49.95,48.70,48.95,2252500,48.05
2013-10-16,49.05,49.05,49.05,49.05,000,48.15
2013-10-15,51.50,51.95,48.65,49.05,4136200,48.15
2013-10-14,49.80,51.40,49.50,50.95,4836800,50.01
2013-10-11,49.95,50.50,48.65,49.75,4854400,48.83
2013-10-10,49.25,49.65,48.75,49.10,2791500,48.19
2013-10-09,48.15,48.90,47.30,48.75,3309500,47.85
2013-10-08,50.00,50.40,48.30,48.55,3206300,47.65
2013-10-07,48.05,48.85,47.75,48.65,2512500,47.75
2013-10-04,48.00,48.65,47.40,48.00,3215500,47.11
2013-10-03,46.50,48.40,46.45,48.05,3478000,47.16
2013-10-02,46.60,46.60,46.60,46.60,000,45.74
2013-10-01,45.60,46.90,45.15,46.60,3836000,45.74
2013-09-30,46.80,46.85,45.55,45.80,2799000,44.96
2013-09-27,47.40,48.20,46.75,47.15,3393300,46.28
2013-09-26,47.60,47.85,46.75,47.00,3215600,46.13
2013-09-25,48.05,48.35,46.85,47.60,3001300,46.72
2013-09-24,46.70,48.45,46.55,48.00,3262900,47.11
2013-09-23,48.90,49.50,47.55,47.80,5648500,46.92
2013-09-20,54.05,54.10,48.80,49.90,12296500,48.98
2013-09-19,52.50,54.40,51.60,54.00,11508500,53.00
2013-09-18,49.80,50.40,49.05,49.80,3791000,48.88
2013-09-17,50.60,50.85,48.80,49.50,4040400,48.59
2013-09-16,52.80,53.00,50.10,50.70,6794200,49.77
2013-09-13,50.80,52.70,50.50,51.50,6681400,50.55
2013-09-12,52.45,53.20,50.60,51.10,7075800,50.16
2013-09-11,47.95,51.90,46.60,51.70,10998200,50.75
2013-09-10,48.50,48.80,47.90,48.15,3565200,47.26
2013-09-09,47.40,47.40,47.40,47.40,000,46.53
2013-09-06,48.90,48.90,46.85,47.40,4859300,46.53
2013-09-05,45.15,48.05,45.15,47.70,7180500,46.82
2013-09-04,43.15,44.25,42.45,44.05,2799400,43.24
2013-09-03,45.80,46.00,42.50,42.85,3321000,42.06
2013-09-02,44.25,45.60,44.15,45.05,3452500,44.22
2013-08-30,42.80,44.65,42.50,43.75,3484500,42.94
2013-08-29,43.40,44.25,42.30,43.05,7079700,42.26
2013-08-28,43.50,43.80,41.80,43.15,5046000,42.35
2013-08-27,46.00,46.05,44.00,44.25,3819300,43.43
2013-08-26,46.95,47.65,46.05,46.85,2856500,45.99
2013-08-23,46.20,47.15,45.70,46.40,2565600,45.54
2013-08-22,44.90,46.30,44.20,45.85,4298100,45.00
2013-08-21,48.20,49.20,44.55,45.25,5244000,44.42
2013-08-20,43.70,45.90,43.15,45.60,4229200,44.76
2013-08-19,45.50,45.90,44.00,44.60,4341000,43.78
2013-08-16,49.00,49.20,45.75,46.00,4504400,45.15
2013-08-15,49.35,49.35,49.35,49.35,000,48.44
2013-08-14,48.10,50.30,48.10,49.35,6560900,48.44
2013-08-13,46.15,47.95,46.00,47.80,5481700,46.92
2013-08-12,46.80,48.20,45.25,46.95,5469000,46.08
2013-08-09,46.20,46.20,46.20,46.20,000,45.35
2013-08-08,47.70,47.70,45.10,46.20,5706100,45.35
2013-08-07,45.25,47.80,44.80,47.00,4750900,46.13
2013-08-06,47.00,47.00,44.85,45.20,4487000,44.37
2013-08-05,46.90,48.25,44.80,47.70,8054400,46.82
2013-08-02,49.80,50.25,46.05,46.60,8475600,45.74
2013-08-01,53.95,55.00,48.60,49.45,8847800,48.54
2013-07-31,54.90,55.00,51.20,53.55,6739200,52.56
2013-07-30,57.85,59.80,55.25,55.50,4457900,54.48
2013-07-29,55.50,58.75,55.50,57.75,3857500,56.69
2013-07-26,61.20,62.00,58.30,59.45,3464300,58.35
2013-07-25,63.30,63.30,60.20,60.70,4083600,59.58
2013-07-24,66.75,66.75,63.35,63.75,3853300,62.57
2013-07-23,68.50,69.40,67.30,67.45,2438700,66.21
2013-07-22,67.00,68.85,66.60,67.45,2024900,66.21
2013-07-19,69.35,71.00,67.00,67.50,5129600,66.26
2013-07-18,65.00,69.30,65.00,68.80,4158700,67.53
2013-07-17,67.25,68.00,65.10,66.20,2156700,64.98
2013-07-16,68.00,68.80,66.50,67.10,3218300,65.86
2013-07-15,68.00,71.95,68.00,71.40,2091000,70.08
2013-07-12,70.00,70.10,68.10,69.05,1607000,67.78
2013-07-11,70.50,71.15,69.35,69.60,2285500,68.32
2013-07-10,71.35,71.35,68.20,68.70,2248800,67.43
2013-07-09,68.50,70.90,68.30,70.60,2839300,69.30
2013-07-08,67.50,68.10,66.10,67.50,2347200,66.26
2013-07-05,70.00,70.40,67.60,68.45,2072000,67.19
2013-07-04,67.80,69.95,65.00,68.65,3811300,67.38
2013-07-03,70.00,70.25,67.05,67.50,2063800,66.26
2013-07-02,73.00,73.30,70.25,70.75,1761800,69.45
2013-07-01,69.90,72.80,69.50,72.35,2330300,71.02
2013-06-28,67.10,70.10,66.70,69.80,2310600,68.51
2013-06-27,69.05,69.80,65.05,66.00,3399800,64.78
2013-06-26,70.50,70.50,68.00,68.35,1512100,67.09
2013-06-25,71.00,71.50,68.00,69.65,2392900,68.37
2013-06-24,73.70,73.70,70.15,70.65,1834800,69.35
2013-06-21,78.00,78.15,72.70,74.15,2881700,72.78
2013-06-20,80.85,80.90,78.05,78.70,2946000,77.25
2013-06-19,85.35,86.60,85.35,86.35,1202100,80.14
2013-06-18,86.00,86.95,85.30,85.60,1767600,79.45
2013-06-17,84.50,85.80,83.15,85.50,1962800,79.36
2013-06-14,83.00,84.85,83.00,84.30,1156400,78.24
2013-06-13,82.80,84.30,82.25,82.60,1446900,76.66
2013-06-12,81.95,84.15,81.50,83.65,1235200,77.64
2013-06-11,82.00,83.40,81.00,82.00,1727300,76.11
2013-06-10,85.00,85.40,82.30,83.15,1353900,77.17
2013-06-07,85.30,86.35,83.70,84.05,1614800,78.01
2013-06-06,83.50,86.35,83.25,85.40,3025900,79.26
2013-06-05,82.50,84.60,82.30,84.10,1678200,78.06
2013-06-04,84.85,85.60,82.50,82.90,1480700,76.94
2013-06-03,84.55,84.65,82.40,84.30,1392700,78.24
2013-05-31,86.00,87.50,84.05,84.45,1422400,78.38
2013-05-30,86.40,87.80,85.50,86.60,3906000,80.38
2013-05-29,89.00,89.40,86.65,87.05,1160900,80.79
2013-05-28,88.90,90.00,88.30,89.30,1242900,82.88
2013-05-27,87.95,89.20,87.50,88.40,1240600,82.05
2013-05-24,86.50,88.70,85.75,87.50,1615300,81.21
2013-05-23,89.80,89.80,86.25,87.10,1785700,80.84
2013-05-22,93.00,93.85,89.10,90.20,2058000,83.72
2013-05-21,95.50,96.00,93.15,93.45,1442700,86.73
2013-05-20,95.00,98.35,95.00,95.40,2175100,88.54
2013-05-17,95.00,95.70,94.05,94.90,1105300,88.08
2013-05-16,95.00,97.25,94.80,95.20,2146200,88.36
2013-05-15,90.65,95.40,90.65,94.90,3500700,88.08
2013-05-14,90.60,91.95,90.40,91.10,1140100,84.55
2013-05-13,89.60,91.95,89.40,90.45,3768700,83.95
2013-05-10,92.00,93.70,91.50,93.05,1738100,86.36
2013-05-09,91.60,93.80,89.55,91.75,2735600,85.16
2013-05-08,91.60,92.25,90.50,91.00,1002600,84.46
2013-05-07,91.00,92.65,91.00,91.75,1102100,85.16
2013-05-06,90.00,92.20,89.90,91.85,1268100,85.25
2013-05-03,93.70,93.70,90.30,90.95,2267800,84.41
2013-05-02,91.50,93.90,91.00,93.25,1248700,86.55
2013-05-01,90.90,90.90,90.90,90.90,000,84.37
2013-04-30,92.95,93.30,89.35,90.90,1615400,84.37
2013-04-29,93.10,93.30,91.50,92.70,1693500,86.04
2013-04-26,95.10,95.45,92.30,92.75,1311900,86.08
2013-04-25,94.65,96.80,94.65,95.55,1668300,88.68
2013-04-24,95.05,95.05,95.05,95.05,000,88.22
2013-04-23,96.25,96.50,93.60,95.05,1201900,88.22
2013-04-22,95.50,96.60,94.50,96.05,1575100,89.15
2013-04-19,94.85,94.85,94.85,94.85,000,88.03
2013-04-18,93.50,95.35,92.25,94.85,1814300,88.03
2013-04-17,93.80,95.45,91.60,93.40,1959000,86.69
2013-04-16,90.30,93.65,90.25,93.40,2071400,86.69
2013-04-15,88.00,92.40,87.95,90.55,1892500,84.04
2013-04-12,86.25,89.10,85.10,88.65,1541500,82.28
2013-04-11,87.70,88.25,85.50,86.60,1345700,80.38
2013-04-10,86.50,88.00,84.65,87.45,2221700,81.17
2013-04-09,89.75,91.00,86.40,86.60,2021100,80.38
2013-04-08,90.50,91.10,88.75,89.25,997300,82.84
2013-04-05,90.00,91.75,89.00,89.90,1162900,83.44
2013-04-04,91.55,92.60,90.15,90.65,1574000,84.14
2013-04-03,94.95,96.00,91.80,92.70,2198700,86.04
2013-04-02,92.25,94.60,92.25,94.40,1231400,87.62
2013-04-01,88.10,92.40,88.10,91.70,866800,85.11
2013-03-29,89.50,89.50,89.50,89.50,000,83.07
2013-03-28,88.00,89.80,88.00,89.50,1307400,83.07
2013-03-27,89.40,89.40,89.40,89.40,000,82.98
2013-03-26,89.85,90.60,88.25,89.40,1187900,82.98
2013-03-25,92.05,93.80,89.80,90.35,1352500,83.86
2013-03-22,89.55,92.45,89.20,91.30,1542500,84.74
2013-03-21,90.00,93.45,89.30,89.90,4201800,83.44
2013-03-20,91.55,92.75,88.90,89.40,2210500,82.98
2013-03-19,95.70,97.90,91.40,91.75,2882600,85.16
2013-03-18,93.50,95.80,91.20,94.75,1340900,87.94
2013-03-15,95.75,96.60,93.65,94.00,1639300,87.24
2013-03-14,93.05,96.05,90.85,95.80,2544300,88.92
2013-03-13,95.40,95.70,92.60,93.05,1248000,86.36
2013-03-12,97.85,98.20,95.25,96.10,2046500,89.19
2013-03-11,96.75,97.95,95.55,97.05,1641800,90.08
2013-03-08,94.20,96.35,94.00,95.80,1334300,88.92
2013-03-07,93.70,94.50,89.90,94.10,1239400,87.34
2013-03-06,92.50,95.05,92.50,93.70,1406000,86.97
2013-03-05,88.75,93.00,88.75,92.45,1588400,85.81
2013-03-04,90.45,90.60,87.30,88.50,1215700,82.14
2013-03-01,89.00,91.15,87.70,90.00,1657200,83.53
2013-02-28,95.50,96.75,87.25,88.70,4599900,82.33
2013-02-27,95.75,96.50,93.60,95.45,1201600,88.59
2013-02-26,98.00,98.00,94.45,95.00,840300,88.17
2013-02-25,99.25,100.50,96.95,98.00,1163000,90.96
2013-02-22,99.70,100.70,98.70,99.10,1067700,91.98
2013-02-21,102.70,102.70,99.15,99.50,1117300,92.35
2013-02-20,104.20,104.90,102.70,103.10,906600,95.69
2013-02-19,102.40,104.50,101.50,104.10,1354800,96.62
2013-02-18,101.00,103.15,100.80,102.35,1105900,94.99
2013-02-15,99.85,101.40,98.15,101.00,1261700,93.74
2013-02-14,100.50,101.75,99.15,100.10,1981500,92.91
2013-02-13,100.70,104.45,99.90,100.55,1620400,93.32
2013-02-12,104.50,105.35,100.80,103.25,2059300,95.83
2013-02-11,103.75,105.45,103.15,104.55,1002400,97.04
2013-02-08,104.55,105.15,102.65,103.35,1325100,95.92
2013-02-07,105.00,106.65,103.30,104.55,1514800,97.04
2013-02-06,106.50,107.50,104.50,105.25,1500900,97.69
2013-02-05,103.50,107.00,102.45,106.20,2725300,98.57
2013-02-04,107.90,108.40,103.65,104.15,2024700,96.67
2013-02-01,111.10,111.45,107.10,107.50,2660300,99.77
2013-01-31,110.20,111.95,108.80,111.05,3702500,103.07
2013-01-30,113.00,113.50,109.50,110.45,6339300,102.51
2013-01-29,114.00,117.20,112.05,112.40,3980300,104.32
2013-01-28,115.40,116.40,112.90,113.70,1499400,105.53
