Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1075.30,1089.95,1071.00,1082.90,133600,1081.20
2012-07-20,1075.30,1090.00,1071.00,1081.20,133600,1081.20
2012-07-19,1044.05,1079.00,1044.05,1075.95,113000,1075.95
2012-07-18,1066.05,1069.00,1054.10,1059.50,269600,1059.50
2012-07-17,1071.00,1099.40,1055.10,1061.00,99200,1061.00
2012-07-16,1049.80,1068.80,1048.20,1060.00,143900,1060.00
2012-07-13,1030.00,1050.75,1011.70,1046.05,124700,1046.05
2012-07-12,1049.00,1059.50,1040.25,1048.00,135800,1048.00
2012-07-11,1033.75,1061.95,1033.75,1050.10,203800,1050.10
2012-07-10,1012.00,1059.00,1010.00,1043.10,288700,1043.10
2012-07-09,1023.95,1028.40,1011.05,1014.85,115100,1014.85
2012-07-06,1036.00,1038.85,1016.50,1024.50,48900,1024.50
2012-07-05,1032.00,1039.80,1025.00,1035.00,55100,1035.00
2012-07-04,1021.05,1045.65,1021.05,1029.85,175400,1029.85
2012-07-03,1047.85,1049.80,1018.00,1026.00,201100,1026.00
2012-07-02,1030.00,1053.95,1020.55,1041.10,283900,1041.10
2012-06-29,993.35,1033.00,985.85,1026.00,390300,1026.00
2012-06-28,995.00,999.00,978.05,979.00,223400,979.00
2012-06-27,981.00,1000.10,981.00,989.50,298000,989.50
2012-06-26,949.95,986.95,948.20,984.50,235400,984.50
2012-06-25,963.60,963.85,947.00,949.95,103200,949.95
2012-06-22,957.00,960.00,938.05,953.95,81500,953.95
2012-06-21,985.00,998.40,941.10,950.10,257300,950.10
2012-06-20,944.95,968.00,942.05,958.00,356300,958.00
2012-06-19,917.75,949.00,912.25,946.90,168200,946.90
2012-06-18,933.85,933.85,910.00,915.20,121600,915.20
2012-06-15,922.85,926.60,908.55,923.00,230400,923.00
2012-06-14,912.45,928.90,912.45,915.00,142300,915.00
2012-06-13,936.00,937.00,912.35,913.55,107000,913.55
2012-06-12,919.05,937.00,911.15,931.80,182800,931.80
2012-06-11,937.00,943.00,918.10,920.70,132900,920.70
2012-06-08,947.10,952.05,933.15,936.95,118300,936.95
2012-06-07,937.00,954.00,933.00,945.00,350300,945.00
2012-06-06,940.00,946.95,923.75,936.70,173400,936.70
2012-06-05,931.60,946.80,924.10,935.50,189000,935.50
2012-06-01,930.00,938.75,904.10,905.00,121800,905.00
2012-05-31,930.65,950.45,923.55,933.10,520800,933.10
2012-05-30,918.50,935.90,918.50,929.80,147300,929.80
2012-05-29,922.00,947.80,922.00,927.50,178200,927.50
2012-05-28,950.00,950.00,931.35,943.70,197100,943.70
2012-05-25,946.40,950.45,940.85,949.90,151100,949.90
2012-05-24,938.00,950.80,926.30,940.15,191100,940.15
2012-05-23,926.00,949.00,924.00,944.05,342700,944.05
2012-05-22,940.00,940.00,901.70,925.55,197100,925.55
2012-05-21,895.05,932.00,895.05,928.00,171000,928.00
2012-05-18,889.00,918.85,882.10,917.10,234800,917.10
2012-05-17,892.90,914.00,888.65,898.85,293300,898.85
2012-05-16,885.10,892.90,866.20,885.50,202200,885.50
2012-05-14,850.00,887.90,850.00,881.25,620800,881.25
2012-05-11,829.80,831.90,811.20,819.35,51600,819.35
2012-05-10,828.00,832.85,814.30,822.50,119900,822.50
2012-05-09,820.00,832.95,810.00,825.00,114100,825.00
2012-05-08,865.00,869.80,815.45,831.00,308600,831.00
2012-05-07,869.45,869.75,841.00,860.50,175000,860.50
2012-05-04,900.00,900.00,855.00,862.00,155200,862.00
2012-05-03,865.00,872.70,853.00,867.00,101000,867.00
2012-05-02,860.00,878.40,859.95,863.05,292100,863.05
2012-04-30,841.90,861.95,830.15,856.00,260300,856.00
2012-04-27,830.00,837.90,825.25,830.35,108600,830.35
2012-04-26,820.50,831.80,819.05,830.00,200000,830.00
2012-04-25,824.10,833.30,817.95,824.20,180400,824.20
