Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,206.25,207.25,203.40,204.65,2364200,204.70
2012-07-20,206.25,207.30,203.35,204.70,2370400,204.70
2012-07-19,207.70,209.90,206.25,207.45,3473100,207.45
2012-07-18,202.30,206.60,200.10,206.50,4870900,206.50
2012-07-17,206.30,207.75,201.65,201.90,3954500,201.90
2012-07-16,209.65,210.40,203.85,204.10,4539000,204.10
2012-07-13,211.80,212.60,207.15,207.40,3523300,207.40
2012-07-12,208.90,211.80,206.20,210.10,4711600,210.10
2012-07-11,213.40,214.45,209.55,210.05,3979800,210.05
2012-07-10,215.00,215.75,212.00,214.30,5265100,214.30
2012-07-09,210.75,214.80,209.55,213.65,7178700,213.65
2012-07-06,213.20,214.05,209.50,211.10,3578800,211.10
2012-07-05,216.65,217.40,213.10,213.90,3808800,213.90
2012-07-04,214.00,218.30,212.25,216.25,8154500,216.25
2012-07-03,206.50,214.60,206.00,213.15,9199900,213.15
2012-07-02,199.95,206.30,198.00,204.55,6102700,204.55
2012-06-29,196.75,200.00,196.30,198.30,4041900,198.30
2012-06-28,193.80,195.40,191.30,194.10,3836100,194.10
2012-06-27,192.35,193.75,190.75,191.60,2966700,191.60
2012-06-26,192.00,192.70,188.85,191.05,3075200,191.05
2012-06-25,195.95,197.50,190.00,190.05,4577300,190.05
2012-06-22,190.50,195.45,188.55,193.70,6378400,193.70
2012-06-21,185.40,194.70,184.90,194.00,7078500,194.00
2012-06-20,187.85,188.90,185.00,186.10,5034900,186.10
2012-06-19,187.00,190.20,183.55,188.50,6863800,188.50
2012-06-18,198.15,201.25,186.55,187.55,6834600,187.55
2012-06-15,193.35,197.50,192.10,196.05,3804400,196.05
2012-06-14,197.20,197.20,190.55,191.30,3221400,191.30
2012-06-13,199.00,199.45,194.45,195.65,4475900,195.65
2012-06-12,191.25,198.95,190.80,198.90,5252400,198.90
2012-06-11,197.50,199.80,191.65,191.80,5401000,191.80
2012-06-08,193.50,197.25,191.05,196.50,8198500,196.50
2012-06-07,190.00,195.30,188.65,194.00,5919700,194.00
2012-06-06,184.75,189.25,184.45,188.20,4755800,188.20
2012-06-05,187.00,187.35,182.00,182.50,5053400,182.50
