Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1640.00,1640.00,1597.80,1611.20,1133600,1609.00
2012-07-20,1640.00,1640.00,1597.80,1609.00,1133600,1609.00
2012-07-19,1686.00,1697.50,1642.55,1662.10,878100,1662.10
2012-07-18,1711.00,1714.80,1661.80,1672.00,265800,1672.00
2012-07-17,1690.00,1719.80,1687.30,1705.10,384300,1705.10
2012-07-16,1653.10,1695.00,1630.45,1675.00,311300,1675.00
2012-07-13,1664.90,1664.90,1639.00,1650.00,161800,1650.00
2012-07-12,1636.00,1658.90,1636.00,1650.00,115600,1650.00
2012-07-11,1661.25,1663.90,1633.85,1646.80,293100,1646.80
2012-07-10,1649.80,1669.00,1641.25,1659.00,238900,1659.00
2012-07-09,1625.00,1647.00,1620.00,1639.10,201300,1639.10
2012-07-06,1632.25,1640.90,1614.00,1637.20,198000,1637.20
2012-07-05,1630.25,1637.70,1615.65,1630.95,379700,1630.95
2012-07-04,1672.00,1683.40,1627.05,1640.00,522300,1640.00
2012-07-03,1652.25,1675.00,1652.25,1670.00,469900,1670.00
2012-07-02,1636.00,1649.90,1629.00,1648.00,267600,1648.00
2012-06-29,1622.00,1653.60,1621.10,1646.70,278800,1646.70
2012-06-28,1602.00,1621.75,1600.00,1615.50,330600,1615.50
2012-06-27,1608.00,1614.90,1600.00,1610.25,240900,1610.25
2012-06-26,1590.25,1609.00,1590.25,1600.00,330100,1600.00
2012-06-25,1575.00,1594.90,1575.00,1590.00,412100,1590.00
2012-06-22,1569.90,1589.90,1569.90,1580.20,232500,1580.20
2012-06-21,1577.00,1598.00,1569.80,1584.25,334000,1584.25
2012-06-20,1544.80,1603.90,1544.80,1589.75,554100,1589.75
2012-06-19,1540.00,1552.80,1526.40,1546.50,655100,1546.50
2012-06-18,1587.90,1589.25,1536.00,1537.75,302900,1537.75
2012-06-15,1552.15,1587.50,1546.00,1575.00,332700,1575.00
2012-06-14,1578.95,1580.00,1543.05,1552.00,243100,1552.00
2012-06-13,1580.00,1590.00,1565.00,1571.30,218500,1571.30
2012-06-12,1599.80,1599.90,1563.00,1582.50,430100,1582.50
2012-06-11,1623.60,1638.40,1603.10,1604.10,245100,1604.10
2012-06-08,1597.20,1629.00,1597.20,1624.10,428500,1624.10
2012-06-07,1624.00,1624.00,1607.00,1618.05,569700,1618.05
2012-06-06,1611.00,1639.00,1601.30,1615.00,676100,1615.00
2012-06-05,1619.00,1623.35,1596.00,1618.00,299700,1618.00
2012-06-01,1687.90,1687.90,1633.45,1650.00,308100,1650.00
2012-05-31,1673.00,1689.80,1669.55,1680.00,402200,1680.00
2012-05-30,1705.00,1705.00,1667.10,1686.00,194700,1686.00
2012-05-29,1699.90,1707.90,1688.00,1702.50,196400,1702.50
2012-05-28,1682.10,1703.00,1677.95,1696.00,63900,1696.00
2012-05-25,1700.10,1703.75,1672.85,1699.00,204100,1699.00
2012-05-24,1668.00,1717.10,1655.00,1708.00,208200,1708.00
2012-05-23,1650.00,1682.70,1648.10,1680.00,134200,1680.00
2012-05-22,1660.00,1696.45,1645.25,1657.50,256200,1657.50
2012-05-21,1665.00,1672.30,1650.00,1655.00,240000,1655.00
2012-05-18,1638.35,1667.10,1638.35,1664.50,370300,1664.50
2012-05-17,1673.00,1686.35,1652.10,1675.00,276700,1675.00
2012-05-16,1649.00,1678.40,1631.25,1671.25,516100,1671.25
2012-05-14,1683.90,1694.90,1652.00,1679.95,265600,1679.95
2012-05-11,1700.00,1715.00,1644.65,1670.00,588900,1670.00
2012-05-10,1699.00,1716.00,1681.00,1704.00,250900,1704.00
2012-05-09,1709.85,1724.95,1679.25,1686.50,224600,1686.50
2012-05-08,1719.95,1730.20,1695.00,1708.30,134000,1708.30
2012-05-07,1740.00,1746.00,1708.00,1714.10,163600,1714.10
2012-05-04,1750.00,1762.25,1735.00,1741.05,218800,1741.05
2012-05-03,1765.95,1770.00,1739.25,1750.00,249500,1750.00
2012-05-02,1764.25,1780.75,1749.10,1766.35,134400,1766.35
2012-04-30,1784.70,1790.00,1735.20,1762.00,196500,1762.00
2012-04-27,1776.25,1789.90,1761.20,1789.45,151200,1789.45
2012-04-26,1780.00,1792.00,1760.25,1788.45,290300,1788.45
2012-04-25,1781.00,1791.05,1745.00,1780.00,256400,1780.00
2012-04-24,1782.00,1795.95,1756.05,1772.00,190000,1772.00
2012-04-23,1800.00,1814.20,1771.25,1772.05,119800,1772.05
2012-04-20,1792.15,1815.85,1770.30,1809.00,167500,1809.00
2012-04-19,1777.00,1813.00,1771.25,1803.50,227700,1803.50
2012-04-18,1760.05,1781.50,1752.00,1767.90,165800,1767.90
2012-04-17,1798.80,1798.80,1739.95,1747.25,201100,1747.25
2012-04-16,1728.55,1764.00,1717.75,1763.00,293900,1763.00
2012-04-13,1709.00,1739.00,1701.00,1733.10,247500,1733.10
2012-04-12,1730.00,1732.00,1688.50,1692.70,502400,1692.70
2012-04-11,1714.00,1739.00,1703.25,1733.00,404900,1733.00
2012-04-10,1750.00,1755.50,1700.10,1717.85,264400,1717.85
2012-04-09,1704.80,1758.00,1692.25,1747.00,392100,1747.00
2012-04-04,1700.35,1720.65,1695.70,1717.20,329100,1717.20
2012-04-03,1750.00,1753.95,1685.85,1693.50,614300,1693.50
2012-04-02,1774.00,1774.00,1732.50,1742.00,252500,1742.00
2012-03-30,1712.00,1779.00,1702.10,1762.65,573600,1762.65
2012-03-29,1701.95,1714.00,1693.50,1710.00,505100,1710.00
2012-03-28,1685.00,1719.00,1683.05,1707.00,430500,1707.00
2012-03-27,1675.25,1687.00,1659.55,1684.00,265300,1684.00
2012-03-26,1667.00,1672.00,1642.00,1668.00,175900,1668.00
2012-03-23,1656.35,1674.00,1646.05,1668.00,163700,1668.00
2012-03-21,1678.55,1684.00,1661.60,1684.00,157200,1684.00
2012-03-20,1677.05,1684.70,1656.50,1679.85,173400,1679.85
2012-03-19,1686.00,1686.00,1653.80,1680.95,131600,1680.95
2012-03-16,1697.00,1709.00,1669.20,1675.10,172100,1675.10
2012-03-15,1677.30,1700.00,1675.00,1675.60,249300,1675.60
2012-03-14,1705.10,1719.10,1674.85,1682.15,280300,1682.15
2012-03-13,1695.00,1710.00,1692.65,1699.90,187000,1699.90
2012-03-12,1703.00,1710.00,1690.10,1700.00,174500,1700.00
2012-03-09,1697.55,1710.00,1697.55,1702.00,295600,1702.00
2012-03-07,1673.00,1705.90,1670.00,1690.00,288100,1690.00
2012-03-06,1671.00,1709.00,1661.45,1689.10,237900,1689.10
2012-03-05,1685.00,1695.00,1670.00,1675.00,217800,1675.00
2012-03-02,1673.00,1728.00,1669.95,1674.00,637400,1674.00
2012-03-01,1631.00,1689.00,1630.45,1655.00,315500,1655.00
2012-02-29,1660.00,1660.00,1620.00,1634.10,498500,1634.10
2012-02-28,1636.00,1654.85,1633.40,1650.00,145200,1650.00
2012-02-27,1613.00,1645.00,1613.00,1630.00,245000,1630.00
2012-02-24,1635.00,1650.95,1622.05,1626.95,159400,1626.95
2012-02-23,1635.00,1654.30,1615.00,1634.40,311200,1634.40
2012-02-22,1650.00,1665.00,1640.05,1643.00,282800,1643.00
2012-02-21,1636.00,1660.00,1630.50,1643.00,384100,1643.00
2012-02-17,1626.10,1640.90,1614.00,1635.00,386800,1635.00
2012-02-16,1621.00,1651.80,1615.10,1626.00,428600,1626.00
2012-02-15,1612.00,1625.00,1610.00,1619.00,429800,1619.00
2012-02-14,1623.00,1626.45,1610.00,1611.00,319900,1611.00
2012-02-13,1621.00,1638.10,1615.00,1617.00,356400,1617.00
2012-02-10,1645.00,1645.00,1615.00,1618.00,669200,1618.00
2012-02-09,1610.20,1645.00,1610.20,1639.60,403500,1639.60
2012-02-08,1633.00,1633.00,1592.00,1627.00,761600,1627.00
2012-02-07,1677.00,1677.00,1630.00,1634.00,463100,1634.00
2012-02-06,1690.00,1695.00,1638.45,1641.80,722800,1641.80
2012-02-03,1653.00,1682.00,1635.35,1670.00,1562600,1670.00
2012-02-02,1679.00,1692.55,1601.00,1636.90,651900,1636.90
2012-02-01,1694.00,1698.80,1667.10,1682.00,200900,1682.00
2012-01-31,1660.25,1705.00,1650.00,1690.00,426500,1690.00
2012-01-30,1640.00,1662.30,1626.25,1650.70,200100,1650.70
2012-01-27,1655.00,1667.00,1534.75,1646.00,805400,1646.00
2012-01-25,1650.20,1655.95,1628.00,1650.00,470900,1650.00
2012-01-24,1662.00,1662.00,1638.00,1645.00,178900,1645.00
2012-01-23,1639.95,1657.95,1631.15,1652.25,177000,1652.25
2012-01-20,1694.00,1694.00,1632.10,1641.20,427900,1641.20
2012-01-19,1668.00,1703.85,1655.00,1693.00,348100,1693.00
2012-01-18,1645.00,1675.00,1640.00,1669.00,286400,1669.00
2012-01-17,1645.65,1653.50,1622.05,1640.05,263300,1640.05
2012-01-16,1650.00,1650.00,1627.90,1641.45,125100,1641.45
2012-01-13,1653.00,1667.00,1636.40,1655.55,235000,1655.55
2012-01-12,1652.00,1669.75,1644.20,1660.00,231500,1660.00
2012-01-11,1623.85,1656.00,1614.40,1650.15,391500,1650.15
2012-01-10,1607.00,1626.45,1603.00,1616.00,351800,1616.00
2012-01-06,1580.00,1619.00,1570.10,1608.85,381700,1608.85
2012-01-05,1601.80,1601.80,1570.30,1575.00,240500,1575.00
2012-01-04,1602.00,1605.35,1578.25,1592.10,250400,1592.10
2012-01-03,1578.25,1611.90,1575.60,1600.00,177100,1600.00
2012-01-02,1584.95,1590.00,1565.95,1570.00,95200,1570.00
2011-12-30,1576.80,1588.85,1565.00,1588.05,116000,1588.05
2011-12-29,1565.00,1583.15,1562.10,1567.95,392100,1567.95
2011-12-28,1581.95,1588.90,1556.00,1566.00,101000,1566.00
2011-12-27,1592.00,1592.00,1575.30,1580.10,107500,1580.10
2011-12-26,1605.00,1606.80,1575.55,1575.55,116500,1575.55
2011-12-23,1572.00,1602.95,1572.00,1588.00,246600,1588.00
2011-12-22,1554.00,1583.25,1545.45,1572.00,226200,1572.00
2011-12-21,1570.05,1586.00,1552.00,1568.00,368100,1568.00
2011-12-20,1590.00,1597.50,1562.15,1574.65,329600,1574.65
2011-12-19,1605.30,1605.30,1564.50,1593.00,363300,1593.00
2011-12-16,1585.10,1639.00,1582.20,1598.00,557500,1598.00
2011-12-15,1574.00,1591.60,1571.25,1585.10,546700,1585.10
2011-12-14,1605.00,1615.95,1577.45,1585.00,342100,1585.00
2011-12-13,1567.00,1617.05,1565.40,1600.00,689700,1600.00
2011-12-12,1582.00,1584.00,1542.00,1572.15,368800,1572.15
2011-12-09,1536.00,1600.00,1536.00,1572.00,574400,1572.00
2011-12-08,1543.00,1569.00,1538.40,1559.90,320900,1559.90
2011-12-07,1571.00,1604.20,1540.05,1549.00,464200,1549.00
2011-12-05,1570.00,1584.85,1552.10,1573.25,315800,1573.25
2011-12-02,1539.00,1584.45,1531.35,1570.00,257400,1570.00
2011-12-01,1598.00,1598.00,1536.10,1541.00,634000,1541.00
2011-11-30,1571.00,1590.00,1562.95,1568.00,379900,1568.00
2011-11-29,1559.00,1603.70,1552.00,1590.00,455700,1590.00
2011-11-28,1564.90,1564.90,1541.00,1545.00,282500,1545.00
2011-11-25,1554.00,1565.00,1533.00,1542.20,224200,1542.20
2011-11-24,1522.00,1605.00,1516.00,1536.00,516900,1536.00
2011-11-23,1535.00,1559.80,1500.00,1538.00,338700,1538.00
2011-11-22,1538.90,1564.75,1509.10,1534.00,355600,1534.00
2011-11-21,1557.20,1568.00,1505.65,1548.20,433900,1548.20
2011-11-18,1546.00,1579.90,1545.00,1554.50,536700,1554.50
2011-11-17,1617.90,1617.90,1541.10,1556.00,341200,1556.00
2011-11-16,1618.00,1629.00,1604.30,1616.05,267400,1616.05
2011-11-15,1649.95,1654.00,1605.10,1615.00,214100,1615.00
2011-11-14,1625.00,1652.95,1625.00,1645.00,707000,1645.00
2011-11-11,1620.00,1627.35,1604.10,1620.00,218400,1620.00
2011-11-09,1632.00,1632.00,1600.00,1605.00,99400,1605.00
2011-11-08,1605.05,1631.85,1601.00,1619.00,127900,1619.00
2011-11-04,1638.00,1654.85,1594.30,1619.55,322700,1619.55
2011-11-03,1634.95,1649.00,1621.05,1640.00,329000,1640.00
2011-11-02,1603.00,1651.70,1598.30,1637.00,195400,1637.00
