Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,170.40,170.40,166.35,169.05,1185300,169.00
2012-07-20,170.40,170.40,166.30,169.00,1185300,169.00
2012-07-19,171.95,172.50,168.60,169.30,1127100,169.30
2012-07-18,170.10,171.65,164.75,170.05,1694600,170.05
2012-07-17,171.80,173.00,167.70,168.30,1747000,168.30
2012-07-16,170.85,174.20,167.10,170.20,1689800,170.20
2012-07-13,169.00,171.80,166.45,168.55,1396800,168.55
2012-07-12,171.00,171.00,166.50,168.15,1482900,168.15
2012-07-11,174.00,176.20,172.00,172.00,1970100,172.00
2012-07-10,166.50,173.80,164.85,173.45,2520700,173.45
2012-07-09,170.55,172.30,166.00,167.25,1398400,167.25
2012-07-06,174.75,174.75,168.50,170.95,1840600,170.95
2012-07-05,174.50,176.80,172.20,174.65,1847000,174.65
2012-07-04,172.50,175.70,170.60,172.50,1732100,172.50
2012-07-03,176.20,176.25,169.00,172.50,3474100,172.50
2012-07-02,170.95,176.40,167.95,174.50,3300300,174.50
2012-06-29,173.00,173.00,167.15,169.00,3476900,169.00
2012-06-28,163.00,171.40,160.00,169.95,5157000,169.95
2012-06-27,169.80,170.70,162.40,164.35,4370300,164.35
2012-06-26,167.80,172.25,167.05,168.30,5765500,168.30
2012-06-25,158.50,168.40,158.25,166.00,6613800,166.00
2012-06-22,156.00,158.90,152.90,157.50,4871000,157.50
2012-06-21,152.40,157.85,150.20,156.50,6577900,156.50
2012-06-20,138.00,154.15,138.00,152.20,15251300,152.20
2012-06-19,135.00,138.25,132.50,137.90,2717700,137.90
2012-06-18,135.00,136.45,130.30,135.85,2278500,135.85
2012-06-15,130.10,133.90,129.70,133.25,2040500,133.25
2012-06-14,135.00,136.30,128.55,129.80,2713200,129.80
2012-06-13,134.50,137.30,133.80,135.30,1524800,135.30
2012-06-12,136.00,136.00,131.25,133.80,2663900,133.80
2012-06-11,142.00,143.80,135.05,135.20,2617800,135.20
2012-06-08,139.75,141.45,136.30,140.90,2138500,140.90
2012-06-07,138.15,142.80,137.30,139.60,2758000,139.60
2012-06-06,133.00,138.50,133.00,136.30,2779400,136.30
2012-06-05,133.20,137.20,131.50,133.90,2482100,133.90
2012-06-01,139.50,141.30,132.00,132.50,2459000,132.50
2012-05-31,143.30,144.00,138.20,141.20,3112800,141.20
2012-05-30,149.00,149.80,142.15,143.40,2181900,143.40
2012-05-29,147.50,151.40,144.10,148.45,2715900,148.45
2012-05-28,147.50,148.50,142.55,146.10,1319100,146.10
2012-05-25,147.50,150.00,143.00,146.70,1486200,146.70
2012-05-24,147.30,148.90,140.85,144.35,3318100,144.35
2012-05-23,150.35,150.85,145.10,145.85,1945300,145.85
2012-05-22,156.65,158.00,149.50,150.45,1575600,150.45
2012-05-21,157.10,162.40,153.70,154.40,1828800,154.40
2012-05-18,157.00,158.80,151.50,157.45,1581400,157.45
2012-05-17,170.00,170.00,155.45,159.50,1865400,159.50
2012-05-16,156.95,159.35,152.00,156.25,1438200,156.25
2012-05-14,168.05,169.05,154.10,155.20,2159000,155.20
2012-05-11,166.95,170.00,164.20,167.55,1242700,167.55
2012-05-10,166.00,171.70,163.40,168.30,1733400,168.30
2012-05-09,173.60,173.60,164.15,165.75,2134100,165.75
2012-05-08,184.00,185.20,171.50,172.50,1509500,172.50
2012-05-07,175.00,184.85,168.50,184.45,1974400,184.45
2012-05-04,186.00,186.00,175.05,177.80,2336000,177.80
2012-05-03,195.80,196.20,185.55,186.50,1718000,186.50
2012-05-02,194.30,198.75,194.15,196.25,1307700,196.25
