/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,66.10,66.95,65.50,65.90,651400,65.85
2012-07-20,66.10,67.00,65.50,65.85,651400,65.85
2012-07-19,66.15,67.45,66.00,66.85,1011600,66.85
2012-07-18,64.55,66.00,63.70,65.90,758100,65.90
2012-07-17,65.85,66.30,64.20,64.40,733400,64.40
2012-07-16,68.10,68.10,65.50,65.65,932500,65.65
2012-07-13,68.15,68.60,67.05,67.35,964300,67.35
2012-07-12,68.90,68.90,67.65,67.95,915500,67.95
2012-07-11,70.85,71.00,69.25,69.45,1418100,69.45
2012-07-10,69.50,70.85,69.00,70.50,1603800,70.50
2012-07-09,72.40,72.40,68.60,69.10,1525700,69.10
2012-07-06,71.90,72.60,69.75,71.75,1833200,71.75
2012-07-05,71.40,71.80,70.40,71.00,1952200,71.00
2012-07-04,69.85,71.20,69.40,70.75,2024300,70.75
2012-07-03,68.25,70.25,68.25,69.40,1973000,69.40
2012-07-02,69.00,69.00,67.55,67.80,1256600,67.80
2012-06-29,67.00,69.00,67.00,68.40,2322100,68.40
2012-06-28,67.50,67.50,65.85,66.50,1068400,66.50
2012-06-27,66.40,67.80,65.90,67.35,1413800,67.35
2012-06-26,65.60,66.50,65.40,65.85,523200,65.85
2012-06-25,66.60,67.65,65.60,65.65,842300,65.65
2012-06-22,67.75,68.00,64.85,66.20,1632200,66.20
2012-06-21,66.00,66.35,64.85,66.15,814400,66.15
2012-06-20,63.00,65.95,63.00,65.80,972000,65.80
2012-06-19,63.30,63.80,62.55,63.70,482800,63.70
2012-06-18,65.10,65.45,62.65,63.30,754700,63.30
2012-06-15,64.85,67.90,64.00,64.50,639800,64.50
2012-06-14,65.55,66.15,64.00,64.15,501900,64.15
2012-06-13,66.90,66.90,65.25,65.55,665100,65.55
2012-06-12,64.65,66.95,64.10,66.10,834200,66.10
2012-06-11,69.30,69.30,64.15,64.50,1369700,64.50
2012-06-08,66.25,66.25,64.30,65.80,727600,65.80
2012-06-07,66.20,66.85,64.75,66.30,983800,66.30
2012-06-06,62.20,66.20,62.20,66.00,1204900,66.00
2012-06-05,62.60,63.85,62.05,62.25,597600,62.25
2012-06-01,63.50,64.30,62.55,62.65,550200,62.65
2012-05-31,63.20,64.50,62.80,64.20,941100,64.20
2012-05-30,66.40,66.50,63.45,64.00,833500,64.00
2012-05-29,66.70,66.95,65.60,65.90,552300,65.90
2012-05-28,65.25,66.85,65.25,66.85,539700,66.85
2012-05-25,63.50,65.55,63.50,65.30,698000,65.30
2012-05-24,64.00,64.50,62.30,64.30,965000,64.30
2012-05-23,65.10,65.35,63.65,63.70,580100,63.70
2012-05-22,67.90,68.10,65.10,65.25,828100,65.25
2012-05-21,65.55,67.90,65.45,67.20,736900,67.20
2012-05-18,65.00,65.70,64.25,65.45,652300,65.45
2012-05-17,66.15,67.50,65.50,66.10,714000,66.10
2012-05-16,66.70,67.05,64.85,65.95,886100,65.95
2012-05-14,68.00,68.30,65.70,66.20,798100,66.20
2012-05-11,66.60,68.00,65.40,67.45,1774600,67.45
2012-05-10,68.30,70.00,66.00,66.45,1835900,66.45
2012-05-09,69.00,70.30,67.50,68.30,1422300,68.30
2012-05-08,71.50,73.40,68.20,68.80,2018400,68.80
2012-05-07,70.05,71.85,68.00,71.50,1260900,71.50
2012-05-04,71.20,71.65,68.60,69.50,976100,69.50
2012-05-03,73.95,73.95,71.25,71.40,1033500,71.40
2012-05-02,75.20,75.50,73.70,73.90,1245000,73.90
2012-04-30,73.60,75.15,72.70,73.80,936700,73.80
2012-04-27,73.70,74.75,71.70,72.65,1433400,72.65
2012-04-26,75.40,75.70,72.70,73.20,2132100,73.20
2012-04-25,76.90,77.30,74.15,75.15,1316700,75.15
2012-04-24,76.40,77.25,75.10,76.40,1695200,76.40
2012-04-23,81.40,82.10,75.30,75.75,2855700,75.75
2012-04-20,82.00,84.10,79.25,81.30,11449500,81.30
2012-04-19,77.25,81.45,77.00,81.05,7739100,81.05
2012-04-18,75.30,78.00,74.15,76.65,2983000,76.65
2012-04-17,75.65,75.65,73.60,75.20,726900,75.20
2012-04-16,74.75,75.70,74.00,75.10,792900,75.10
2012-04-13,76.45,77.85,74.50,74.85,1481000,74.85
2012-04-12,76.00,76.90,75.10,76.00,955300,76.00
2012-04-11,76.00,76.75,74.50,75.85,1414800,75.85
2012-04-10,74.10,76.70,73.40,76.30,2794400,76.30
2012-04-09,74.00,75.25,72.50,74.05,1359400,74.05
2012-04-04,75.30,75.30,73.60,74.30,1584400,74.30
2012-04-03,73.40,74.80,73.30,74.45,1708200,74.45
2012-04-02,69.00,73.20,69.00,72.90,2229000,72.90
2012-03-30,66.70,68.90,66.60,68.65,1065600,68.65
2012-03-29,67.90,67.90,66.00,66.65,1831800,66.65
2012-03-28,69.90,70.80,68.10,68.30,1259900,68.30
2012-03-27,70.50,70.90,69.00,69.35,859900,69.35
2012-03-26,72.00,72.00,69.55,70.00,807600,70.00
2012-03-23,71.05,72.60,70.25,72.30,1044900,72.30
2012-03-21,70.80,73.85,70.15,73.85,1312500,73.85
2012-03-20,71.65,72.35,70.00,71.30,1081800,71.30
2012-03-19,73.90,75.00,70.95,71.25,808400,71.25
2012-03-16,74.05,76.45,72.60,73.20,1593800,73.20
2012-03-15,76.15,76.40,73.55,73.85,925500,73.85
2012-03-14,78.25,78.40,76.00,76.00,1624000,76.00
2012-03-13,76.60,77.50,75.20,77.30,1569500,77.30
2012-03-12,74.10,75.75,73.70,75.05,1479800,75.05
2012-03-09,72.65,74.35,72.65,73.90,1243200,73.90
2012-03-07,72.15,73.05,70.50,72.05,1626600,72.05
2012-03-06,74.20,76.25,71.65,71.70,1637300,71.70
2012-03-05,77.20,77.45,74.20,74.40,1441500,74.40
2012-03-02,78.75,79.10,76.75,76.85,1211100,76.85
2012-03-01,77.95,79.10,75.80,77.90,2152200,77.90
2012-02-29,78.50,80.50,77.30,78.40,2040800,78.40
2012-02-28,76.00,78.95,75.60,78.40,1798400,78.40
2012-02-27,79.80,80.45,75.00,75.15,1730700,75.15
2012-02-24,81.00,82.90,78.25,79.20,1697300,79.20
2012-02-23,82.20,82.75,78.35,81.20,2792900,81.20
2012-02-22,87.40,89.25,81.35,82.10,2582600,82.10
2012-02-21,89.10,89.25,86.85,87.55,2326000,87.55
2012-02-17,92.05,93.30,87.05,87.65,5881900,87.65
2012-02-16,88.80,91.50,87.30,91.00,5130900,91.00
2012-02-15,86.50,89.50,85.55,87.35,7599600,87.35
2012-02-14,85.40,86.90,84.55,85.75,2236700,85.75
2012-02-13,85.00,87.10,83.50,85.10,3238200,85.10
2012-02-10,84.90,87.80,83.15,85.20,4803900,85.20
2012-02-09,82.10,85.35,81.50,84.90,3726100,84.90
2012-02-08,82.00,83.70,80.35,82.20,2788400,82.20
2012-02-07,82.00,84.80,80.70,81.95,6528100,81.95
2012-02-06,78.70,82.75,78.45,81.65,6130200,81.65
2012-02-03,78.00,80.75,76.80,78.25,4759800,78.25
2012-02-02,82.25,82.85,78.25,78.75,3041500,78.75
2012-02-01,81.50,82.60,80.10,81.65,2369500,81.65
2012-01-31,79.45,82.20,77.15,81.00,3402100,81.00
