Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,131.40,134.70,130.00,132.55,61100,132.75
2012-07-20,131.50,135.00,129.60,132.75,1019400,132.75
2012-07-19,133.00,133.00,130.00,130.40,348100,130.40
2012-07-18,134.45,134.45,130.10,131.00,888800,131.00
2012-07-17,137.30,138.00,131.70,131.80,992600,131.80
2012-07-16,138.20,138.50,134.55,135.00,2400500,135.00
2012-07-13,139.95,140.70,137.35,138.10,533000,138.10
2012-07-12,135.65,139.45,133.75,138.80,999400,138.80
2012-07-11,138.45,138.45,135.00,135.00,297100,135.00
2012-07-10,138.65,139.40,137.20,137.50,482600,137.50
2012-07-09,137.45,139.35,135.30,138.00,750200,138.00
2012-07-06,137.25,137.45,136.10,136.50,211500,136.50
2012-07-05,138.05,138.75,136.10,138.30,878900,138.30
2012-07-04,139.15,140.80,136.60,137.00,1237900,137.00
2012-07-03,138.80,139.45,136.20,138.80,1360300,138.80
2012-07-02,137.50,138.40,135.50,136.40,633500,136.40
2012-06-29,135.50,137.40,135.25,136.30,335300,136.30
2012-06-28,136.50,137.90,134.00,135.00,1346100,135.00
2012-06-27,139.50,139.50,136.40,137.00,1592400,137.00
2012-06-26,137.30,139.40,135.90,137.10,937500,137.10
2012-06-25,135.30,136.90,134.25,136.55,1057200,136.55
2012-06-22,136.00,137.00,133.90,134.45,268400,134.45
2012-06-21,133.00,136.90,133.00,136.50,1144000,136.50
2012-06-20,135.20,135.90,133.60,134.80,784200,134.80
2012-06-19,131.75,134.65,131.00,133.70,643800,133.70
2012-06-18,136.85,137.60,131.35,132.25,499500,132.25
2012-06-15,132.90,134.90,132.10,134.90,719000,134.90
2012-06-14,131.95,133.50,130.90,131.05,389200,131.05
2012-06-13,132.55,133.50,131.90,132.90,1218900,132.90
2012-06-12,133.00,133.80,130.85,132.80,615300,132.80
2012-06-11,130.95,133.20,130.50,132.35,1557700,132.35
2012-06-08,127.80,132.15,126.30,129.80,1584500,129.80
2012-06-07,126.45,128.80,125.55,128.35,921400,128.35
2012-06-06,124.55,126.50,124.55,126.00,481000,126.00
2012-06-05,119.55,125.00,118.15,124.15,1186700,124.15
2012-06-01,118.80,119.70,115.55,116.35,1625300,116.35
2012-05-31,117.20,120.00,117.20,119.00,1352200,119.00
2012-05-30,123.00,123.90,119.05,120.00,1004800,120.00
2012-05-29,126.55,126.55,122.95,123.70,447900,123.70
2012-05-28,125.70,126.90,124.60,125.70,1059500,125.70
2012-05-25,120.20,124.85,119.50,124.35,919900,124.35
2012-05-24,117.25,121.10,117.25,121.05,866000,121.05
2012-05-23,117.80,118.40,114.50,117.00,1136000,117.00
2012-05-22,119.00,121.95,117.50,118.35,661100,118.35
2012-05-21,122.00,122.30,117.40,119.00,707000,119.00
