Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,422.40,422.40,413.40,416.45,000,417.00
2012-07-20,422.40,422.40,413.40,417.00,176800,417.00
2012-07-19,433.00,435.00,424.55,426.70,164700,426.70
2012-07-18,428.55,434.35,426.00,433.00,152000,433.00
2012-07-17,425.35,440.00,423.50,433.00,76700,433.00
2012-07-16,434.60,438.55,412.90,432.05,96800,432.05
2012-07-13,439.75,440.55,431.10,438.80,172200,438.80
2012-07-12,440.65,441.10,434.00,436.55,206200,436.55
2012-07-11,446.55,448.90,440.00,440.95,132200,440.95
2012-07-10,446.10,449.45,443.50,447.15,620200,447.15
2012-07-09,450.60,451.00,443.40,446.00,112400,446.00
2012-07-06,454.00,456.80,449.05,452.00,110300,452.00
2012-07-05,450.80,459.00,449.55,453.50,94700,453.50
2012-07-04,450.65,455.00,449.95,452.20,88100,452.20
2012-07-03,453.05,455.00,449.60,451.00,77400,451.00
2012-07-02,449.15,458.10,446.15,450.00,94300,450.00
2012-06-29,450.00,450.00,445.10,448.90,59200,448.90
2012-06-28,455.00,455.00,434.55,446.55,239900,446.55
2012-06-27,450.00,454.05,444.00,445.30,119900,445.30
2012-06-26,438.00,448.90,434.40,448.50,150300,448.50
2012-06-25,438.00,444.20,435.05,436.00,116800,436.00
2012-06-22,430.00,439.50,428.50,437.50,213400,437.50
2012-06-21,426.35,438.00,426.00,435.00,186700,435.00
2012-06-20,428.40,431.35,427.10,430.00,37200,430.00
2012-06-19,425.95,430.00,420.35,427.50,94900,427.50
2012-06-18,427.15,432.90,413.00,422.00,192100,422.00
2012-06-15,423.20,428.70,417.25,424.90,99900,424.90
2012-06-14,428.75,433.75,418.00,420.50,101900,420.50
2012-06-13,435.00,440.00,427.60,428.00,191800,428.00
2012-06-12,423.65,434.50,421.10,434.50,122200,434.50
2012-06-11,435.05,435.95,425.25,425.25,114600,425.25
2012-06-08,420.10,434.45,415.15,430.00,183700,430.00
2012-06-07,421.35,426.00,412.30,419.25,158000,419.25
2012-06-06,421.95,423.05,415.50,420.50,333000,420.50
2012-06-05,416.00,419.80,411.85,416.00,86000,416.00
2012-06-01,420.40,424.35,410.35,413.50,109400,413.50
2012-05-31,414.40,423.00,411.10,420.00,144400,420.00
2012-05-30,420.00,420.00,414.00,415.00,60800,415.00
2012-05-29,416.00,424.70,415.20,419.90,199900,419.90
2012-05-28,413.05,420.50,413.05,416.00,105400,416.00
2012-05-25,410.00,415.00,407.25,411.50,130600,411.50
2012-05-24,398.15,409.00,395.85,407.00,78400,407.00
2012-05-23,405.00,407.00,397.10,399.70,105800,399.70
2012-05-22,414.90,414.90,403.00,405.70,163400,405.70
2012-05-21,405.95,413.80,403.00,412.00,162000,412.00
2012-05-18,395.00,406.00,390.40,405.95,184200,405.95
2012-05-17,406.05,412.00,397.30,398.00,142900,398.00
2012-05-16,415.00,418.40,405.20,409.00,411800,409.00
2012-05-14,420.00,420.00,407.00,415.05,164300,415.05
2012-05-11,406.00,418.25,406.00,416.35,669000,416.35
2012-05-10,403.05,415.00,403.05,410.00,327400,410.00
2012-05-09,408.55,413.90,403.10,403.10,147200,403.10
2012-05-08,409.00,415.00,406.40,407.15,134500,407.15
2012-05-07,409.80,410.35,402.00,408.00,213800,408.00
2012-05-04,414.85,415.80,408.25,411.00,472000,411.00
2012-05-03,418.70,419.90,414.10,415.00,125300,415.00
2012-05-02,420.00,425.00,419.00,420.00,206300,420.00
2012-04-30,416.65,422.00,412.30,422.00,179500,422.00
2012-04-27,412.60,419.00,410.00,413.20,568200,413.20
2012-04-26,412.90,414.00,405.10,413.00,588100,413.00
2012-04-25,416.95,418.00,406.20,408.00,179300,408.00
2012-04-24,416.55,420.00,411.00,414.00,119800,414.00
2012-04-23,426.00,431.20,416.20,417.00,100700,417.00
2012-04-20,428.10,432.00,423.95,426.65,82900,426.65
2012-04-19,429.50,432.05,423.20,432.05,124500,432.05
2012-04-18,435.20,439.20,426.00,426.00,164800,426.00
2012-04-17,435.00,437.40,427.65,430.50,161300,430.50
2012-04-16,424.65,434.90,424.65,432.45,182900,432.45
2012-04-13,433.00,437.95,402.15,426.25,165700,426.25
2012-04-12,439.00,439.85,430.40,432.30,160300,432.30
2012-04-11,433.00,436.00,427.10,431.65,104900,431.65
2012-04-10,431.25,439.00,428.95,434.00,165400,434.00
2012-04-09,432.95,438.95,432.10,433.90,69900,433.90
2012-04-04,446.30,446.45,436.35,442.65,98200,442.65
2012-04-03,434.85,448.80,433.00,443.90,272300,443.90
2012-04-02,427.00,434.40,423.55,433.00,106700,433.00
2012-03-30,422.85,432.50,421.25,430.70,668900,430.70
2012-03-29,410.20,426.00,410.15,419.55,363500,419.55
2012-03-28,425.00,428.00,416.10,416.10,55700,416.10
2012-03-27,431.70,433.00,414.00,421.25,160800,421.25
2012-03-26,428.05,431.80,423.05,427.00,722300,427.00
2012-03-23,419.50,431.50,419.20,429.35,133200,429.35
2012-03-21,423.70,432.50,420.80,431.70,179100,431.70
2012-03-20,419.75,426.40,412.10,422.00,160700,422.00
2012-03-19,430.00,430.00,413.55,415.00,80700,415.00
2012-03-16,426.95,434.40,423.20,427.00,419600,427.00
2012-03-15,432.00,436.10,417.20,427.90,629100,427.90
2012-03-14,435.05,436.20,428.20,433.70,378400,433.70
2012-03-13,425.00,432.00,422.00,429.00,363700,429.00
2012-03-12,420.00,434.80,420.00,424.55,239400,424.55
2012-03-09,412.00,419.30,409.50,417.10,344100,417.10
2012-03-07,403.80,409.50,400.00,405.00,152300,405.00
2012-03-06,404.00,422.60,401.55,407.50,348600,407.50
2012-03-05,410.05,419.00,404.50,414.00,649000,414.00
2012-03-02,401.15,417.35,399.00,414.50,487500,414.50
2012-03-01,388.00,406.85,388.00,399.10,171100,399.10
2012-02-29,414.00,435.00,399.15,406.00,363500,406.00
2012-02-28,404.00,414.50,402.05,406.10,711400,406.10
2012-02-27,419.05,419.05,392.60,401.00,392900,401.00
2012-02-24,428.00,429.10,405.00,410.00,341900,410.00
2012-02-23,437.00,437.00,414.10,422.95,453300,422.95
2012-02-22,446.05,451.00,419.40,420.00,244800,420.00
2012-02-21,455.00,455.00,442.55,452.00,229500,452.00
2012-02-17,474.90,474.90,440.00,448.40,333600,448.40
2012-02-16,445.00,449.00,432.55,441.00,557600,441.00
2012-02-15,419.15,436.85,419.15,435.80,579800,435.80
2012-02-14,409.20,419.65,406.05,418.90,492200,418.90
2012-02-13,420.00,421.00,400.95,407.00,992600,407.00
2012-02-10,417.20,422.50,412.65,417.30,230800,417.30
2012-02-09,409.95,417.50,409.95,417.50,262700,417.50
2012-02-08,418.00,420.00,406.60,410.05,402500,410.05
2012-02-07,415.00,425.40,412.40,418.00,977900,418.00
2012-02-06,407.80,418.45,406.50,414.10,707800,414.10
2012-02-03,400.00,407.60,393.15,402.95,714700,402.95
2012-02-02,403.95,407.50,391.60,400.00,410400,400.00
2012-02-01,399.85,409.80,395.75,400.00,792400,400.00
2012-01-31,385.20,400.00,385.10,398.00,671400,398.00
2012-01-30,392.35,404.25,388.75,391.50,527900,391.50
2012-01-27,417.00,417.00,400.00,403.00,534300,403.00
2012-01-25,396.00,417.80,392.60,417.00,1167700,417.00
2012-01-24,389.45,398.40,381.55,390.50,758300,390.50
2012-01-23,384.75,394.90,377.40,384.00,318800,384.00
2012-01-20,366.10,384.45,365.00,383.00,417800,383.00
2012-01-19,366.45,369.70,361.55,364.00,170500,364.00
2012-01-18,370.60,370.85,355.10,359.10,239300,359.10
2012-01-17,361.05,371.55,361.05,366.00,185300,366.00
2012-01-16,360.00,363.90,358.15,362.90,1233000,362.90
2012-01-13,364.80,367.40,360.50,364.00,447100,364.00
2012-01-12,354.00,369.00,353.15,362.65,387700,362.65
2012-01-11,365.10,372.40,361.55,363.50,440700,363.50
2012-01-10,368.90,375.35,368.35,369.95,314300,369.95
2012-01-06,356.65,361.15,353.55,360.60,489600,360.60
2012-01-05,359.85,362.75,355.50,360.00,227600,360.00
2012-01-04,360.00,364.90,353.10,360.00,417500,360.00
2012-01-03,341.95,356.95,340.05,356.00,237700,356.00
2012-01-02,339.00,341.00,332.00,337.00,134000,337.00
2011-12-30,334.95,340.95,331.05,339.00,354600,339.00
2011-12-29,331.90,333.90,323.00,333.20,682800,333.20
2011-12-28,337.50,337.50,322.25,327.50,863000,327.50
2011-12-27,348.95,351.60,334.50,338.00,233000,338.00
2011-12-26,353.25,357.60,350.25,351.95,198600,351.95
2011-12-23,363.00,364.00,350.00,352.50,219700,352.50
2011-12-22,356.20,362.00,352.40,359.00,421600,359.00
2011-12-21,360.05,363.00,352.05,362.45,346700,362.45
2011-12-20,360.00,363.55,350.55,353.00,579100,353.00
2011-12-19,372.00,373.00,347.10,359.90,1495400,359.90
2011-12-16,379.50,383.80,370.25,373.65,610300,373.65
2011-12-15,370.00,378.60,365.00,378.00,205900,378.00
2011-12-14,378.00,385.00,370.25,371.00,633600,371.00
2011-12-13,379.95,380.95,373.20,378.00,1060900,378.00
2011-12-12,390.00,395.90,381.05,381.15,399100,381.15
2011-12-09,382.00,393.50,382.00,388.25,882200,388.25
2011-12-08,394.70,398.40,385.65,396.00,927900,396.00
2011-12-07,398.00,405.95,392.35,396.15,261000,396.15
2011-12-05,399.70,399.70,387.25,395.25,1138600,395.25
2011-12-02,362.95,401.00,361.35,394.55,595500,394.55
2011-12-01,368.35,372.00,342.65,366.00,210900,366.00
2011-11-30,356.45,365.65,350.40,358.95,462700,358.95
2011-11-29,365.05,368.00,355.10,358.00,110800,358.00
2011-11-28,360.00,364.50,355.50,364.45,98200,364.45
2011-11-25,354.10,360.50,346.05,352.90,262300,352.90
2011-11-24,342.00,358.60,332.15,357.70,475900,357.70
2011-11-23,350.55,352.55,337.55,341.00,709200,341.00
2011-11-22,358.15,359.60,348.10,351.30,788200,351.30
2011-11-21,365.00,377.30,355.15,355.50,439200,355.50
2011-11-18,380.10,381.90,373.30,373.95,464100,373.95
2011-11-17,384.95,390.05,382.80,384.75,136000,384.75
2011-11-16,375.05,390.00,370.40,389.00,441100,389.00
2011-11-15,386.90,388.95,373.10,378.00,267900,378.00
2011-11-14,402.25,406.65,386.70,388.85,114700,388.85
2011-11-11,396.25,403.35,393.45,400.00,218600,400.00
2011-11-09,407.00,414.95,401.00,402.00,206800,402.00
2011-11-08,420.00,421.70,410.40,411.50,160100,411.50
2011-11-04,416.85,422.25,416.30,417.50,158800,417.50
