Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,357.00,357.00,352.15,354.75,336700,355.45
2012-07-20,357.00,357.00,351.90,355.45,336700,355.45
2012-07-19,357.90,361.00,353.20,356.50,378800,356.50
2012-07-18,358.00,358.00,352.05,355.00,328400,355.00
2012-07-17,349.70,358.90,346.00,353.70,538100,353.70
2012-07-16,363.00,364.35,352.50,355.00,357700,355.00
2012-07-13,365.00,367.45,361.60,362.00,660600,362.00
2012-07-12,353.70,362.80,352.90,361.50,1149700,361.50
2012-07-11,353.60,361.95,353.60,357.60,746900,357.60
2012-07-10,354.00,360.45,351.00,357.20,943700,357.20
2012-07-09,353.55,361.65,348.70,352.00,611600,352.00
2012-07-06,358.40,360.95,354.15,356.00,478000,356.00
2012-07-05,363.05,363.70,355.15,360.05,915200,360.05
2012-07-04,365.00,366.50,360.00,362.75,934600,362.75
2012-07-03,355.55,365.65,355.55,362.00,1373200,362.00
2012-07-02,352.10,357.60,349.95,355.00,742700,355.00
2012-06-29,349.00,355.00,345.20,351.80,1773200,351.80
2012-06-28,354.90,358.00,341.55,345.00,2008300,345.00
2012-06-27,355.90,359.70,353.60,354.10,1400200,354.10
2012-06-26,345.00,355.70,341.40,355.05,1368300,355.05
2012-06-25,342.00,349.90,341.30,345.10,1426200,345.10
2012-06-22,338.00,342.15,335.10,340.85,628200,340.85
2012-06-21,340.90,341.90,336.40,340.00,891100,340.00
2012-06-20,339.25,343.35,337.05,340.00,1271600,340.00
2012-06-19,324.05,338.45,322.10,338.00,1029100,338.00
2012-06-18,335.55,338.00,324.40,328.85,677100,328.85
2012-06-15,334.00,338.80,331.35,335.50,1019000,335.50
2012-06-14,338.00,344.00,332.00,333.05,1227100,333.05
2012-06-13,339.40,341.65,335.05,338.00,1319800,338.00
2012-06-12,333.00,339.75,332.30,336.05,1627000,336.05
2012-06-11,334.00,340.00,333.25,335.30,1823800,335.30
2012-06-08,320.65,334.00,320.65,333.95,1470600,333.95
2012-06-07,328.00,328.00,319.75,323.35,1295100,323.35
2012-06-06,322.50,329.00,322.25,325.00,1342000,325.00
2012-06-05,321.00,326.65,320.25,321.90,742000,321.90
2012-06-01,322.00,344.15,314.00,326.40,2935000,326.40
2012-05-31,321.50,327.00,319.15,322.00,2090000,322.00
2012-05-30,333.90,334.00,321.05,328.00,1704200,328.00
2012-05-29,330.00,332.95,327.50,330.45,1434500,330.45
2012-05-28,335.05,337.90,326.55,328.00,666100,328.00
2012-05-25,324.00,341.00,323.55,336.60,903000,336.60
2012-05-24,334.05,334.95,322.65,323.40,1769800,323.40
2012-05-23,317.65,329.00,315.00,325.00,1779500,325.00
2012-05-22,324.70,325.90,311.05,314.70,846100,314.70
2012-05-21,315.10,322.50,315.00,318.00,571400,318.00
2012-05-18,307.80,319.80,302.00,317.70,835500,317.70
2012-05-17,311.00,314.95,304.40,311.40,772500,311.40
2012-05-16,313.00,319.00,308.05,309.90,1120900,309.90
2012-05-14,320.10,323.80,315.25,319.15,915000,319.15
2012-05-11,321.20,324.65,315.10,317.00,869300,317.00
2012-05-10,322.10,325.75,319.20,323.55,930000,323.55
2012-05-09,323.05,327.00,318.00,321.65,1316000,321.65
2012-05-08,321.80,332.65,321.80,325.00,2102500,325.00
2012-05-07,318.50,323.50,315.00,319.00,1590200,319.00
2012-05-04,322.60,325.50,315.20,321.90,1195000,321.90
2012-05-03,326.00,328.65,323.25,325.00,944300,325.00
2012-05-02,330.30,331.70,325.00,328.50,600000,328.50
2012-04-30,330.40,334.80,329.55,330.00,1131600,330.00
2012-04-27,324.50,330.60,324.00,328.85,1088100,328.85
2012-04-26,338.90,338.90,321.95,323.45,3039100,323.45
2012-04-25,349.00,349.10,335.00,335.05,2243400,335.05
2012-04-24,353.90,357.05,345.00,346.40,1078800,346.40
2012-04-23,361.40,363.90,351.00,351.00,558900,351.00
