/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,259.05,260.50,258.10,258.35,29900,258.35
2012-07-20,259.05,260.50,258.10,258.35,29900,258.35
2012-07-19,266.40,266.40,259.15,260.00,59800,260.00
2012-07-18,260.00,262.90,257.50,260.00,74800,260.00
2012-07-17,260.80,261.90,258.50,259.90,60300,259.90
2012-07-16,261.45,262.95,258.05,260.75,92500,260.75
2012-07-13,263.05,267.20,260.00,260.05,73200,260.05
2012-07-12,267.00,268.00,259.00,261.85,208300,261.85
2012-07-11,256.00,266.45,256.00,263.15,191400,263.15
2012-07-10,254.40,257.50,254.15,256.25,27000,256.25
2012-07-09,256.00,258.00,252.55,253.60,32200,253.60
2012-07-06,256.65,259.00,255.60,256.30,54300,256.30
2012-07-05,259.50,262.50,255.50,258.00,184400,258.00
2012-07-04,253.50,260.00,250.35,258.00,105200,258.00
2012-07-03,250.25,254.90,249.50,250.65,79600,250.65
2012-07-02,241.20,254.10,241.20,252.60,68800,252.60
2012-06-29,248.00,254.90,243.00,248.95,67400,248.95
2012-06-28,245.30,247.90,240.50,243.25,273300,243.25
2012-06-27,249.80,250.05,245.10,245.90,274800,245.90
2012-06-26,246.85,251.40,246.00,246.70,41300,246.70
2012-06-25,253.00,256.00,246.75,249.05,27800,249.05
2012-06-22,248.00,254.50,247.00,250.10,100200,250.10
2012-06-21,246.00,252.10,245.00,250.85,28100,250.85
2012-06-20,246.50,249.95,245.40,248.20,219200,248.20
2012-06-19,251.55,251.55,246.20,247.05,55400,247.05
2012-06-18,260.35,260.35,250.50,251.20,45400,251.20
2012-06-15,254.15,259.80,254.15,256.65,70800,256.65
2012-06-14,257.95,262.80,251.75,254.00,123900,254.00
2012-06-13,261.55,261.60,256.00,259.35,48000,259.35
2012-06-12,259.00,261.80,255.80,259.95,133100,259.95
2012-06-11,255.00,262.00,253.25,258.55,146200,258.55
2012-06-08,247.50,253.40,244.25,252.80,85900,252.80
2012-06-07,241.05,250.00,240.00,246.30,83800,246.30
