Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,2098.75,2104.95,2068.45,2072.10,11700,2073.95
2012-07-20,2098.75,2104.95,2068.45,2073.95,11700,2073.95
2012-07-19,2068.20,2087.75,2065.00,2080.00,5600,2080.00
2012-07-18,2053.00,2072.50,2052.80,2068.00,2000,2068.00
2012-07-17,2075.00,2079.00,2050.00,2059.00,9400,2059.00
2012-07-16,2047.90,2064.40,2040.00,2060.00,26500,2060.00
2012-07-13,2054.00,2061.80,2028.35,2040.00,2200,2040.00
2012-07-12,2074.00,2074.00,2037.25,2050.00,28400,2050.00
2012-07-11,2040.00,2077.95,2031.95,2060.00,7300,2060.00
2012-07-10,2006.00,2048.00,2003.00,2040.00,7700,2040.00
2012-07-09,2005.05,2044.00,2001.00,2017.00,3600,2017.00
2012-07-06,2030.00,2030.00,2010.00,2020.00,8200,2020.00
2012-07-05,2048.00,2048.00,2005.00,2005.10,56400,2005.10
2012-07-04,2018.50,2028.95,2005.25,2028.00,4400,2028.00
2012-07-03,2005.50,2049.00,2005.50,2048.00,198000,2048.00
2012-07-02,2050.00,2060.00,2020.00,2025.30,9300,2025.30
2012-06-29,2005.85,2040.00,2001.65,2020.00,63500,2020.00
2012-06-28,2010.00,2014.95,1999.00,2006.00,8200,2006.00
2012-06-27,2026.90,2026.90,1997.00,1999.00,57300,1999.00
2012-06-26,2009.00,2030.00,2006.15,2015.00,34000,2015.00
2012-06-25,2018.95,2030.00,2001.30,2015.00,5700,2015.00
2012-06-22,2022.00,2043.80,2007.95,2020.00,16700,2020.00
2012-06-21,2033.70,2050.05,2010.00,2020.00,3200,2020.00
2012-06-20,2018.00,2048.00,2005.90,2040.00,5000,2040.00
2012-06-19,2009.95,2028.00,1996.00,2000.05,30800,2000.05
2012-06-18,2059.00,2059.00,1986.00,1999.95,42400,1999.95
2012-06-15,2021.00,2030.00,2002.00,2009.00,27400,2009.00
2012-06-14,2063.85,2063.85,2012.05,2020.10,3300,2020.10
2012-06-13,2048.75,2089.80,2035.00,2035.00,11800,2035.00
2012-06-12,1955.05,2065.00,1955.00,2060.00,50300,2060.00
2012-06-11,2038.00,2038.00,1950.00,1960.00,112900,1960.00
2012-06-08,1980.00,1999.75,1973.00,1975.50,65100,1975.50
2012-06-07,2004.30,2008.00,1985.25,1985.50,16500,1985.50
2012-06-06,2010.00,2018.00,1984.00,1987.65,8100,1987.65
2012-06-05,1998.30,2015.90,1962.55,2010.90,5000,2010.90
2012-06-01,2000.00,2013.95,1966.10,1970.00,4200,1970.00
2012-05-31,2005.05,2028.00,1970.00,2010.00,19700,2010.00
2012-05-30,1978.00,2039.00,1978.00,2018.00,20800,2018.00
2012-05-29,2019.00,2022.00,1982.95,1983.20,1900,1983.20
2012-05-28,2000.00,2009.95,1985.00,2004.95,3800,2004.95
2012-05-25,1988.80,1998.40,1971.00,1990.00,2500,1990.00
2012-05-24,1974.00,1998.00,1959.00,1980.00,15500,1980.00
2012-05-23,1992.00,2006.75,1950.00,1966.70,9000,1966.70
2012-05-22,2049.95,2049.95,1985.10,1993.45,3800,1993.45
2012-05-21,2033.00,2080.00,2031.05,2032.00,13200,2032.00
2012-05-18,2051.00,2070.05,2041.00,2043.35,6700,2043.35
2012-05-17,2008.60,2097.95,2008.60,2065.00,3800,2065.00
2012-05-16,2020.05,2045.00,1993.00,2031.20,13300,2031.20
2012-05-14,2054.00,2080.00,2038.80,2060.00,3800,2060.00
2012-05-11,2050.00,2079.95,2042.90,2050.20,2500,2050.20
2012-05-10,2083.50,2084.50,2050.10,2058.90,2500,2058.90
2012-05-09,2099.80,2107.85,2062.20,2067.05,7900,2067.05
2012-05-08,2147.95,2178.90,2085.05,2100.00,13500,2100.00
2012-05-07,2103.35,2141.00,2085.05,2130.00,7200,2130.00
2012-05-04,2175.00,2180.00,2110.00,2145.10,3700,2145.10
2012-05-03,2172.95,2178.90,2150.20,2170.00,3500,2170.00
2012-05-02,2126.00,2182.00,2125.00,2179.00,4300,2179.00
2012-04-30,2182.00,2190.00,2117.05,2126.05,4900,2126.05
2012-04-27,2167.00,2199.95,2161.15,2184.00,2900,2184.00
2012-04-26,2200.00,2209.95,2162.20,2182.00,69000,2182.00
2012-04-25,2210.00,2223.00,2180.00,2195.00,16000,2195.00
2012-04-24,2245.00,2245.00,2202.10,2210.00,1200,2210.00
2012-04-23,2228.75,2255.00,2190.10,2247.00,3700,2247.00
2012-04-20,2215.00,2250.00,2205.10,2240.05,8800,2240.05
2012-04-19,2260.00,2280.00,2205.00,2220.05,4200,2220.05
2012-04-18,2210.20,2298.60,2210.20,2267.00,11400,2267.00
2012-04-17,2180.00,2223.90,2171.25,2210.00,10400,2210.00
2012-04-16,2200.00,2233.90,2162.60,2175.00,4900,2175.00
