Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,192.00,193.95,190.25,190.60,23100,190.70
2012-07-20,192.00,193.95,190.25,190.70,23100,190.70
2012-07-19,194.00,195.50,191.00,191.00,47700,191.00
2012-07-18,190.20,194.45,189.65,193.00,33800,193.00
2012-07-17,196.00,196.00,191.00,191.00,31100,191.00
2012-07-16,195.95,195.95,192.60,194.00,55900,194.00
2012-07-13,195.00,196.30,193.55,194.70,73900,194.70
2012-07-12,192.00,196.50,191.00,195.00,181700,195.00
2012-07-11,196.00,198.80,193.05,194.00,396600,194.00
2012-07-10,188.00,196.20,188.00,194.15,867800,194.15
2012-07-09,190.60,192.40,187.70,188.00,82500,188.00
2012-07-06,192.40,197.00,191.00,191.75,203200,191.75
2012-07-05,195.50,195.55,192.05,193.25,136300,193.25
2012-07-04,189.80,196.65,188.50,194.60,346100,194.60
2012-07-03,189.95,190.55,187.50,187.80,77000,187.80
2012-07-02,186.20,190.25,183.05,188.35,213200,188.35
2012-06-29,190.00,190.00,184.35,184.60,165900,184.60
2012-06-28,187.00,190.75,185.60,186.75,218400,186.75
2012-06-27,181.00,186.55,177.40,186.35,233800,186.35
2012-06-26,180.60,181.90,175.25,178.05,522900,178.05
2012-06-25,182.00,184.00,180.05,180.50,41600,180.50
2012-06-22,181.60,183.45,181.10,181.50,66900,181.50
2012-06-21,186.00,186.00,183.10,183.20,139400,183.20
2012-06-20,186.70,186.70,180.55,184.90,1198800,184.90
2012-06-19,182.00,183.75,180.60,181.70,115700,181.70
2012-06-18,176.65,186.00,176.65,182.00,182400,182.00
2012-06-15,177.90,184.85,176.25,182.05,647200,182.05
2012-06-14,174.10,175.50,172.15,174.55,167900,174.55
2012-06-13,175.00,175.30,172.10,173.50,44600,173.50
2012-06-12,170.85,177.90,170.85,174.00,129500,174.00
2012-06-11,172.45,175.75,171.30,175.00,114200,175.00
2012-06-08,172.00,172.95,169.15,170.00,149700,170.00
2012-06-07,173.05,175.65,171.05,171.80,82600,171.80
2012-06-06,170.55,173.70,168.00,173.05,184100,173.05
2012-06-05,169.95,175.00,167.20,169.00,60300,169.00
2012-06-01,176.15,180.00,174.00,175.20,127900,175.20
2012-05-31,178.45,180.50,173.60,179.20,158400,179.20
2012-05-30,178.05,182.90,177.00,178.45,273300,178.45
2012-05-29,173.00,181.90,171.70,178.00,447700,178.00
2012-05-28,169.85,174.00,167.05,173.65,396000,173.65
2012-05-25,162.05,165.70,162.00,164.00,37300,164.00
2012-05-24,162.10,164.65,160.50,162.50,38600,162.50
2012-05-23,164.50,165.10,161.00,162.50,55900,162.50
2012-05-22,175.00,175.00,163.70,163.70,31700,163.70
2012-05-21,166.90,169.00,163.75,167.00,64700,167.00
2012-05-18,161.15,169.00,158.15,166.10,244200,166.10
2012-05-17,161.00,165.50,160.00,164.00,93000,164.00
2012-05-16,161.50,161.90,158.05,159.50,113500,159.50
2012-05-14,175.45,175.45,161.50,168.00,158000,168.00
2012-05-11,167.85,171.00,166.10,168.45,91400,168.45
2012-05-10,173.00,174.85,170.05,170.25,100400,170.25
2012-05-09,174.20,176.85,167.60,175.00,217800,175.00
2012-05-08,178.10,179.95,173.40,174.85,98200,174.85
2012-05-07,175.90,179.50,173.00,177.00,114000,177.00
2012-05-04,176.10,179.05,175.55,177.30,140500,177.30
2012-05-03,185.45,185.90,178.10,179.90,257300,179.90
2012-05-02,186.10,188.45,183.20,184.40,51900,184.40
2012-04-30,187.00,189.30,183.40,186.20,79900,186.20
2012-04-27,178.55,185.00,178.15,183.15,103700,183.15
2012-04-26,180.20,181.80,178.10,180.85,185300,180.85
2012-04-25,178.75,180.90,174.05,180.90,150100,180.90
2012-04-24,177.75,181.80,177.00,180.80,211200,180.80
