/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,24.70,24.85,24.30,24.40,3717000,24.35
2012-07-20,24.60,24.85,24.30,24.35,3717000,24.35
2012-07-19,24.20,25.05,24.05,24.95,9533000,24.95
2012-07-18,23.10,24.15,22.35,23.95,12794600,23.95
2012-07-17,24.00,24.30,22.60,22.70,9035000,22.70
2012-07-16,24.75,24.75,23.60,23.65,5176000,23.65
2012-07-13,25.45,25.65,24.40,24.50,6007300,24.50
2012-07-12,25.00,25.70,24.50,25.40,6954100,25.40
2012-07-11,25.75,25.80,25.00,25.10,4440100,25.10
2012-07-10,24.70,25.90,24.55,25.45,6962200,25.45
2012-07-09,25.65,25.70,24.45,24.85,9256200,24.85
2012-07-06,26.95,27.25,26.10,26.20,5031100,26.20
2012-07-05,25.80,27.10,25.50,27.00,7769900,27.00
2012-07-04,25.00,26.25,24.85,25.85,7511700,25.85
2012-07-03,25.80,26.30,24.35,25.15,12903100,25.15
2012-07-02,25.50,25.85,24.90,25.60,8007800,25.60
2012-06-29,23.25,25.40,23.00,25.10,18165500,25.10
2012-06-28,22.35,23.45,22.30,22.85,5769700,22.85
2012-06-27,22.50,22.65,22.30,22.45,2736500,22.45
2012-06-26,22.70,22.95,22.25,22.30,4353400,22.30
2012-06-25,22.90,23.45,22.45,22.60,6790000,22.60
2012-06-22,22.20,22.85,22.20,22.65,5863500,22.65
2012-06-21,22.10,22.95,22.05,22.80,6213200,22.80
2012-06-20,22.50,22.90,22.15,22.45,4685100,22.45
2012-06-19,22.50,22.80,22.10,22.25,5933900,22.25
2012-06-18,22.80,23.50,21.90,22.75,11426800,22.75
2012-06-15,21.75,22.60,21.70,22.50,6650500,22.50
2012-06-14,22.85,22.90,21.45,21.65,5862800,21.65
2012-06-13,22.75,23.15,22.40,22.80,6715100,22.80
2012-06-12,21.55,22.85,21.15,22.60,9532900,22.60
2012-06-11,22.20,23.25,21.30,21.40,14525600,21.40
2012-06-08,21.50,22.15,21.05,22.10,6029100,22.10
2012-06-07,21.80,22.10,21.45,21.70,9688500,21.70
2012-06-06,19.50,21.85,19.40,21.45,15589200,21.45
2012-06-05,19.75,19.95,19.20,19.45,6198100,19.45
2012-06-01,20.60,20.60,19.80,20.10,4133700,20.10
2012-05-31,19.85,20.85,19.55,20.60,7309100,20.60
2012-05-30,20.50,20.55,19.35,20.25,7772500,20.25
2012-05-29,20.95,21.20,20.50,20.60,4344100,20.60
2012-05-28,20.35,20.80,20.30,20.65,2188300,20.65
2012-05-25,20.25,20.70,20.05,20.35,4279700,20.35
2012-05-24,20.25,20.60,19.80,20.15,3503100,20.15
2012-05-23,19.15,20.75,18.60,20.40,11817400,20.40
2012-05-22,19.95,20.15,19.40,19.50,9931700,19.50
