/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,242.25,248.00,239.30,246.00,100300,245.75
2012-07-20,241.75,248.05,239.00,245.75,570500,245.75
2012-07-19,254.90,254.90,240.95,242.40,501600,242.40
2012-07-18,249.30,254.60,246.40,250.10,451100,250.10
2012-07-17,262.00,264.50,249.25,249.50,469100,249.50
2012-07-16,251.90,260.40,251.65,258.90,749300,258.90
2012-07-13,253.00,255.70,248.75,251.20,446700,251.20
2012-07-12,240.70,252.90,238.15,250.65,582400,250.65
2012-07-11,240.00,246.75,240.00,241.70,130100,241.70
2012-07-10,238.00,245.30,236.65,244.40,155400,244.40
2012-07-09,243.10,243.10,238.00,238.05,127700,238.05
2012-07-06,244.20,244.75,240.10,243.95,134700,243.95
2012-07-05,243.00,248.50,242.15,244.70,189900,244.70
2012-07-04,246.85,247.65,242.40,243.10,159000,243.10
2012-07-03,243.00,246.55,241.50,245.20,293900,245.20
2012-07-02,243.85,245.40,240.50,240.70,187000,240.70
2012-06-29,237.00,244.20,236.40,242.70,646200,242.70
2012-06-28,229.75,236.35,229.00,235.10,848400,235.10
2012-06-27,228.00,231.65,227.05,229.05,142700,229.05
2012-06-26,228.50,232.00,225.60,227.75,203200,227.75
2012-06-25,233.75,235.45,228.20,228.65,191300,228.65
2012-06-22,230.00,235.40,228.10,232.00,278300,232.00
2012-06-21,226.50,234.75,225.05,232.50,414300,232.50
2012-06-20,224.00,229.50,222.50,227.15,329000,227.15
2012-06-19,228.00,231.90,221.10,222.55,488900,222.55
2012-06-18,232.80,236.10,227.50,229.70,258600,229.70
2012-06-15,230.15,233.70,228.25,231.15,233400,231.15
2012-06-14,235.60,239.60,227.85,229.80,491800,229.80
2012-06-13,237.00,242.75,234.70,235.75,592200,235.75
2012-06-12,241.30,243.95,234.40,239.95,1072200,239.95
2012-06-11,252.00,256.15,243.20,243.45,567200,243.45
2012-06-08,250.25,253.80,245.25,249.50,318000,249.50
2012-06-07,254.60,257.00,249.55,250.80,338000,250.80
2012-06-06,246.00,253.65,245.95,251.80,310500,251.80
2012-06-05,250.95,255.60,246.10,246.70,340700,246.70
2012-06-01,258.70,258.70,246.00,247.00,244200,247.00
2012-05-31,251.00,262.50,240.10,259.85,977400,259.85
2012-05-30,257.25,259.75,253.55,254.10,229900,254.10
2012-05-29,256.80,261.85,253.90,258.50,356800,258.50
2012-05-28,252.45,255.00,250.05,254.15,143700,254.15
2012-05-25,252.25,256.00,247.10,250.70,333900,250.70
2012-05-24,241.60,252.25,240.05,250.80,333600,250.80
2012-05-23,244.05,244.05,237.05,240.35,231400,240.35
2012-05-22,248.50,252.40,244.20,244.20,243300,244.20
2012-05-21,236.00,250.00,235.15,242.50,653400,242.50
2012-05-18,233.50,237.70,228.60,234.05,166800,234.05
2012-05-17,232.45,239.65,232.45,234.00,427300,234.00
2012-05-16,233.45,235.40,228.05,232.25,485100,232.25
2012-05-14,240.00,242.00,228.95,229.50,779600,229.50
2012-05-11,248.00,248.00,240.20,241.40,288500,241.40
2012-05-10,253.00,256.90,245.60,249.00,395600,249.00
2012-05-09,253.10,258.00,252.15,254.50,186000,254.50
2012-05-08,263.70,265.00,254.00,254.00,242100,254.00
2012-05-07,251.00,264.00,250.30,261.85,345600,261.85
2012-05-04,260.95,263.70,252.65,256.00,351200,256.00
2012-05-03,262.50,266.35,258.30,262.50,298500,262.50
2012-05-02,267.40,269.85,263.50,264.25,188600,264.25
