Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,2640.25,2668.30,2620.05,2634.80,27800,2634.35
2012-07-20,2640.25,2668.30,2620.00,2634.35,27800,2634.35
2012-07-19,2635.00,2665.00,2630.00,2658.70,18700,2658.70
2012-07-18,2587.05,2644.10,2576.50,2619.00,41500,2619.00
2012-07-17,2599.90,2614.65,2571.90,2585.00,26000,2585.00
2012-07-16,2638.40,2656.20,2575.20,2589.00,30000,2589.00
2012-07-13,2650.00,2669.90,2631.10,2648.90,15700,2648.90
2012-07-12,2630.00,2653.00,2620.00,2647.30,15200,2647.30
2012-07-11,2650.00,2671.00,2621.55,2630.00,65300,2630.00
2012-07-10,2627.00,2657.45,2606.85,2645.00,66500,2645.00
2012-07-09,2672.00,2672.00,2597.00,2627.00,56100,2627.00
2012-07-06,2679.00,2698.55,2657.10,2667.00,126000,2667.00
2012-07-05,2680.00,2700.00,2653.05,2660.00,91200,2660.00
2012-07-04,2698.00,2698.90,2659.35,2677.00,64000,2677.00
2012-07-03,2729.05,2729.05,2673.00,2682.50,116300,2682.50
2012-07-02,2641.00,2755.00,2622.10,2697.85,83300,2697.85
2012-06-29,2580.95,2662.50,2575.95,2648.00,85500,2648.00
2012-06-28,2577.60,2600.00,2552.00,2565.00,58800,2565.00
2012-06-27,2545.00,2688.00,2521.15,2557.00,90300,2557.00
2012-06-26,2469.90,2546.00,2469.90,2545.00,61100,2545.00
2012-06-25,2526.70,2540.00,2460.85,2461.55,56700,2461.55
2012-06-22,2444.00,2534.00,2403.90,2511.05,116300,2511.05
2012-06-21,2490.00,2513.85,2470.05,2509.00,59400,2509.00
2012-06-20,2437.05,2524.00,2437.05,2490.00,112800,2490.00
2012-06-19,2431.05,2505.00,2429.90,2485.00,100800,2485.00
2012-06-18,2489.00,2525.00,2431.00,2459.00,41900,2459.00
2012-06-15,2348.00,2507.00,2348.00,2481.30,81500,2481.30
2012-06-14,2385.00,2397.95,2337.00,2341.00,61100,2341.00
2012-06-13,2385.00,2396.00,2360.00,2375.05,29800,2375.05
2012-06-12,2345.00,2390.00,2310.00,2385.00,37900,2385.00
2012-06-11,2320.00,2355.80,2320.00,2343.30,55100,2343.30
2012-06-08,2305.50,2324.95,2261.35,2311.00,74200,2311.00
2012-06-07,2350.00,2350.00,2301.00,2310.00,87200,2310.00
2012-06-06,2323.50,2352.00,2280.10,2321.00,86100,2321.00
2012-06-05,2258.40,2320.00,2252.05,2303.00,67200,2303.00
2012-06-01,2301.00,2329.95,2239.00,2250.00,50300,2250.00
2012-05-31,2356.05,2384.90,2290.30,2320.00,134600,2320.00
2012-05-30,2393.90,2393.90,2350.10,2356.05,38900,2356.05
2012-05-29,2400.25,2433.00,2370.00,2375.00,30500,2375.00
